Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  dolomite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Oberdorf, Styria, Austria via the Smithsonian 
(sample no. NMNH R12596).  
Description:  The sample was a single white crystal, 3 cm x 2 cm x 2 
cm and 29 g, showing good cleavage.  No impurities or alteration 
were visible in hand sample.  Under the microscope it appears very 
pure and unaltered.


Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi1a.txt

12.02819409	94.5193
12.00035041	94.3884
11.97263534	94.1931
11.945048	94.0232
11.9175875	93.7937
11.8902671	93.553
11.86305761	93.2717
11.83597236	92.7678
11.80901051	92.3264
11.78217122	91.5134
11.75545365	89.7615
11.72885698	87.3113
11.70238038	87.4724
11.67602305	89.0237
11.64978419	89.0432
11.62366299	88.3963
11.59765866	87.3728
11.57177043	86.0745
11.54599752	84.5569
11.52033916	82.6018
11.49479458	79.4744
11.46936304	74.1937
11.44404378	64.9007
11.41883606	50.9882
11.39373914	35.2899
11.3687523	22.6547
11.34387482	16.2968
11.31910597	17.6464
11.29444505	26.9296
11.26990406	41.4227
11.24545684	56.807
11.22111545	69.8089
11.19687921	78.9891
11.17274743	84.4749
11.14871946	87.4705
11.12479461	89.2381
11.10097222	90.363
11.07725165	91.0291
11.05363222	91.5632
11.03011331	91.99
11.00669427	92.3084
10.98337447	92.4998
10.96015327	92.6897
10.93703005	92.7913
10.9140042	92.8142
10.89107509	92.9734
10.86824213	93.092
10.8455047	93.0764
10.82286221	93.1121
10.80031407	93.2112
10.77785969	93.2293
10.75549848	93.1189
10.73322986	93.1541
10.71106474	93.6272
10.68897956	93.8381
10.66698525	93.4353
10.64508128	93.489
10.62326708	93.4861
10.6015421	93.1375
10.5799058	93.1326
10.55835763	93.1223
10.53689705	93.0486
10.51552354	93.0447
10.49423657	93.1267
10.4730356	93.0222
10.45192012	92.9797
10.43088962	92.9451
10.40994358	92.9421
10.38908149	92.8347
10.36830285	92.7683
10.34760717	92.7151
10.32699394	92.5789
10.30646267	92.4768
10.28601287	92.3865
10.26564407	92.2898
10.24535578	92.1663
10.22514752	92.0491
10.20502924	91.9343
10.1849796	91.8225
10.16500858	91.7361
10.14511574	91.613
10.12530059	91.4343
10.10556271	91.282
10.08590162	91.1463
10.0663169	90.9841
10.04680808	90.8831
10.02737473	90.8338
10.00801642	90.7161
9.98873271	90.5808
9.969523168	90.4505
9.950387369	90.3206
9.931324888	90.1365
9.912335307	89.9226
9.893427994	89.7678
9.874582922	89.5901
9.855809507	89.4182
9.83710734	89.2517
9.818476015	89.012
9.799915133	88.8152
9.781424293	88.6609
9.7630031	88.5003
9.744651161	88.4451
9.726368087	88.4534
9.70815349	88.4314
9.690006986	88.429
9.671928196	88.4417
9.653916739	88.4412
9.635972241	88.3865
9.618094328	88.2659
9.600282632	88.1487
9.582536785	88.0315
9.564856422	88.0008
9.547241181	87.9871
9.529690704	88.0452
9.512204634	88.1238
9.494782617	88.1883
9.477424301	88.1746
9.460138288	88.1043
9.4429063	88.0823
9.425736975	87.9968
9.408629972	87.9011
9.391584952	87.8499
9.374601579	87.7683
9.35767952	87.7034
9.340818443	87.6004
9.324018018	87.4978
9.307277919	87.4134
9.290597822	87.3211
9.273977405	87.2205
9.257416348	87.1863
9.240914333	87.135
9.224471046	87.0711
9.208086173	86.9812
9.191759404	86.926
9.17549043	86.9456
9.159278945	86.9807
