Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt

11.97263534	5.8144
11.945048	5.6868
11.9175875	5.54
11.8902671	5.3125
11.86305761	4.9377
11.83597236	4.4299
11.80901051	3.813
11.78217122	3.5662
11.75545365	3.9573
11.72885698	4.3188
11.70238038	4.3782
11.67602305	4.3039
11.64978419	4.208
11.62366299	4.126
11.59765866	4.082
11.57177043	4.0727
11.54599752	4.095
11.52033916	4.1428
11.49479458	4.2519
11.46936304	4.4448
11.44404378	4.8035
11.41883606	5.5381
11.39373914	6.7358
11.3687523	7.8677
11.34387482	8.518
11.31910597	9.091
11.29444505	9.8103
11.26990406	10.1404
11.24545684	9.5112
11.22111545	8.4746
11.19687921	7.7449
11.17274743	7.3208
11.14871946	7.0205
11.12479461	6.7212
11.10097222	6.4075
11.07725165	6.1636
11.05363222	6.029
11.03011331	5.9922
11.00669427	6.0466
10.98337447	6.1211
10.96015327	6.1692
10.93703005	6.2038
10.9140042	6.2082
10.89107509	6.1543
10.86824213	6.0425
10.8455047	5.9016
10.82286221	5.7576
10.80031407	5.5583
10.77785969	5.3472
10.75549848	5.1477
10.73322986	4.9692
10.71106474	4.8359
10.68897956	4.7541
10.66698525	4.7353
10.64508128	4.7742
10.62326708	4.8081
10.6015421	4.8127
10.5799058	4.7876
10.55835763	4.7475
10.53689705	4.7507
10.51552354	4.7898
10.49423657	4.8891
10.4730356	5.0227
10.45192012	5.1465
10.43088962	5.258
10.40994358	5.354
10.38908149	5.4206
10.36830285	5.458
10.34760717	5.4836
10.32699394	5.469
10.30646267	5.4231
10.28601287	5.3474
10.26564407	5.22
10.24535578	5.0095
10.22514752	4.813
10.20502924	4.7605
10.1849796	4.8003
10.16500858	4.8425
10.14511574	4.8552
10.12530059	4.7974
10.10556271	4.6619
10.08590162	4.519
10.0663169	4.4194
10.04680808	4.3564
10.02737473	4.3003
10.00801642	4.2722
9.98873271	4.251
9.969523168	4.2202
9.950387369	4.1872
9.931324888	4.1323
9.912335307	4.051
9.893427994	3.9773
9.874582922	3.9412
9.855809507	3.9536
9.83710734	4.0085
9.818476015	4.072
9.799915133	4.1157
9.781424293	4.1467
9.7630031	4.1865
9.744651161	4.2461
9.726368087	4.3503
9.70815349	4.5007
9.690006986	4.6933
9.671928196	4.8833
9.653916739	5.03
9.635972241	5.1172
9.618094328	5.1277
9.600282632	5.1128
9.582536785	5.1191
9.564856422	5.1689
9.547241181	5.2512
9.529690704	5.3428
9.512204634	5.3977
9.494782617	5.4057
9.477424301	5.405
9.460138288	5.4119
9.4429063	5.3982
9.425736975	5.3464
9.408629972	5.2505
9.391584952	5.0859
9.374601579	4.9287
9.35767952	4.9297
9.340818443	4.9995
9.324018018	5.1045
9.307277919	5.2134
9.290597822	5.3201
9.273977405	5.3996
9.257416348	5.4355
9.240914333	5.4336
9.224471046	5.437
9.208086173	5.4114
9.191759404	5.395
9.17549043	5.395
9.159278945	5.3757
9.143124645	5.3616
9.127027227	5.3506
9.110986392	5.3188
9.095001842	5.3003
9.079073281	5.2944
9.06320863	5.2724
9.04739114	5.2488
9.031628764	5.2327
9.015921215	5.2136
9.000268208	5.1804
8.984669459	5.1362
8.969124685	5.1079
8.953633608	5.0776
8.93819595	5.0041
8.922811435	4.9419
8.907479789	4.8948
8.89220074	4.8291
8.876974017	4.7859
8.861799353	4.7488
8.846676481	4.7104
8.831605135	4.6821
8.816585054	4.6538
8.801615977	4.5945
8.786697643	4.5044
8.771829795	4.4141
8.757012178	4.312
8.742244536	4.1914
8.727526619	4.0701
8.712858175	3.9604
8.69824652	3.853
8.683676252	3.748
8.669154714	3.6577
8.654681663	3.5652
8.640256858	3.4519
