Name: Aplite
Type: Rocks
Class: Igneous
Subclass: Felsic
Particle Size: 0-75 micrometers
Sample No.: Aplite.H1
Owner: JHU
Wavelength range: All
Origin: From Boulder County, Colorado via Ward's Scientific (Cat. No. W-
101)
Description: Powder derived from sample: fine-grained to medium-grained 
leucocratic rock composed of quartz, feldspar, micas and opaques.




Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.0112
Last X Value: 0.4000
Number of X Values: 2844
Additional information:	see file aplite1a.doc
8.8467	4.7878
8.8316	4.7388
8.8166	4.7460
8.8016	4.7878
8.7867	4.7798
8.7718	4.7550
8.7570	4.7644
8.7423	4.7587
8.7275	4.7363
8.7129	4.7330
8.6982	4.7067
8.6837	4.6036
8.6692	4.5211
8.6547	4.3948
8.6403	4.2094
8.6259	4.1316
8.6116	4.2778
8.5973	4.5375
8.5830	4.7774
8.5688	4.9327
8.5547	5.0597
8.5406	5.1804
8.5266	5.2392
8.5126	5.2704
8.4986	5.3273
8.4847	5.3747
8.4708	5.3920
8.4570	5.4108
8.4432	5.4278
8.4295	5.4384
8.4158	5.4295
8.4022	5.4501
8.3886	5.4876
8.3750	5.5378
8.3615	5.5467
8.3481	5.5668
8.3347	5.6205
8.3213	5.6826
8.3079	5.6916
8.2946	5.7223
8.2814	5.8045
8.2682	5.8964
8.2550	5.9761
8.2419	6.0218
8.2288	6.0663
8.2158	6.0813
8.2028	6.0539
8.1898	6.0234
8.1769	5.9463
8.1640	5.7904
8.1512	5.6316
8.1384	5.4270
8.1256	5.1886
8.1129	4.9034
8.1002	4.6378
8.0876	4.4091
8.0750	4.1491
8.0624	3.9145
8.0499	3.7254
8.0374	3.5109
8.0250	3.3543
8.0126	3.2149
8.0002	3.0516
7.9879	2.8865
7.9756	2.7199
7.9634	2.5533
7.9512	2.3850
7.9390	2.2376
7.9268	2.0935
7.9147	1.9483
7.9027	1.8211
7.8906	1.6985
7.8786	1.6031
7.8667	1.5161
7.8548	1.4353
7.8429	1.3641
7.8310	1.3045
7.8192	1.2618
7.8075	1.2225
7.7957	1.1730
7.7840	1.1306
7.7723	1.1283
7.7607	1.1297
7.7491	1.1025
7.7375	1.0769
7.7260	1.0500
7.7145	1.0186
7.7031	1.0106
7.6916	0.9888
7.6802	0.9919
7.6689	0.9804
7.6575	0.9426
7.6462	0.9239
7.6350	0.9351
7.6238	0.9478
