Name: Goethite a-Fe+3O(OH)
Type:  Mineral
Class:  Hydroxides
Subclass:  (Goethite Group)
Particle Size: Solid (unknown crystal face)
Sample No.:  goethite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Montreal, Wisconsin via the Smithsonian 
(sample no. NMNH 152500).  
Description: The sample consisted of a 4 cm x 2 cm x 2 cm cluster of 
light brown radiating acicular crystals weighing 10 g.  No impurities 
were observed in hand sample or under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  goethi1a.txt

25.04420302	32.9623
24.9237955	33.0082
24.80454022	32.9218
24.68642074	32.828
24.5694209	32.3351
24.45358465	31.3056
24.3387763	30.2392
24.22504094	29.4574
24.11236361	29.017
24.00072962	29.3664
23.89012454	29.8683
23.78053421	30.2968
23.67194472	30.8988
23.56434244	31.164
23.45771395	31.204
23.35204611	31.3539
23.24732598	31.4579
23.14354087	31.4137
23.04067832	31.2067
22.93872607	30.9477
22.83767211	30.4374
22.7375046	29.9899
22.63821194	29.8534
22.53978272	29.8017
22.44220571	30.142
22.3454699	30.7997
22.24956446	31.4355
22.15447875	32.1169
22.06020229	32.6498
21.96677306	33.0241
21.87408402	33.3988
21.7821739	33.7401
21.69103293	33.9501
21.60065148	34.0585
21.5110201	34.1542
21.42212949	34.2157
21.33397051	34.1991
21.24653416	34.0338
21.15981159	33.9364
21.0737941	33.81
20.98847313	33.558
20.90384024	33.2943
20.81988716	33.0551
20.73660571	32.7138
20.65398787	32.3388
20.57202575	32.0444
20.49071156	31.686
20.41003766	31.2189
20.3299965	30.7497
20.25058069	30.3315
20.1717829	29.8735
20.09359597	29.3635
20.01601281	28.7909
19.93906621	28.1642
19.8626695	27.5405
19.78685599	27.1332
19.71161901	26.9975
19.63695203	26.9643
19.56284859	26.8024
19.48930232	26.4296
19.41630698	25.9662
19.34385639	25.52
19.27194448	25.0641
19.20056526	24.7072
19.12971284	24.4723
19.05938141	24.2516
18.98956523	24.1032
18.92025868	24.0773
18.85145618	24.1442
18.78315226	24.1672
18.71534153	24.1833
18.64801865	24.3212
18.58117838	24.3942
18.51481556	24.3522
18.44892507	24.3813
18.38350191	24.3305
18.31854111	24.2326
18.25407111	24.0678
18.19002023	23.8849
18.12641726	23.7228
18.06325753	23.5165
18.00053642	23.3146
17.93824937	23.0751
17.8763919	22.7399
17.81495958	22.3525
17.75394803	21.9284
17.69335296	21.3906
17.63317011	20.7394
17.57339529	20.0173
17.51402436	19.2097
17.45505324	18.3532
17.39647791	17.4636
17.3382944	16.6337
17.28049878	15.8813
17.2230872	15.1408
17.16605584	14.5131
17.10940093	13.9863
17.05311876	13.4716
16.99720566	13.0171
16.94165801	12.6423
16.88647225	12.3542
16.83167317	12.1206
16.77720046	11.9306
16.72307919	11.7568
16.66930597	11.6015
16.61587747	11.4621
16.56279037	11.3877
16.51004141	11.3484
16.45762737	11.2863
16.40554507	11.2697
16.35379138	11.2834
16.30236319	11.3032
16.25125744	11.3017
16.20047111	11.3376
16.15000121	11.3994
16.0998448	11.4062
16.04999896	11.4121
16.00048641	11.4665
15.95125297	11.488
15.90232158	11.5317
15.85368947	11.5532
15.80535391	11.5398
15.75731218	11.5385
15.70956162	11.563
15.6620996	11.5693
15.61492349	11.55
15.56803074	11.5263
15.52141878	11.4421
15.47508511	11.2702
15.42902725	11.1035
15.38324273	10.9843
15.33772913	10.82
15.29248405	10.6384
15.24750513	10.4377
15.20279002	10.1894
15.1583364	9.9245
15.114142	9.6462
15.07020455	9.3335
15.02652181	9.01
14.98309158	8.6733
14.93991168	8.2788
14.89700213	7.8628
14.85431629	7.47
14.81187438	7.0559
14.76967431	6.633
14.72771402	6.2143
14.68599147	5.7949
14.64450465	5.4094
14.60325156	5.1059
14.56223023	4.9294
14.52143873	4.8276
14.48087511	4.7766
14.44053748	4.7766
14.40042395	4.7817
14.36053266	4.8508
14.32086177	4.9573
14.28140946	5.0474
14.24217393	5.1191
14.20315338	5.1855
14.16434607	5.2646
14.12575025	5.3511
14.0873642	5.4158
14.0491862	5.4983
14.01121458	5.5852
13.97344765	5.6409
13.93590321	5.7182
13.89854065	5.8056
