[6.724, 44.5] -> 2043.6
[6.726, 44.5] -> 1977.2
[6.728, 44.5] -> 1907.6
[6.73, 44.5] -> 1826
[6.732, 44.5] -> 1729
[6.734, 44.5] -> 1628
[6.736, 44.5] -> 1531.8
[6.738, 44.5] -> 1420.8
[6.74, 44.5] -> 1380
[6.742, 44.5] -> 1481.2
[6.744, 44.5] -> 1614.8
[6.746, 44.5] -> 1786.6
[6.748, 44.5] -> 1879.8
[6.75, 44.5] -> 1986
[6.752, 44.5] -> 2212.4
[6.754, 44.5] -> 2198
[6.756, 44.5] -> 2166.2
[6.758, 44.5] -> 2151
[6.76, 44.5] -> 2164
[6.762, 44.5] -> 2133
[6.764, 44.5] -> 2082.8
[6.766, 44.5] -> 2041.6
[6.768, 44.5] -> 2088.4
[6.77, 44.5] -> 2118
[6.772, 44.5] -> 2138.4
[6.774, 44.5] -> 2207.4
[6.776, 44.5] -> 2308.2
[6.778, 44.5] -> 2414
[6.78, 44.5] -> 2489
[6.782, 44.5] -> 2429
[6.784, 44.5] -> 2395
[6.786, 44.5] -> 2400.8
[6.788, 44.5] -> 2399.6
[6.79, 44.5] -> 2418
[6.792, 44.5] -> 2398.4
[6.794, 44.5] -> 2364.4
[6.796, 44.5] -> 2375.6
[6.798, 44.5] -> 2437.4
[6.8, 44.5] -> 2397
[6.802, 44.5] -> 2396.4
[6.804, 44.5] -> 2444
[6.806, 44.5] -> 2464.6
[6.808, 44.5] -> 2496.6
[6.81, 44.5] -> 2541
[6.812, 44.5] -> 2600.8
[6.814, 44.5] -> 2674.2
[6.816, 44.5] -> 2720
[6.818, 44.5] -> 2781.8
[6.82, 44.5] -> 2911
[6.822, 44.5] -> 2949.8
[6.824, 44.5] -> 2842
[6.826, 44.5] -> 2740.4
[6.828, 44.5] -> 2598
[6.83, 44.5] -> 2445
[6.832, 44.5] -> 2352.6
[6.834, 44.5] -> 2357.6
[6.836, 44.5] -> 2421
[6.838, 44.5] -> 2473.2
[6.84, 44.5] -> 2486
[6.842, 44.5] -> 2498.6
[6.844, 44.5] -> 2523.6
[6.846, 44.5] -> 2515.8
[6.848, 44.5] -> 2517
[6.85, 44.5] -> 2569
[6.852, 44.5] -> 2601.8
[6.854, 44.5] -> 2737.4
[6.856, 44.5] -> 2853.2
