Name:  Limestone CaCO3
Type:  Rock
Class: Sedimentary
Subclass: Limestone 
Particle Size:  Whole rock chips
Sample No.:  ro357
Owner:  Larry Rowan, USGS
Wavelength range:  VNIR SWIR IR
Origin:  Ronda, Spain

Description:  gray limestone with white calcite veins





Measurement:  Reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.4
Last X Value:  14.01309  
Number of X Values:  2826
Additional Information:  ls357a.txt

0.727	        .338000
0.728	        .342000
0.729	        .341000
0.73	        .339000
0.731	        .341000
0.732	        .342000
0.733	        .342000
0.734	        .341000
0.735	        .339000
0.736	        .341000
0.737	        .339000
0.738	        .343000
0.739	        .342000
0.74	        .339000
0.741	        .342000
0.742	        .339000
0.743	        .338000
0.744	        .338000
0.745	        .339000
0.746	        .341000
0.747	        .342000
0.748	        .342000
0.749	        .341000
0.75	        .341000
0.751	        .338000
0.752	        .338000
0.753	        .338000
0.754	        .339000
0.755	        .341000
0.756	        .338000
0.757	        .341000
0.758	        .341000
0.759	        .342000
0.76	        .339000
0.761	        .339000
0.762	        .342000
0.763	        .341000
0.764	        .341000
0.765	        .337000
0.766	        .337000
0.767	        .338000
0.768	        .339000
0.769	        .338000
0.77	        .338000
0.771	        .339000
0.772	        .341000
0.773	        .342000
0.774	        .338000
0.775	        .339000
0.776	        .339000
0.777	        .339000
0.778	        .338000
0.779	        .339000
0.78	        .342000
0.781	        .339000
0.782	        .338000
0.783	        .337000
0.784	        .337000
0.785	        .339000
0.786	        .342000
0.787	        .339000
0.788	        .338000
0.789	        .338000
0.79	        .341000
0.791	        .342000
0.792	        .341000
0.793	        .339000
0.794	        .336000
0.795	        .338000
0.796	        .339000
0.797	        .341000
0.798	        .339000
0.799	        .339000
0.8	        .343000
0.804	        .344000
0.808	        .346000
0.812	        .344000
0.816	        .342000
0.82	        .342000
0.824	        .343000
0.828	        .342000
0.832	        .342000
0.836	        .343000
0.84	        .338000
0.844	        .341000
0.848	        .341000
0.852	        .338000
0.856	        .341000
0.86	        .339000
0.864	        .339000
0.868	        .339000
0.872	        .341000
0.876	        .339000
0.88	        .338000
0.884	        .337000
0.888	        .338000
0.892	        .338000
0.896	        .339000
0.9	        .341000
0.904	        .338000
0.908	        .339000
0.912	        .338000
0.916	        .337000
0.92	        .336000
0.924	        .337000
0.928	        .336000
0.932	        .338000
0.936	        .338000
0.94	        .338000
0.944	        .336000
0.948	        .337000
0.952	        .338000
0.956	        .336000
0.96	        .335000
0.964	        .336000
0.968	        .336000
0.972	        .337000
0.976	        .337000
0.98	        .336000
0.984	        .335000
0.988	        .335000
0.992	        .335000
0.996	        .336000
1	        .337000
1.004	        .337000
1.008	        .336000
1.012	        .333000
1.016	        .335000
1.02	        .333000
1.024	        .333000
1.028	        .333000
1.032	        .333000
1.036	        .333000
1.04	        .333000
1.044	        .333000
1.048	        .333000
1.052	        .333000
1.056	        .336000
1.06	        .335000
1.064	        .335000
1.068	        .333000
1.072	        .333000
1.076	        .333000
1.08	        .333000
1.084	        .333000
1.088	        .331000
1.092	        .333000
1.096	        .331000
1.1	        .332000
1.104	        .331000
1.108	        .331000
1.112	        .332000
1.116	        .333000
1.12	        .331000
1.124	        .332000
1.128	        .332000
