Name:  Hematite a-Fe2O3
Type:  Mineral
Class:   Oxides
Subclass:   (Hematite Group)
Particle Size: Fine  (less than 2 micrometers)
Sample No.:  hematite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Frizington, Cumberland, England via the Smithsonian (sample 
no. NMNH B7373)
Description: The sample was a 2.5 cm x 2.5 cm x 1 cm sawn plate, 
deep red in color and weighing 15.3 g.  It appears clean with no 
impurities in hand sample or microscopically.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: hemati1a.txt

25.04420302	46.9764
24.9237955	49.7889
24.80454022	52.5936
24.68642074	54.5467
24.5694209	56.5643
24.45358465	58.1795
24.3387763	58.6034
24.22504094	58.492
24.11236361	58.5389
24.00072962	58.1092
23.89012454	56.7108
23.78053421	54.9569
23.67194472	53.6893
23.56434244	51.9139
23.45771395	49.5585
23.35204611	46.7811
23.24732598	43.7587
23.14354087	40.8202
23.04067832	37.497
22.93872607	34.2265
22.83767211	31.0634
22.7375046	27.9384
22.63821194	25.0312
22.53978272	22.5517
22.44220571	20.1035
22.3454699	17.9296
22.24956446	16.0605
22.15447875	14.4062
22.06020229	13.0859
21.96677306	12.0527
21.87408402	11.082
21.7821739	10.2949
21.69103293	9.7519
21.60065148	9.2627
21.5110201	8.8252
21.42212949	8.7822
21.33397051	8.8838
21.24653416	9.1338
21.15981159	9.6172
21.0737941	10.3681
20.98847313	11.2705
20.90384024	12.3779
20.81988716	14.0019
20.73660571	15.789
20.65398787	17.7568
20.57202575	20.2665
20.49071156	23.039
20.41003766	25.8036
20.3299965	28.6249
20.25058069	31.413
20.1717829	33.6298
20.09359597	35.3329
20.01601281	36.4442
19.93906621	36.8188
19.8626695	36.5609
19.78685599	35.6957
19.71161901	34.373
19.63695203	32.4569
19.56284859	30.0121
19.48930232	27.3202
19.41630698	24.3442
19.34385639	21.2812
19.27194448	18.5898
19.20056526	16.1508
19.12971284	13.9043
19.05938141	12.0644
18.98956523	10.5703
18.92025868	9.3594
18.85145618	8.3481
18.78315226	7.5962
18.71534153	7.0513
18.64801865	6.6763
18.58117838	6.3486
18.51481556	6.1118
18.44892507	5.9595
18.38350191	5.9346
18.31854111	5.9004
18.25407111	5.957
18.19002023	6.1514
18.12641726	6.3681
18.06325753	6.5376
18.00053642	6.7388
17.93824937	7.0508
17.8763919	7.3955
17.81495958	7.7744
17.75394803	8.1919
17.69335296	8.5942
17.63317011	9.1201
17.57339529	9.6582
17.51402436	10.1845
17.45505324	10.8027
17.39647791	11.4301
17.3382944	12.0332
17.28049878	12.666
17.2230872	13.2715
17.16605584	13.8838
17.10940093	14.5981
17.05311876	15.2539
16.99720566	15.8891
16.94165801	16.5336
16.88647225	17.1845
16.83167317	17.8085
16.77720046	18.5332
16.72307919	19.2387
16.66930597	19.8671
16.61587747	20.4711
16.56279037	21.082
16.51004141	21.6035
16.45762737	22.1318
16.40554507	22.6533
16.35379138	23.1
16.30236319	23.5244
16.25125744	23.8911
16.20047111	24.204
16.15000121	24.3847
16.0998448	24.5458
16.04999896	24.6679
16.00048641	24.7021
15.95125297	24.7128
15.90232158	24.8632
15.85368947	25.0893
15.80535391	25.2758
15.75731218	25.6747
15.70956162	26.2763
15.6620996	27.1796
15.61492349	28.4677
15.56803074	30.3222
15.52141878	32.5194
15.47508511	35.0907
15.42902725	38.0277
15.38324273	41.0517
15.33772913	44.0077
15.29248405	46.9042
15.24750513	49.6717
15.20279002	52.1229
15.1583364	54.3324
15.114142	56.3265
15.07020455	58.0721
15.02652181	59.6952
14.98309158	61.161
14.93991168	62.4173
14.89700213	63.4808
14.85431629	64.5648
14.81187438	65.4466
14.76967431	66.265
14.72771402	67.0955
14.68599147	67.7864
14.64450465	68.4241
14.60325156	69.055
14.56223023	69.6981
14.52143873	70.1468
14.48087511	70.678
14.44053748	71.2112
14.40042395	71.7039
14.36053266	72.0809
14.32086177	72.5862
14.28140946	73.0081
14.24217393	73.4827
14.20315338	74.012
14.16434607	74.5892
14.12575025	75.0906
14.0873642	75.5843
14.0491862	76.1302
14.01121458	76.6573
13.97344765	77.1397
13.93590321	77.6805
13.89854065	78.1844
13.8613779	78.6707
13.82441336	79.1023
13.78764544	79.678
13.75107258	80.1377
13.71469324	80.6485
13.67850587	81.0559
13.64250897	81.5457
13.60670103	81.9822
13.57108057	82.4803
13.53564612	82.8535
13.50039624	83.2469
13.46532947	83.6023
13.4304444	83.9707
13.39573962	84.2928
13.36121373	84.5564
13.32686536	84.8408
13.29269314	85.0789
13.25869572	85.2459
13.22487175	85.4707
13.19121992	85.7432
13.15773892	86.0208
13.12442745	86.1355
13.09130135	86.2625
13.05832501	86.4304
13.02551438	86.6951
12.99286821	86.6973
12.96038529	86.6875
12.92806437	86.7459
12.89590426	86.8711
12.86390376	86.8877
12.83206168	86.8191
12.80037684	86.8311
12.7688481	86.8406
12.73747429	86.8631
12.70625427	86.8162
12.67518693	86.9099
