Name:  Rutile TiO2
Type:  Mineral
Class:  Oxides
Subclass:  (Rutile Group)
Particle Size:  Coarse  (75 - 250  Micrometers)
Sample No.:  rutile.1
Owner:  JHU
Wavelength Range:  IR
Origin: White Plains, Alexander County, North Carolina vie the 
Smithsonian (sample no. NMNH 83192)
Description: The sample was composed of three small crystals with a 
total weight of 3.83 g.  Some reddish-brown clay mineral and 
muscovite coating one surface was scraped away.  Veining inside 
crystals showed limonitic staining.  The crushed sample was given an 
HCl and HF bath to remove stain, after which microscopic 
examination indicated a pure sample.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  rutile1a.txt

12.14087298	6.8017
12.1125058	6.5637
12.08427087	6.3384
12.05616727	6.1225
12.02819409	5.8867
12.00035041	5.6484
11.97263534	5.4109
11.945048	5.1636
11.9175875	4.9148
11.8902671	4.6772
11.86305761	4.457
11.83597236	4.2168
11.80901051	3.9717
11.78217122	3.7505
11.75545365	3.5161
11.72885698	3.3003
11.70238038	3.0945
11.67602305	2.8762
11.64978419	2.6672
11.62366299	2.4783
11.59765866	2.2812
11.57177043	2.0964
11.54599752	1.9443
11.52033916	1.7883
11.49479458	1.624
11.46936304	1.4968
11.44404378	1.3672
11.41883606	1.249
11.39373914	1.1489
11.3687523	1.0645
11.34387482	0.9766
11.31910597	0.8962
11.29444505	0.8381
11.26990406	0.7798
11.24545684	0.729
11.22111545	0.6843
11.19687921	0.6462
11.17274743	0.6374
11.14871946	0.6189
11.12479461	0.5862
11.10097222	0.5762
11.07725165	0.5784
11.05363222	0.5779
11.03011331	0.5957
11.00669427	0.6006
10.98337447	0.593
10.96015327	0.6074
10.93703005	0.6208
10.9140042	0.6384
10.89107509	0.6482
10.86824213	0.647
10.8455047	0.6594
10.82286221	0.6975
10.80031407	0.7253
10.77785969	0.7368
10.75549848	0.7478
10.73322986	0.7634
10.71106474	0.7903
10.68897956	0.811
10.66698525	0.8164
10.64508128	0.8428
10.62326708	0.875
10.6015421	0.8804
10.5799058	0.8982
10.55835763	0.9165
10.53689705	0.9277
10.51552354	0.9429
10.49423657	0.9614
10.4730356	0.9773
10.45192012	0.9985
10.43088962	1.0286
10.40994358	1.0513
10.38908149	1.0637
10.36830285	1.0725
10.34760717	1.093
10.32699394	1.1103
10.30646267	1.1189
10.28601287	1.1377
10.26564407	1.1538
10.24535578	1.1675
10.22514752	1.1914
10.20502924	1.2104
10.1849796	1.2187
10.16500858	1.231
10.14511574	1.2524
10.12530059	1.2786
10.10556271	1.291
10.08590162	1.2981
10.0663169	1.3135
10.04680808	1.3281
10.02737473	1.3481
10.00801642	1.3657
9.98873271	1.3796
9.969523168	1.3879
9.950387369	1.3987
9.931324888	1.416
9.912335307	1.4309
9.893427994	1.4524
9.874582922	1.4617
9.855809507	1.4683
9.83710734	1.4863
9.818476015	1.5027
9.799915133	1.5159
9.781424293	1.5327
9.7630031	1.5437
9.744651161	1.5552
9.726368087	1.5657
9.70815349	1.5803
9.690006986	1.5952
9.671928196	1.6099
9.653916739	1.6248
9.635972241	1.6284
9.618094328	1.6357
9.600282632	1.6536
9.582536785	1.6633
9.564856422	1.6611
9.547241181	1.6797
9.529690704	1.7085
9.512204634	1.7187
9.494782617	1.7134
9.477424301	1.7214
9.460138288	1.7258
9.4429063	1.7424
9.425736975	1.7593
9.408629972	1.7644
9.391584952	1.7817
9.374601579	1.7849
9.35767952	1.7844
9.340818443	1.8003
9.324018018	1.814
9.307277919	1.8196
9.290597822	1.834
9.273977405	1.855
9.257416348	1.8721
9.240914333	1.8735
9.224471046	1.8789
9.208086173	1.894
9.191759404	1.9065
9.17549043	1.9211
9.159278945	1.9307
9.143124645	1.9416
9.127027227	1.9524
9.110986392	1.958
9.095001842	1.9663
9.079073281	1.9727
9.06320863	1.9795
9.04739114	1.9978
9.031628764	2.0029
9.015921215	2.0071
9.000268208	2.0212
8.984669459	2.0352
8.969124685	2.0532
8.953633608	2.0571
8.93819595	2.0571
8.922811435	2.0591
8.907479789	2.0603
8.89220074	2.073
8.876974017	2.0884
8.861799353	2.0898
8.846676481	2.1089
8.831605135	2.1069
8.816585054	2.1099
8.801615977	2.1269
8.786697643	2.1257
8.771829795	2.1201
8.757012178	2.135
8.742244536	2.1448
8.727526619	2.1431
8.712858175	2.1589
8.69824652	2.1665
8.683676252	2.1728
8.669154714	2.176
8.654681663	2.178
8.640256858	2.1794
8.625880055	2.1936
8.611551018	2.2053
8.597269507	2.2053
8.583035287	2.2087
8.568848124	2.2136
8.554707784	2.2202
8.540614036	2.2258
8.52656665	2.227
8.512565398	2.2331
8.498610052	2.2402
8.484700388	2.2451
8.470836182	2.2571
8.45701721	2.2588
8.443243252	2.2578
8.429514089	2.2693
8.415829502	2.281
8.402189274	2.2856
8.388593191	2.2937
8.375041038	2.2998
8.361539594	2.3039
8.348074642	2.3103
8.334652987	2.3166
8.32127442	2.3323
8.307938734	2.3428
8.294645723	2.3477
8.281395183	2.3501
8.268186911	2.3503
8.255020704	2.3594
8.241896361	2.3672
8.228813685	2.3708
8.215772476	2.3755
8.202772537	2.385
8.189813674	2.3972
8.176895691	2.4028
8.164018395	2.4126
8.151188239	2.4158
8.138391724	2.4194
8.125635323	2.4255
8.11291885	2.4353
8.100242116	2.4394
8.087604937	2.4521
8.075007126	2.468
8.062448501	2.4678
8.049928879	2.4656
8.037448078	2.4739
8.025005918	2.4871
8.012602221	2.4922
8.000236807	2.4978
7.9879095	2.5149
7.975620124	2.5312
7.963368505	2.5388
7.951154468	2.5478
7.938977841	2.5571
7.926838452	2.5649
7.914736131	2.5815
7.902670708	2.5957
7.890642014	2.6047
7.878649883	2.6184
7.866694148	2.6379
7.854780812	2.6516
7.842897355	2.6641
7.831049799	2.6836
7.819237984	2.7004
7.807461747	2.7161
7.795720929	2.7378
7.784015369	2.7583
7.772344909	2.7783
7.760709391	2.8022
7.749108659	2.8213
7.737542556	2.8342
7.726010929	2.8581
7.714513623	2.8821
7.703050485	2.9021
7.691621363	2.927
7.680226106	2.9517
7.668864563	2.9768
7.657536586	2.9961
7.646242025	3.0163
7.634980733	3.0425
7.623752563	3.0674
7.61255737	3.0915
7.601395008	3.1204
7.590265333	3.1499
7.579173946	3.1763
7.568109199	3.1975
7.557076711	3.2202
7.546076342	3.2361
7.535107952	3.2563
7.524171401	3.2915
7.51326655	3.3149
7.502393263	3.3313
