Name:  Pale brown silty loam
Type:  Soils
Class:  Alfisol
Subclass:  Fragiboralf
Particle Size:  see additional information
Sample No.:  86P1994  
Owner:  JHU
Wavelength range:  All
Origin:  Bonner Co., Id. via USDA Soil Conservation service.

Description:  Pale brown silty loam (medial, typic).





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P1994a.txt

5.8314	6.0603
5.8249	6.1750
5.8184	6.3183
5.8118	6.5347
5.8053	6.7204
5.7988	6.8982
5.7923	7.0701
5.7859	7.1889
5.7794	7.3181
5.7730	7.4402
5.7666	7.5002
5.7602	7.6907
5.7538	7.8833
5.7474	7.9983
5.7410	8.1308
5.7347	8.2544
5.7283	8.3952
5.7220	8.5334
5.7157	8.6264
5.7094	8.7300
5.7031	8.8860
5.6969	9.0132
5.6906	9.0991
5.6844	9.1645
5.6782	9.1977
5.6719	9.2534
5.6657	9.3069
5.6596	9.3032
5.6534	9.2510
5.6472	9.1926
5.6411	9.1535
5.6349	9.1960
5.6288	9.2265
5.6227	9.2265
5.6166	9.2407
5.6106	9.2624
5.6045	9.2600
5.5984	9.2798
5.5924	9.3423
5.5864	9.3928
5.5804	9.3781
5.5744	9.4355
5.5684	9.5622
5.5624	9.6579
5.5564	9.7344
5.5505	9.8196
5.5445	9.9345
5.5386	10.0591
5.5327	10.1701
5.5268	10.2898
5.5209	10.4177
5.5151	10.5576
5.5092	10.6921
5.5033	10.8091
5.4975	10.9223
5.4917	11.0219
5.4859	11.0844
5.4801	11.1743
5.4743	11.3059
5.4685	11.3642
5.4628	11.4123
5.4570	11.5285
5.4513	11.5800
5.4455	11.5976
5.4398	11.5918
5.4341	11.5796
5.4284	11.5207
5.4228	11.3816
5.4171	11.2861
5.4114	11.2068
5.4058	11.0681
5.4002	10.8703
5.3945	10.6318
5.3889	10.4023
5.3833	10.1870
5.3778	9.9829
5.3722	9.8183
5.3666	9.7199
5.3611	9.6203
5.3555	9.5256
5.3500	9.4729
5.3445	9.5075
5.3390	9.5796
5.3335	9.6435
5.3280	9.6838
5.3225	9.7614
5.3171	9.8323
5.3116	9.9038
5.3062	9.9887
5.3008	10.0996
5.2954	10.2163
5.2900	10.3462
5.2846	10.4848
5.2792	10.6469
5.2738	10.8347
5.2684	11.0283
5.2631	11.2409
5.2578	11.4743
5.2524	11.7002
5.2471	11.9167
5.2418	12.1528
5.2365	12.4204
5.2312	12.6855
5.2260	12.9182
5.2207	13.1303
5.2154	13.3054
5.2102	13.4709
5.2050	13.6120
5.1998	13.6784
5.1945	13.7507
5.1893	13.8149
5.1842	13.8474
5.1790	13.8701
5.1738	13.9082
5.1686	13.9343
5.1635	13.9426
5.1584	13.9729
5.1532	13.9819
5.1481	13.9895
5.1430	14.0166
5.1379	14.0498
5.1328	14.0630
5.1277	14.0703
5.1227	14.0981
5.1176	14.1289
5.1126	14.1618
5.1075	14.1911
5.1025	14.2031
5.0975	14.1955
5.0925	14.1667
5.0875	14.1284
5.0825	14.0725
5.0775	14.0368
5.0726	14.0244
5.0676	13.9987
5.0627	13.9875
5.0577	13.9860
5.0528	13.9900
5.0479	14.0266
5.0430	14.0605
5.0380	14.0522
5.0332	14.0537
5.0283	14.0827
5.0234	14.1169
5.0185	14.1274
5.0137	14.1379
5.0088	14.1701
5.0040	14.2295
4.9992	14.2802
4.9944	14.3615
4.9896	14.4572
4.9848	14.5710
4.9800	14.7238
4.9752	14.9069
4.9704	15.1145
4.9657	15.3073
4.9609	15.4880
4.9562	15.6792
4.9514	15.8264
4.9467	15.9289
4.9420	16.0068
4.9373	16.0876
4.9326	16.1760
4.9279	16.2631
4.9232	16.4113
4.9186	16.5759
4.9139	16.7373
4.9092	16.9314
4.9046	17.1408
4.9000	17.3266
4.8953	17.5263
4.8907	17.7270
4.8861	17.8964
4.8815	18.0368
4.8769	18.1704
4.8723	18.2985
4.8678	18.4055
4.8632	18.5034
4.8586	18.5737
4.8541	18.6516
4.8495	18.7263
4.8450	18.7751
4.8405	18.8247
4.8360	18.8930
4.8315	18.9548
4.8270	19.0029
4.8225	19.0429
4.8180	19.0913
4.8135	19.1435
4.8090	19.1833
4.8046	19.2028
4.8001	19.2277
4.7957	19.2556
4.7913	19.2888
4.7868	19.3083
4.7824	19.3254
4.7780	19.3442
4.7736	19.3669
4.7692	19.4228
4.7648	19.4677
4.7605	19.4772
4.7561	19.5178
4.7517	19.5666
4.7474	19.5817
4.7431	19.6257
4.7387	19.6684
4.7344	19.6684
4.7301	19.6894
4.7258	19.7287
4.7215	19.7536
4.7172	19.7543
4.7129	19.7683
4.7086	19.7995
4.7043	19.8142
4.7000	19.8100
4.6958	19.8149
4.6915	19.8093
4.6873	19.8259
4.6831	19.8496
4.6788	19.8735
4.6746	19.9069
4.6704	19.9357
4.6662	19.9953
4.6620	20.0566
4.6578	20.0974
4.6536	20.1249
4.6495	20.1694
4.6453	20.2290
4.6411	20.2712
4.6370	20.3068
4.6328	20.3740
4.6287	20.4118
4.6246	20.4448
4.6205	20.4753
4.6163	20.5183
