Name:  Pale brown dry silty clay loam
Type:  Soils
Class:  Inceptisol
Subclass:  Ustocrept
Particle Size:  see additional information
Sample No.:  82P2671
Owner:  JHU
Wavelength range:  All
Origin:  Diar Alla Experiment Station.  Jordon, via USDA Soil Conservation 
service
Description:  Parent material is irrigated cropland.  Pale brown dry silty clay loam 
(fine, illitic calcareous hyperthermic fluventic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2671a.txt

7.7723	6.522
7.7607	6.547
7.7491	6.57
7.7375	6.586
7.726	6.593
7.7145	6.59
7.7031	6.575
7.6916	6.552
7.6802	6.519
7.6689	6.479
7.6575	6.433
7.6462	6.381
7.635	6.326
7.6238	6.271
7.6126	6.22
7.6014	6.176
7.5903	6.142
7.5792	6.115
7.5681	6.095
7.5571	6.077
7.5461	6.06
7.5351	6.041
7.5242	6.019
7.5133	5.995
7.5024	5.967
7.4916	5.935
7.4807	5.898
7.47	5.856
7.4592	5.809
7.4485	5.758
7.4378	5.704
7.4272	5.646
7.4165	5.584
7.4059	5.514
7.3954	5.433
7.3848	5.337
7.3743	5.224
7.3639	5.095
7.3534	4.951
7.343	4.797
7.3326	4.637
7.3222	4.477
7.3119	4.322
7.3016	4.175
7.2914	4.04
7.2811	3.915
7.2709	3.7993
7.2607	3.6885
7.2506	3.5798
7.2404	3.4719
7.2303	3.3657
7.2203	3.2637
7.2102	3.1684
7.2002	3.0825
7.1902	3.0083
7.1803	2.9482
7.1703	2.9058
7.1604	2.8862
7.1506	2.894
7.1407	2.9282
7.1309	2.9824
7.1211	3.0452
7.1113	3.1011
7.1016	3.1367
7.0919	3.144
7.0822	3.1238
7.0725	3.0835
7.0629	3.0347
7.0533	2.9888
7.0437	2.9517
7.0341	2.9248
7.0246	2.9028
7.0151	2.8784
7.0056	2.8452
6.9962	2.8
6.9867	2.7458
6.9773	2.6887
6.9679	2.6372
6.9586	2.6001
6.9493	2.5815
6.94	2.5801
6.9307	2.5906
6.9214	2.6035
6.9122	2.6086
6.903	2.6003
6.8938	2.5781
6.8847	2.5478
6.8755	2.5193
6.8664	2.5017
6.8573	2.5007
6.8483	2.5146
6.8393	2.5349
6.8302	2.5508
6.8213	2.5554
6.8123	2.5478
6.8034	2.5334
6.7944	2.5225
6.7855	2.5254
6.7767	2.5476
6.7678	2.5862
6.759	2.633
6.7502	2.6772
6.7414	2.709
6.7327	2.7246
6.7239	2.727
6.7152	2.7239
6.7065	2.7251
6.6979	2.7363
6.6892	2.7571
6.6806	2.7834
6.672	2.8103
6.6634	2.835
6.6549	2.8618
6.6464	2.8975
6.6378	2.9495
6.6294	3.0181
6.6209	3.0967
6.6124	3.1736
6.604	3.2402
6.5956	3.2932
6.5872	3.3401
6.5789	3.3938
6.5705	3.4663
6.5622	3.5613
6.5539	3.6697
6.5456	3.7729
6.5374	3.848
6.5292	3.879
6.5209	3.865
6.5128	3.823
6.5046	3.7837
6.4964	3.781
6.4883	3.84
6.4802	3.963
6.4721	4.129
6.464	4.298
6.456	4.427
6.448	4.485
6.4399	4.466
6.432	4.39
6.424	4.29
6.416	4.198
6.4081	4.134
6.4002	4.095
6.3923	4.062
6.3844	4.011
6.3766	3.927
6.3687	3.809
6.3609	3.6667
6.3531	3.5183
6.3454	3.3791
6.3376	3.2561
6.3299	3.1477
6.3221	3.0488
6.3144	2.9543
6.3068	2.8625
6.2991	2.7749
6.2914	2.6926
6.2838	2.6184
6.2762	2.5508
6.2686	2.4878
6.2611	2.4243
6.2535	2.3579
6.246	2.2873
6.2385	2.2134
6.231	2.1367
6.2235	2.0588
6.216	1.9824
6.2086	1.908
6.2011	1.8364
6.1937	1.7688
6.1863	1.7082
6.179	1.6567
6.1716	1.6147
6.1643	1.5813
6.157	1.553
6.1496	1.5247
6.1424	1.4932
6.1351	1.458
6.1278	1.4228
6.1206	1.3933
6.1134	1.3733
6.1062	1.3638
6.099	1.3628
6.0918	1.3635
6.0847	1.3608
6.0776	1.3538
6.0704	1.3464
6.0633	1.3455
6.0563	1.3567
6.0492	1.3835
6.0421	1.4231
6.0351	1.4668
6.0281	1.5054
6.0211	1.5325
6.0141	1.5474
6.0071	1.554
6.0002	1.5588
5.9932	1.5691
5.9863	1.5884
5.9794	1.614
5.9725	1.6406
5.9657	1.665
5.9588	1.6875
5.952	1.7124
5.9451	1.7473
5.9383	1.7978
5.9315	1.8645
5.9247	1.939
5.918	2.0098
5.9112	2.0676
5.9045	2.1096
5.8978	2.1438
5.8911	2.1846
5.8844	2.2461
5.8777	2.3367
5.8711	2.4524
5.8644	2.5791
5.8578	2.6985
5.8512	2.7964
5.8446	2.8691
5.838	2.9253
5.8314	2.9797
5.8249	3.0483
5.8184	3.1387
5.8118	3.2473
5.8053	3.3594
5.7988	3.4556
5.7923	3.5237
5.7859	3.5605
5.7794	3.5749
5.773	3.5837
5.7666	3.6052
5.7602	3.6511
5.7538	3.7219
5.7474	3.81
5.741	3.903
5.7347	3.991
5.7283	4.067
5.722	4.133
5.7157	4.193
5.7094	4.253
5.7031	4.316
5.6969	4.381
5.6906	4.443
5.6844	4.494
5.6782	4.526
5.6719	4.537
5.6657	4.526
5.6596	4.498
5.6534	4.464
5.6472	4.43
5.6411	4.404
5.6349	4.381
5.6288	4.351
5.6227	4.298
5.6166	4.203
5.6106	4.051
5.6045	3.839
5.5984	3.5759
5.5924	3.2842
5.5864	2.9951
5.5804	2.7441
5.5744	2.5652
5.5684	2.4849
5.5624	2.5166
5.5564	2.6597
5.5505	2.8984
5.5445	3.2053
5.5386	3.5444
5.5327	3.881
5.5268	4.188
5.5209	4.449
5.5151	4.658
5.5092	4.822
5.5033	4.953
5.4975	5.061
5.4917	5.16
5.4859	5.258
5.4801	5.366
5.4743	5.486
5.4685	5.619
5.4628	5.759
5.457	5.894
5.4513	6.01
5.4455	6.095
5.4398	6.148
5.4341	6.173
5.4284	6.179
5.4228	6.178
5.4171	6.177
5.4114	6.174
5.4058	6.164
5.4002	6.139
5.3945	6.095
5.3889	6.031
5.3833	5.953
5.3778	5.867
5.3722	5.785
5.3666	5.716
5.3611	5.667
5.3555	5.645
5.35	5.652
5.3445	5.687
5.339	5.743
5.3335	5.809
5.328	5.876
5.3225	5.939
5.3171	5.993
5.3116	6.042
5.3062	6.09
5.3008	6.143
5.2954	6.206
5.29	6.283
5.2846	6.374
5.2792	6.478
5.2738	6.593
5.2684	6.716
5.2631	6.846
5.2578	6.981
5.2524	7.123
5.2471	7.27
5.2418	7.419
5.2365	7.566
5.2312	7.704
5.226	7.831
5.2207	7.943
5.2154	8.043
5.2102	8.135
5.205	8.222
5.1998	8.304
5.1945	8.382
5.1893	8.452
5.1842	8.509
5.179	8.551
5.1738	8.576
5.1686	8.588
5.1635	8.592
5.1584	8.595
5.1532	8.605
5.1481	8.625
5.143	8.658
5.1379	8.698
5.1328	8.738
5.1277	8.772
5.1227	8.794
5.1176	8.805
5.1126	8.807
5.1075	8.804
5.1025	8.802
5.0975	8.805
5.0925	8.813
5.0875	8.825
5.0825	8.84
5.0775	8.858
5.0726	8.877
5.0676	8.899
5.0627	8.925
5.0577	8.953
5.0528	8.982
5.0479	9.008
5.043	9.028
5.038	9.04
5.0332	9.046
5.0283	9.05
5.0234	9.058
5.0185	9.075
5.0137	9.103
5.0088	9.143
5.004	9.193
4.9992	9.252
4.9944	9.321
4.9896	9.4
4.9848	9.492
4.98	9.598
4.9752	9.717
4.9704	9.845
4.9657	9.98
4.9609	10.112
4.9562	10.237
4.9514	10.349
4.9467	10.446
4.942	10.532
4.9373	10.61
4.9326	10.688
4.9279	10.774
4.9232	10.877
4.9186	11
4.9139	11.145
4.9092	11.31
4.9046	11.49
4.9	11.682
4.8953	11.876
4.8907	12.067
4.8861	12.246
4.8815	12.408
4.8769	12.549
4.8723	12.667
4.8678	12.765
4.8632	12.848
4.8586	12.922
4.8541	12.991
4.8495	13.058
4.845	13.124
4.8405	13.188
4.836	13.249
4.8315	13.305
4.827	13.356
4.8225	13.402
4.818	13.443
4.8135	13.482
4.809	13.52
4.8046	13.56
4.8001	13.603
4.7957	13.647
4.7913	13.691
4.7868	13.733
4.7824	13.77
4.778	13.8
4.7736	13.824
4.7692	13.843
4.7648	13.857
4.7605	13.869
4.7561	13.88
4.7517	13.89
4.7474	13.9
4.7431	13.907
4.7387	13.91
4.7344	13.905
4.7301	13.889
4.7258	13.859
4.7215	13.811
4.7172	13.745
4.7129	13.66
4.7086	13.561
4.7043	13.456
