Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

10.3065	3.2693
10.2860	3.2698
10.2656	3.3147
10.2454	3.2891
10.2251	3.2410
10.2050	3.2961
10.1850	3.3115
10.1650	3.3098
10.1451	3.3391
10.1253	3.3359
10.1056	3.3347
10.0859	3.3696
10.0663	3.4187
10.0468	3.4585
10.0274	3.4829
10.0080	3.5278
9.9887	3.5342
9.9695	3.5664
9.9504	3.6116
9.9313	3.6765
9.9123	3.7007
9.8934	3.7595
9.8746	3.7290
9.8558	3.7175
9.8371	3.7444
9.8185	3.7888
9.7999	3.7900
9.7814	3.8474
9.7630	3.8901
9.7447	3.9748
9.7264	4.0444
9.7082	4.0947
9.6900	4.1714
9.6719	4.2688
9.6539	4.3479
9.6360	4.4236
9.6181	4.4961
9.6003	4.5659
9.5825	4.5974
9.5649	4.6328
9.5472	4.6680
9.5297	4.7888
9.5122	4.8931
9.4948	5.0178
9.4774	5.1504
9.4601	5.3017
9.4429	5.5098
9.4257	5.7778
9.4086	6.0430
9.3916	6.3972
9.3746	6.7373
9.3577	7.0808
9.3408	7.3957
9.3240	7.6374
9.3073	7.8564
9.2906	7.9973
9.2740	8.0229
9.2574	8.0329
9.2409	8.0332
9.2245	8.0359
9.2081	7.9402
9.1918	7.8857
9.1755	7.8908
9.1593	7.8442
9.1431	7.7834
9.1270	7.7463
9.1110	7.7109
9.0950	7.6372
9.0791	7.5605
9.0632	7.5220
9.0474	7.4324
9.0316	7.3696
9.0159	7.3174
9.0003	7.2646
8.9847	7.2439
8.9691	7.2156
8.9536	7.1682
8.9382	7.1719
8.9228	7.1885
8.9075	7.1924
