Name:  Light yellowish brown interior dry gravelly loam
Type:  Soils
Class:  Aridisol
Subclass:  Calciorthid
Particle Size:  see additional information
Sample No.:  79P1536
Owner:  JHU
Wavelength range:  All
Origin:  8 km north of Deir El zor, Syria via USDA Soil Conservation 
service.
Description:  The parent material is alluvium from mixed material; alluvial fine 
material overlayed on gypsum sandy loam, uncultivated from terracettes in lake 
plains.  Light yellowish brown interior dry gravelly loam.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  79P1536a.txt
	
6.9307	2.7864
6.9214	2.7759
6.9122	2.7563
6.9030	2.7258
6.8938	2.6872
6.8847	2.6472
6.8755	2.6143
6.8664	2.5957
6.8573	2.5950
6.8483	2.6106
6.8393	2.6367
6.8302	2.6655
6.8213	2.6892
6.8123	2.7041
6.8034	2.7109
6.7944	2.7131
6.7855	2.7151
6.7767	2.7205
6.7678	2.7297
6.7590	2.7419
6.7502	2.7544
6.7414	2.7651
6.7327	2.7751
6.7239	2.7854
6.7152	2.7991
6.7065	2.8174
6.6979	2.8398
6.6892	2.8635
6.6806	2.8857
6.6720	2.9043
6.6634	2.9194
6.6549	2.9353
6.6464	2.9558
6.6378	2.9863
6.6294	3.0283
6.6209	3.0818
6.6124	3.1433
6.6040	3.2095
6.5956	3.2793
6.5872	3.3542
6.5789	3.4382
6.5705	3.5342
6.5622	3.6426
6.5539	3.7588
6.5456	3.8738
6.5374	3.9768
6.5292	4.0615
6.5209	4.1287
6.5128	4.1880
6.5046	4.2561
6.4964	4.3496
6.4883	4.4795
6.4802	4.6426
6.4721	4.8225
6.4640	4.9919
6.4560	5.1225
6.4480	5.1938
6.4399	5.2007
6.4320	5.1533
6.4240	5.0735
6.4160	4.9849
6.4081	4.9040
6.4002	4.8367
6.3923	4.7778
6.3844	4.7156
6.3766	4.6394
6.3687	4.5439
6.3609	4.4314
6.3531	4.3093
6.3454	4.1865
6.3376	4.0688
6.3299	3.9597
6.3221	3.8584
6.3144	3.7629
6.3068	3.6719
6.2991	3.5854
6.2914	3.5041
6.2838	3.4282
6.2762	3.3572
6.2686	3.2881
6.2611	3.2175
6.2535	3.1423
6.2460	3.0605
6.2385	2.9709
6.2310	2.8747
6.2235	2.7729
6.2160	2.6672
6.2086	2.5601
6.2011	2.4548
6.1937	2.3545
6.1863	2.2622
6.1790	2.1804
6.1716	2.1101
6.1643	2.0510
6.1570	2.0010
6.1496	1.9582
6.1424	1.9214
6.1351	1.8892
6.1278	1.8618
6.1206	1.8394
6.1134	1.8213
6.1062	1.8061
6.0990	1.7915
6.0918	1.7744
6.0847	1.7549
6.0776	1.7341
6.0704	1.7153
6.0633	1.7041
6.0563	1.7048
6.0492	1.7205
6.0421	1.7500
6.0351	1.7913
6.0281	1.8394
6.0211	1.8892
6.0141	1.9370
6.0071	1.9805
6.0002	2.0193
5.9932	2.0530
5.9863	2.0825
5.9794	2.1094
5.9725	2.1360
5.9657	2.1675
5.9588	2.2107
5.9520	2.2725
5.9451	2.3584
5.9383	2.4697
5.9315	2.6020
5.9247	2.7471
5.9180	2.8940
5.9112	3.0356
5.9045	3.1697
5.8978	3.3010
