Name:  Light yellowish brown loamy sand
Type:  Soils
Class:  Aridisol
Subclass:  Camborthid
Particle Size:  see additional information
Sample No.:  89P1772
Owner:  JHU
Wavelength range:  All
Origin:  Kern Co., Ca., China Lake. via USDA Soil Conservation service.

Description:  The parent material is alluvium material over eolian.  Light 
yellowish brown loamy sand, (sandy, mixed, thermic typic camborthid).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1772a.txt

6.9030	2.7160
6.8938	2.7106
6.8847	2.7009
6.8755	2.6938
6.8664	2.6950
6.8573	2.7085
6.8483	2.7324
6.8393	2.7615
6.8302	2.7885
6.8213	2.8093
6.8123	2.8236
6.8034	2.8349
6.7944	2.8501
6.7855	2.8752
6.7767	2.9121
6.7678	2.9574
6.7590	3.0035
6.7502	3.0426
6.7414	3.0691
6.7327	3.0817
6.7239	3.0841
6.7152	3.0826
6.7065	3.0843
6.6979	3.0923
6.6892	3.1044
6.6806	3.1153
6.6720	3.1196
6.6634	3.1151
6.6549	3.1047
6.6464	3.0966
6.6378	3.0999
6.6294	3.1189
6.6209	3.1494
6.6124	3.1816
6.6040	3.2051
6.5956	3.2136
6.5872	3.2089
6.5789	3.2008
6.5705	3.2017
6.5622	3.2195
6.5539	3.2534
6.5456	3.2941
6.5374	3.3282
6.5292	3.3448
6.5209	3.3405
6.5128	3.3237
6.5046	3.3093
6.4964	3.3138
6.4883	3.3481
6.4802	3.4109
6.4721	3.4876
6.4640	3.5565
6.4560	3.5958
6.4480	3.5946
6.4399	3.5570
6.4320	3.5008
6.4240	3.4499
6.4160	3.4241
6.4081	3.4310
6.4002	3.4632
6.3923	3.5027
6.3844	3.5302
6.3766	3.5342
6.3687	3.5151
6.3609	3.4819
6.3531	3.4483
6.3454	3.4253
6.3376	3.4158
6.3299	3.4149
6.3221	3.4139
6.3144	3.4054
6.3068	3.3855
6.2991	3.3545
6.2914	3.3157
6.2838	3.2730
6.2762	3.2292
6.2686	3.1859
6.2611	3.1442
6.2535	3.1044
6.2460	3.0670
6.2385	3.0298
6.2310	2.9905
6.2235	2.9453
6.2160	2.8927
6.2086	2.8333
6.2011	2.7710
6.1937	2.7120
6.1863	2.6623
6.1790	2.6251
6.1716	2.6002
6.1643	2.5827
6.1570	2.5661
6.1496	2.5451
6.1424	2.5166
6.1351	2.4823
6.1278	2.4484
6.1206	2.4222
6.1134	2.4084
6.1062	2.4079
6.0990	2.4165
6.0918	2.4262
6.0847	2.4288
6.0776	2.4222
6.0704	2.4101
6.0633	2.4020
6.0563	2.4077
6.0492	2.4347
6.0421	2.4840
6.0351	2.5481
6.0281	2.6154
6.0211	2.6748
6.0141	2.7208
6.0071	2.7535
6.0002	2.7788
5.9932	2.8046
5.9863	2.8368
5.9794	2.8757
5.9725	2.9166
5.9657	2.9552
5.9588	2.9907
5.9520	3.0270
5.9451	3.0710
5.9383	3.1302
5.9315	3.2051
5.9247	3.2889
5.9180	3.3680
5.9112	3.4317
5.9045	3.4772
5.8978	3.5108
5.8911	3.5484
5.8844	3.6058
5.8777	3.6924
5.8711	3.8056
5.8644	3.9309
5.8578	4.0486
5.8512	4.1429
5.8446	4.2080
5.8380	4.2504
5.8314	4.2852
5.8249	4.3292
5.8184	4.3925
5.8118	4.4730
5.8053	4.5578
5.7988	4.6297
5.7923	4.6769
5.7859	4.6970
5.7794	4.6989
5.7730	4.6982
5.7666	4.7110
5.7602	4.7453
5.7538	4.7988
5.7474	4.8616
5.7410	4.9229
5.7347	4.9746
5.7283	5.0136
5.7220	5.0435
5.7157	5.0702
5.7094	5.0979
5.7031	5.1278
5.6969	5.1567
5.6906	5.1801
5.6844	5.1924
5.6782	5.1898
5.6719	5.1713
5.6657	5.1396
5.6596	5.1005
5.6534	5.0619
5.6472	5.0321
5.6411	5.0179
5.6349	5.0217
5.6288	5.0406
5.6227	5.0681
5.6166	5.0953
5.6106	5.1140
5.6045	5.1197
5.5984	5.1131
5.5924	5.0996
5.5864	5.0880
5.5804	5.0868
5.5744	5.1031
5.5684	5.1391
5.5624	5.1927
5.5564	5.2583
5.5505	5.3303
5.5445	5.4041
5.5386	5.4778
5.5327	5.5512
5.5268	5.6260
5.5209	5.7035
5.5151	5.7821
5.5092	5.8593
5.5033	5.9308
5.4975	5.9929
5.4917	6.0442
5.4859	6.0876
5.4801	6.1290
5.4743	6.1752
5.4685	6.2311
5.4628	6.2967
5.4570	6.3663
5.4513	6.4295
5.4455	6.4764
5.4398	6.5025
5.4341	6.5091
5.4284	6.5030
5.4228	6.4937
5.4171	6.4899
5.4114	6.4949
5.4058	6.5058
5.4002	6.5181
5.3945	6.5269
5.3889	6.5283
5.3833	6.5207
5.3778	6.5058
5.3722	6.4880
5.3666	6.4734
5.3611	6.4674
5.3555	6.4764
5.3500	6.5041
5.3445	6.5496
5.3390	6.6074
5.3335	6.6694
5.3280	6.7279
5.3225	6.7767
5.3171	6.8141
5.3116	6.8435
5.3062	6.8707
5.3008	6.9022
5.2954	6.9430
5.2900	6.9948
5.2846	7.0573
5.2792	7.1279
5.2738	7.2035
5.2684	7.2818
5.2631	7.3628
5.2578	7.4471
5.2524	7.5362
5.2471	7.6300
5.2418	7.7275
5.2365	7.8270
5.2312	7.9267
5.2260	8.0255
5.2207	8.1233
5.2154	8.2213
5.2102	8.3203
5.2050	8.4195
5.1998	8.5164
5.1945	8.6083
5.1893	8.6919
5.1842	8.7648
5.1790	8.8268
5.1738	8.8787
5.1686	8.9237
5.1635	8.9651
5.1584	9.0080
5.1532	9.0558
5.1481	9.1124
5.1430	9.1780
5.1379	9.2519
5.1328	9.3308
5.1277	9.4106
5.1227	9.4880
5.1176	9.5610
5.1126	9.6282
5.1075	9.6900
5.1025	9.7464
5.0975	9.7983
5.0925	9.8461
5.0875	9.8918
5.0825	9.9368
5.0775	9.9832
5.0726	10.0322
5.0676	10.0836
5.0627	10.1362
5.0577	10.1883
5.0528	10.2385
5.0479	10.2856
5.0430	10.3292
5.0380	10.3711
5.0332	10.4130
5.0283	10.4578
5.0234	10.5075
5.0185	10.5634
5.0137	10.6255
5.0088	10.6913
5.0040	10.7590
4.9992	10.8282
4.9944	10.8994
4.9896	10.9755
4.9848	11.0598
4.9800	11.1547
4.9752	11.2620
4.9704	11.3792
4.9657	11.5029
4.9609	11.6279
4.9562	11.7487
4.9514	11.8607
4.9467	11.9616
4.9420	12.0511
4.9373	12.1323
4.9326	12.2112
4.9279	12.2952
4.9232	12.3926
4.9186	12.5096
4.9139	12.6502
4.9092	12.8153
4.9046	13.0017
4.9000	13.2044
4.8953	13.4168
4.8907	13.6316
4.8861	13.8428
4.8815	14.0458
4.8769	14.2376
4.8723	14.4171
4.8678	14.5838
4.8632	14.7382
4.8586	14.8813
4.8541	15.0136
4.8495	15.1370
4.8450	15.2531
4.8405	15.3637
4.8360	15.4695
4.8315	15.5706
4.8270	15.6663
4.8225	15.7556
4.8180	15.8382
4.8135	15.9143
4.8090	15.9851
4.8046	16.0518
4.8001	16.1153
4.7957	16.1764
4.7913	16.2363
4.7868	16.2970
4.7824	16.3611
4.7780	16.4315
4.7736	16.5101
4.7692	16.5970
4.7648	16.6905
4.7605	16.7874
4.7561	16.8835
4.7517	16.9754
4.7474	17.0612
4.7431	17.1398
4.7387	17.2118
4.7344	17.2778
4.7301	17.3378
4.7258	17.3906
4.7215	17.4339
4.7172	17.4652
4.7129	17.4813
4.7086	17.4815
4.7043	17.4678
4.7000	17.4453
4.6958	17.4223
4.6915	17.4093
4.6873	17.4161
4.6831	17.4505
4.6788	17.5158
4.6746	17.6106
4.6704	17.7306
4.6662	17.8694
4.6620	18.0203
4.6578	18.1785
4.6536	18.3407
4.6495	18.5057
4.6453	18.6729
4.6411	18.8418
4.6370	19.0106
4.6328	19.1778
4.6287	19.3417
4.6246	19.5011
4.6205	19.6559
4.6163	19.8066
4.6122	19.9532
4.6081	20.0955
4.6040	20.2328
4.6000	20.3638
4.5959	20.4884
4.5918	20.6068
4.5877	20.7202
4.5837	20.8306
4.5796	20.9383
4.5756	21.0432
4.5716	21.1443
4.5675	21.2388
4.5635	21.3246
4.5595	21.3999
4.5555	21.4626
4.5515	21.5131
4.5475	21.5512
4.5435	21.5777
4.5395	21.5936
4.5356	21.5993
4.5316	21.5948
4.5276	21.5798
4.5237	21.5545
4.5197	21.5195
4.5158	21.4775
4.5119	21.4335
4.5080	21.3932
4.5040	21.3627
4.5001	21.3473
4.4962	21.3489
4.4923	21.3665
4.4884	21.3970
4.4846	21.4370
4.4807	21.4849
4.4768	21.5408
4.4730	21.6075
4.4691	21.6895
4.4652	21.7892
4.4614	21.9071
4.4576	22.0402
4.4537	22.1828
4.4499	22.3282
4.4461	22.4710
4.4423	22.6083
4.4385	22.7405
4.4347	22.8695
4.4309	22.9988
4.4271	23.1305
4.4233	23.2655
4.4196	23.4040
4.4158	23.5454
4.4120	23.6899
4.4083	23.8386
4.4045	23.9930
4.4008	24.1554
4.3971	24.3267
4.3934	24.5064
4.3896	24.6928
4.3859	24.8832
4.3822	25.0750
4.3785	25.2659
4.3748	25.4541
4.3711	25.6391
4.3674	25.8203
4.3638	25.9979
4.3601	26.1712
4.3564	26.3403
4.3528	26.5047
4.3491	26.6638
4.3455	26.8173
4.3418	26.9653
4.3382	27.1071
4.3346	27.2416
4.3310	27.3679
4.3273	27.4841
4.3237	27.5888
4.3201	27.6821
4.3165	27.7652
4.3129	27.8408
4.3094	27.9123
4.3058	27.9836
4.3022	28.0577
4.2986	28.1358
4.2951	28.2173
4.2915	28.3002
4.2880	28.3828
4.2844	28.4634
4.2809	28.5418
4.2774	28.6206
4.2738	28.7035
4.2703	28.7944
4.2668	28.8972
4.2633	29.0130
4.2598	29.1407
4.2563	29.2759
4.2528	29.4135
4.2493	29.5475
4.2458	29.6733
4.2424	29.7879
4.2389	29.8909
4.2354	29.9830
4.2320	30.0664
4.2285	30.1419
4.2251	30.2106
4.2216	30.2724
4.2182	30.3276
4.2148	30.3771
4.2113	30.4233
4.2079	30.4697
4.2045	30.5196
4.2011	30.5767
4.1977	30.6425
4.1943	30.7171
4.1909	30.7993
4.1875	30.8865
4.1841	30.9767
4.1808	31.0679
4.1774	31.1590
4.1740	31.2497
4.1707	31.3390
4.1673	31.4266
4.1640	31.5117
4.1606	31.5938
4.1573	31.6727
4.1540	31.7489
4.1506	31.8235
4.1473	31.8974
4.1440	31.9713
4.1407	32.0454
4.1374	32.1193
4.1341	32.1932
4.1308	32.2676
4.1275	32.3436
4.1242	32.4220
4.1209	32.5037
4.1177	32.5885
4.1144	32.6747
4.1111	32.7604
4.1079	32.8433
4.1046	32.9219
4.1014	32.9958
4.0981	33.0645
4.0949	33.1291
4.0917	33.1900
4.0884	33.2480
4.0852	33.3044
4.0820	33.3591
4.0788	33.4123
4.0756	33.4633
4.0724	33.5104
4.0692	33.5521
4.0660	33.5866
4.0628	33.6129
4.0596	33.6304
4.0565	33.6402
4.0533	33.6425
4.0501	33.6387
4.0470	33.6295
4.0438	33.6148
4.0406	33.5952
4.0375	33.5703
4.0344	33.5405
4.0312	33.5066
4.0281	33.4687
4.0250	33.4275
4.0218	33.3823
4.0187	33.3328
4.0156	33.2790
4.0125	33.2210
4.0094	33.1592
4.0063	33.0950
4.0032	33.0299
4.0001	32.9648
3.9970	32.9018
3.9940	32.8435
3.9909	32.7928
3.9878	32.7538
3.9847	32.7298
3.9817	32.7237
3.9786	32.7360
3.9756	32.7658
3.9725	32.8115
3.9695	32.8710
3.9665	32.9425
3.9634	33.0251
3.9604	33.1187
3.9574	33.2219
3.9544	33.3330
3.9513	33.4493
3.9483	33.5665
3.9453	33.6797
3.9423	33.7841
3.9393	33.8760
3.9363	33.9535
3.9333	34.0165
3.9304	34.0662
3.9274	34.1038
3.9244	34.1313
3.9214	34.1495
3.9185	34.1590
3.9155	34.1612
3.9126	34.1578
3.9096	34.1507
3.9067	34.1415
3.9037	34.1308
3.9008	34.1173
3.8979	34.0998
3.8949	34.0766
3.8920	34.0468
3.8891	34.0122
3.8862	33.9750
3.8833	33.9388
3.8804	33.9054
3.8775	33.8758
3.8746	33.8495
3.8717	33.8244
3.8688	33.7981
3.8659	33.7699
3.8630	33.7396
3.8601	33.7088
3.8573	33.6797
3.8544	33.6546
3.8515	33.6352
3.8487	33.6219
3.8458	33.6143
3.8430	33.6106
3.8401	33.6094
3.8373	33.6098
3.8344	33.6108
3.8316	33.6125
3.8288	33.6143
3.8259	33.6155
3.8231	33.6153
3.8203	33.6127
3.8175	33.6068
3.8147	33.5973
3.8119	33.5840
3.8091	33.5677
3.8063	33.5485
3.8035	33.5265
3.8007	33.5011
3.7979	33.4727
3.7951	33.4403
3.7924	33.4033
3.7896	33.3617
3.7868	33.3148
3.7841	33.2622
3.7813	33.2039
3.7785	33.1402
3.7758	33.0727
3.7730	33.0034
3.7703	32.9340
3.7676	32.8658
3.7648	32.7988
3.7621	32.7320
3.7594	32.6640
3.7566	32.5944
3.7539	32.5229
3.7512	32.4513
3.7485	32.3817
3.7458	32.3154
3.7431	32.2534
3.7404	32.1953
3.7377	32.1399
3.7350	32.0859
3.7323	32.0324
3.7296	31.9791
3.7269	31.9270
3.7242	31.8768
3.7216	31.8292
3.7189	31.7842
3.7162	31.7411
3.7136	31.6995
3.7109	31.6590
3.7083	31.6192
3.7056	31.5806
3.7030	31.5436
3.7003	31.5074
3.6977	31.4709
3.6950	31.4330
3.6924	31.3935
3.6898	31.3523
3.6872	31.3104
3.6845	31.2682
3.6819	31.2258
3.6793	31.1830
3.6767	31.1384
3.6741	31.0915
3.6715	31.0418
3.6689	30.9897
3.6663	30.9350
3.6637	30.8775
3.6611	30.8166
3.6585	30.7517
3.6560	30.6830
3.6534	30.6113
3.6508	30.5381
3.6482	30.4654
3.6457	30.3932
3.6431	30.3212
3.6406	30.2482
3.6380	30.1725
3.6355	30.0934
3.6329	30.0110
3.6304	29.9262
3.6278	29.8407
3.6253	29.7552
3.6227	29.6702
3.6202	29.5856
3.6177	29.5016
3.6152	29.4170
3.6127	29.3315
3.6101	29.2446
3.6076	29.1553
3.6051	29.0632
3.6026	28.9685
3.6001	28.8719
3.5976	28.7741
3.5951	28.6753
3.5926	28.5756
3.5901	28.4747
3.5876	28.3729
3.5852	28.2706
3.5827	28.1685
3.5802	28.0681
3.5777	27.9696
3.5753	27.8723
3.5728	27.7749
3.5704	27.6755
3.5679	27.5725
3.5654	27.4649
3.5630	27.3536
3.5605	27.2397
3.5581	27.1244
