Name:  Dark yellowish brown silty clay 
Type:  Soils
Class:  Aridisol
Subclass:  Salorthid
Particle Size:  see additional information
Sample No.:  89P1805
Owner:  JHU
Wavelength range:  All
Origin:  San Bernadino Co., Ca.,China Lake via USDA Soil Conservation 
service.
Description: Parent material: alluvium over lacustrine material.  
Physiography: playa.  Dark yellowish brown silty clay  (Clayey over loamy, 
mixed thermic Typic Salorthid).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  89P1805a.txt

6.9214	2.1863
6.9122	2.1858
6.9030	2.1797
6.8938	2.1664
6.8847	2.1489
6.8755	2.1316
6.8664	2.1183
6.8573	2.1105
6.8483	2.1077
6.8393	2.1070
6.8302	2.1046
6.8213	2.0970
6.8123	2.0847
6.8034	2.0717
6.7944	2.0620
6.7855	2.0589
6.7767	2.0636
6.7678	2.0755
6.7590	2.0911
6.7502	2.1072
6.7414	2.1212
6.7327	2.1328
6.7239	2.1432
6.7152	2.1538
6.7065	2.1659
6.6979	2.1806
6.6892	2.1974
6.6806	2.2159
6.6720	2.2355
6.6634	2.2566
6.6549	2.2822
6.6464	2.3158
6.6378	2.3601
6.6294	2.4148
6.6209	2.4757
6.6124	2.5382
6.6040	2.5972
6.5956	2.6497
6.5872	2.6983
6.5789	2.7480
6.5705	2.8039
6.5622	2.8681
6.5539	2.9375
6.5456	3.0057
6.5374	3.0653
6.5292	3.1110
6.5209	3.1418
6.5128	3.1631
6.5046	3.1847
6.4964	3.2162
6.4883	3.2643
6.4802	3.3296
6.4721	3.4068
6.4640	3.4840
6.4560	3.5482
6.4480	3.5899
6.4399	3.6048
6.4320	3.5960
6.4240	3.5726
6.4160	3.5444
6.4081	3.5186
6.4002	3.4961
6.3923	3.4731
6.3844	3.4450
6.3766	3.4068
6.3687	3.3583
6.3609	3.3036
6.3531	3.2491
6.3454	3.1987
6.3376	3.1537
6.3299	3.1127
6.3221	3.0743
6.3144	3.0355
6.3068	2.9948
6.2991	2.9529
6.2914	2.9105
6.2838	2.8676
6.2762	2.8226
6.2686	2.7745
6.2611	2.7217
6.2535	2.6623
6.2460	2.5955
6.2385	2.5204
6.2310	2.4357
6.2235	2.3405
6.2160	2.2348
6.2086	2.1204
6.2011	2.0020
6.1937	1.8860
6.1863	1.7794
6.1790	1.6866
6.1716	1.6099
6.1643	1.5478
6.1570	1.4981
6.1496	1.4578
6.1424	1.4278
6.1351	1.4098
6.1278	1.4050
6.1206	1.4152
6.1134	1.4401
6.1062	1.4765
6.0990	1.5192
6.0918	1.5627
6.0847	1.6049
6.0776	1.6435
6.0704	1.6795
6.0633	1.7169
6.0563	1.7612
6.0492	1.8161
6.0421	1.8820
6.0351	1.9566
6.0281	2.0357
6.0211	2.1133
6.0141	2.1837
6.0071	2.2455
6.0002	2.3007
5.9932	2.3521
5.9863	2.4018
5.9794	2.4510
5.9725	2.4998
5.9657	2.5460
5.9588	2.5882
5.9520	2.6272
5.9451	2.6687
5.9383	2.7168
5.9315	2.7755
5.9247	2.8446
5.9180	2.9209
5.9112	2.9993
5.9045	3.0751
5.8978	3.1475
5.8911	3.2207
5.8844	3.2981
5.8777	3.3824
5.8711	3.4712
5.8644	3.5586
5.8578	3.6380
5.8512	3.7043
5.8446	3.7557
5.8380	3.7973
5.8314	3.8376
5.8249	3.8843
5.8184	3.9409
5.8118	4.0048
5.8053	4.0697
5.7988	4.1258
5.7923	4.1649
5.7859	4.1850
5.7794	4.1931
5.7730	4.1987
5.7666	4.2106
5.7602	4.2340
5.7538	4.2686
5.7474	4.3096
5.7410	4.3496
5.7347	4.3842
5.7283	4.4138
5.7220	4.4405
5.7157	4.4666
5.7094	4.4922
5.7031	4.5180
5.6969	4.5433
5.6906	4.5663
5.6844	4.5866
5.6782	4.6037
5.6719	4.6179
5.6657	4.6286
5.6596	4.6373
5.6534	4.6475
5.6472	4.6624
5.6411	4.6837
5.6349	4.7107
5.6288	4.7375
5.6227	4.7553
5.6166	4.7531
5.6106	4.7214
5.6045	4.6551
5.5984	4.5552
5.5924	4.4308
5.5864	4.3010
5.5804	4.1886
5.5744	4.1163
5.5684	4.1014
5.5624	4.1519
5.5564	4.2613
5.5505	4.4126
5.5445	4.5826
5.5386	4.7498
5.5327	4.8966
5.5268	5.0134
5.5209	5.1005
5.5151	5.1645
5.5092	5.2130
5.5033	5.2530
5.4975	5.2890
5.4917	5.3236
5.4859	5.3570
5.4801	5.3899
5.4743	5.4257
5.4685	5.4667
5.4628	5.5131
5.4570	5.5633
5.4513	5.6142
5.4455	5.6623
5.4398	5.7044
5.4341	5.7423
5.4284	5.7795
5.4228	5.8197
5.4171	5.8645
5.4114	5.9128
5.4058	5.9621
5.4002	6.0099
5.3945	6.0542
5.3889	6.0952
5.3833	6.1338
5.3778	6.1702
5.3722	6.2041
5.3666	6.2354
5.3611	6.2647
5.3555	6.2953
5.3500	6.3294
5.3445	6.3696
5.3390	6.4161
5.3335	6.4672
5.3280	6.5205
5.3225	6.5723
5.3171	6.6216
5.3116	6.6675
5.3062	6.7114
5.3008	6.7542
5.2954	6.7969
5.2900	6.8395
5.2846	6.8833
5.2792	6.9283
5.2738	6.9745
5.2684	7.0218
5.2631	7.0706
5.2578	7.1206
5.2524	7.1717
5.2471	7.2234
5.2418	7.2757
5.2365	7.3280
5.2312	7.3794
5.2260	7.4299
5.2207	7.4798
5.2154	7.5296
5.2102	7.5795
5.2050	7.6307
5.1998	7.6828
5.1945	7.7351
5.1893	7.7877
5.1842	7.8405
5.1790	7.8935
5.1738	7.9468
5.1686	8.0006
5.1635	8.0543
5.1584	8.1083
5.1532	8.1633
5.1481	8.2204
5.1430	8.2805
5.1379	8.3423
5.1328	8.4046
5.1277	8.4659
5.1227	8.5249
5.1176	8.5817
5.1126	8.6381
5.1075	8.6961
5.1025	8.7574
5.0975	8.8212
5.0925	8.8863
5.0875	8.9507
5.0825	9.0130
5.0775	9.0729
