Name:  Brown to dark brown loamy sand
Type:  Soils
Class:  Utisol
Subclass:  Hapludult
Particle Size:  see additional information
Sample No.:  87P707
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  Parent material: alluvium from mixed material.  
Physiography: upland slope in coastal plain, cropland.  Brown to dark 
brown loamy sand (sandy, siliceous, mesic psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P707a.txt

4.9944	3.4766
4.9896	3.5073
4.9848	3.5559
4.9800	3.5891
4.9752	3.6194
4.9704	3.6621
4.9657	3.7212
4.9609	3.7795
4.9562	3.8642
4.9514	3.9731
4.9467	4.0259
4.9420	4.0395
4.9373	4.0830
4.9326	4.1509
4.9279	4.2402
4.9232	4.3420
4.9186	4.4514
4.9139	4.6033
4.9092	4.8176
4.9046	5.1001
4.9000	5.4216
4.8953	5.8276
4.8907	6.2651
4.8861	6.7202
4.8815	7.1858
4.8769	7.6162
4.8723	8.0466
4.8678	8.4853
4.8632	8.8845
4.8586	9.2754
4.8541	9.6528
4.8495	9.9995
4.8450	10.3330
4.8405	10.6377
4.8360	10.9441
4.8315	11.2365
4.8270	11.4973
4.8225	11.7573
4.8180	12.0222
4.8135	12.2695
4.8090	12.5366
4.8046	12.7812
4.8001	12.9987
4.7957	13.2041
4.7913	13.3903
4.7868	13.5893
4.7824	13.8093
4.7780	14.0398
4.7736	14.2299
4.7692	14.3923
4.7648	14.5766
4.7605	14.7492
4.7561	14.8986
4.7517	15.0207
4.7474	15.1594
4.7431	15.2912
4.7387	15.3596
4.7344	15.4091
4.7301	15.4738
4.7258	15.5195
4.7215	15.5036
4.7172	15.4419
4.7129	15.3046
4.7086	15.0954
4.7043	14.8086
4.7000	14.4760
4.6958	14.0981
4.6915	13.7031
4.6873	13.3852
4.6831	13.2470
4.6788	13.2863
4.6746	13.4951
4.6704	13.8469
4.6662	14.2922
4.6620	14.6974
4.6578	15.0617
4.6536	15.4318
4.6495	15.8317
4.6453	16.2385
4.6411	16.6435
4.6370	17.0341
4.6328	17.3889
4.6287	17.7009
4.6246	17.9809
4.6205	18.2478
4.6163	18.4677
4.6122	18.6777
4.6081	18.8293
4.6040	18.9533
4.6000	19.0798
