Name:  Dark reddish brown, organic-rich, silty loam 
Type:  Soils
Class:  Spodosol
Subclass:  Cryohumod
Particle Size:  see additional information
Sample No.:  87P4264
Owner:  JHU
Wavelength range:  All
Origin:  Kenai-Cook Inlet Division, Ak. 

Description: Parent material: volcanic ash from acidic-ash material over 
glacial till from mixed-igneous and metamorphic matter.  
Physiography: hillside with 18¡ east-facing slope.  Dark reddish brown, 
organic-rich, silty loam (A0 horizon); (medial over loamy, mixed typic).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4264a.txt

6.1424	1.8807
6.1351	1.8549
6.1278	1.8331
6.1206	1.8166
6.1134	1.8074
6.1062	1.8065
6.0990	1.8127
6.0918	1.8209
6.0847	1.8257
6.0776	1.8298
6.0704	1.8254
6.0633	1.8179
6.0563	1.8119
6.0492	1.8116
6.0421	1.8209
6.0351	1.8369
6.0281	1.8518
6.0211	1.8683
6.0141	1.8834
6.0071	1.8959
6.0002	1.9082
5.9932	1.9300
5.9863	1.9592
5.9794	1.9882
5.9725	2.0109
5.9657	2.0317
5.9588	2.0504
5.9520	2.0649
5.9451	2.0826
5.9383	2.1066
5.9315	2.1317
5.9247	2.1592
5.9180	2.1873
5.9112	2.2119
5.9045	2.2329
5.8978	2.2501
5.8911	2.2665
5.8844	2.2805
5.8777	2.2964
5.8711	2.3198
5.8644	2.3435
5.8578	2.3655
5.8512	2.3867
5.8446	2.3997
5.8380	2.4047
5.8314	2.4069
5.8249	2.4126
5.8184	2.4250
5.8118	2.4463
5.8053	2.4734
5.7988	2.5001
5.7923	2.5181
5.7859	2.5258
5.7794	2.5322
5.7730	2.5452
5.7666	2.5726
5.7602	2.6222
5.7538	2.6887
5.7474	2.7692
5.7410	2.8639
5.7347	2.9684
5.7283	3.0810
5.7220	3.2056
5.7157	3.3464
5.7094	3.5049
5.7031	3.6754
5.6969	3.8503
5.6906	4.0312
5.6844	4.2128
5.6782	4.3822
5.6719	4.5432
5.6657	4.7037
5.6596	4.8628
5.6534	5.0195
5.6472	5.1743
5.6411	5.3412
5.6349	5.5244
5.6288	5.7139
5.6227	5.9117
5.6166	6.1223
5.6106	6.3374
5.6045	6.5535
5.5984	6.7743
5.5924	7.0097
5.5864	7.2623
5.5804	7.5301
5.5744	7.8179
5.5684	8.1246
5.5624	8.4404
5.5564	8.7649
5.5505	9.0956
5.5445	9.4305
5.5386	9.7652
5.5327	10.0970
5.5268	10.4234
5.5209	10.7419
5.5151	11.0483
5.5092	11.3448
5.5033	11.6272
5.4975	11.8884
5.4917	12.1250
5.4859	12.3351
5.4801	12.5186
5.4743	12.6861
5.4685	12.8442
5.4628	13.0005
5.4570	13.1530
5.4513	13.2904
5.4455	13.4065
5.4398	13.4981
5.4341	13.5655
5.4284	13.6168
5.4228	13.6656
5.4171	13.7247
5.4114	13.7910
5.4058	13.8536
5.4002	13.9094
5.3945	13.9558
5.3889	13.9898
5.3833	14.0123
5.3778	14.0288
5.3722	14.0427
5.3666	14.0520
5.3611	14.0606
5.3555	14.0781
5.3500	14.1080
5.3445	14.1517
5.3390	14.2063
5.3335	14.2661
5.3280	14.3261
5.3225	14.3822
5.3171	14.4327
5.3116	14.4784
5.3062	14.5228
5.3008	14.5686
5.2954	14.6175
5.2900	14.6712
5.2846	14.7303
5.2792	14.7959
5.2738	14.8657
5.2684	14.9347
5.2631	15.0033
5.2578	15.0738
5.2524	15.1466
5.2471	15.2153
5.2418	15.2784
5.2365	15.3399
5.2312	15.3988
5.2260	15.4478
5.2207	15.4860
5.2154	15.5234
5.2102	15.5648
5.2050	15.6074
5.1998	15.6538
5.1945	15.7048
5.1893	15.7534
5.1842	15.7921
5.1790	15.8189
5.1738	15.8389
5.1686	15.8560
5.1635	15.8703
5.1584	15.8873
5.1532	15.9069
5.1481	15.9266
5.1430	15.9498
5.1379	15.9773
5.1328	16.0058
5.1277	16.0328
5.1227	16.0562
5.1176	16.0782
5.1126	16.0964
5.1075	16.1108
5.1025	16.1268
5.0975	16.1442
5.0925	16.1627
5.0875	16.1818
5.0825	16.2022
5.0775	16.2266
5.0726	16.2536
5.0676	16.2807
5.0627	16.3062
5.0577	16.3316
5.0528	16.3585
5.0479	16.3822
5.0430	16.4056
5.0380	16.4314
5.0332	16.4622
5.0283	16.4953
5.0234	16.5263
5.0185	16.5587
5.0137	16.5938
5.0088	16.6285
5.0040	16.6623
4.9992	16.6932
4.9944	16.7236
4.9896	16.7548
4.9848	16.7855
4.9800	16.8156
4.9752	16.8463
4.9704	16.8802
4.9657	16.9183
4.9609	16.9549
4.9562	16.9896
4.9514	17.0260
4.9467	17.0618
4.9420	17.0950
4.9373	17.1257
4.9326	17.1608
4.9279	17.2016
4.9232	17.2413
4.9186	17.2789
4.9139	17.3153
4.9092	17.3524
4.9046	17.3918
4.9000	17.4310
4.8953	17.4729
4.8907	17.5155
4.8861	17.5538
4.8815	17.5897
4.8769	17.6265
4.8723	17.6627
4.8678	17.6954
4.8632	17.7251
4.8586	17.7522
4.8541	17.7749
4.8495	17.7959
4.8450	17.8253
4.8405	17.8584
4.8360	17.8890
4.8315	17.9191
4.8270	17.9483
4.8225	17.9715
4.8180	17.9902
4.8135	18.0117
4.8090	18.0404
4.8046	18.0682
4.8001	18.0907
4.7957	18.1131
4.7913	18.1347
4.7868	18.1473
4.7824	18.1629
4.7780	18.1834
4.7736	18.2028
4.7692	18.2210
4.7648	18.2357
4.7605	18.2504
4.7561	18.2666
4.7517	18.2791
4.7474	18.2921
4.7431	18.3007
4.7387	18.3079
4.7344	18.3201
4.7301	18.3381
4.7258	18.3581
4.7215	18.3797
4.7172	18.3995
4.7129	18.4136
4.7086	18.4232
4.7043	18.4301
4.7000	18.4343
4.6958	18.4400
4.6915	18.4471
4.6873	18.4541
4.6831	18.4613
4.6788	18.4713
4.6746	18.4840
4.6704	18.4914
4.6662	18.4938
4.6620	18.5031
4.6578	18.5218
4.6536	18.5428
