Name:  Grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Haplustall
Particle Size:  see additional information
Sample No.:  85P4569
Owner:  JHU
Wavelength range:  All
Origin:  Cheyenne Co., Nb. via USDA Soil Conservation service.

Description:  Parent material is residuum from mixed-calcareous material.  
Grayish brown loam (loamy-skeletal, mixed, mesic lithic).  
Physiography: upland slope in level or undulating uplands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4569a.txt

11.0773	2.5539
11.0536	2.5486
11.0301	2.5427
11.0067	2.5371
10.9834	2.5337
10.9602	2.5342
10.9370	2.5394
10.9140	2.5486
10.8911	2.5593
10.8682	2.5668
10.8455	2.5709
10.8229	2.5749
10.8003	2.5787
10.7779	2.5830
10.7555	2.5911
10.7332	2.6028
10.7111	2.6173
10.6890	2.6309
10.6670	2.6443
10.6451	2.6592
10.6233	2.6769
10.6015	2.6977
10.5799	2.7219
10.5584	2.7458
10.5369	2.7700
10.5155	2.7924
10.4942	2.8132
10.4730	2.8341
10.4519	2.8588
10.4309	2.8887
10.4099	2.9219
10.3891	2.9547
10.3683	2.9895
10.3476	3.0242
10.3270	3.0565
10.3065	3.0880
10.2860	3.1235
10.2656	3.1666
10.2454	3.2154
10.2252	3.2666
10.2050	3.3197
10.1850	3.3717
10.1650	3.4203
10.1451	3.4652
10.1253	3.5121
10.1056	3.5647
10.0859	3.6239
10.0663	3.6870
10.0468	3.7523
10.0274	3.8170
10.0080	3.8794
9.9887	3.9363
9.9695	3.9892
9.9504	4.0393
9.9313	4.0867
9.9123	4.1298
9.8934	4.1684
9.8746	4.2010
9.8558	4.2302
9.8371	4.2598
9.8185	4.2925
9.7999	4.3296
9.7814	4.3738
9.7630	4.4263
9.7447	4.4856
9.7264	4.5459
9.7082	4.6074
9.6900	4.6703
9.6719	4.7308
9.6539	4.7850
9.6360	4.8349
9.6181	4.8799
9.6003	4.9180
9.5825	4.9465
9.5649	4.9680
9.5472	4.9822
9.5297	4.9886
9.5122	4.9877
9.4948	4.9827
9.4774	4.9762
9.4601	4.9735
9.4429	4.9774
9.4257	4.9888
9.4086	5.0046
9.3916	5.0238
9.3746	5.0400
9.3577	5.0469
9.3408	5.0420
9.3240	5.0283
9.3073	5.0044
9.2906	4.9695
9.2740	4.9267
9.2574	4.8813
9.2409	4.8336
9.2245	4.7845
9.2081	4.7375
9.1918	4.6936
9.1755	4.6472
9.1593	4.5985
9.1431	4.5515
9.1270	4.5099
9.1110	4.4740
9.0950	4.4477
9.0791	4.4313
9.0632	4.4191
9.0474	4.4040
9.0316	4.3862
9.0159	4.3680
9.0003	4.3522
8.9847	4.3403
8.9691	4.3391
8.9536	4.3498
8.9382	4.3689
8.9228	4.3881
8.9075	4.4011
8.8922	4.4058
8.8770	4.4037
8.8618	4.3954
8.8467	4.3850
8.8316	4.3758
8.8166	4.3673
8.8016	4.3536
8.7867	4.3332
8.7718	4.3082
8.7570	4.2828
8.7422	4.2578
8.7275	4.2319
8.7129	4.1992
8.6982	4.1505
8.6837	4.0806
8.6692	3.9936
8.6547	3.9034
8.6403	3.8337
8.6259	3.8074
8.6116	3.8345
8.5973	3.9051
8.5830	3.9994
8.5688	4.0950
8.5547	4.1720
8.5406	4.2234
8.5266	4.2572
8.5126	4.2847
8.4986	4.3127
8.4847	4.3433
8.4708	4.3745
8.4570	4.4025
8.4432	4.4245
8.4295	4.4443
8.4158	4.4665
8.4022	4.4924
8.3886	4.5211
8.3750	4.5466
8.3615	4.5647
8.3481	4.5743
8.3347	4.5795
8.3213	4.5826
8.3079	4.5862
8.2946	4.5917
8.2814	4.5972
8.2682	4.5956
8.2550	4.5873
8.2419	4.5751
8.2288	4.5587
8.2158	4.5342
8.2028	4.5006
8.1898	4.4576
8.1769	4.4028
8.1640	4.3334
8.1512	4.2499
