Name:  Black loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  85P4663
Owner:  JHU
Wavelength range:  All
Origin:  Gunnison Co., Co. via USDA Soil Conservation service.

Description: Parent material is local colluvium from igneous andesitic 
material.  Black loam, (fine-loamy, mixed pachic).  
Physiography: hillside or mountainside in mountains or deeply dissected plateaus.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P4663a.txt
	
11.0773	2.5232
11.0536	2.5354
11.0301	2.5330
11.0067	2.5183
10.9834	2.5098
10.9602	2.4908
10.9370	2.4709
10.9140	2.4642
10.8911	2.4587
10.8682	2.4542
10.8455	2.4694
10.8229	2.4846
10.8003	2.4921
10.7779	2.5016
10.7555	2.5287
10.7332	2.5392
10.7111	2.5370
10.6890	2.5243
10.6670	2.5427
10.6451	2.5576
10.6233	2.5524
10.6015	2.5786
10.5799	2.6200
10.5584	2.6279
10.5369	2.6239
10.5155	2.6399
10.4942	2.6446
10.4730	2.6650
10.4519	2.6815
10.4309	2.6849
10.4099	2.7079
10.3891	2.7425
10.3683	2.7438
10.3476	2.7336
10.3270	2.7466
10.3065	2.7612
10.2860	2.7755
10.2657	2.7971
10.2454	2.8473
10.2252	2.8863
10.2050	2.9073
10.1850	2.9397
10.1650	2.9766
10.1451	3.0247
10.1253	3.0629
10.1056	3.0873
10.0859	3.1081
10.0663	3.1378
10.0468	3.1830
10.0274	3.2474
10.0080	3.3046
9.9887	3.3725
9.9695	3.4412
9.9504	3.4519
9.9313	3.4416
9.9123	3.4735
9.8934	3.4902
9.8746	3.4943
9.8558	3.5000
9.8371	3.5010
9.8185	3.5288
9.7999	3.5414
9.7814	3.5550
9.7630	3.5912
9.7447	3.6285
9.7264	3.6694
9.7082	3.7312
9.6900	3.7848
9.6719	3.8633
9.6539	3.9072
9.6360	3.9242
9.6181	3.9520
9.6003	3.9834
9.5825	3.9939
9.5649	3.9951
9.5472	3.9814
9.5297	3.9807
9.5122	4.0096
9.4948	3.9877
9.4774	3.9120
9.4601	3.8878
9.4429	3.8771
9.4257	3.8472
9.4086	3.7970
9.3916	3.7714
9.3746	3.7749
9.3577	3.7761
9.3408	3.7288
9.3240	3.6849
9.3073	3.6422
9.2906	3.5876
9.2740	3.5151
9.2574	3.4628
9.2409	3.4379
9.2245	3.4038
9.2081	3.3318
9.1918	3.2991
9.1755	3.2574
9.1593	3.2179
9.1431	3.1816
9.1270	3.1732
9.1110	3.1153
9.0950	3.0369
9.0791	3.0217
9.0632	3.0019
9.0474	2.9653
9.0316	2.9315
9.0159	2.8889
9.0003	2.9043
8.9847	2.9095
8.9691	2.9093
8.9536	2.9385
8.9382	2.9449
8.9228	2.9385
8.9075	2.9352
8.8922	2.9424
8.8770	2.9247
8.8618	2.8973
8.8467	2.9065
8.8316	2.9215
8.8166	2.9342
8.8016	2.9280
8.7867	2.9150
8.7718	2.9105
8.7570	2.8729
8.7423	2.8153
8.7275	2.8019
8.7129	2.7959
8.6982	2.7665
8.6837	2.7325
8.6692	2.6920
8.6547	2.6435
8.6403	2.6090
8.6259	2.5863
8.6116	2.5892
8.5973	2.6421
8.5830	2.7026
8.5688	2.7478
8.5547	2.7832
8.5406	2.7971
8.5266	2.7875
8.5126	2.7877
8.4986	2.8131
8.4847	2.8572
8.4708	2.8926
8.4570	2.9073
8.4432	2.9105
8.4295	2.9225
8.4158	2.9220
8.4022	2.9053
8.3886	2.9167
8.3750	2.9364
8.3615	2.9125
8.3481	2.9003
8.3347	2.9148
8.3213	2.9239
8.3079	2.9571
8.2946	2.9559
8.2814	2.9237
8.2682	2.8949
8.2550	2.8826
8.2419	2.8756
8.2288	2.8732
8.2158	2.8375
8.2028	2.7753
8.1898	2.7251
8.1769	2.6865
8.1640	2.6366
8.1512	2.5856
8.1384	2.5237
8.1256	2.4447
8.1129	2.3679
8.1002	2.3164
8.0876	2.2543
8.0750	2.1951
8.0624	2.1471
8.0499	2.1066
8.0374	2.0691
8.0250	2.0207
8.0126	1.9774
8.0002	1.9438
7.9879	1.9204
7.9756	1.9061
7.9634	1.8757
7.9512	1.8525
7.9390	1.8346
7.9268	1.7955
7.9147	1.7589
7.9027	1.7362
7.8906	1.7417
7.8786	1.7364
7.8667	1.7142
7.8548	1.6993
7.8429	1.6938
7.8310	1.6879
7.8192	1.6819
7.8075	1.6754
7.7957	1.6800
7.7840	1.6996
7.7723	1.6965
7.7607	1.6879
7.7491	1.6934
7.7375	1.6996
7.7260	1.7013
7.7145	1.7078
7.7031	1.7118
7.6916	1.7048
7.6802	1.6934
7.6689	1.7061
7.6575	1.7147
7.6462	1.7115
