Name:  Very dark grayish brown loamy sand
Type:  Soils
Class:  Aridisol
Subclass:  Torripsamment
Particle Size:  see additional information
Sample No.:  90P0142
Owner:  JHU
Wavelength range:  All
Origin:  Kit Carson Co., Co. via USDA Soil Conservation service.

Description:  The parent material is eolian from sandstone material from a 
sandhill ridge.  Very dark grayish brown loamy sand, (sandy, mixed, mesic,
ustic).  



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  90P0142a.txt

6.9122	1.2165
6.9030	1.2127
6.8938	1.2042
6.8847	1.1943
6.8755	1.1872
6.8664	1.1862
6.8573	1.1931
6.8483	1.2066
6.8393	1.2232
6.8302	1.2378
6.8213	1.2487
6.8123	1.2556
6.8034	1.2613
6.7944	1.2703
6.7855	1.2859
6.7767	1.3089
6.7678	1.3361
6.7590	1.3626
6.7502	1.3835
6.7414	1.3953
6.7327	1.3979
6.7239	1.3941
6.7152	1.3887
6.7065	1.3854
6.6979	1.3870
6.6892	1.3920
6.6806	1.3972
6.6720	1.3986
6.6634	1.3944
6.6549	1.3847
6.6464	1.3726
6.6378	1.3622
6.6294	1.3567
6.6209	1.3555
6.6124	1.3562
6.6040	1.3558
6.5956	1.3525
6.5872	1.3480
6.5789	1.3454
6.5705	1.3491
6.5622	1.3610
6.5539	1.3783
6.5456	1.3951
6.5374	1.4041
6.5292	1.4001
6.5209	1.3825
6.5128	1.3570
6.5046	1.3333
6.4964	1.3221
6.4883	1.3309
6.4802	1.3586
6.4721	1.3972
6.4640	1.4332
6.4560	1.4540
6.4480	1.4526
6.4399	1.4308
6.4320	1.3982
6.4240	1.3683
6.4160	1.3522
6.4081	1.3546
6.4002	1.3721
6.3923	1.3963
6.3844	1.4178
6.3766	1.4304
6.3687	1.4337
6.3609	1.4318
6.3531	1.4299
6.3454	1.4330
6.3376	1.4420
6.3299	1.4543
6.3221	1.4661
6.3144	1.4735
6.3068	1.4739
6.2991	1.4675
6.2914	1.4555
6.2838	1.4408
6.2762	1.4266
6.2686	1.4152
6.2611	1.4081
6.2535	1.4053
6.2460	1.4057
6.2385	1.4067
6.2310	1.4055
6.2235	1.3998
6.2160	1.3885
6.2086	1.3728
6.2011	1.3551
6.1937	1.3387
6.1863	1.3274
6.1790	1.3231
6.1716	1.3257
6.1643	1.3321
6.1570	1.3380
6.1496	1.3397
6.1424	1.3349
6.1351	1.3245
6.1278	1.3134
6.1206	1.3065
6.1134	1.3075
6.1062	1.3162
6.0990	1.3283
6.0918	1.3366
6.0847	1.3342
6.0776	1.3193
6.0704	1.2949
6.0633	1.2700
6.0563	1.2537
6.0492	1.2530
6.0421	1.2698
6.0351	1.2989
6.0281	1.3311
6.0211	1.3572
6.0141	1.3723
6.0071	1.3764
6.0002	1.3740
5.9932	1.3723
5.9863	1.3759
5.9794	1.3849
5.9725	1.3948
5.9657	1.4015
5.9588	1.4038
5.9520	1.4041
5.9451	1.4074
5.9383	1.4183
5.9315	1.4377
5.9247	1.4602
5.9180	1.4775
5.9112	1.4837
5.9045	1.4789
5.8978	1.4706
5.8911	1.4692
5.8844	1.4853
5.8777	1.5223
5.8711	1.5755
5.8644	1.6338
5.8578	1.6842
5.8512	1.7174
5.8446	1.7318
5.8380	1.7337
5.8314	1.7342
5.8249	1.7444
5.8184	1.7709
5.8118	1.8116
5.8053	1.8578
5.7988	1.8983
5.7923	1.9237
5.7859	1.9312
5.7794	1.9253
5.7730	1.9158
5.7666	1.9130
5.7602	1.9237
5.7538	1.9476
5.7474	1.9798
5.7410	2.0134
