Name:  Brown silty loam
Type:  Soils
Class:  Aridisol
Subclass:  Camborthid
Particle Size:  see additional information
Sample No.:  87P337
Owner:  JHU
Wavelength range:  All
Origin:  Klickitat Co., Wa. via USDA Soil Conservation service.

Description:  The parent material is volcanic ash from mixed material.  
Brown silty loam (coarse-loamy, mixed, mesic xerollic).  
Physiography: in plateaus or tablelands.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P337a.txt

14.0112	1.9971
13.9734	2.0420
13.9359	2.0818
13.8985	2.1162
13.8614	2.1426
13.8244	2.1589
13.7876	2.1648
13.7511	2.1616
13.7147	2.1526
13.6785	2.1440
13.6425	2.1421
13.6067	2.1489
13.5711	2.1621
13.5356	2.1772
13.5004	2.1899
13.4653	2.1965
13.4304	2.1948
13.3957	2.1873
13.3612	2.1772
13.3269	2.1674
13.2927	2.1592
13.2587	2.1533
13.2249	2.1494
13.1912	2.1462
13.1577	2.1421
13.1244	2.1362
13.0913	2.1284
13.0583	2.1199
13.0255	2.1145
12.9929	2.1167
12.9604	2.1289
12.9281	2.1504
12.8959	2.1758
12.8639	2.1953
12.8321	2.1980
12.8004	2.1770
12.7688	2.1331
12.7375	2.0745
12.7063	2.0144
12.6752	1.9676
12.6443	1.9451
12.6135	1.9490
12.5829	1.9722
12.5524	2.0024
12.5221	2.0251
12.4919	2.0293
12.4619	2.0090
12.4320	1.9690
12.4023	1.9219
12.3727	1.8833
12.3432	1.8677
12.3139	1.8843
12.2847	1.9343
12.2557	2.0122
12.2268	2.1077
12.1980	2.2102
12.1694	2.3124
12.1409	2.4121
12.1125	2.5073
12.0843	2.5976
12.0562	2.6824
12.0282	2.7615
12.0003	2.8357
11.9726	2.9062
11.9450	2.9770
11.9176	3.0515
11.8903	3.1309
11.8631	3.2119
11.8360	3.2893
11.8090	3.3567
11.7822	3.4092
11.7555	3.4448
11.7289	3.4629
11.7024	3.4665
11.6760	3.4597
11.6498	3.4460
11.6237	3.4270
11.5977	3.4060
11.5718	3.3860
11.5460	3.3684
11.5203	3.3524
11.4948	3.3391
11.4694	3.3298
11.4440	3.3242
11.4188	3.3232
11.3937	3.3286
11.3688	3.3398
11.3439	3.3538
11.3191	3.3647
11.2944	3.3691
11.2699	3.3655
11.2455	3.3540
11.2211	3.3376
11.1969	3.3213
11.1727	3.3069
11.1487	3.2932
11.1248	3.2773
11.1010	3.2566
11.0773	3.2292
11.0536	3.1955
11.0301	3.1582
11.0067	3.1211
10.9834	3.0874
10.9602	3.0601
10.9370	3.0400
10.9140	3.0278
10.8911	3.0227
10.8682	3.0242
10.8455	3.0305
10.8229	3.0410
10.8003	3.0542
10.7779	3.0691
10.7555	3.0828
10.7332	3.0928
10.7111	3.0979
10.6890	3.0994
10.6670	3.0991
10.6451	3.1006
10.6233	3.1059
10.6015	3.1167
10.5799	3.1318
10.5584	3.1487
10.5369	3.1663
10.5155	3.1851
10.4942	3.2051
10.4730	3.2266
10.4519	3.2507
10.4309	3.2778
10.4099	3.3066
10.3891	3.3350
10.3683	3.3606
10.3476	3.3818
10.3270	3.3982
10.3065	3.4101
10.2860	3.4219
10.2656	3.4380
10.2454	3.4619
10.2251	3.4946
10.2050	3.5351
10.1850	3.5808
10.1650	3.6272
10.1451	3.6711
10.1253	3.7117
10.1056	3.7502
10.0859	3.7886
10.0663	3.8288
10.0468	3.8730
10.0274	3.9216
10.0080	3.9714
9.9887	4.0200
9.9695	4.0666
9.9504	4.1108
9.9313	4.1526
9.9123	4.1926
9.8934	4.2319
9.8746	4.2712
9.8558	4.3096
9.8371	4.3479
9.8185	4.3891
9.7999	4.4355
9.7814	4.4883
9.7630	4.5488
9.7447	4.6172
9.7264	4.6924
9.7082	4.7707
9.6900	4.8503
9.6719	4.9282
9.6539	5.0017
9.6360	5.0669
9.6181	5.1228
9.6003	5.1682
9.5825	5.2043
9.5649	5.2327
9.5472	5.2563
9.5297	5.2793
9.5122	5.3054
9.4948	5.3364
9.4774	5.3745
9.4601	5.4204
9.4429	5.4751
9.4257	5.5390
9.4086	5.6116
9.3916	5.6916
9.3746	5.7776
9.3577	5.8652
9.3408	5.9494
9.3240	6.0229
9.3073	6.0803
9.2906	6.1164
9.2740	6.1296
9.2574	6.1213
9.2409	6.0969
9.2245	6.0649
9.2081	6.0320
9.1918	6.0034
9.1755	5.9822
9.1593	5.9668
9.1431	5.9526
9.1270	5.9343
9.1110	5.9094
9.0950	5.8760
9.0791	5.8345
9.0632	5.7883
9.0474	5.7444
9.0316	5.7073
9.0159	5.6804
9.0003	5.6665
8.9847	5.6672
8.9691	5.6799
8.9536	5.6994
8.9382	5.7212
8.9228	5.7412
8.9075	5.7561
8.8922	5.7634
8.8770	5.7639
8.8618	5.7578
8.8467	5.7444
8.8316	5.7226
8.8166	5.6929
8.8016	5.6560
8.7867	5.6145
8.7718	5.5724
8.7570	5.5307
8.7422	5.4856
8.7275	5.4280
8.7129	5.3472
8.6982	5.2348
8.6837	5.0913
8.6692	4.9316
8.6547	4.7832
8.6403	4.6780
8.6259	4.6391
8.6116	4.6736
8.5973	4.7688
8.5830	4.8953
8.5688	5.0188
8.5547	5.1135
8.5406	5.1697
8.5266	5.1914
8.5126	5.1907
8.4986	5.1799
8.4847	5.1684
8.4708	5.1582
8.4570	5.1479
8.4432	5.1365
8.4295	5.1257
8.4158	5.1174
8.4022	5.1120
8.3886	5.1094
8.3750	5.1084
8.3615	5.1077
8.3481	5.1072
8.3347	5.1081
8.3213	5.1130
8.3079	5.1230
8.2946	5.1360
8.2814	5.1474
8.2682	5.1516
8.2550	5.1433
8.2419	5.1189
8.2288	5.0771
8.2158	5.0188
8.2028	4.9443
8.1898	4.8530
8.1769	4.7429
8.1640	4.6130
8.1512	4.4643
8.1384	4.3010
8.1256	4.1296
8.1129	3.9578
8.1002	3.7926
8.0876	3.6387
8.0750	3.4978
8.0624	3.3699
8.0499	3.2544
8.0374	3.1504
8.0250	3.0579
8.0126	2.9756
8.0002	2.9023
7.9879	2.8357
7.9756	2.7727
7.9634	2.7104
7.9512	2.6462
7.9390	2.5801
7.9268	2.5132
7.9147	2.4474
7.9027	2.3852
7.8906	2.3281
7.8786	2.2778
7.8667	2.2341
7.8548	2.1977
7.8429	2.1685
7.8310	2.1470
7.8192	2.1328
7.8075	2.1235
7.7957	2.1172
7.7840	2.1124
7.7723	2.1099
7.7607	2.1096
7.7491	2.1135
7.7375	2.1223
7.7260	2.1355
7.7145	2.1497
7.7031	2.1623
7.6916	2.1716
7.6802	2.1776
7.6689	2.1802
7.6575	2.1821
7.6462	2.1858
7.6350	2.1921
7.6238	2.2012
7.6126	2.2124
7.6014	2.2253
7.5903	2.2397
7.5792	2.2556
7.5681	2.2739
7.5571	2.2959
7.5461	2.3230
7.5351	2.3547
7.5242	2.3879
7.5133	2.4204
7.5024	2.4497
7.4916	2.4746
7.4807	2.4941
7.4700	2.5110
7.4592	2.5288
7.4485	2.5508
7.4378	2.5774
7.4272	2.6089
7.4165	2.6440
7.4059	2.6794
7.3954	2.7117
7.3848	2.7395
7.3743	2.7644
7.3639	2.7876
7.3534	2.8115
7.3430	2.8389
7.3326	2.8701
7.3223	2.9043
7.3119	2.9399
7.3016	2.9766
7.2914	3.0139
7.2811	3.0520
7.2709	3.0920
7.2607	3.1345
7.2506	3.1799
7.2404	3.2270
7.2303	3.2751
7.2203	3.3240
7.2102	3.3718
7.2002	3.4172
7.1902	3.4585
7.1803	3.4961
7.1703	3.5308
7.1604	3.5644
7.1506	3.5989
7.1407	3.6355
7.1309	3.6750
7.1211	3.7146
7.1113	3.7517
7.1016	3.7856
7.0919	3.8166
7.0822	3.8452
7.0725	3.8728
7.0629	3.9009
7.0533	3.9307
7.0437	3.9614
7.0341	3.9927
7.0246	4.0261
7.0151	4.0632
7.0056	4.1050
6.9962	4.1518
6.9867	4.2041
6.9773	4.2615
6.9679	4.3210
6.9586	4.3804
6.9493	4.4382
6.9400	4.4946
6.9307	4.5493
6.9214	4.6020
6.9122	4.6533
6.9030	4.7029
6.8938	4.7493
6.8847	4.7922
6.8755	4.8323
6.8664	4.8716
6.8573	4.9119
6.8483	4.9536
6.8393	4.9978
6.8302	5.0444
6.8213	5.0920
6.8123	5.1406
6.8034	5.1907
6.7944	5.2424
6.7855	5.2952
6.7767	5.3476
6.7678	5.3967
6.7590	5.4392
6.7502	5.4724
6.7414	5.4951
6.7327	5.5090
6.7239	5.5173
6.7152	5.5244
6.7065	5.5344
6.6979	5.5493
