Name:  Brown to dark brown silt loam
Type:  Soils
Class:  Entisol
Subclass:  Ustifluvent
Particle Size:  see additional information
Sample No.:  82P2230
Owner:  JHU
Wavelength range:  All
Origin:  Near Bait Radam, Yemen via USDA Soil Conservation service.

Description:  Parent material: alluvium.  Brown to dark brown silt 
loam (fine-loamy, mixed-calcareous, isothermic typic ustifluvent).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2230a.txt
	
5.9247	2.1194
5.918	2.1931
5.9112	2.271
5.9045	2.3513
5.8978	2.4343
5.8911	2.522
5.8844	2.6162
5.8777	2.717
5.8711	2.8223
5.8644	2.927
5.8578	3.0259
5.8512	3.116
5.8446	3.198
5.838	3.2771
5.8314	3.3594
5.8249	3.4497
5.8184	3.5498
5.8118	3.655
5.8053	3.7571
5.7988	3.8467
5.7923	3.9175
5.7859	3.968
5.7794	4.0034
5.773	4.0332
5.7666	4.0676
5.7602	4.1147
5.7538	4.176
5.7474	4.2495
5.741	4.3288
5.7347	4.4065
5.7283	4.4775
5.722	4.5393
5.7157	4.5925
5.7094	4.6384
5.7031	4.6787
5.6969	4.7134
5.6906	4.7405
5.6844	4.7568
5.6782	4.76
5.6719	4.7488
5.6657	4.7248
5.6596	4.6926
5.6534	4.6582
5.6472	4.6279
5.6411	4.6062
5.6349	4.5945
5.6288	4.5915
5.6227	4.5928
5.6166	4.5935
5.6106	4.5901
5.6045	4.5813
5.5984	4.5688
5.5924	4.5559
5.5864	4.5466
5.5804	4.5449
5.5744	4.5513
5.5684	4.5666
5.5624	4.5896
5.5564	4.6194
5.5505	4.6555
5.5445	4.698
5.5386	4.7466
5.5327	4.8015
5.5268	4.8625
5.5209	4.9277
5.5151	4.9939
5.5092	5.0581
5.5033	5.1164
5.4975	5.167
5.4917	5.2085
5.4859	5.2432
5.4801	5.2742
5.4743	5.3044
5.4685	5.3371
5.4628	5.3721
5.457	5.4065
5.4513	5.4355
5.4455	5.4548
5.4398	5.4614
5.4341	5.4546
5.4284	5.4355
5.4228	5.4075
5.4171	5.3725
5.4114	5.3325
5.4058	5.2866
5.4002	5.2341
5.3945	5.1755
5.3889	5.1123
5.3833	5.0478
5.3778	4.9866
5.3722	4.9333
5.3666	4.8928
5.3611	4.8682
5.3555	4.8599
5.35	4.8674
5.3445	4.8879
5.339	4.9175
5.3335	4.9524
5.328	4.9885
5.3225	5.0244
5.3171	5.0588
5.3116	5.0923
5.3062	5.1267
5.3008	5.164
5.2954	5.2065
5.29	5.2554
5.2846	5.3115
5.2792	5.3757
5.2738	5.4482
5.2684	5.5295
5.2631	5.6196
5.2578	5.7178
5.2524	5.8215
5.2471	5.9282
5.2418	6.0349
5.2365	6.1382
5.2312	6.2366
5.226	6.3291
5.2207	6.416
5.2154	6.4968
5.2102	6.5701
5.205	6.634
5.1998	6.687
5.1945	6.729
5.1893	6.761
5.1842	6.785
5.179	6.804
5.1738	6.821
5.1686	6.839
5.1635	6.855
5.1584	6.871
5.1532	6.887
5.1481	6.904
5.143	6.924
5.1379	6.947
5.1328	6.973
5.1277	7.002
5.1227	7.032
5.1176	7.059
5.1126	7.082
5.1075	7.099
5.1025	7.11
5.0975	7.116
5.0925	7.117
5.0875	7.117
5.0825	7.116
5.0775	7.116
5.0726	7.12
5.0676	7.127
5.0627	7.139
5.0577	7.153
5.0528	7.167
5.0479	7.18
5.043	7.189
5.038	7.194
5.0332	7.195
5.0283	7.191
5.0234	7.188
5.0185	7.188
5.0137	7.195
5.0088	7.214
5.004	7.246
4.9992	7.292
4.9944	7.35
4.9896	7.419
4.9848	7.494
4.98	7.575
4.9752	7.658
4.9704	7.743
4.9657	7.826
4.9609	7.907
4.9562	7.983
4.9514	8.052
4.9467	8.114
4.942	8.171
4.9373	8.224
4.9326	8.279
4.9279	8.339
4.9232	8.408
4.9186	8.487
4.9139	8.579
4.9092	8.682
4.9046	8.793
4.9	8.909
4.8953	9.024
4.8907	9.134
4.8861	9.233
4.8815	9.32
4.8769	9.394
4.8723	9.458
4.8678	9.514
4.8632	9.567
4.8586	9.62
4.8541	9.673
4.8495	9.724
4.845	9.772
4.8405	9.814
4.836	9.848
4.8315	9.875
4.827	9.898
4.8225	9.919
4.818	9.942
4.8135	9.97
4.809	10.001
4.8046	10.035
4.8001	10.068
4.7957	10.101
4.7913	10.132
4.7868	10.162
4.7824	10.191
4.778	10.22
4.7736	10.249
4.7692	10.277
4.7648	10.301
4.7605	10.321
4.7561	10.337
4.7517	10.35
4.7474	10.362
4.7431	10.375
4.7387	10.39
4.7344	10.407
4.7301	10.426
4.7258	10.445
4.7215	10.462
4.7172	10.475
4.7129	10.485
4.7086	10.492
4.7043	10.496
4.7	10.498
4.6958	10.5
4.6915	10.503
4.6873	10.51
4.6831	10.521
4.6788	10.539
4.6746	10.565
4.6704	10.599
4.6662	10.639
4.662	10.684
4.6578	10.731
4.6536	10.778
4.6495	10.822
4.6453	10.865
4.6411	10.906
4.637	10.945
4.6328	10.986
4.6287	11.029
4.6246	11.072
4.6205	11.115
4.6163	11.154
4.6122	11.188
4.6081	11.214
4.604	11.234
4.6	11.25
4.5959	11.267
4.5918	11.288
4.5877	11.317
4.5837	11.353
4.5796	11.393
4.5756	11.434
4.5716	11.473
4.5675	11.507
4.5635	11.535
4.5595	11.557
4.5555	11.574
4.5515	11.589
4.5475	11.601
4.5435	11.612
4.5395	11.623
4.5356	11.636
4.5316	11.649
4.5276	11.663
4.5237	11.674
4.5197	11.682
4.5158	11.687
4.5119	11.69
4.508	11.691
4.504	11.693
4.5001	11.698
4.4962	11.704
4.4923	11.713
4.4884	11.723
4.4846	11.735
4.4807	11.749
4.4768	11.768
4.473	11.794
4.4691	11.827
4.4652	11.867
4.4614	11.913
4.4576	11.961
4.4537	12.007
4.4499	12.05
4.4461	12.09
4.4423	12.126
4.4385	12.163
4.4347	12.2
4.4309	12.238
4.4271	12.278
4.4233	12.317
4.4196	12.356
4.4158	12.393
4.412	12.431
4.4083	12.47
4.4045	12.513
4.4008	12.561
4.3971	12.615
4.3934	12.673
4.3896	12.732
4.3859	12.791
4.3822	12.847
4.3785	12.897
4.3748	12.942
4.3711	12.984
4.3674	13.025
4.3638	13.066
4.3601	13.111
4.3564	13.156
4.3528	13.203
4.3491	13.25
4.3455	13.294
4.3418	13.336
4.3382	13.375
4.3346	13.412
4.331	13.446
4.3273	13.479
4.3237	13.511
4.3201	13.541
4.3165	13.57
4.3129	13.598
4.3094	13.626
4.3058	13.655
4.3022	13.684
4.2986	13.713
4.2951	13.74
4.2915	13.764
4.288	13.785
4.2844	13.804
4.2809	13.823
4.2774	13.847
4.2738	13.879
4.2703	13.921
