Name:  White gypsum dune sand.
Type:  Soils
Class:  Entisol
Subclass:  Torripsamment 
Particle Size:  see additional information
Sample No.:  0015
Owner:  JHU
Wavelength range:  All
Origin:  Dona Ana Co., NM.

Description:  The parent material is eolian from evaporites.  
White gypsum dune sand.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  0015a.txt

5.9247	1.0823
5.9180	1.0156
5.9112	0.9724
5.9045	0.9561
5.8978	0.9565
5.8911	0.9617
5.8844	0.9697
5.8777	0.9902
5.8711	1.0161
5.8644	1.0342
5.8578	1.0652
5.8512	1.0986
5.8446	1.1216
5.8380	1.1257
5.8314	1.1272
5.8249	1.1296
5.8184	1.1487
5.8118	1.1807
5.8053	1.2112
5.7988	1.2214
5.7923	1.2302
5.7859	1.2476
5.7794	1.2522
5.7730	1.2576
5.7666	1.2639
5.7602	1.2803
5.7538	1.2932
5.7474	1.3054
5.7410	1.3318
5.7347	1.3457
5.7283	1.3569
5.7220	1.3684
5.7157	1.3889
5.7094	1.4089
5.7031	1.4360
5.6969	1.4460
5.6906	1.4558
5.6844	1.4885
5.6782	1.5212
5.6719	1.5410
5.6657	1.5503
5.6596	1.5637
5.6534	1.5830
5.6472	1.6016
5.6411	1.6230
5.6349	1.6431
5.6288	1.6562
5.6227	1.6721
5.6166	1.6909
5.6106	1.7092
5.6045	1.7331
5.5984	1.7522
5.5924	1.7639
5.5864	1.7698
5.5804	1.7744
5.5744	1.7847
5.5684	1.8003
5.5624	1.8162
5.5564	1.8350
5.5505	1.8657
5.5445	1.9053
5.5386	1.9431
5.5327	1.9863
5.5268	2.0281
5.5209	2.0662
5.5151	2.0957
5.5092	2.1394
5.5033	2.1987
5.4975	2.2273
5.4917	2.2451
5.4859	2.2808
5.4801	2.3191
5.4743	2.3611
5.4685	2.3821
5.4628	2.4053
5.4570	2.4460
5.4513	2.4734
5.4455	2.5034
5.4398	2.5273
5.4341	2.5483
5.4284	2.5691
5.4228	2.5793
5.4171	2.5964
5.4114	2.6243
5.4058	2.6467
5.4002	2.6523
5.3945	2.6687
5.3889	2.6904
5.3833	2.6909
5.3778	2.6848
5.3722	2.6960
5.3666	2.7234
5.3611	2.7390
5.3555	2.7519
5.3500	2.7773
5.3445	2.7913
5.3390	2.8098
5.3335	2.8393
5.3280	2.8501
5.3225	2.8686
5.3171	2.8799
5.3116	2.8828
5.3062	2.9038
5.3008	2.9270
5.2954	2.9253
5.2900	2.9211
5.2846	2.9438
5.2792	2.9753
5.2738	2.9880
5.2684	2.9956
5.2631	3.0037
5.2578	3.0134
5.2524	3.0481
5.2471	3.0649
5.2418	3.0549
5.2365	3.0624
5.2312	3.0705
5.2260	3.0552
5.2207	3.0452
5.2154	3.0466
5.2102	3.0576
5.2050	3.0515
5.1998	3.0403
5.1945	3.0344
5.1893	3.0212
5.1842	3.0027
5.1790	2.9902
5.1738	2.9761
5.1686	2.9574
5.1635	2.9260
5.1584	2.9065
5.1532	2.8904
5.1481	2.8743
5.1430	2.8640
5.1379	2.8589
5.1328	2.8564
5.1277	2.8442
5.1227	2.8328
5.1176	2.8227
5.1126	2.8022
5.1075	2.7817
5.1025	2.7776
5.0975	2.7690
5.0925	2.7634
5.0875	2.7637
5.0825	2.7556
