Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (Less than 2 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

11.07725165	47.6332
11.05363222	46.9598
11.03011331	46.1561
11.00669427	45.2968
10.98337447	44.5233
10.96015327	43.704
10.93703005	42.8104
10.9140042	41.9848
10.89107509	41.162
10.86824213	40.2704
10.8455047	39.3505
10.82286221	38.4716
10.80031407	37.5185
10.77785969	36.5336
10.75549848	35.6532
10.73322986	34.7177
10.71106474	33.7802
10.68897956	32.9237
10.66698525	32.1845
10.64508128	31.4516
10.62326708	30.7489
10.6015421	30.1098
10.5799058	29.6083
10.55835763	29.1684
10.53689705	28.7909
10.51552354	28.4828
10.49423657	28.1801
10.4730356	27.9003
10.45192012	27.6913
10.43088962	27.4677
10.40994358	27.2382
10.38908149	26.995
10.36830285	26.6957
10.34760717	26.434
10.32699394	26.2665
10.30646267	26.0312
10.28601287	25.7792
10.26564407	25.5331
10.24535578	25.2538
10.22514752	24.977
10.20502924	24.7421
10.1849796	24.5439
10.16500858	24.3691
10.14511574	24.2343
10.12530059	24.1664
10.10556271	24.1718
10.08590162	24.2245
10.0663169	24.3657
10.04680808	24.6039
10.02737473	24.8735
10.00801642	25.1952
9.98873271	25.5527
9.969523168	25.9247
9.950387369	26.3154
9.931324888	26.7348
9.912335307	27.1152
9.893427994	27.4907
9.874582922	27.874
9.855809507	28.245
9.83710734	28.5512
9.818476015	28.8534
9.799915133	29.1235
9.781424293	29.3027
9.7630031	29.5107
9.744651161	29.7304
9.726368087	29.8988
9.70815349	30.0531
9.690006986	30.227
9.671928196	30.3691
9.653916739	30.5019
9.635972241	30.6864
9.618094328	30.832
9.600282632	30.9482
9.582536785	31.1093
9.564856422	31.3085
9.547241181	31.4618
9.529690704	31.6112
9.512204634	31.8271
9.494782617	32.0009
9.477424301	32.2079
9.460138288	32.5185
9.4429063	32.8066
9.425736975	33.0702
9.408629972	33.412
9.391584952	33.8007
9.374601579	34.1454
9.35767952	34.5375
9.340818443	35.0356
9.324018018	35.5673
9.307277919	36.0824
9.290597822	36.6762
9.273977405	37.3105
9.257416348	37.9066
9.240914333	38.5653
9.224471046	39.2895
9.208086173	39.9755
9.191759404	40.6942
9.17549043	41.4774
9.159278945	42.2899
9.143124645	43.1215
9.127027227	44.0214
9.110986392	44.932
9.095001842	45.8251
9.079073281	46.7504
9.06320863	47.7108
9.04739114	48.6644
9.031628764	49.6703
9.015921215	50.7152
9.000268208	51.7255
8.984669459	52.6415
8.969124685	53.5843
8.953633608	54.5321
8.93819595	55.4354
8.922811435	56.3031
8.907479789	57.1375
8.89220074	57.9183
8.876974017	58.659
8.861799353	59.4403
8.846676481	60.2738
8.831605135	61.036
8.816585054	61.8206
8.801615977	62.6995
8.786697643	63.533
8.771829795	64.3343
8.757012178	65.1522
8.742244536	65.9447
8.727526619	66.6976
8.712858175	67.4573
8.69824652	68.1766
8.683676252	68.8475
8.669154714	69.491
8.654681663	70.1263
8.640256858	70.7484
8.625880055	71.3485
8.611551018	71.9642
8.597269507	72.617
8.583035287	73.2498
8.568848124	73.8328
8.554707784	74.4603
8.540614036	75.0652
8.52656665	75.7234
8.512565398	76.3616
8.498610052	76.9788
8.484700388	77.6185
8.470836182	78.2605
8.45701721	78.8938
8.443243252	79.5101
8.429514089	80.1199
8.415829502	80.7625
8.402189274	81.3914
8.388593191	82.0235
8.375041038	82.6436
8.361539594	83.2254
8.348074642	83.7969
8.334652987	84.366
8.32127442	84.9016
8.307938734	85.3985
8.294645723	85.9285
8.281395183	86.4444
8.268186911	86.9099
8.255020704	87.3816
8.241896361	87.8213
8.228813685	88.2127
8.215772476	88.6006
8.202772537	88.9275
8.189813674	89.2405
8.176895691	89.5938
8.164018395	89.9219
8.151188239	90.1758
8.138391724	90.4346
8.125635323	90.6687
8.11291885	90.8875
8.100242116	91.1033
8.087604937	91.3367
8.075007126	91.5313
8.062448501	91.6599
8.049928879	91.8369
8.037448078	92.0076
8.025005918	92.1113
8.012602221	92.2109
8.000236807	92.3621
7.9879095	92.488
7.975620124	92.5693
7.963368505	92.6502
7.951154468	92.7539
7.938977841	92.8484
7.926838452	92.9099
7.914736131	92.988
7.902670708	93.0586
7.890642014	93.0723
7.878649883	93.1152
7.866694148	93.1912
7.854780812	93.2315
7.842897355	93.2688
7.831049799	93.3782
7.819237984	93.49
7.807461747	93.6013
7.795720929	93.7061
7.784015369	93.7734
7.772344909	93.7996
7.760709391	93.8953
7.749108659	93.9836
7.737542556	94.0291
7.726010929	94.0466
7.714513623	94.0662
7.703050485	94.092
7.691621363	94.125
7.680226106	94.1943
7.668864563	94.2449
7.657536586	94.2507
7.646242025	94.2773
7.634980733	94.3142
7.623752563	94.2988
7.61255737	94.3416
7.601395008	94.3826
7.590265333	94.3572
7.579173946	94.3767
7.568109199	94.4548
7.557076711	94.5107
7.546076342	94.5117
7.535107952	94.5564
7.524171401	94.6126
7.51326655	94.6279
7.502393263	94.6768
7.491551403	94.7031
7.480740833	94.7129
7.469961418	94.7209
7.459213023	94.7459
7.448495516	94.7166
7.437808762	94.6943
7.42715263	94.7078
7.416526989	94.7061
7.405931707	94.6545
7.395366655	94.6277
7.384831703	94.6638
7.374326724	94.6335
7.363851589	94.5908
7.353406171	94.6116
7.342990345	94.595
7.332603984	94.5222
7.322252325	94.4919
7.311924506	94.4807
7.30162578	94.4412
7.291356025	94.4258
7.281115117	94.415
7.270902937	94.3125
7.260719363	94.252
7.250564275	94.2566
7.240437554	94.2419
7.230339081	94.2068
7.220268738	94.1592
7.210226408	94.0818
7.200211974	93.9211
7.19022532	93.8135
7.18026633	93.749
7.17033489	93.6709
7.160436013	93.5859
7.150559317	93.5408
7.140709829	93.4961
7.130887439	93.4002
7.121092034	93.3623
7.111323503	93.3438
7.101581735	93.2551
7.091866622	93.1589
7.082178053	93.1438
7.07251592	93.0996
7.062880115	93.0508
7.053270531	93.0896
7.04368706	93.1179
7.034129597	93.1052
7.024598035	93.1279
7.01509227	93.1648
7.005612196	93.1765
6.99615771	93.2361
6.986728709	93.3074
6.977325089	93.3323
6.967946748	93.3425
6.958593585	93.4004
6.949265497	93.4363
6.939962385	93.4744
6.930688952	93.5166
6.921435478	93.5742
6.912206681	93.6257
6.903002461	93.6777
6.893822721	93.7585
6.884667364	93.7947
6.875536292	93.8418
6.866429409	93.9749
6.857346618	94.0437
6.848287825	94.0652
6.839252935	94.1248
6.830241852	94.2039
6.821254483	94.2461
6.812290735	94.3057
6.803350514	94.4453
6.794433728	94.6047
6.785540285	94.708
6.776670093	94.8113
6.767823062	94.8611
6.7589991	94.8962
6.750198118	94.9924
6.741420026	95.0198
6.732664735	95.032
6.723932156	95.0938
6.715226709	95.1228
6.706539278	95.085
6.697874296	95.0811
6.689231675	95.1111
6.680611329	95.1211
6.672013173	95.0828
6.663437121	95.0837
6.654883087	95.0784
6.646350987	95.0691
6.637840737	95.1116
6.629352253	95.1082
6.620885451	95.0471
6.612440248	95.042
6.604016563	95.0588
6.595614312	95.0535
6.587233415	95.0378
6.578873789	95.075
6.570535354	95.0667
6.56221803	95.0029
6.553921736	94.9619
6.545646392	94.9453
6.537391921	94.925
6.529158241	94.8457
6.520945276	94.8772
6.512757189	94.8027
6.504585407	94.7063
6.496434107	94.7441
6.488303211	94.666
6.480192643	94.4961
6.472102327	94.4346
6.464032186	94.3572
6.455982145	94.2363
6.44795213	94.1748
6.439942066	94.1055
6.431951879	94.0186
6.423981494	93.9627
6.416030838	93.9509
6.408099838	93.8308
6.400188422	93.6287
6.392296516	93.5183
6.384424048	93.4668
6.376570948	93.366
6.368737143	93.2634
6.360922563	93.1658
6.353127136	93.0576
6.345350793	92.999
6.337593464	92.8789
6.329855078	92.7285
6.322139564	92.5674
6.314438848	92.4756
6.30675687	92.4011
6.29909356	92.2705
6.291448851	92.1289
6.283822676	92.0496
6.276214965	91.9099
6.268625654	91.794
6.261054675	91.6897
6.253501961	91.5564
6.245967447	91.3865
6.238451067	91.2402
6.230952756	91.1414
6.223472449	90.9724
6.21601008	90.794
6.208565585	90.6572
6.201142747	90.5137
6.1937338	90.3884
6.186342535	90.3096
6.178968891	90.1817
6.171612803	90.0047
6.164274209	89.8967
6.156953047	89.8123
6.149649255	89.7332
6.14236277	89.6914
6.135093533	89.668
6.12784148	89.6787
6.120606552	89.7947
6.113388688	89.9902
6.106187828	90.1228
6.099003911	90.1951
6.091836878	90.3255
6.084686669	90.5108
6.077553226	90.6865
6.070436489	90.8604
6.063336399	91.0498
6.056252899	91.2546
6.049185931	91.4922
6.042135436	91.6699
6.035101357	91.8467
6.02808727	92.0349
6.021085843	92.2627
6.01410066	92.49
6.007131667	92.6856
6.000178805	92.9033
