Name:  Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Coarse  (74-250 Micrometers)
Sample No.:  augite.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rozier, near Gorges du Tarn, Tarn, France via 
the Smithsonian (sample no. NMNH 120049). 
Description:  The sample was a single 22.31 g portion of a single 
black crystal, displaying some veining with dolomite, which was 
completely removed by a warm acid bath.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  augite2a.txt

17.57339529	9.8972
17.51402436	9.8052
17.45505324	9.6826
17.39647791	9.4492
17.3382944	9.2265
17.28049878	9.0307
17.2230872	8.7971
17.16605584	8.5234
17.10940093	8.2602
17.05311876	7.966
16.99720566	7.604
16.94165801	7.2973
16.88647225	7.0132
16.83167317	6.6492
16.77720046	6.2243
16.72307919	5.8376
16.66930597	5.4253
16.61587747	4.9524
16.56279037	4.5351
16.51004141	4.1243
16.45762737	3.7126
16.40554507	3.3174
16.35379138	3.0002
16.30236319	2.7805
16.25125744	2.5964
16.20047111	2.4648
16.15000121	2.3989
16.0998448	2.3613
16.04999896	2.3298
16.00048641	2.3391
15.95125297	2.3711
15.90232158	2.4058
15.85368947	2.4814
15.80535391	2.5388
15.75731218	2.5776
15.70956162	2.6201
15.6620996	2.6655
15.61492349	2.7017
15.56803074	2.7107
15.52141878	2.6855
15.47508511	2.6789
15.42902725	2.6414
15.38324273	2.5552
15.33772913	2.4871
15.29248405	2.4565
15.24750513	2.4397
15.20279002	2.4072
15.1583364	2.3787
15.114142	2.4058
15.07020455	2.4375
15.02652181	2.4448
14.98309158	2.49
14.93991168	2.5354
14.89700213	2.5351
14.85431629	2.5527
14.81187438	2.5813
14.76967431	2.5972
14.72771402	2.6057
14.68599147	2.5947
14.64450465	2.5957
14.60325156	2.6362
14.56223023	2.6721
14.52143873	2.6875
14.48087511	2.7007
14.44053748	2.729
14.40042395	2.7356
14.36053266	2.7786
14.32086177	2.8098
14.28140946	2.8032
14.24217393	2.8381
14.20315338	2.8953
14.16434607	2.8718
14.12575025	2.8667
14.0873642	2.9268
14.0491862	2.9648
14.01121458	2.9585
13.97344765	2.9653
13.93590321	3.0117
13.89854065	3.0469
13.8613779	3.0342
13.82441336	3.0476
13.78764544	3.0962
13.75107258	3.1282
13.71469324	3.1394
13.67850587	3.1814
13.64250897	3.1909
13.60670103	3.1772
13.57108057	3.2205
13.53564612	3.2881
13.50039624	3.3022
13.46532947	3.311
13.4304444	3.3642
13.39573962	3.396
13.36121373	3.4114
13.32686536	3.4319
13.29269314	3.4419
13.25869572	3.4778
13.22487175	3.501
13.19121992	3.5327
13.15773892	3.5515
13.12442745	3.5547
13.09130135	3.5876
13.05832501	3.5803
13.02551438	3.5788
12.99286821	3.6167
12.96038529	3.6489
12.92806437	3.6477
12.89590426	3.6597
12.86390376	3.6804
12.83206168	3.7041
12.80037684	3.7371
12.7688481	3.762
12.73747429	3.7834
12.70625427	3.8188
12.67518693	3.8447
12.64427113	3.865
12.61350579	3.8899
12.58290562	3.9258
12.55243781	3.9419
12.52211719	3.9338
12.4919427	3.9687
12.46191328	4.0207
12.43202789	4.0366
12.40228549	4.0735
12.37268507	4.1289
12.34322561	4.1592
12.31390609	4.1741
12.28472554	4.2195
12.25568296	4.2693
12.22677738	4.3201
12.19800782	4.3569
12.16937334	4.3806
12.14087298	4.4304
12.1125058	4.4866
12.08427087	4.5403
12.05616727	4.5779
12.02819409	4.6343
12.00035041	4.719
11.97263534	4.7817
11.945048	4.8196
11.9175875	4.8923
11.8902671	4.9707
11.86305761	5.0378
11.83597236	5.1079
11.80901051	5.2109
11.78217122	5.3127
11.75545365	5.3979
11.72885698	5.5063
11.70238038	5.6094
11.67602305	5.7048
11.64978419	5.8088
11.62366299	5.916
11.59765866	6.0237
11.57177043	6.1245
11.54599752	6.2092
11.52033916	6.2959
11.49479458	6.3569
11.46936304	6.4155
11.44404378	6.4885
11.41883606	6.5398
11.39373914	6.5935
11.3687523	6.6506
11.34387482	6.6965
11.31910597	6.7351
11.29444505	6.7566
11.26990406	6.7973
11.24545684	6.832
11.22111545	6.8638
11.19687921	6.8764
11.17274743	6.9136
11.14871946	6.9778
11.12479461	7.0056
11.10097222	7.0183
11.07725165	7.0613
11.05363222	7.1062
11.03011331	7.1382
11.00669427	7.1914
10.98337447	7.2563
10.96015327	7.2827
10.93703005	7.312
10.9140042	7.3786
10.89107509	7.4155
10.86824213	7.4399
10.8455047	7.4924
10.82286221	7.5298
10.80031407	7.5332
10.77785969	7.5598
10.75549848	7.6118
10.73322986	7.6238
10.71106474	7.6113
10.68897956	7.6306
10.66698525	7.6592
10.64508128	7.6623
10.62326708	7.6758
10.6015421	7.7029
10.5799058	7.7136
10.55835763	7.7197
10.53689705	7.7451
10.51552354	7.7363
10.49423657	7.7156
10.4730356	7.72
10.45192012	7.7195
10.43088962	7.7082
10.40994358	7.7214
10.38908149	7.7385
10.36830285	7.7319
10.34760717	7.7221
10.32699394	7.6997
10.30646267	7.6387
10.28601287	7.5766
10.26564407	7.5017
10.24535578	7.4009
10.22514752	7.2915
10.20502924	7.2143
10.1849796	7.1181
10.16500858	7.0139
10.14511574	6.9641
10.12530059	6.9089
10.10556271	6.8408
10.08590162	6.8115
10.0663169	6.8027
10.04680808	6.7781
10.02737473	6.7693
10.00801642	6.792
9.98873271	6.8078
9.969523168	6.8186
9.950387369	6.8296
9.931324888	6.8437
9.912335307	6.8459
9.893427994	6.8496
9.874582922	6.8742
9.855809507	6.8928
9.83710734	6.9109
9.818476015	6.9555
9.799915133	6.9912
