Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Fine  (0-74  micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

9.9504	2.3694
9.9313	2.3569
9.9123	2.3469
9.8934	2.3379
9.8746	2.3237
9.8558	2.3069
9.8371	2.2913
9.8185	2.2781
9.7999	2.2878
9.7814	2.3032
9.7630	2.3044
9.7447	2.3164
9.7264	2.3332
9.7082	2.3445
9.6900	2.3625
9.6719	2.3828
9.6539	2.4131
9.6360	2.4297
9.6181	2.4370
9.6003	2.4519
9.5825	2.4702
9.5649	2.4875
9.5472	2.4976
9.5297	2.4997
9.5122	2.5012
9.4948	2.5010
9.4774	2.4893
9.4601	2.4741
9.4429	2.4753
9.4257	2.4592
9.4086	2.4370
9.3916	2.4375
9.3746	2.4311
9.3577	2.4241
9.3408	2.4087
9.3240	2.3967
9.3073	2.3916
9.2906	2.3816
9.2740	2.3579
9.2574	2.3357
9.2409	2.3301
9.2245	2.3323
9.2081	2.3276
9.1918	2.3274
9.1755	2.3296
9.1593	2.3415
9.1431	2.3455
9.1270	2.3545
9.1110	2.3762
9.0950	2.3884
9.0791	2.4060
9.0632	2.4243
9.0474	2.4394
9.0316	2.4556
9.0159	2.4595
9.0003	2.4590
8.9847	2.4719
8.9691	2.4773
8.9536	2.4707
8.9382	2.4536
8.9228	2.4311
8.9075	2.4185
8.8922	2.4077
8.8770	2.4036
8.8618	2.4177
8.8467	2.4414
8.8316	2.4700
8.8166	2.5149
8.8016	2.5630
8.7867	2.6118
8.7718	2.6550
8.7570	2.6858
8.7422	2.7012
8.7275	2.7002
8.7129	2.6653
8.6982	2.6001
8.6837	2.5110
8.6692	2.4092
8.6547	2.2827
8.6403	2.1348
8.6259	1.9998
8.6116	1.8850
8.5973	1.7910
8.5830	1.7136
8.5688	1.6406
8.5547	1.5862
8.5406	1.5496
8.5266	1.5444
8.5126	1.5579
8.4986	1.5601
8.4847	1.5769
8.4708	1.6169
8.4570	1.6641
8.4432	1.7366
8.4295	1.8061
8.4158	1.8748
8.4022	1.9541
8.3886	2.0332
8.3750	2.1174
8.3615	2.2080
8.3481	2.2861
8.3347	2.3772
8.3213	2.4636
8.3079	2.5469
8.2946	2.6387
8.2814	2.7129
8.2682	2.7861
8.2550	2.8706
8.2419	2.9517
8.2288	3.0339
8.2158	3.1228
8.2028	3.2021
8.1898	3.2634
8.1769	3.3306
8.1640	3.4097
8.1512	3.4788
8.1384	3.5491
8.1256	3.6228
8.1129	3.6860
8.1002	3.7524
8.0876	3.8264
8.0750	3.8933
8.0624	3.9429
8.0499	4.0000
8.0374	4.0647
8.0250	4.1245
8.0126	4.1846
8.0002	4.2422
7.9879	4.2949
7.9756	4.3457
7.9634	4.4062
7.9512	4.4602
7.9390	4.5061
7.9268	4.5627
7.9147	4.6169
7.9027	4.6582
7.8906	4.7065
7.8786	4.7673
7.8667	4.8181
7.8548	4.8584
7.8429	4.9131
7.8310	4.9680
7.8192	5.0105
7.8075	5.0583
7.7957	5.1067
7.7840	5.1518
7.7723	5.1992
7.7607	5.2446
7.7491	5.2851
7.7375	5.3186
7.7260	5.3743
7.7145	5.4297
7.7031	5.4707
7.6916	5.5107
7.6802	5.5486
7.6689	5.5842
7.6575	5.6221
7.6462	5.6667
7.6350	5.7077
7.6238	5.7368
7.6126	5.7729
7.6014	5.8020
7.5903	5.8240
7.5792	5.8620
7.5681	5.8970
7.5571	5.9248
7.5461	5.9634
7.5351	6.0078
7.5242	6.0432
7.5133	6.0759
7.5024	6.1152
7.4916	6.1484
7.4807	6.1816
7.4700	6.2224
7.4592	6.2641
7.4485	6.2930
7.4378	6.3271
7.4272	6.3760
7.4165	6.4180
7.4059	6.4421
7.3954	6.4839
7.3848	6.5251
7.3743	6.5530
7.3639	6.5840
7.3534	6.6208
7.3430	6.6492
7.3326	6.6775
7.3223	6.7070
7.3119	6.7361
7.3016	6.7556
7.2914	6.7793
7.2811	6.8086
7.2709	6.8308
7.2607	6.8613
7.2506	6.8943
7.2404	6.9126
7.2303	6.9353
7.2203	6.9736
7.2102	7.0049
7.2002	7.0234
7.1902	7.0561
7.1803	7.0842
7.1703	7.0959
7.1604	7.1191
7.1506	7.1462
7.1407	7.1709
