Name:  Diopside CaMgSi2O6
Type:  Mineral
Class:   Silicates 
Subclass:   Inosilicates (Chain Silicates) (Pyroxene Group)
Particle Size:  Fine (less than 2   Micrometers)
Sample No.:  diopside.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from DeKalb, New York via the Smithsonian (sample 
no. NMNH R18685). 
Description:  Most of the 13 mm x 10 mm x 6 mm sample was clean, 
fresh and green.  One area was eroded and weathered and probably 
impure.  The crushed sample was hand-picked to avoid impurities.  
A moderate amount of weathering and alteration can be seen under 
the microscope.  The alteration is brown in color (limonite?).

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: diopsi2a.txt

9.3916	26.596
9.3746	24.675
9.3577	23.044
9.3408	21.786
9.3240	20.868
9.3073	20.327
9.2906	20.248
9.2740	20.548
9.2574	21.104
9.2409	21.893
9.2245	22.775
9.2081	23.608
9.1918	24.403
9.1755	25.153
9.1593	25.846
9.1431	26.579
9.1270	27.487
9.1110	28.650
9.0950	29.996
9.0791	31.574
9.0632	33.387
9.0474	35.412
9.0316	37.614
9.0159	40.014
9.0003	42.407
8.9847	44.823
8.9691	47.260
8.9536	49.622
8.9382	51.816
8.9228	53.827
8.9075	55.571
8.8922	57.076
8.8770	58.415
8.8618	59.706
8.8467	60.912
8.8316	61.943
8.8166	62.941
8.8016	64.114
8.7867	65.330
8.7718	66.498
8.7570	67.586
8.7422	68.542
8.7275	69.405
8.7129	70.186
8.6982	70.912
8.6837	71.552
8.6692	72.171
8.6547	72.772
8.6403	73.432
8.6259	73.957
8.6116	74.429
8.5973	74.970
8.5830	75.574
8.5688	76.088
8.5547	76.605
8.5406	77.142
8.5266	77.670
8.5126	78.159
8.4986	78.618
8.4847	79.091
8.4708	79.523
8.4570	79.990
8.4432	80.410
8.4295	80.876
8.4158	81.351
8.4022	81.812
8.3886	82.206
8.3750	82.690
8.3615	83.102
8.3481	83.506
8.3347	83.879
8.3213	84.283
8.3079	84.652
8.2946	85.038
8.2814	85.425
8.2682	85.786
8.2550	86.124
8.2419	86.421
8.2288	86.728
8.2158	86.996
8.2028	87.260
8.1898	87.526
8.1769	87.806
8.1640	88.051
8.1512	88.281
8.1384	88.469
8.1256	88.666
8.1129	88.833
8.1002	89.040
8.0876	89.252
8.0750	89.440
8.0624	89.597
8.0499	89.799
8.0374	89.967
8.0250	90.100
8.0126	90.268
8.0002	90.426
7.9879	90.551
7.9756	90.648
7.9634	90.798
7.9512	90.927
7.9390	91.039
7.9268	91.118
7.9147	91.214
7.9027	91.302
7.8906	91.375
7.8786	91.462
7.8667	91.593
7.8548	91.680
7.8429	91.764
7.8310	91.871
7.8192	91.980
7.8075	92.110
7.7957	92.260
7.7840	92.365
7.7723	92.455
7.7607	92.590
7.7491	92.688
7.7375	92.806
7.7260	92.876
7.7145	92.991
7.7031	93.064
7.6916	93.179
7.6802	93.289
7.6689	93.422
7.6575	93.497
7.6462	93.592
7.6350	93.614
7.6238	93.657
7.6126	93.710
7.6014	93.760
7.5903	93.785
7.5792	93.852
7.5681	93.950
7.5571	94.023
7.5461	94.052
7.5351	94.104
7.5242	94.179
7.5133	94.274
7.5024	94.391
7.4916	94.486
7.4807	94.580
7.4700	94.663
7.4592	94.770
7.4485	94.857
7.4378	94.966
7.4272	95.015
7.4165	95.071
7.4059	95.098
7.3954	95.177
7.3848	95.263
7.3743	95.319
7.3639	95.396
7.3534	95.488
7.3430	95.519
7.3326	95.550
7.3223	95.564
7.3119	95.605
7.3016	95.643
7.2914	95.700
7.2811	95.772
7.2709	95.775
7.2607	95.841
7.2506	95.898
7.2404	95.933
7.2303	95.964
7.2203	96.003
7.2102	95.989
7.2002	95.987
7.1902	96.021
7.1803	96.061
7.1703	96.056
7.1604	96.083
7.1506	96.091
7.1407	96.124
7.1309	96.128
7.1211	96.198
7.1113	96.295
7.1016	96.356
7.0919	96.382
7.0822	96.453
7.0725	96.511
7.0629	96.498
7.0533	96.506
7.0437	96.465
7.0341	96.551
7.0246	96.629
7.0151	96.670
7.0056	96.679
6.9962	96.733
6.9867	96.759
6.9773	96.728
6.9679	96.705
6.9586	96.673
6.9493	96.744
6.9400	96.824
6.9307	96.882
6.9214	96.946
6.9122	96.978
6.9030	96.991
6.8938	97.049
