Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  Course  (74-250 micrometers)
Sample No.: hornblen.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Gore Mountain, New York via Hunt and Salisbury Collection, 
#177B (Purchased from Ward's Natural Science Establishment)
Description:  The specimen was a cluster of very dark green single 
crystals half a centimeter to one centimeter in length and almost as 
wide.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  hornbl1a.txt

12.02819409	2.988
12.00035041	3.0254
11.97263534	3.063
11.945048	3.0933
11.9175875	3.1206
11.8902671	3.1548
11.86305761	3.1973
11.83597236	3.2407
11.80901051	3.2856
11.78217122	3.3284
11.75545365	3.3662
11.72885698	3.3989
11.70238038	3.4333
11.67602305	3.4709
11.64978419	3.5078
11.62366299	3.5447
11.59765866	3.5828
11.57177043	3.6174
11.54599752	3.6494
11.52033916	3.6848
11.49479458	3.7231
11.46936304	3.762
11.44404378	3.7964
11.41883606	3.8315
11.39373914	3.8664
11.3687523	3.8975
11.34387482	3.9289
11.31910597	3.9629
11.29444505	4.0002
11.26990406	4.0364
11.24545684	4.0644
11.22111545	4.093
11.19687921	4.1223
11.17274743	4.1516
11.14871946	4.1831
11.12479461	4.2202
11.10097222	4.2595
11.07725165	4.2993
11.05363222	4.343
11.03011331	4.3904
11.00669427	4.4363
10.98337447	4.4834
10.96015327	4.5339
10.93703005	4.5869
10.9140042	4.6426
10.89107509	4.7014
10.86824213	4.7634
10.8455047	4.8313
10.82286221	4.904
10.80031407	4.9797
10.77785969	5.0596
10.75549848	5.1428
10.73322986	5.2287
10.71106474	5.3144
10.68897956	5.4021
10.66698525	5.5019
10.64508128	5.6091
10.62326708	5.7163
10.6015421	5.8223
10.5799058	5.9202
10.55835763	6.0061
10.53689705	6.0857
10.51552354	6.1616
10.49423657	6.2366
10.4730356	6.3125
10.45192012	6.3906
10.43088962	6.4668
10.40994358	6.5398
10.38908149	6.6135
10.36830285	6.6863
10.34760717	6.7514
10.32699394	6.812
10.30646267	6.8708
10.28601287	6.9245
10.26564407	6.9692
10.24535578	7.0102
10.22514752	7.0456
10.20502924	7.0683
10.1849796	7.0796
10.16500858	7.083
10.14511574	7.0762
10.12530059	7.0598
10.10556271	7.0356
10.08590162	7.0036
10.0663169	6.9609
10.04680808	6.9043
10.02737473	6.8318
10.00801642	6.7451
9.98873271	6.644
9.969523168	6.53
9.950387369	6.4104
9.931324888	6.2917
9.912335307	6.1787
9.893427994	6.0725
9.874582922	5.9783
9.855809507	5.905
9.83710734	5.8464
9.818476015	5.8008
9.799915133	5.7746
9.781424293	5.7666
9.7630031	5.7742
9.744651161	5.7971
9.726368087	5.8362
9.70815349	5.8879
9.690006986	5.9475
9.671928196	6.0124
9.653916739	6.0779
9.635972241	6.1387
9.618094328	6.1926
9.600282632	6.2402
9.582536785	6.2766
9.564856422	6.3013
9.547241181	6.3144
9.529690704	6.3147
9.512204634	6.301
9.494782617	6.2727
9.477424301	6.23
9.460138288	6.1787
9.4429063	6.1194
9.425736975	6.0535
9.408629972	5.9824
9.391584952	5.9087
9.374601579	5.833
9.35767952	5.7495
9.340818443	5.6592
9.324018018	5.5657
9.307277919	5.467
9.290597822	5.3655
9.273977405	5.2624
9.257416348	5.1589
9.240914333	5.0552
9.224471046	4.9541
9.208086173	4.8596
9.191759404	4.7683
9.17549043	4.6804
9.159278945	4.5981
9.143124645	4.5207
9.127027227	4.4473
9.110986392	4.375
9.095001842	4.3071
9.079073281	4.2441
9.06320863	4.1826
9.04739114	4.1225
9.031628764	4.061
9.015921215	4.0005
9.000268208	3.9358
8.984669459	3.8603
8.969124685	3.7798
8.953633608	3.6951
8.93819595	3.6018
8.922811435	3.5034
8.907479789	3.4036
8.89220074	3.3076
8.876974017	3.217
8.861799353	3.137
8.846676481	3.0742
8.831605135	3.0247
8.816585054	2.9834
8.801615977	2.9519
8.786697643	2.9216
8.771829795	2.8874
8.757012178	2.8433
8.742244536	2.7832
8.727526619	2.6992
8.712858175	2.5881
8.69824652	2.4539
8.683676252	2.3
8.669154714	2.1321
8.654681663	1.9619
8.640256858	1.7964
8.625880055	1.6421
8.611551018	1.5034
8.597269507	1.3791
8.583035287	1.2688
8.568848124	1.1716
8.554707784	1.0881
8.540614036	1.0188
8.52656665	0.9629
8.512565398	0.9216
8.498610052	0.8943
8.484700388	0.8787
8.470836182	0.875
8.45701721	0.8809
8.443243252	0.8931
8.429514089	0.9094
8.415829502	0.9311
8.402189274	0.9565
8.388593191	0.9839
8.375041038	1.0139
8.361539594	1.0474
8.348074642	1.0801
8.334652987	1.1094
8.32127442	1.1357
8.307938734	1.1624
8.294645723	1.187
8.281395183	1.2109
8.268186911	1.2366
8.255020704	1.2639
8.241896361	1.2903
8.228813685	1.3157
8.215772476	1.3401
8.202772537	1.3618
8.189813674	1.3823
8.176895691	1.4036
8.164018395	1.4268
8.151188239	1.4507
8.138391724	1.4739
8.125635323	1.4978
8.11291885	1.5212
8.100242116	1.5422
8.087604937	1.5623
8.075007126	1.5818
8.062448501	1.6006
8.049928879	1.6196
8.037448078	1.6404
8.025005918	1.6636
8.012602221	1.6875
8.000236807	1.7095
7.9879095	1.729
7.975620124	1.7483
7.963368505	1.7664
7.951154468	1.7839
7.938977841	1.803
7.926838452	1.8227
7.914736131	1.8408
7.902670708	1.8579
7.890642014	1.8767
7.878649883	1.896
7.866694148	1.9143
7.854780812	1.9324
7.842897355	1.9512
7.831049799	1.9687
7.819237984	1.9849
7.807461747	2.0002
7.795720929	2.0171
7.784015369	2.0344
7.772344909	2.05
7.760709391	2.0674
7.749108659	2.0854
7.737542556	2.1023
7.726010929	2.1184
7.714513623	2.1326
7.703050485	2.1467
7.691621363	2.1619
7.680226106	2.1772
7.668864563	2.1934
7.657536586	2.2082
7.646242025	2.2222
7.634980733	2.238
7.623752563	2.2539
7.61255737	2.2681
7.601395008	2.2832
7.590265333	2.2966
7.579173946	2.3086
7.568109199	2.3201
7.557076711	2.3325
7.546076342	2.3469
7.535107952	2.3628
7.524171401	2.3796
7.51326655	2.3972
7.502393263	2.4143
7.491551403	2.4326
7.480740833	2.4521
7.469961418	2.4707
7.459213023	2.4873
7.448495516	2.5022
7.437808762	2.5159
7.42715263	2.53
7.416526989	2.5466
7.405931707	2.5657
7.395366655	2.5862
7.384831703	2.6074
7.374326724	2.6272
7.363851589	2.644
7.353406171	2.6599
7.342990345	2.6772
7.332603984	2.6946
7.322252325	2.7107
7.311924506	2.7266
7.30162578	2.7434
7.291356025	2.7605
7.281115117	2.7781
7.270902937	2.7964
7.260719363	2.8159
7.250564275	2.8364
7.240437554	2.8562
7.230339081	2.876
7.220268738	2.8965
7.210226408	2.9172
7.200211974	2.9377
7.19022532	2.9578
7.18026633	2.9788
7.17033489	3.0002
7.160436013	3.0207
7.150559317	3.0415
7.140709829	3.064
7.130887439	3.0874
7.121092034	3.1099
7.111323503	3.1335
7.101581735	3.1587
7.091866622	3.1833
7.082178053	3.206
7.07251592	3.2288
7.062880115	3.2529
7.053270531	3.2764
7.04368706	3.2969
7.034129597	3.3166
7.024598035	3.3362
7.01509227	3.354
7.005612196	3.3694
6.99615771	3.3852
6.986728709	3.4028
6.977325089	3.4202
6.967946748	3.4358
6.958593585	3.4512
6.949265497	3.4661
6.939962385	3.4807
6.930688952	3.4958
6.921435478	3.512
6.912206681	3.5281
6.903002461	3.5427
6.893822721	3.5547
6.884667364	3.5652
6.875536292	3.574
6.866429409	3.5845
6.857346618	3.5976
6.848287825	3.6101
6.839252935	3.6211
6.830241852	3.6311
6.821254483	3.6379
6.812290735	3.6433
6.803350514	3.6489
6.794433728	3.657
6.785540285	3.6655
6.776670093	3.6704
6.767823062	3.6716
6.7589991	3.6714
6.750198118	3.6706
6.741420026	3.6672
6.732664735	3.6638
6.723932156	3.6614
6.715226709	3.6567
6.706539278	3.6489
6.697874296	3.6387
6.689231675	3.6291
6.680611329	3.6206
6.672013173	3.6101
6.663437121	3.5998
6.654883087	3.592
6.646350987	3.5842
6.637840737	3.5747
6.629352253	3.5654
6.620885451	3.5564
6.612440248	3.5447
6.604016563	3.5298
6.595614312	3.5134
6.587233415	3.4968
6.578873789	3.4785
6.570535354	3.4587
6.56221803	3.4392
6.553921736	3.4184
6.545646392	3.3965
6.537391921	3.3745
6.529158241	3.3513
6.520945276	3.3279
6.512757189	3.3064
6.504585407	3.2864
6.496434107	3.2666
6.488303211	3.2471
6.480192643	3.2295
6.472102327	3.2126
6.464032186	3.1955
6.455982145	3.1797
6.44795213	3.1653
6.439942066	3.1497
6.431951879	3.133
6.423981494	3.1169
6.416030838	3.1013
6.408099838	3.0847
6.400188422	3.0696
6.392296516	3.0566
6.384424048	3.043
6.376570948	3.0286
6.368737143	3.0149
6.360922563	3.0032
6.353127136	2.991
6.345350793	2.977
6.337593464	2.9641
6.329855078	2.9507
6.322139564	2.9377
6.314438848	2.928
6.30675687	2.9199
6.29909356	2.9145
6.291448851	2.9101
6.283822676	2.9055
6.276214965	2.9009
6.268625654	2.8962
6.261054675	2.8933
6.253501961	2.8926
6.245967447	2.8921
6.238451067	2.8931
6.230952756	2.8938
6.223472449	2.895
6.21601008	2.8979
6.208565585	2.9018
6.201142747	2.9058
6.1937338	2.9089
6.186342535	2.9106
6.178968891	2.9133
6.171612803	2.9172
6.164274209	2.9224
6.156953047	2.9282
6.149649255	2.9341
6.14236277	2.9409
6.135093533	2.9465
6.12784148	2.9514
6.120606552	2.9578
6.113388688	2.9658
6.106187828	2.9734
6.099003911	2.9785
6.091836878	2.9824
6.084686669	2.9878
6.077553226	2.9936
