Name: Gray Quartzite
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  0-75 Micrometer
Sample No.:   qrtzit5.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 382, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a sample much like the previous one in composition.  It is a 
fine-grained slightly metamorphosed well-compacted sandstone with some 
secondary quartz deposition, and much more silica/chalcedony deposition.  The 
quartz grains, unlike the previous rock, show evidence of only weak strain and 
fewer fluid inclusions.  In addition there are scattered detrital green and brown 
tourmaline and zircon.   
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  qrtzit5a.txt

7.9390	6.2242
7.9268	5.7864
7.9147	5.3686
7.9027	4.9776
7.8906	4.6170
7.8786	4.2871
7.8667	3.9887
7.8548	3.7213
7.8429	3.4845
7.8310	3.2778
7.8192	3.0992
7.8075	2.9467
7.7957	2.8162
7.7840	2.7030
7.7723	2.6024
7.7607	2.5076
7.7491	2.4134
7.7375	2.3153
7.7260	2.2104
7.7145	2.0980
7.7031	1.9788
7.6916	1.8559
7.6802	1.7323
7.6689	1.6099
7.6575	1.4919
7.6462	1.3811
7.6350	1.2798
7.6238	1.1900
7.6126	1.1116
7.6014	1.0436
7.5903	0.98350
7.5792	0.92830
7.5681	0.87460
7.5571	0.82130
7.5461	0.76890
7.5351	0.71990
7.5242	0.67590
7.5133	0.63750
7.5024	0.60580
7.4916	0.57900
7.4807	0.55560
7.4700	0.53450
7.4592	0.51720
7.4485	0.50580
7.4378	0.50040
7.4272	0.50060
7.4165	0.50490
7.4059	0.51080
7.3954	0.51600
7.3848	0.52000
7.3743	0.52450
7.3639	0.53090
7.3534	0.53990
7.3430	0.55060
7.3326	0.56270
7.3223	0.57640
7.3119	0.59270
7.3016	0.61260
7.2914	0.63730
7.2811	0.66730
7.2709	0.70310
7.2607	0.74240
7.2506	0.78410
7.2404	0.82740
7.2303	0.87240
7.2203	0.91880
7.2102	0.96670
7.2002	1.0169
7.1902	1.0706
7.1803	1.1270
7.1703	1.1862
7.1604	1.2494
7.1506	1.3169
7.1407	1.3885
7.1309	1.4640
7.1211	1.5429
7.1113	1.6236
7.1016	1.7032
7.0919	1.7787
7.0822	1.8495
7.0725	1.9154
7.0629	1.9791
7.0533	2.0442
7.0437	2.1148
7.0341	2.1936
7.0246	2.2798
7.0151	2.3717
7.0056	2.4671
6.9962	2.5640
6.9867	2.6618
6.9773	2.7613
6.9679	2.8633
6.9586	2.9675
6.9493	3.0732
6.9400	3.1783
6.9307	3.2804
6.9214	3.3751
6.9122	3.4585
6.9030	3.5262
6.8938	3.5750
6.8847	3.6050
6.8755	3.6209
6.8664	3.6297
6.8573	3.6382
6.8483	3.6519
6.8393	3.6718
6.8302	3.6953
6.8213	3.7159
6.8123	3.7284
6.8034	3.7298
6.7944	3.7175
6.7855	3.6912
6.7767	3.6519
6.7678	3.6032
6.7590	3.5484
6.7502	3.4921
6.7414	3.4405
6.7327	3.3997
6.7239	3.3760
6.7152	3.3760
6.7065	3.4045
6.6979	3.4641
6.6892	3.5539
6.6806	3.6666
6.6720	3.7902
6.6634	3.9098
6.6549	4.0138
6.6464	4.0936
6.6378	4.1464
6.6294	4.1744
6.6209	4.1819
6.6124	4.1722
6.6040	4.1455
6.5956	4.1021
6.5872	4.0455
6.5789	3.9837
6.5705	3.9314
6.5622	3.9103
6.5539	3.9439
6.5456	4.0533
6.5374	4.2513
6.5292	4.5407
6.5209	4.9127
6.5128	5.3501
6.5046	5.8314
6.4964	6.3339
6.4883	6.8383
6.4802	7.3257
6.4721	7.7796
6.4640	8.1839
6.4560	8.5232
6.4480	8.7871
6.4399	8.9692
6.4320	9.0696
6.4240	9.0956
6.4160	9.0539
6.4081	8.9493
6.4002	8.7854
6.3923	8.5654
6.3844	8.2968
6.3766	7.9909
6.3687	7.6629
6.3609	7.3306
6.3531	7.0064
6.3454	6.6945
6.3376	6.3921
6.3299	6.0945
6.3221	5.7984
6.3144	5.5034
6.3068	5.2118
6.2991	4.9291
6.2914	4.6591
6.2838	4.4036
6.2762	4.1646
6.2686	3.9444
6.2611	3.7462
6.2535	3.5738
6.2460	3.4291
6.2385	3.3102
6.2310	3.2150
6.2235	3.1416
6.2160	3.0909
6.2086	3.0668
6.2011	3.0769
6.1937	3.1317
6.1863	3.2389
6.1790	3.4042
6.1716	3.6294
6.1643	3.9110
6.1570	4.2395
6.1496	4.6013
6.1424	4.9814
6.1351	5.3651
6.1278	5.7409
6.1206	6.1044
6.1134	6.4539
6.1062	6.7881
6.0990	7.1009
6.0918	7.3830
6.0847	7.6236
6.0776	7.8144
6.0704	7.9542
6.0633	8.0534
6.0563	8.1278
6.0492	8.1915
6.0421	8.2504
6.0351	8.3006
6.0281	8.3307
6.0211	8.3238
6.0141	8.2656
6.0071	8.1517
6.0002	7.9859
5.9932	7.7777
5.9863	7.5402
5.9794	7.2897
5.9725	7.0420
5.9657	6.8130
5.9588	6.6178
5.9520	6.4743
5.9451	6.3990
5.9383	6.4047
5.9315	6.4980
5.9247	6.6782
5.9180	6.9378
5.9112	7.2641
5.9045	7.6420
5.8978	8.0603
5.8911	8.5109
5.8844	8.9874
5.8777	9.4833
5.8711	9.9905
5.8644	10.498
5.8578	10.996
5.8512	11.474
5.8446	11.931
5.8380	12.371
5.8314	12.805
5.8249	13.244
5.8184	13.693
5.8118	14.148
5.8053	14.599
5.7988	15.033
5.7923	15.439
5.7859	15.815
5.7794	16.168
5.7730	16.511
5.7666	16.852
5.7602	17.194
5.7538	17.534
5.7474	17.863
5.7410	18.165
5.7347	18.428
5.7283	18.640
5.7220	18.794
5.7157	18.877
5.7094	18.875
5.7031	18.774
5.6969	18.555
5.6906	18.205
5.6844	17.716
5.6782	17.090
5.6719	16.339
5.6657	15.489
5.6596	14.577
5.6534	13.648
5.6472	12.748
5.6411	11.919
5.6349	11.191
5.6288	10.580
5.6227	10.084
5.6166	9.6919
5.6106	9.3860
5.6045	9.1477
5.5984	8.9630
5.5924	8.8238
5.5864	8.7293
5.5804	8.6817
5.5744	8.6840
5.5684	8.7390
5.5624	8.8463
5.5564	9.0023
5.5505	9.2029
5.5445	9.4437
5.5386	9.7232
5.5327	10.040
5.5268	10.392
5.5209	10.776
5.5151	11.185
5.5092	11.612
5.5033	12.045
5.4975	12.474
5.4917	12.892
5.4859	13.292
5.4801	13.667
5.4743	14.005
5.4685	14.292
5.4628	14.506
5.4570	14.621
5.4513	14.612
5.4455	14.459
5.4398	14.149
5.4341	13.684
5.4284	13.078
5.4228	12.354
5.4171	11.540
5.4114	10.671
5.4058	9.7800
5.4002	8.8993
5.3945	8.0610
5.3889	7.2949
5.3833	6.6249
5.3778	6.0651
5.3722	5.6206
5.3666	5.2869
5.3611	5.0522
5.3555	4.9000
5.3500	4.8147
5.3445	4.7820
