Name: Green Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  0-75 Micrometer
Sample No.:   qtzite2.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 376, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description:  This medium to fine-grained rock contains aligned quartz grains 
showing strain, pressure solution effects, recrystallization and scattered fluid 
inclusions.  Green bands or lenses contain cores of larger grains surrounded by 
smaller ones produced by mechanical breakage (cataclasis).  These grains are 
colorless to very pale green and appear to be tremolite.   Modes for this sample 
were 77.5% quartz and 22.5% amphibole. 
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None

8.0750	8.2473
8.0624	7.9194
8.0499	7.6122
8.0374	7.3344
8.0250	7.0843
8.0126	6.8504
8.0002	6.6263
7.9879	6.3954
7.9756	6.1423
7.9634	5.8555
7.9512	5.5469
7.9390	5.2360
7.9268	4.9333
7.9147	4.6425
7.9027	4.3700
7.8906	4.1168
7.8786	3.8828
7.8667	3.6690
7.8548	3.4767
7.8429	3.3102
7.8310	3.1738
7.8192	3.0677
7.8075	2.9931
7.7957	2.9460
7.7840	2.9199
7.7723	2.9043
7.7607	2.8851
7.7491	2.8562
7.7375	2.8169
7.7260	2.7686
7.7145	2.7175
7.7031	2.6684
7.6916	2.6237
7.6802	2.5775
7.6689	2.5247
7.6575	2.4688
7.6462	2.4049
7.6350	2.3324
7.6238	2.2635
7.6126	2.2057
7.6014	2.1645
7.5903	2.1446
7.5792	2.1444
7.5681	2.1576
7.5571	2.1721
7.5461	2.1806
7.5351	2.1825
7.5242	2.1766
7.5133	2.1707
7.5024	2.1697
7.4916	2.1683
7.4807	2.1730
7.4700	2.1863
7.4592	2.2029
7.4485	2.2280
7.4378	2.2640
7.4272	2.3104
7.4165	2.3599
7.4059	2.4077
7.3954	2.4577
7.3848	2.5024
7.3743	2.5375
7.3639	2.5706
7.3534	2.6043
7.3430	2.6445
7.3326	2.6919
7.3223	2.7449
7.3119	2.8051
7.3016	2.8678
7.2914	2.9351
7.2811	3.0085
7.2709	3.0890
7.2607	3.1807
7.2506	3.2749
7.2404	3.3590
7.2303	3.4355
7.2203	3.5013
7.2102	3.5468
7.2002	3.5643
7.1902	3.5551
7.1803	3.5342
7.1703	3.5108
7.1604	3.4916
7.1506	3.4937
