Name:  Anorthite CaAl2Si2O8
Type:  Mineral (Synthetic)
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (75-250 Micrometers)
Sample No.:  anorthite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Bruce Hemingway, USGS; synthesized by James 
Woodhead, Princeton University.
Description: The sample was a coarse white powder.  The sample 
appears pure under the microscope, with very fine 
(cryptocrystalline) texture.



Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information:  anorth1a.txt

18.31854111	3.2842
18.25407111	3.2917
18.19002023	3.2915
18.12641726	3.2517
18.06325753	3.2754
18.00053642	3.3547
17.93824937	3.3777
17.8763919	3.3921
17.81495958	3.4678
17.75394803	3.5120
17.69335296	3.5146
17.63317011	3.4770
17.57339529	3.4372
17.51402436	3.4058
17.45505324	3.3725
17.39647791	3.3657
17.3382944	3.3518
17.28049878	3.3384
17.2230872	3.3350
17.16605584	3.3523
17.10940093	3.3184
17.05311876	3.2644
16.99720566	3.2624
16.94165801	3.2610
16.88647225	3.2283
16.83167317	3.2178
16.77720046	3.2180
16.72307919	3.2297
16.66930597	3.1877
16.61587747	3.1719
16.56279037	3.1877
16.51004141	3.1719
16.45762737	3.1079
16.40554507	3.0647
16.35379138	3.0444
16.30236319	3.0630
16.25125744	3.1348
16.20047111	3.2317
16.15000121	3.2966
16.0998448	3.3564
16.04999896	3.3845
16.00048641	3.4263
15.95125297	3.4036
15.90232158	3.3467
15.85368947	3.2778
15.80535391	3.1777
15.75731218	3.0788
15.70956162	2.9582
15.6620996	2.8235
15.61492349	2.6626
15.56803074	2.4717
15.52141878	2.2993
15.47508511	2.1616
15.42902725	2.0762
15.38324273	2.0447
15.33772913	2.0044
15.29248405	1.9851
15.24750513	2.0359
15.20279002	2.0828
15.1583364	2.0911
15.114142	2.1321
15.07020455	2.1809
15.02652181	2.1887
14.98309158	2.1550
14.93991168	2.1497
14.89700213	2.1580
14.85431629	2.1174
14.81187438	2.1101
14.76967431	2.1006
14.72771402	2.0515
14.68599147	2.0205
14.64450465	2.0142
14.60325156	2.0090
14.56223023	1.9978
14.52143873	1.9893
14.48087511	1.9907
14.44053748	1.9868
14.40042395	1.9380
14.36053266	1.9336
14.32086177	1.9604
14.28140946	1.9778
14.24217393	1.9819
14.20315338	1.9763
14.16434607	1.9736
14.12575025	1.9761
14.0873642	1.9993
14.0491862	2.0400
14.01121458	2.0637
13.97344765	2.0923
13.93590321	2.1123
13.89854065	2.1140
13.8613779	2.1460
13.82441336	2.1912
13.78764544	2.2048
13.75107258	2.1653
13.71469324	2.1260
13.67850587	2.1099
13.64250897	2.0984
13.60670103	2.0837
13.57108057	2.0681
13.53564612	2.0337
13.50039624	2.0278
13.46532947	2.0508
13.4304444	2.0632
13.39573962	2.0762
13.36121373	2.1099
13.32686536	2.1575
13.29269314	2.1863
13.25869572	2.1665
13.22487175	2.1455
13.19121992	2.1333
13.15773892	2.0979
13.12442745	2.0681
13.09130135	2.0290
13.05832501	2.0061
13.02551438	2.0029
12.99286821	1.9927
12.96038529	1.9802
12.92806437	1.9595
12.89590426	1.9294
12.86390376	1.9114
12.83206168	1.9116
12.80037684	1.9265
12.7688481	1.9263
12.73747429	1.9316
12.70625427	1.9788
12.67518693	2.0171
12.64427113	2.0215
12.61350579	2.0403
12.58290562	2.0730
12.55243781	2.1108
12.52211719	2.1396
12.4919427	2.1489
12.46191328	2.1694
12.43202789	2.1985
12.40228549	2.1941
12.37268507	2.2107
12.34322561	2.2424
12.31390609	2.2747
12.28472554	2.2883
12.25568296	2.2891
12.22677738	2.2996
12.19800782	2.3262
12.16937334	2.3372
12.14087298	2.3359
12.1125058	2.3574
12.08427087	2.3799
12.05616727	2.3787
12.02819409	2.3799
12.00035041	2.4270
11.97263534	2.4595
11.945048	2.4424
11.9175875	2.4368
11.8902671	2.4770
11.86305761	2.5093
11.83597236	2.5063
11.80901051	2.5046
11.78217122	2.5117
11.75545365	2.4988
11.72885698	2.4990
11.70238038	2.5259
11.67602305	2.5559
11.64978419	2.5684
11.62366299	2.5903
11.59765866	2.6174
