Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color.  This is a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

11.14871946	3.9844
11.12479461	3.9316
11.10097222	3.8594
11.07725165	3.7927
11.05363222	3.7309
11.03011331	3.6748
11.00669427	3.626
10.98337447	3.5615
10.96015327	3.501
10.93703005	3.4382
10.9140042	3.3752
10.89107509	3.3166
10.86824213	3.2566
10.8455047	3.189
10.82286221	3.1265
10.80031407	3.0666
10.77785969	2.989
10.75549848	2.9238
10.73322986	2.8621
10.71106474	2.814
10.68897956	2.7583
10.66698525	2.6926
10.64508128	2.6296
10.62326708	2.5715
10.6015421	2.5105
10.5799058	2.4463
10.55835763	2.3921
10.53689705	2.3469
10.51552354	2.2749
10.49423657	2.1946
10.4730356	2.1443
10.45192012	2.0998
10.43088962	2.0513
10.40994358	2.0295
10.38908149	2.0005
10.36830285	1.9714
10.34760717	1.9636
10.32699394	1.9514
10.30646267	1.9365
10.28601287	1.9385
10.26564407	1.9487
10.24535578	1.9741
10.22514752	1.9944
10.20502924	2.0217
10.1849796	2.0635
10.16500858	2.0874
10.14511574	2.1018
10.12530059	2.1331
10.10556271	2.1372
10.08590162	2.1382
10.0663169	2.1665
10.04680808	2.1843
10.02737473	2.1914
10.00801642	2.2056
9.98873271	2.2229
9.969523168	2.2458
9.950387369	2.2559
9.931324888	2.2451
9.912335307	2.2346
9.893427994	2.2075
9.874582922	2.1592
9.855809507	2.0825
9.83710734	1.9761
9.818476015	1.8755
9.799915133	1.8335
9.781424293	1.8528
9.7630031	1.9192
9.744651161	2.011
9.726368087	2.1094
9.70815349	2.2192
9.690006986	2.3105
9.671928196	2.3752
9.653916739	2.4121
9.635972241	2.4282
9.618094328	2.4348
9.600282632	2.4214
9.582536785	2.4087
9.564856422	2.384
9.547241181	2.3232
9.529690704	2.2407
9.512204634	2.1497
9.494782617	2.0408
9.477424301	1.9495
9.460138288	1.8992
9.4429063	1.8877
9.425736975	1.8935
9.408629972	1.9011
9.391584952	1.8977
9.374601579	1.8682
9.35767952	1.8352
9.340818443	1.8096
9.324018018	1.761
9.307277919	1.7156
9.290597822	1.7009
9.273977405	1.697
9.257416348	1.7043
9.240914333	1.7295
9.224471046	1.7446
9.208086173	1.7444
9.191759404	1.7593
9.17549043	1.7795
9.159278945	1.782
9.143124645	1.7659
9.127027227	1.7476
9.110986392	1.7205
9.095001842	1.6931
9.079073281	1.6633
9.06320863	1.6543
9.04739114	1.666
9.031628764	1.6836
9.015921215	1.7019
9.000268208	1.7148
8.984669459	1.7314
8.969124685	1.7539
8.953633608	1.7637
8.93819595	1.7815
8.922811435	1.8049
8.907479789	1.8025
8.89220074	1.8218
8.876974017	1.8484
8.861799353	1.8599
8.846676481	1.8677
8.831605135	1.8848
8.816585054	1.8987
8.801615977	1.9119
8.786697643	1.929
8.771829795	1.9683
8.757012178	2.0027
8.742244536	2.0388
8.727526619	2.0715
8.712858175	2.1121
8.69824652	2.1545
8.683676252	2.1877
8.669154714	2.2256
8.654681663	2.26
8.640256858	2.2915
8.625880055	2.3164
8.611551018	2.3359
8.597269507	2.3586
8.583035287	2.3838
8.568848124	2.4065
8.554707784	2.4268
8.540614036	2.4477
8.52656665	2.4673
8.512565398	2.4871
8.498610052	2.5102
8.484700388	2.5454
8.470836182	2.5779
8.45701721	2.613
8.443243252	2.6538
8.429514089	2.6977
8.415829502	2.7566
8.402189274	2.8191
8.388593191	2.8799
8.375041038	2.9355
8.361539594	2.9883
8.348074642	3.0403
8.334652987	3.083
8.32127442	3.1265
8.307938734	3.1724
8.294645723	3.2136
8.281395183	3.2615
8.268186911	3.323
8.255020704	3.3774
8.241896361	3.425
8.228813685	3.4753
8.215772476	3.5222
8.202772537	3.5525
8.189813674	3.5566
8.176895691	3.5469
8.164018395	3.5276
8.151188239	3.4951
8.138391724	3.4548
8.125635323	3.3994
8.11291885	3.3423
8.100242116	3.2905
8.087604937	3.2353
8.075007126	3.1746
8.062448501	3.1023
8.049928879	3.0242
8.037448078	2.9458
8.025005918	2.8647
8.012602221	2.7847
8.000236807	2.6921
7.9879095	2.5964
7.975620124	2.5037
7.963368505	2.396
7.951154468	2.28
7.938977841	2.1665
7.926838452	2.0461
7.914736131	1.9197
7.902670708	1.7956
7.890642014	1.6685
7.878649883	1.55
7.866694148	1.4309
7.854780812	1.311
7.842897355	1.2046
7.831049799	1.1062
7.819237984	1.0173
7.807461747	0.9382
7.795720929	0.8699
7.784015369	0.8149
7.772344909	0.772
7.760709391	0.7253
7.749108659	0.699
7.737542556	0.696
7.726010929	0.6978
7.714513623	0.7107
7.703050485	0.7332
7.691621363	0.7607
7.680226106	0.8
7.668864563	0.8538
7.657536586	0.9009
7.646242025	0.9539
7.634980733	1.0156
7.623752563	1.0789
7.61255737	1.1492
7.601395008	1.229
7.590265333	1.3196
7.579173946	1.4087
7.568109199	1.4905
7.557076711	1.572
7.546076342	1.666
7.535107952	1.7661
7.524171401	1.8616
7.51326655	1.9394
7.502393263	2.0168
7.491551403	2.1013
7.480740833	2.1887
7.469961418	2.2685
7.459213023	2.3293
7.448495516	2.3852
7.437808762	2.4446
7.42715263	2.5041
7.416526989	2.5576
7.405931707	2.6067
7.395366655	2.6675
7.384831703	2.729
7.374326724	2.7817
7.363851589	2.8491
7.353406171	2.9221
7.342990345	2.9829
7.332603984	3.0557
7.322252325	3.1362
7.311924506	3.2038
7.30162578	3.2707
7.291356025	3.3376
7.281115117	3.4053
7.270902937	3.4658
7.260719363	3.5264
7.250564275	3.5898
7.240437554	3.6445
7.230339081	3.6951
7.220268738	3.7388
7.210226408	3.7832
7.200211974	3.8572
7.19022532	3.9546
7.18026633	4.0549
7.17033489	4.1531
7.160436013	4.249
7.150559317	4.3447
7.140709829	4.4416
7.130887439	4.5271
7.121092034	4.6062
7.111323503	4.6833
7.101581735	4.7573
7.091866622	4.8247
7.082178053	4.8823
7.07251592	4.9302
7.062880115	4.9802
7.053270531	5.0215
7.04368706	5.0659
7.034129597	5.1035
7.024598035	5.1247
7.01509227	5.133
7.005612196	5.1387
6.99615771	5.1543
6.986728709	5.1733
6.977325089	5.1816
6.967946748	5.1921
6.958593585	5.2165
6.949265497	5.2583
6.939962385	5.3032
6.930688952	5.3562
6.921435478	5.4057
6.912206681	5.4487
6.903002461	5.4953
6.893822721	5.5342
6.884667364	5.5674
6.875536292	5.6025
6.866429409	5.6221
6.857346618	5.6465
6.848287825	5.6865
6.839252935	5.709
6.830241852	5.7136
6.821254483	5.7234
6.812290735	5.7346
6.803350514	5.7226
6.794433728	5.6958
6.785540285	5.6887
6.776670093	5.6914
6.767823062	5.6914
6.7589991	5.6977
6.750198118	5.7077
6.741420026	5.7204
6.732664735	5.7539
6.723932156	5.7954
6.715226709	5.8337
6.706539278	5.8706
6.697874296	5.9119
6.689231675	5.9426
6.680611329	5.9543
6.672013173	5.9631
6.663437121	5.978
6.654883087	5.9773
6.646350987	5.9514
6.637840737	5.9407
6.629352253	5.9541
6.620885451	5.9709
6.612440248	5.9973
6.604016563	6.0273
6.595614312	6.0547
6.587233415	6.1013
6.578873789	6.1526
6.570535354	6.1841
6.56221803	6.216
6.553921736	6.2449
6.545646392	6.2663
6.537391921	6.2829
6.529158241	6.2978
6.520945276	6.3242
6.512757189	6.3642
6.504585407	6.3923
6.496434107	6.417
6.488303211	6.4614
6.480192643	6.5176
6.472102327	6.572
6.464032186	6.6294
6.455982145	6.6733
6.44795213	6.7248
6.439942066	6.7727
6.431951879	6.7954
6.423981494	6.8052
6.416030838	6.801
6.408099838	6.7983
6.400188422	6.7873
6.392296516	6.7678
6.384424048	6.7431
6.376570948	6.699
6.368737143	6.6594
6.360922563	6.6326
6.353127136	6.5815
6.345350793	6.5273
6.337593464	6.5005
6.329855078	6.4587
6.322139564	6.4118
6.314438848	6.3838
6.30675687	6.3559
6.29909356	6.3232
6.291448851	6.293
6.283822676	6.2803
6.276214965	6.2519
6.268625654	6.2121
6.261054675	6.1853
6.253501961	6.1535
6.245967447	6.113
6.238451067	6.0718
6.230952756	6.0434
6.223472449	6.0242
6.21601008	6.01
6.208565585	5.9907
6.201142747	5.9765
6.1937338	5.9734
6.186342535	5.9692
6.178968891	5.9993
6.171612803	6.0449
6.164274209	6.0889
6.156953047	6.1501
6.149649255	6.2168
6.14236277	6.282
6.135093533	6.3594
6.12784148	6.4309
6.120606552	6.4866
6.113388688	6.5361
6.106187828	6.5871
6.099003911	6.6311
6.091836878	6.6589
6.084686669	6.6692
6.077553226	6.6675
6.070436489	6.6741
6.063336399	6.6799
6.056252899	6.6618
6.049185931	6.6391
6.042135436	6.657
6.035101357	6.6738
6.02808727	6.6745
6.021085843	6.6826
6.01410066	6.6968
6.007131667	6.7175
6.000178805	6.7429
5.99324202	6.7641
5.986321256	6.7812
5.979416457	6.8059
5.972527568	6.8193
5.965654534	6.8205
5.9587973	6.8154
5.951955813	6.802
5.945130017	6.7766
5.938319859	6.7388
5.931525286	6.7241
5.924746243	6.7182
5.917982678	6.6914
5.911234538	6.677
5.904501769	6.6704
5.89778432	6.664
5.891082139	6.6875
5.884395172	6.7102
5.87772337	6.73
5.871066679	6.7576
5.864428488	6.7837
5.85780186	6.8132
5.851190191	6.8323
5.84459343	6.8403
