Name:  Albite NaAlSi3O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework silicates) (Feldspar Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  albite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rutherford, Virginia, USA via the Smithsonian 
(sample no. NMNHC5390) and Bruce Hemingway.
Description: The sample was a large (2 cm x 2 cm x 2 cm) fragment of 
a twinned crystal.  The sample appeared very fresh.  It was 
translucent and light gray to white in color Ñ a sample of the classic 
Amelia albite.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: albite1a.txt

12.1125058	2.3857
12.08427087	2.4119
12.05616727	2.4329
12.02819409	2.4507
12.00035041	2.4753
11.97263534	2.5041
11.945048	2.512
11.9175875	2.5247
11.8902671	2.5454
11.86305761	2.5615
11.83597236	2.5825
11.80901051	2.6084
11.78217122	2.6184
11.75545365	2.6189
11.72885698	2.6269
11.70238038	2.6499
11.67602305	2.6672
11.64978419	2.6716
11.62366299	2.6958
11.59765866	2.72
11.57177043	2.7192
11.54599752	2.7119
11.52033916	2.7256
11.49479458	2.7385
11.46936304	2.7693
11.44404378	2.7974
11.41883606	2.8164
11.39373914	2.8281
11.3687523	2.8403
11.34387482	2.8535
11.31910597	2.8733
11.29444505	2.9023
11.26990406	2.9265
11.24545684	2.9265
11.22111545	2.9419
11.19687921	2.9602
11.17274743	2.9729
11.14871946	2.9907
11.12479461	3.0071
11.10097222	3.0132
11.07725165	3.0334
11.05363222	3.0583
11.03011331	3.0676
11.00669427	3.0791
10.98337447	3.1177
10.96015327	3.1487
10.93703005	3.1631
10.9140042	3.1902
10.89107509	3.1992
10.86824213	3.2139
10.8455047	3.2571
10.82286221	3.2991
10.80031407	3.3186
10.77785969	3.3494
10.75549848	3.387
10.73322986	3.4199
10.71106474	3.4507
10.68897956	3.4866
10.66698525	3.5259
10.64508128	3.5561
10.62326708	3.6052
10.6015421	3.657
10.5799058	3.6946
10.55835763	3.7412
10.53689705	3.7969
10.51552354	3.8572
10.49423657	3.9075
10.4730356	3.9739
10.45192012	4.0412
10.43088962	4.1155
10.40994358	4.2217
10.38908149	4.3208
10.36830285	4.4004
10.34760717	4.5056
10.32699394	4.6387
10.30646267	4.7688
10.28601287	4.916
10.26564407	5.0881
10.24535578	5.2666
10.22514752	5.4626
10.20502924	5.6702
10.1849796	5.8777
10.16500858	6.0879
10.14511574	6.2978
10.12530059	6.5212
10.10556271	6.7229
10.08590162	6.9223
10.0663169	7.1655
10.04680808	7.4072
10.02737473	7.6377
10.00801642	7.8755
9.98873271	8.0996
9.969523168	8.2978
9.950387369	8.4929
9.931324888	8.647
9.912335307	8.7182
9.893427994	8.7146
9.874582922	8.6037
9.855809507	8.2971
9.83710734	7.812
9.818476015	7.3032
9.799915133	7.0036
9.781424293	7.0422
9.7630031	7.3779
9.744651161	7.8728
9.726368087	8.4177
9.70815349	9.0119
9.690006986	9.6115
9.671928196	10.0859
9.653916739	10.4145
9.635972241	10.6377
9.618094328	10.7446
9.600282632	10.7495
9.582536785	10.6899
9.564856422	10.5237
9.547241181	10.1701
9.529690704	9.6018
