Name:  Natrolite Na2Al2Si3O10.2H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (ZeoliteGroup)
Particle Size:  Solid
Sample No.: natrol.1
Owner:  JHU
Wavelength Range:  IR
Origin: Poonah, India via Hunt and Salisbury Collection #169B

Description: The sample appeared to be pure natrolite, although most 
grains were permeated with what appeared to be fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  natrol1a.txt

11.945048	12.3296
11.9175875	12.4196
11.8902671	12.5132
11.86305761	12.602
11.83597236	12.6938
11.80901051	12.7895
11.78217122	12.8838
11.75545365	12.977
11.72885698	13.0752
11.70238038	13.1748
11.67602305	13.2763
11.64978419	13.3774
11.62366299	13.4751
11.59765866	13.58
11.57177043	13.6845
11.54599752	13.792
11.52033916	13.8999
11.49479458	14.0112
11.46936304	14.124
11.44404378	14.2458
11.41883606	14.3735
11.39373914	14.5009
11.3687523	14.6291
11.34387482	14.7612
11.31910597	14.8974
11.29444505	15.0424
11.26990406	15.1941
11.24545684	15.3466
11.22111545	15.5058
11.19687921	15.6684
11.17274743	15.8364
11.14871946	16.0122
11.12479461	16.1948
11.10097222	16.3852
11.07725165	16.5786
11.05363222	16.7846
11.03011331	17.0002
11.00669427	17.2255
10.98337447	17.4641
10.96015327	17.7128
10.93703005	17.9743
10.9140042	18.2487
10.89107509	18.538
10.86824213	18.8449
10.8455047	19.1684
10.82286221	19.5112
10.80031407	19.8735
10.77785969	20.2592
10.75549848	20.6782
10.73322986	21.1252
10.71106474	21.601
10.68897956	22.1069
10.66698525	22.6489
10.64508128	23.2326
10.62326708	23.8862
10.6015421	24.6142
10.5799058	25.4135
10.55835763	26.3051
10.53689705	27.3085
10.51552354	28.4716
10.49423657	29.8517
10.4730356	31.5058
10.45192012	33.4862
10.43088962	35.8615
10.40994358	38.6322
10.38908149	41.5416
10.36830285	44.0338
10.34760717	45.5609
10.32699394	46.1737
10.30646267	46.328
10.28601287	45.9096
10.26564407	44.5897
10.24535578	42.8573
10.22514752	41.6913
10.20502924	41.5551
10.1849796	42.348
10.16500858	43.8578
10.14511574	46.0038
10.12530059	48.7196
10.10556271	51.7264
10.08590162	54.35
10.0663169	55.8531
10.04680808	56.5003
10.02737473	57.2669
10.00801642	58.1686
9.98873271	58.3434
9.969523168	57.4115
9.950387369	55.786
9.931324888	54.201
9.912335307	53.1473
9.893427994	52.3158
9.874582922	50.9342
9.855809507	48.4637
9.83710734	44.7948
9.818476015	40.2011
9.799915133	35.1376
9.781424293	29.9233
9.7630031	24.5544
9.744651161	19.0317
9.726368087	14.1113
9.70815349	11.042
9.690006986	10.1445
9.671928196	10.6726
9.653916739	11.9038
9.635972241	13.5276
9.618094328	15.4296
9.600282632	17.5288
9.582536785	19.7602
9.564856422	22.0722
9.547241181	24.4526
9.529690704	26.8925
9.512204634	29.3691
9.494782617	31.8583
9.477424301	34.3153
9.460138288	36.7064
9.4429063	38.912
9.425736975	40.6781
9.408629972	41.64
9.391584952	41.5177
9.374601579	40.3515
9.35767952	38.4586
9.340818443	36.2641
9.324018018	34.2436
9.307277919	32.8432
9.290597822	32.278
9.273977405	32.5163
9.257416348	33.4577
9.240914333	35.0395
9.224471046	37.1503
9.208086173	39.5453
9.191759404	41.8612
9.17549043	43.7255
9.159278945	44.9298
9.143124645	45.4994
9.127027227	45.535
9.110986392	45.1913
9.095001842	44.6322
9.079073281	44.0834
9.06320863	43.7733
9.04739114	43.9389
9.031628764	44.702
9.015921215	45.9613
9.000268208	47.3363
8.984669459	48.4408
8.969124685	49.0489
8.953633608	49.1249
8.93819595	48.7494
8.922811435	48.0746
8.907479789	47.2123
8.89220074	46.2562
8.876974017	45.2426
8.861799353	44.2247
8.846676481	43.2162
8.831605135	42.2057
8.816585054	41.1684
8.801615977	40.0831
8.786697643	38.953
8.771829795	37.7875
8.757012178	36.6002
8.742244536	35.4198
8.727526619	34.2458
8.712858175	33.0778
8.69824652	31.8847
8.683676252	30.6537
8.669154714	29.3837
8.654681663	28.079
8.640256858	26.7485
8.625880055	25.3989
8.611551018	24.0439
8.597269507	22.6757
8.583035287	21.2866
8.568848124	19.8901
8.554707784	18.4956
8.540614036	17.121
8.52656665	15.7846
8.512565398	14.4926
8.498610052	13.2485
8.484700388	12.0432
