Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size:  Solid (cleavage face)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt

12.05616727	11.1692
12.02819409	11.2861
12.00035041	11.4004
11.97263534	11.5127
11.945048	11.624
11.9175875	11.7358
11.8902671	11.8484
11.86305761	11.9621
11.83597236	12.0771
11.80901051	12.1931
11.78217122	12.3103
11.75545365	12.4279
11.72885698	12.5459
11.70238038	12.664
11.67602305	12.7819
11.64978419	12.8994
11.62366299	13.0158
11.59765866	13.1318
11.57177043	13.2468
11.54599752	13.361
11.52033916	13.4746
11.49479458	13.5874
11.46936304	13.6992
11.44404378	13.8103
11.41883606	13.9206
11.39373914	14.0305
11.3687523	14.1399
11.34387482	14.2478
11.31910597	14.3535
11.29444505	14.4553
11.26990406	14.5527
11.24545684	14.6452
11.22111545	14.7338
11.19687921	14.82
11.17274743	14.9067
11.14871946	14.9953
11.12479461	15.0876
11.10097222	15.1833
11.07725165	15.2815
11.05363222	15.3801
11.03011331	15.4777
11.00669427	15.5749
10.98337447	15.6721
10.96015327	15.7719
10.93703005	15.8769
10.9140042	15.989
10.89107509	16.1088
10.86824213	16.237
10.8455047	16.3732
10.82286221	16.5175
10.80031407	16.6706
10.77785969	16.8339
10.75549848	17.009
10.73322986	17.1965
10.71106474	17.3969
10.68897956	17.6098
10.66698525	17.8339
10.64508128	18.0676
10.62326708	18.309
10.6015421	18.5571
10.5799058	18.811
10.55835763	19.071
10.53689705	19.3376
10.51552354	19.611
10.49423657	19.892
10.4730356	20.1801
10.45192012	20.4755
10.43088962	20.7775
10.40994358	21.0864
10.38908149	21.4023
10.36830285	21.7248
10.34760717	22.0529
10.32699394	22.3852
10.30646267	22.7192
10.28601287	23.0519
10.26564407	23.3818
10.24535578	23.7087
10.22514752	24.0339
10.20502924	24.3598
10.1849796	24.6894
10.16500858	25.0251
10.14511574	25.3679
10.12530059	25.7175
10.10556271	26.0724
10.08590162	26.4318
10.0663169	26.7931
10.04680808	27.1547
10.02737473	27.5146
10.00801642	27.8703
9.98873271	28.2184
9.969523168	28.5553
9.950387369	28.8766
9.931324888	29.1784
9.912335307	29.4562
9.893427994	29.7074
9.874582922	29.9303
9.855809507	30.1254
9.83710734	30.2944
9.818476015	30.4401
9.799915133	30.5673
9.781424293	30.6813
9.7630031	30.7883
9.744651161	30.8942
9.726368087	31.0055
9.70815349	31.1286
9.690006986	31.2677
9.671928196	31.4272
9.653916739	31.6088
9.635972241	31.8139
9.618094328	32.0419
9.600282632	32.2926
9.582536785	32.5656
9.564856422	32.8598
9.547241181	33.175
9.529690704	33.5102
9.512204634	33.8656
9.494782617	34.2414
9.477424301	34.6374
9.460138288	35.0531
9.4429063	35.4853
9.425736975	35.9267
9.408629972	36.3651
9.391584952	36.7841
9.374601579	37.163
9.35767952	37.4811
9.340818443	37.7187
9.324018018	37.8617
9.307277919	37.903
9.290597822	37.8437
9.273977405	37.692
9.257416348	37.4628
9.240914333	37.1725
9.224471046	36.839
9.208086173	36.477
9.191759404	36.0983
9.17549043	35.7116
9.159278945	35.3234
9.143124645	34.9377
9.127027227	34.557
9.110986392	34.1828
9.095001842	33.8158
9.079073281	33.4557
9.06320863	33.1025
9.04739114	32.7565
9.031628764	32.4184
9.015921215	32.0893
9.000268208	31.7714
8.984669459	31.4655
8.969124685	31.1728
8.953633608	30.893
8.93819595	30.6257
8.922811435	30.3696
8.907479789	30.1242
8.89220074	29.8884
8.876974017	29.6625
8.861799353	29.446
8.846676481	29.2385
8.831605135	29.0383
8.816585054	28.8432
8.801615977	28.6501
8.786697643	28.4552
8.771829795	28.256
8.757012178	28.05
8.742244536	27.8359
8.727526619	27.6137
8.712858175	27.3835
8.69824652	27.1462
8.683676252	26.9035
8.669154714	26.6574
8.654681663	26.4111
8.640256858	26.1681
8.625880055	25.9333
8.611551018	25.7109
8.597269507	25.5051
8.583035287	25.3198
8.568848124	25.1567
8.554707784	25.017
8.540614036	24.8994
8.52656665	24.8022
8.512565398	24.7211
8.498610052	24.6518
8.484700388	24.5876
8.470836182	24.5219
8.45701721	24.4477
8.443243252	24.3578
8.429514089	24.2453
8.415829502	24.1035
8.402189274	23.9272
8.388593191	23.7121
8.375041038	23.456
8.361539594	23.1586
8.348074642	22.822
8.334652987	22.4499
8.32127442	22.0468
8.307938734	21.6179
8.294645723	21.1682
8.281395183	20.7014
8.268186911	20.2199
8.255020704	19.7238
8.241896361	19.2087
8.228813685	18.6665
8.215772476	18.0859
8.202772537	17.4545
8.189813674	16.7622
8.176895691	16.0031
8.164018395	15.1792
8.151188239	14.2998
8.138391724	13.3801
8.125635323	12.4394
8.11291885	11.4968
8.100242116	10.5696
8.087604937	9.6711
8.075007126	8.8108
8.062448501	7.9949
8.049928879	7.2258
8.037448078	6.5044
8.025005918	5.8298
8.012602221	5.2009
8.000236807	4.6169
7.9879095	4.0774
7.975620124	3.584
7.963368505	3.1392
7.951154468	2.7466
7.938977841	2.4094
7.926838452	2.1306
7.914736131	1.9116
7.902670708	1.7507
7.890642014	1.645
7.878649883	1.5886
7.866694148	1.5745
7.854780812	1.5945
7.842897355	1.6411
7.831049799	1.7073
7.819237984	1.7869
7.807461747	1.875
7.795720929	1.9685
7.784015369	2.0649
7.772344909	2.1626
7.760709391	2.2607
7.749108659	2.3584
7.737542556	2.4553
7.726010929	2.5513
7.714513623	2.6457
7.703050485	2.7393
7.691621363	2.8313
7.680226106	2.9224
7.668864563	3.012
7.657536586	3.1003
7.646242025	3.1872
7.634980733	3.2729
7.623752563	3.3574
7.61255737	3.4407
7.601395008	3.5225
7.590265333	3.603
7.579173946	3.6821
7.568109199	3.76
7.557076711	3.8364
7.546076342	3.9119
7.535107952	3.9856
7.524171401	4.0579
7.51326655	4.1279
7.502393263	4.1958
7.491551403	4.262
7.480740833	4.3266
7.469961418	4.3909
7.459213023	4.4548
7.448495516	4.5193
7.437808762	4.584
7.42715263	4.6484
7.416526989	4.7126
7.405931707	4.7761
7.395366655	4.8384
7.384831703	4.8987
7.374326724	4.957
7.363851589	5.0137
7.353406171	5.0686
7.342990345	5.123
7.332603984	5.1767
7.322252325	5.23
7.311924506	5.2825
7.30162578	5.3345
7.291356025	5.3855
7.281115117	5.4365
7.270902937	5.4875
7.260719363	5.539
7.250564275	5.5911
7.240437554	5.6423
7.230339081	5.6926
7.220268738	5.741
7.210226408	5.7871
7.200211974	5.8313
7.19022532	5.8738
7.18026633	5.9158
7.17033489	5.958
7.160436013	6.001
7.150559317	6.0444
7.140709829	6.0891
7.130887439	6.1343
7.121092034	6.1792
7.111323503	6.2226
7.101581735	6.2634
7.091866622	6.3008
7.082178053	6.334
7.07251592	6.3635
7.062880115	6.3918
7.053270531	6.4221
7.04368706	6.4563
7.034129597	6.4946
7.024598035	6.5354
7.01509227	6.5754
7.005612196	6.6111
6.99615771	6.6404
6.986728709	6.6645
6.977325089	6.6865
6.967946748	6.7099
6.958593585	6.7373
6.949265497	6.7695
6.939962385	6.8052
6.930688952	6.8413
6.921435478	6.874
6.912206681	6.9006
6.903002461	6.9204
6.893822721	6.9331
6.884667364	6.9414
6.875536292	6.9516
6.866429409	6.9682
6.857346618	6.9934
6.848287825	7.0261
6.839252935	7.0625
6.830241852	7.0969
6.821254483	7.1247
6.812290735	7.146
6.803350514	7.1665
6.794433728	7.1929
6.785540285	7.229
6.776670093	7.2751
6.767823062	7.3281
6.7589991	7.3808
6.750198118	7.426
6.741420026	7.4597
6.732664735	7.4822
6.723932156	7.4978
6.715226709	7.511
6.706539278	7.5254
6.697874296	7.5429
6.689231675	7.5625
6.680611329	7.5808
6.672013173	7.594
6.663437121	7.5996
6.654883087	7.602
6.646350987	7.6067
6.637840737	7.6181
6.629352253	7.6384
6.620885451	7.6655
6.612440248	7.6936
6.604016563	7.7151
6.595614312	7.7263
6.587233415	7.7304
6.578873789	7.7348
6.570535354	7.7453
6.56221803	7.7658
6.553921736	7.7942
6.545646392	7.8237
6.537391921	7.8457
6.529158241	7.8537
6.520945276	7.8467
6.512757189	7.8291
6.504585407	7.811
6.496434107	7.803
6.488303211	7.8122
6.480192643	7.8388
6.472102327	7.8764
6.464032186	7.9126
6.455982145	7.9341
6.44795213	7.9348
6.439942066	7.916
6.431951879	7.8882
6.423981494	7.8655
6.416030838	7.8598
6.408099838	7.8752
6.400188422	7.9057
6.392296516	7.9407
6.384424048	7.9687
6.376570948	7.9817
6.368737143	7.9787
6.360922563	7.9665
6.353127136	7.9536
6.345350793	7.9458
6.337593464	7.9443
6.329855078	7.9475
6.322139564	7.9512
6.314438848	7.9502
6.30675687	7.9416
6.29909356	7.926
6.291448851	7.9065
6.283822676	7.8843
6.276214965	7.8613
6.268625654	7.8381
6.261054675	7.8147
6.253501961	7.7905
6.245967447	7.7644
6.238451067	7.7356
6.230952756	7.7026
6.223472449	7.6638
6.21601008	7.6169
6.208565585	7.561
6.201142747	7.4966
6.1937338	7.4263
6.186342535	7.3523
6.178968891	7.2763
6.171612803	7.1985
6.164274209	7.1172
6.156953047	7.029
6.149649255	6.9316
6.14236277	6.8247
6.135093533	6.7109
6.12784148	6.5952
6.120606552	6.4848
6.113388688	6.3862
6.106187828	6.302
6.099003911	6.2314
6.091836878	6.1706
6.084686669	6.1174
6.077553226	6.0696
6.070436489	6.0288
6.063336399	6.0017
6.056252899	5.9961
6.049185931	6.0149
6.042135436	6.0554
6.035101357	6.1118
6.02808727	6.1763
6.021085843	6.24
6.01410066	6.2959
6.007131667	6.3457
6.000178805	6.3945
5.99324202	6.4463
5.986321256	6.5034
5.979416457	6.5671
5.972527568	6.6355
5.965654534	6.7043
5.9587973	6.7705
5.951955813	6.8359
5.945130017	6.9067
5.938319859	6.9863
5.931525286	7.0744
5.924746243	7.1677
5.917982678	7.259
5.911234538	7.3423
5.904501769	7.4145
5.89778432	7.4807
5.891082139	7.5517
5.884395172	7.6355
5.87772337	7.7353
5.871066679	7.8474
5.864428488	7.9626
5.85780186	8.0705
5.851190191	8.1636
5.84459343	8.2395
5.838011527	8.3047
5.831444431	8.3691
5.824892094	8.4419
5.818354465	8.5266
5.811831494	8.6206
5.805323133	8.716
5.798829332	8.8025
5.792350043	8.8711
5.785885217	8.9201
5.779434806	8.9573
5.772998761	8.9914
5.766577035	9.0317
5.760169579	9.0823
5.753776347	9.1426
5.747397291	9.2075
5.741032364	9.2693
5.734681519	9.3225
5.728344709	9.3677
5.722021888	9.4079
5.715713009	9.4465
5.709421287	9.4861
5.703140149	9.5285
5.696872816	9.5727
5.690619242	9.6164
5.684379382	9.6567
5.678153192	9.6921
5.671940626	9.7219
5.66574164	9.7461
5.659556189	9.7666
5.653384229	9.7871
5.647225716	9.8113
5.641080605	9.8418
5.634948854	9.8791
5.628830419	9.9209
5.622725256	9.9629
5.616633323	10.0012
5.610557723	10.0329
5.604492113	10.0586
5.598439603	10.0788
5.592400152	10.0971
5.586373717	10.1167
5.580360257	10.1399
5.574359729	10.1675
5.568372092	10.1987
5.562397304	10.2331
5.556435324	10.2688
5.550486112	10.3039
5.544549625	10.3381
5.538625823	10.3713
5.532714665	10.4045
5.526816112	10.438
5.520930122	10.4726
5.515056656	10.5088
5.509195674	10.5456
5.503347136	10.5822
5.497511002	10.6174
5.491687233	10.6509
5.48587579	10.6828
5.480076633	10.7153
5.474289725	10.7505
5.468518015	10.79
5.462755479	10.8342
5.457005076	10.8808
5.451266765	10.9265
5.445540511	10.9682
5.439826274	11.0041
5.434124016	11.0359
5.428433701	11.0671
5.422755291	11.1013
5.417088748	11.1404
5.411434035	11.1838
5.405791116	11.2297
5.400159953	11.2744
5.394540509	11.3154
5.388932749	11.3515
5.383336635	11.383
5.377752132	11.4109
5.372179203	11.435
5.366617813	11.4568
5.361067925	11.478
5.355529504	11.5002
5.350002515	11.5249
5.344486921	11.5525
5.338982689	11.5822
5.333492627	11.612
5.328011006	11.6399
5.32254064	11.6643
5.317081497	11.6848
5.31163354	11.7024
5.306196736	11.718
5.30077105	11.7329
5.295356449	11.7483
5.289952898	11.7649
5.284560364	11.7829
5.279178813	11.802
5.273808212	11.822
5.268448526	11.8415
5.263099724	11.8608
5.257761771	11.8796
5.252434635	11.8979
5.247118283	11.916
5.241812682	11.9341
5.236517799	11.9521
5.231233603	11.9697
5.225960061	11.9868
5.220697141	12.0046
5.21544481	12.0239
5.210203036	12.0454
5.204974498	12.0693
5.19975374	12.0959
5.194543444	12.124
5.189343579	12.1523
5.184154115	12.1804
5.178975019	12.208
5.173806261	12.2346
5.168647809	12.2607
5.163499634	12.2863
5.158361704	12.3122
5.153233989	12.3393
5.148116459	12.3681
5.143009082	12.3989
5.137911829	12.4314
5.13282467	12.4648
5.127747575	12.4985
5.122680514	12.5315
5.117623458	12.5637
5.112576376	12.5952
5.107539239	12.6257
5.102512018	12.6557
5.097494683	12.6853
5.092487206	12.7146
5.087489558	12.7441
5.082504292	12.7736
5.077526209	12.8034
5.072557868	12.8335
5.06759924	12.8635
5.062650297	12.8928
5.057711011	12.9214
5.052781354	12.9487
5.047861297	12.9751
5.042950812	13.0005
5.038049872	13.0249
5.033158448	13.0483
5.028276513	13.0715
5.023404039	13.0944
5.018541	13.1176
5.013687367	13.1408
5.008843113	13.1635
5.004010715	13.1855
4.999185133	13.2063
4.994368849	13.2253
4.989561837	13.2429
4.984764069	13.2595
4.979975518	13.2749
4.97519616	13.2893
4.970425966	13.3027
4.96566491	13.3154
4.960912967	13.3281
4.95617011	13.3405
4.951436313	13.3535
4.94671155	13.3669
4.941995795	13.3806
4.937289023	13.3938
4.932591209	13.4067
4.927902325	13.4187
4.923222347	13.4297
4.918551251	13.4397
4.913889009	13.4487
4.909235598	13.4572
4.904590991	13.4651
4.899955165	13.4726
4.895328095	13.4799
4.890712146	13.487
4.886102507	13.4941
4.88150155	13.5007
4.876909249	13.5073
4.87232558	13.5131
4.86775052	13.519
4.863184043	13.5244
4.858626126	13.5298
4.854076745	13.5349
4.849535875	13.54
