Name:  Labradorite (Na,Ca)Al(Al,Si)Si2O8
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Framework Silicates); (Feldspar Group)
Particle Size:  Solid (Fractured Surface)
Sample No.: labrador.1
Owner:  JHU
Wavelength Range:  IR
Origin: Lake County, Oregon, acquired from the Smithsonian (sample 
no. NMNH 115500) via Dave Stewart, USGS
Description: The sample consisted of a 2 cm x 1 cm x 0.2 cm, 0.536 g 
portion, of a single transparent crystal.  The fragment seemed to 
have been sawn on one side.  A very, very small amount of iron 
oxide stain could be seen on the surface of the fragment and still less 
on the inside.  No impurities were detected under the microscope.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  labrad1a.txt

17.8763919	9.2529
17.81495958	9.3159
17.75394803	9.4316
17.69335296	9.6443
17.63317011	9.81
17.57339529	9.8872
17.51402436	9.9792
17.45505324	10.0007
17.39647791	9.8435
17.3382944	9.6074
17.28049878	9.3803
17.2230872	9.1025
17.16605584	8.8647
17.10940093	8.8428
17.05311876	8.8857
16.99720566	8.8957
16.94165801	9.0315
16.88647225	9.2431
16.83167317	9.4558
16.77720046	9.6943
16.72307919	9.9809
16.66930597	10.2571
16.61587747	10.5205
16.56279037	10.8266
16.51004141	11.0871
16.45762737	11.2807
16.40554507	11.4509
16.35379138	11.5412
16.30236319	11.5517
16.25125744	11.5444
16.20047111	11.4936
16.15000121	11.4048
16.0998448	11.3261
16.04999896	11.2485
16.00048641	11.1289
15.95125297	11.0757
15.90232158	11.0498
15.85368947	11.018
15.80535391	11.0288
15.75731218	11.1489
15.70956162	11.2549
15.6620996	11.312
15.61492349	11.393
15.56803074	11.438
15.52141878	11.3098
15.47508511	11.0715
15.42902725	10.8159
15.38324273	10.4384
15.33772913	9.9524
15.29248405	9.4817
15.24750513	8.9678
15.20279002	8.4646
15.1583364	8.0979
15.114142	7.8484
15.07020455	7.7046
15.02652181	7.6621
14.98309158	7.7356
14.93991168	7.8117
14.89700213	7.8425
14.85431629	7.9143
14.81187438	7.9887
14.76967431	7.9917
14.72771402	7.9966
14.68599147	8.0166
14.64450465	7.99
14.60325156	7.9328
14.56223023	7.8943
14.52143873	7.8396
14.48087511	7.7864
14.44053748	7.7749
14.40042395	7.7727
14.36053266	7.7549
14.32086177	7.761
14.28140946	7.7781
14.24217393	7.7878
14.20315338	7.8032
14.16434607	7.8354
14.12575025	7.8755
14.0873642	7.937
14.0491862	7.9992
14.01121458	8.0525
13.97344765	8.1035
13.93590321	8.1809
13.89854065	8.2761
13.8613779	8.3484
13.82441336	8.4573
13.78764544	8.5769
13.75107258	8.6594
13.71469324	8.7356
13.67850587	8.8064
13.64250897	8.8562
13.60670103	8.8791
13.57108057	8.8955
13.53564612	8.8833
13.50039624	8.842
13.46532947	8.8437
13.4304444	8.8491
13.39573962	8.8115
13.36121373	8.7717
13.32686536	8.7561
13.29269314	8.7339
13.25869572	8.6853
13.22487175	8.6592
13.19121992	8.6614
13.15773892	8.6377
13.12442745	8.6089
13.09130135	8.5847
13.05832501	8.5705
13.02551438	8.5654
12.99286821	8.5527
12.96038529	8.5063
12.92806437	8.4463
12.89590426	8.3926
12.86390376	8.3415
12.83206168	8.2729
12.80037684	8.1662
12.7688481	8.0893
12.73747429	8.0102
12.70625427	7.9465
12.67518693	7.9353
12.64427113	7.9326
12.61350579	7.9717
12.58290562	8.0415
12.55243781	8.1074
12.52211719	8.1518
12.4919427	8.2366
12.46191328	8.341
12.43202789	8.4475
12.40228549	8.5591
12.37268507	8.6782
12.34322561	8.7854
12.31390609	8.8818
12.28472554	8.9927
12.25568296	9.1108
12.22677738	9.2265
12.19800782	9.343
12.16937334	9.4558
12.14087298	9.5598
12.1125058	9.6794
12.08427087	9.7771
12.05616727	9.853
12.02819409	9.9521
12.00035041	10.0781
11.97263534	10.174
11.945048	10.2529
11.9175875	10.3606
11.8902671	10.4819
11.86305761	10.5544
11.83597236	10.6174
11.80901051	10.7241
11.78217122	10.8103
11.75545365	10.8869
11.72885698	10.99
11.70238038	11.0884
11.67602305	11.1633
11.64978419	11.249
11.62366299	11.3518
11.59765866	11.4333
11.57177043	11.5461
11.54599752	11.6941
11.52033916	11.8288
11.49479458	11.9494
11.46936304	12.0866
11.44404378	12.2524
11.41883606	12.4338
11.39373914	12.6325
11.3687523	12.8361
11.34387482	13.0517
