Name:  Heulandite (Na,Ca)2-3Al3(Al,Si)2Si13O36.12H2O
Type:  Mineral
Class:  Silicates
Subclass:  Tectosilicates (Zeolite Group)
Particle Size: Fine  (less than 2 micrometers)
Sample No.: heulan.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Gobel, Oregon via Joe Taggart, USGS, Denver, Colorado.

Description: The sample is composed of 1 cm diameter, pearly, 
translucent crystals in a white, fine-grained groundmass. Crystals 
were separated by hand and appear to be pure heulandite.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  heulan2a.txt

12.02819409	83.1668
12.00035041	83.1514
11.97263534	83.1277
11.945048	83.1126
11.9175875	83.0869
11.8902671	82.8352
11.86305761	82.5389
11.83597236	82.1824
11.80901051	82.0056
11.78217122	81.6983
11.75545365	81.3633
11.72885698	80.9405
11.70238038	80.5906
11.67602305	80.2381
11.64978419	79.907
11.62366299	79.4827
11.59765866	79.1023
11.57177043	78.6504
11.54599752	78.2754
11.52033916	77.9217
11.49479458	77.5906
11.46936304	77.1915
11.44404378	76.8125
11.41883606	76.4295
11.39373914	76.1077
11.3687523	75.7352
11.34387482	75.3968
11.31910597	75.0477
11.29444505	74.7029
11.26990406	74.3155
11.24545684	73.9964
11.22111545	73.6409
11.19687921	73.296
11.17274743	72.9637
11.14871946	72.6297
11.12479461	72.2132
11.10097222	71.8104
11.07725165	71.4446
11.05363222	71.0594
11.03011331	70.5565
11.00669427	70.0889
10.98337447	69.6546
10.96015327	69.1495
10.93703005	68.6043
10.9140042	68.0482
10.89107509	67.4368
10.86824213	66.7532
10.8455047	66.0372
10.82286221	65.2645
10.80031407	64.3936
10.77785969	63.3985
10.75549848	62.3621
10.73322986	61.2835
10.71106474	60.1046
10.68897956	58.8575
10.66698525	57.4757
10.64508128	55.8861
10.62326708	54.2337
10.6015421	52.4989
10.5799058	50.6854
10.55835763	48.7482
10.53689705	46.7499
10.51552354	44.5978
10.49423657	42.4027
10.4730356	40.161
10.45192012	37.9093
10.43088962	35.6339
10.40994358	33.3966
10.38908149	31.1571
10.36830285	28.9848
10.34760717	26.8705
10.32699394	24.8969
10.30646267	23.0197
10.28601287	21.2443
10.26564407	19.5805
10.24535578	18.0578
10.22514752	16.6164
10.20502924	15.3193
10.1849796	14.1484
10.16500858	13.094
10.14511574	12.1279
10.12530059	11.2546
10.10556271	10.4511
10.08590162	9.7434
10.0663169	9.1242
10.04680808	8.5754
10.02737473	8.0547
10.00801642	7.6347
9.98873271	7.2431
9.969523168	6.9026
9.950387369	6.6216
9.931324888	6.3857
9.912335307	6.1374
9.893427994	5.9812
9.874582922	5.8298
9.855809507	5.6946
9.83710734	5.5708
9.818476015	5.4931
9.799915133	5.3989
9.781424293	5.3469
9.7630031	5.2993
9.744651161	5.2488
9.726368087	5.2148
9.70815349	5.1848
9.690006986	5.1296
9.671928196	5.1099
9.653916739	5.1206
9.635972241	5.1211
9.618094328	5.1089
9.600282632	5.1135
9.582536785	5.0898
9.564856422	5.1084
9.547241181	5.1057
9.529690704	5.1411
9.512204634	5.1662
9.494782617	5.2046
9.477424301	5.2473
9.460138288	5.3037
9.4429063	5.3371
9.425736975	5.3879
9.408629972	5.4465
9.391584952	5.5854
9.374601579	5.7077
9.35767952	5.8733
9.340818443	6.0715
9.324018018	6.3118
9.307277919	6.5815
9.290597822	6.9306
9.273977405	7.2715
9.257416348	7.7229
9.240914333	8.1997
9.224471046	8.7163
9.208086173	9.2261
9.191759404	9.7739
9.17549043	10.334
9.159278945	10.8938
9.143124645	11.4084
9.127027227	11.9514
9.110986392	12.4799
9.095001842	12.9904
9.079073281	13.4731
9.06320863	13.9712
9.04739114	14.427
9.031628764	14.9035
9.015921215	15.3227
9.000268208	15.7082
8.984669459	16.1018
8.969124685	16.4711
8.953633608	16.8049
8.93819595	17.1469
8.922811435	17.4438
8.907479789	17.7451
8.89220074	18.0002
8.876974017	18.2485
8.861799353	18.4843
8.846676481	18.7089
8.831605135	18.9223
8.816585054	19.1442
8.801615977	19.3344
8.786697643	19.5439
8.771829795	19.7321
8.757012178	19.9211
8.742244536	20.1235
8.727526619	20.3283
8.712858175	20.5102
8.69824652	20.7114
8.683676252	20.9169
8.669154714	21.1586
8.654681663	21.3815
8.640256858	21.6374
8.625880055	21.8588
8.611551018	22.0747
8.597269507	22.2927
8.583035287	22.551
8.568848124	22.7885
8.554707784	23.0405
8.540614036	23.2612
8.52656665	23.5026
8.512565398	23.6982
8.498610052	23.8879
8.484700388	24.0517
8.470836182	24.1933
8.45701721	24.2621
8.443243252	24.3124
8.429514089	24.31
8.415829502	24.269
8.402189274	24.1894
8.388593191	24.0917
8.375041038	23.9623
8.361539594	23.8608
8.348074642	23.769
8.334652987	23.7578
8.32127442	23.8437
8.307938734	24.1288
8.294645723	24.5859
8.281395183	25.2631
8.268186911	26.2011
8.255020704	27.4416
8.241896361	28.915
8.228813685	30.6152
8.215772476	32.5024
8.202772537	34.5341
8.189813674	36.6449
8.176895691	38.8485
8.164018395	41.0204
8.151188239	43.1234
8.138391724	45.1366
8.125635323	47.057
8.11291885	48.8534
8.100242116	50.5287
8.087604937	52.0853
8.075007126	53.5165
8.062448501	54.8607
8.049928879	56.097
8.037448078	57.2538
8.025005918	58.3148
8.012602221	59.3163
8.000236807	60.2596
7.9879095	61.1219
7.975620124	61.9412
7.963368505	62.7298
7.951154468	63.4784
7.938977841	64.179
7.926838452	64.8397
7.914736131	65.4576
7.902670708	66.0426
7.890642014	66.5828
7.878649883	67.1077
7.866694148	67.6365
7.854780812	68.1595
7.842897355	68.6658
7.831049799	69.1234
7.819237984	69.5858
7.807461747	70.0374
7.795720929	70.4612
7.784015369	70.8587
7.772344909	71.2352
7.760709391	71.598
7.749108659	71.9495
7.737542556	72.3123
7.726010929	72.6561
7.714513623	72.9847
7.703050485	73.304
7.691621363	73.5906
7.680226106	73.8768
7.668864563	74.1678
7.657536586	74.4148
7.646242025	74.678
7.634980733	74.9163
7.623752563	75.1536
7.61255737	75.3714
7.601395008	75.5882
7.590265333	75.7718
7.579173946	75.9612
7.568109199	76.1434
7.557076711	76.3567
7.546076342	76.5604
7.535107952	76.7898
7.524171401	76.9944
7.51326655	77.2239
7.502393263	77.4505
7.491551403	77.6648
7.480740833	77.8348
7.469961418	78.0135
7.459213023	78.1756
7.448495516	78.3799
7.437808762	78.5516
7.42715263	78.7073
7.416526989	78.8348
7.405931707	78.9873
7.395366655	79.1282
7.384831703	79.3035
7.374326724	79.4207
7.363851589	79.5525
7.353406171	79.677
7.342990345	79.7727
7.332603984	79.8797
7.322252325	80.0472
7.311924506	80.1946
