Name:  Datolite CaBSiO4(OH)
Type:  Mineral
Class:   Silicates 
Subclass:   Nesosilicates (Ring Silicates)
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  datolite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Hunt and Salisbury Collection #442B;  Sample from 
Connecticut.  
Description: White particulate samples appear to be pure datolite, 
with <<1% of the grains containing fluid inclusions.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: datoli1a.txt

25.04420302	2.8437
24.9237955	2.8574
24.80454022	2.8984
24.68642074	2.9839
24.5694209	3.0591
24.45358465	3.0073
24.3387763	3.0063
24.22504094	3.2346
24.11236361	3.3945
24.00072962	3.4753
23.89012454	3.7241
23.78053421	3.8721
23.67194472	3.7546
23.56434244	3.2783
23.45771395	2.625
23.35204611	2.2698
23.24732598	2.292
23.14354087	2.4748
23.04067832	2.6123
22.93872607	2.7476
22.83767211	2.8223
22.7375046	2.8677
22.63821194	2.9158
22.53978272	3.0727
22.44220571	3.2251
22.3454699	3.2817
22.24956446	3.3125
22.15447875	3.3059
22.06020229	3.2297
21.96677306	3.2461
21.87408402	3.4043
21.7821739	3.5369
21.69103293	3.5784
21.60065148	3.7627
21.5110201	3.9924
21.42212949	4.1328
21.33397051	4.3613
21.24653416	4.7783
21.15981159	5.2322
21.0737941	5.3862
20.98847313	5.293
20.90384024	4.8999
20.81988716	4.4043
20.73660571	4.3691
20.65398787	4.7473
20.57202575	5.2322
20.49071156	5.6108
20.41003766	5.925
20.3299965	6.1909
20.25058069	6.4104
20.1717829	6.5481
20.09359597	6.633
20.01601281	6.7859
19.93906621	6.987
19.8626695	7.1169
19.78685599	7.248
19.71161901	7.4316
19.63695203	7.5635
19.56284859	7.7012
19.48930232	7.959
19.41630698	8.1814
19.34385639	8.3157
19.27194448	8.414
19.20056526	8.5495
19.12971284	8.6452
19.05938141	8.6228
18.98956523	8.5068
18.92025868	8.3608
18.85145618	8.1155
18.78315226	7.6487
18.71534153	7.0676
18.64801865	6.6565
18.58117838	6.2781
18.51481556	5.8703
18.44892507	5.4858
18.38350191	5.1201
18.31854111	4.7065
18.25407111	4.1643
18.19002023	3.5969
18.12641726	3.0657
18.06325753	2.46
18.00053642	1.7353
17.93824937	1.1916
17.8763919	0.9973
17.81495958	1.083
17.75394803	1.2415
17.69335296	1.4307
17.63317011	1.6702
17.57339529	1.9265
17.51402436	2.2546
17.45505324	2.5813
17.39647791	2.7725
17.3382944	2.8489
17.28049878	2.7822
