Name:  Spessartine Mn3Al2 (SiO4)3
Type:  Mineral
Class:  Silicates 
Subclass:   Nesosilicates (Framework silicates); GarnetGroup
Particle Size:  Solid (dodecahedral crystal face)
Sample No.:  spessart.2
Owner:  JHU
Wavelength Range:  IR
Origin: Rutherford #2 mine, Amelia, Amelia Co., Virginia, USA via the 
Smithsonian (sample no. NMNH 114143)
Description: The sample consisted of a group of 3 mm and smaller 
diameter reddish crystals.  A few clear crystals adhering to the 
grains were picked off and microscopic examination showed the 
remaining sample to be quite pure.


Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  spessa2a.txt

12.1125058	24.0878
12.08427087	24.4079
12.05616727	24.7409
12.02819409	25.1205
12.00035041	25.5236
11.97263534	25.9294
11.945048	26.3661
11.9175875	26.839
11.8902671	27.3549
11.86305761	27.9365
11.83597236	28.5434
11.80901051	29.2245
11.78217122	29.9552
11.75545365	30.7758
11.72885698	31.6806
11.70238038	32.7257
11.67602305	33.9381
11.64978419	35.2961
11.62366299	36.8861
11.59765866	38.7511
11.57177043	40.827
11.54599752	43.1163
11.52033916	45.351
11.49479458	47.2213
11.46936304	48.4879
11.44404378	49.0868
11.41883606	48.8331
11.39373914	47.6554
11.3687523	45.7228
11.34387482	43.3126
11.31910597	40.9372
11.29444505	39.5209
11.26990406	39.6796
11.24545684	41.4765
11.22111545	44.3588
11.19687921	47.6393
11.17274743	50.6041
11.14871946	52.9154
11.12479461	54.5438
11.10097222	55.4618
11.07725165	55.7464
11.05363222	55.6507
11.03011331	55.2357
11.00669427	54.4418
10.98337447	53.225
10.96015327	51.6737
10.93703005	49.6737
10.9140042	47.1576
10.89107509	44.0595
10.86824213	40.308
10.8455047	35.9125
10.82286221	31.1498
10.80031407	26.4274
10.77785969	22.3093
10.75549848	19.3388
10.73322986	17.7026
10.71106474	17.2592
10.68897956	17.7182
10.66698525	18.7353
10.64508128	20.069
10.62326708	21.6513
10.6015421	23.4916
10.5799058	25.642
10.55835763	28.225
10.53689705	31.3954
10.51552354	35.2441
10.49423657	39.7914
10.4730356	44.8373
10.45192012	49.766
10.43088962	54.0165
10.40994358	57.3685
10.38908149	59.9818
10.36830285	61.9173
10.34760717	63.2547
10.32699394	64.1864
10.30646267	64.8636
10.28601287	65.2235
10.26564407	65.4442
10.24535578	65.6221
10.22514752	65.639
10.20502924	65.5291
10.1849796	65.491
10.16500858	65.3817
10.14511574	65.1829
10.12530059	64.9627
10.10556271	64.7611
10.08590162	64.5164
10.0663169	64.2667
10.04680808	64.0389
10.02737473	63.7625
10.00801642	63.4032
9.98873271	63.0745
9.969523168	62.7035
9.950387369	62.3182
9.931324888	61.9583
9.912335307	61.6368
9.893427994	61.2225
9.874582922	60.7704
9.855809507	60.2738
9.83710734	59.7245
9.818476015	59.1068
9.799915133	58.5062
9.781424293	57.8451
9.7630031	57.1312
9.744651161	56.4012
9.726368087	55.6605
9.70815349	54.8504
9.690006986	54.037
9.671928196	53.1825
9.653916739	52.329
9.635972241	51.4715
9.618094328	50.6224
9.600282632	49.7284
9.582536785	48.7496
9.564856422	47.6532
9.547241181	46.4379
9.529690704	45.035
9.512204634	43.4984
9.494782617	41.7968
9.477424301	39.934
9.460138288	37.9389
9.4429063	35.8388
9.425736975	33.5981
9.408629972	31.2636
9.391584952	28.8661
9.374601579	26.391
9.35767952	23.8203
9.340818443	21.2143
9.324018018	18.5546
9.307277919	15.874
9.290597822	13.2041
9.273977405	10.5937
9.257416348	8.1496
9.240914333	5.9687
9.224471046	4.1975
9.208086173	2.8955
9.191759404	2.1013
9.17549043	1.7246
9.159278945	1.6694
9.143124645	1.7769
9.127027227	1.9941
9.110986392	2.2627
9.095001842	2.5601
9.079073281	2.8623
9.06320863	3.1831
9.04739114	3.4839
9.031628764	3.7673
9.015921215	4.041
9.000268208	4.314
8.984669459	4.5644
8.969124685	4.8103
8.953633608	5.0305
8.93819595	5.248
8.922811435	5.4629
8.907479789	5.6631
8.89220074	5.8325
8.876974017	5.9941
8.861799353	6.1528
8.846676481	6.311
8.831605135	6.4629
8.816585054	6.6116
8.801615977	6.7473
8.786697643	6.8828
8.771829795	7.018
8.757012178	7.1455
8.742244536	7.2903
8.727526619	7.4253
8.712858175	7.5366
8.69824652	7.6511
8.683676252	7.7534
8.669154714	7.8447
8.654681663	7.949
8.640256858	8.0532
8.625880055	8.1474
8.611551018	8.2478
8.597269507	8.3454
8.583035287	8.4253
8.568848124	8.5024
8.554707784	8.5866
8.540614036	8.6706
8.52656665	8.7575
8.512565398	8.8281
8.498610052	8.9062
8.484700388	8.9765
8.470836182	9.0456
8.45701721	9.1189
8.443243252	9.1897
8.429514089	9.2615
8.415829502	9.3381
8.402189274	9.4104
8.388593191	9.479
8.375041038	9.5576
8.361539594	9.6269
8.348074642	9.6863
8.334652987	9.7505
8.32127442	9.8142
8.307938734	9.8755
8.294645723	9.9363
8.281395183	9.9939
8.268186911	10.0459
8.255020704	10.1069
8.241896361	10.1614
8.228813685	10.2055
8.215772476	10.2619
8.202772537	10.3178
8.189813674	10.3679
8.176895691	10.4189
8.164018395	10.4668
8.151188239	10.5166
8.138391724	10.5642
8.125635323	10.614
8.11291885	10.664
8.100242116	10.7094
8.087604937	10.7592
8.075007126	10.8071
8.062448501	10.851
8.049928879	10.8945
8.037448078	10.9355
8.025005918	10.9802
8.012602221	11.0156
8.000236807	11.0573
7.9879095	11.1015
7.975620124	11.1452
7.963368505	11.1931
7.951154468	11.2375
7.938977841	11.2795
7.926838452	11.3318
7.914736131	11.3716
7.902670708	11.3979
7.890642014	11.427
7.878649883	11.4741
7.866694148	11.5188
7.854780812	11.5634
7.842897355	11.6028
7.831049799	11.6391
7.819237984	11.6806
7.807461747	11.7094
7.795720929	11.7341
7.784015369	11.7685
7.772344909	11.8022
7.760709391	11.842
7.749108659	11.8742
7.737542556	11.8994
7.726010929	11.9348
7.714513623	11.9785
7.703050485	12.0107
7.691621363	12.0383
7.680226106	12.0644
7.668864563	12.0901
7.657536586	12.1201
7.646242025	12.1626
7.634980733	12.1975
7.623752563	12.2031
7.61255737	12.2275
7.601395008	12.2617
7.590265333	12.2802
7.579173946	12.3069
7.568109199	12.352
7.557076711	12.3825
7.546076342	12.4013
7.535107952	12.4221
7.524171401	12.447
7.51326655	12.4841
7.502393263	12.5171
7.491551403	12.5288
7.480740833	12.5278
7.469961418	12.5224
7.459213023	12.5703
7.448495516	12.6264
7.437808762	12.645
7.42715263	12.6648
7.416526989	12.6831
7.405931707	12.7121
7.395366655	12.7314
7.384831703	12.7492
7.374326724	12.7849
7.363851589	12.8108
7.353406171	12.8195
7.342990345	12.8076
7.332603984	12.8523
7.322252325	12.8916
7.311924506	12.8911
7.30162578	12.9184
7.291356025	12.9255
7.281115117	12.9045
7.270902937	12.9653
7.260719363	13.0122
7.250564275	13.0319
7.240437554	13.049
7.230339081	13.0639
7.220268738	13.0656
7.210226408	13.0522
7.200211974	13.1003
7.19022532	13.1264
7.18026633	13.1272
7.17033489	13.1289
7.160436013	13.1584
7.150559317	13.1714
7.140709829	13.2387
7.130887439	13.2544
7.121092034	13.2378
7.111323503	13.2685
7.101581735	13.2924
7.091866622	13.3037
7.082178053	13.3366
7.07251592	13.3403
7.062880115	13.3108
7.053270531	13.2856
7.04368706	13.3603
7.034129597	13.4145
7.024598035	13.4138
7.01509227	13.4594
7.005612196	13.4631
6.99615771	13.4589
6.986728709	13.5056
6.977325089	13.5246
6.967946748	13.477
6.958593585	13.4892
6.949265497	13.5896
6.939962385	13.5986
6.930688952	13.6125
6.921435478	13.6259
6.912206681	13.614
6.903002461	13.6543
6.893822721	13.6982
6.884667364	13.6943
6.875536292	13.6499
6.866429409	13.5307
6.857346618	13.6535
6.848287825	13.7934
6.839252935	13.7964
6.830241852	13.7646
6.821254483	13.8349
6.812290735	13.8674
6.803350514	13.8339
6.794433728	13.76
6.785540285	13.802
6.776670093	13.854
6.767823062	13.8925
6.7589991	13.9106
6.750198118	13.9282
6.741420026	13.9511
6.732664735	13.924
6.723932156	13.8964
6.715226709	13.8945
6.706539278	14.0024
6.697874296	14.0566
6.689231675	14.0117
6.680611329	13.9948
6.672013173	14.0678
6.663437121	14.1167
6.654883087	14.1015
6.646350987	14.0268
6.637840737	13.8662
6.629352253	14.0654
6.620885451	14.1574
6.612440248	14.1919
6.604016563	14.187
6.595614312	14.1435
6.587233415	14.1919
6.578873789	14.1582
6.570535354	14.163
6.56221803	14.2773
6.553921736	14.2639
6.545646392	14.312
6.537391921	14.3354
6.529158241	14.2944
6.520945276	14.2954
6.512757189	14.4179
6.504585407	14.3554
6.496434107	14.2334
6.488303211	14.2524
6.480192643	14.3798
6.472102327	14.4658
6.464032186	14.5305
6.455982145	14.5053
6.44795213	14.5278
6.439942066	14.5244
6.431951879	14.5053
6.423981494	14.4553
6.416030838	14.2998
6.408099838	14.6274
6.400188422	14.6606
6.392296516	14.6474
6.384424048	14.6609
6.376570948	14.5962
6.368737143	14.6384
6.360922563	14.7285
6.353127136	14.684
6.345350793	14.6181
6.337593464	14.7446
6.329855078	14.7815
6.322139564	14.7824
6.314438848	14.799
6.30675687	14.813
6.29909356	14.8012
6.291448851	14.81
6.283822676	14.8266
6.276214965	14.8278
6.268625654	14.8371
6.261054675	14.8711
6.253501961	14.8823
6.245967447	14.8835
6.238451067	14.8947
6.230952756	14.9209
6.223472449	14.9189
6.21601008	14.9209
6.208565585	14.9589
6.201142747	14.9746
6.1937338	14.926
6.186342535	14.8859
6.178968891	14.9965
6.171612803	15.0034
6.164274209	14.9458
6.156953047	14.9917
6.149649255	15.0337
6.14236277	15.018
6.135093533	15.0625
6.12784148	15.0527
6.120606552	14.979
6.113388688	14.9135
6.106187828	15.0449
6.099003911	15.0752
6.091836878	15.0859
6.084686669	15.0471
6.077553226	14.9631
6.070436489	14.958
6.063336399	15.0832
6.056252899	14.9887
6.049185931	14.813
6.042135436	15.1223
6.035101357	15.1406
6.02808727	15.0981
6.021085843	15.0603
6.01410066	15.0771
6.007131667	15.1479
6.000178805	15.0964
5.99324202	15.0114
5.986321256	15.0637
5.979416457	15.1045
5.972527568	15.0498
5.965654534	15.1079
5.9587973	15.1377
5.951955813	15.0913
5.945130017	15.0261
5.938319859	14.9712
5.931525286	15.1604
5.924746243	15.1289
5.917982678	15.1215
5.911234538	15.1504
5.904501769	15.111
5.89778432	15.0456
5.891082139	15.0734
5.884395172	15.0224
5.87772337	15.1555
5.871066679	15.1489
5.864428488	15.1137
5.85780186	15.1718
5.851190191	15.1743
5.84459343	15.1762
5.838011527	15.153
5.831444431	15.0634
5.824892094	14.9878
5.818354465	15.1547
5.811831494	15.2436
5.805323133	15.2097
5.798829332	15.2129
5.792350043	15.226
5.785885217	15.205
5.779434806	15.1831
5.772998761	15.1457
5.766577035	15.0969
5.760169579	15.2519
5.753776347	15.2263
5.747397291	15.2202
5.741032364	15.2421
5.734681519	15.2343
5.728344709	15.2258
5.722021888	15.1904
5.715713009	15.2009
5.709421287	15.2429
5.703140149	15.2929
5.696872816	15.2607
5.690619242	15.2578
5.684379382	15.2719
5.678153192	15.2495
5.671940626	15.3176
5.66574164	15.333
5.659556189	15.2885
5.653384229	15.2749
5.647225716	15.2319
5.641080605	15.2382
5.634948854	15.3291
5.628830419	15.3579
5.622725256	15.3471
5.616633323	15.3254
5.610557723	15.3542
5.604492113	15.3618
5.598439603	15.3891
5.592400152	15.3779
5.586373717	15.3427
5.580360257	15.3435
5.574359729	15.4062
5.568372092	15.4025
5.562397304	15.403
5.556435324	15.3991
5.550486112	15.4282
5.544549625	15.4624
5.538625823	15.4643
5.532714665	15.4599
5.526816112	15.4487
5.520930122	15.4419
5.515056656	15.4746
5.509195674	15.4941
5.503347136	15.5048
5.497511002	15.5178
5.491687233	15.5171
5.48587579	15.4963
5.480076633	15.498
5.474289725	15.5429
5.468518015	15.5127
5.462755479	15.529
5.457005076	15.5874
5.451266765	15.5866
5.445540511	15.5732
5.439826274	15.5852
5.434124016	15.6084
5.428433701	15.5678
5.422755291	15.5581
5.417088748	15.6157
5.411434035	15.6254
5.405791116	15.6442
5.400159953	15.6523
5.394540509	15.6596
5.388932749	15.6765
5.383336635	15.6757
5.377752132	15.6696
5.372179203	15.6806
5.366617813	15.6938
5.361067925	15.6674
5.355529504	15.6318
5.350002515	15.6616
5.344486921	15.7226
5.338982689	15.7378
5.333492627	15.7434
5.328011006	15.7343
5.32254064	15.7456
5.317081497	15.7524
5.31163354	15.7443
5.306196736	15.7434
5.30077105	15.7492
5.295356449	15.7397
5.289952898	15.7509
5.284560364	15.7858
5.279178813	15.778
5.273808212	15.7734
5.268448526	15.7832
5.263099724	15.7905
5.257761771	15.7951
5.252434635	15.7981
5.247118283	15.8017
5.241812682	15.7885
5.236517799	15.7895
5.231233603	15.8193
5.225960061	15.823
5.220697141	15.7968
5.21544481	15.7851
5.210203036	15.8208
5.204974498	15.8005
5.19975374	15.7924
5.194543444	15.8432
5.189343579	15.8476
5.184154115	15.832
5.178975019	15.8376
5.173806261	15.8527
5.168647809	15.8469
5.163499634	15.8476
5.158361704	15.8554
5.153233989	15.8364
5.148116459	15.8259
5.143009082	15.863
5.137911829	15.8693
5.13282467	15.8742
5.127747575	15.8759
