Name:  Olivine (Fo41) (Fe+2,Mg)2SiO4
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated tetrahedra); (Olivine Group)
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.:  olivine.4
Owner:  JHU
Wavelength Range:  IR
Origin: Kiglapait Intrusion, Labrador via Trude King #KI4143 
(obtained from S.A. Morse, Univ. of Mass.)
Description: Initially, the specimen was contaminated with pyroxene, 
spinel (?) and ilmenite.  Heavy liquid separation, followed by 
magnetic separation and hand picking, allowed olivines of different 
iron content to be solated.  The sample was ground to <60 
micrometers and wet sieved.  Fine particles are missing from the 
sample; average particle size is close to 60 micrometers.
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  olivin4a.txt

12.28472554	61.2069
12.25568296	59.3441
12.22677738	57.2616
12.19800782	55.0399
12.16937334	52.4979
12.14087298	49.7425
12.1125058	46.6884
12.08427087	43.6083
12.05616727	40.7968
12.02819409	38.9198
12.00035041	38.8769
11.97263534	40.7855
11.945048	43.5682
11.9175875	45.4984
11.8902671	45.8905
11.86305761	44.8847
11.83597236	43.1371
11.80901051	41.0272
11.78217122	39.0082
11.75545365	36.9867
11.72885698	34.998
11.70238038	33.1327
11.67602305	31.2948
11.64978419	29.4106
11.62366299	27.4965
11.59765866	25.7031
11.57177043	23.8637
11.54599752	22.0996
11.52033916	20.3696
11.49479458	18.7797
11.46936304	17.4043
11.44404378	16.3183
11.41883606	15.5293
11.39373914	15.1196
11.3687523	15.0669
11.34387482	15.2343
11.31910597	15.664
11.29444505	16.2548
11.26990406	17.061
11.24545684	17.9287
11.22111545	18.6704
11.19687921	19.352
11.17274743	20.1005
11.14871946	20.7568
11.12479461	21.393
11.10097222	22.0864
11.07725165	22.8095
11.05363222	23.6347
11.03011331	24.4101
11.00669427	25.145
10.98337447	25.9794
10.96015327	26.9169
10.93703005	27.8417
10.9140042	28.83
10.89107509	29.6049
10.86824213	29.9609
10.8455047	30.2372
10.82286221	30.6132
10.80031407	30.6845
10.77785969	30.5053
10.75549848	30.3598
10.73322986	30.5585
10.71106474	31.7328
10.68897956	34.0702
10.66698525	37.5067
10.64508128	40.9393
10.62326708	42.996
10.6015421	43.5316
10.5799058	42.5038
10.55835763	40.3866
10.53689705	37.7582
10.51552354	34.7074
10.49423657	31.7773
10.4730356	30.1156
10.45192012	29.3212
10.43088962	28.954
10.40994358	29.0253
10.38908149	29.2699
10.36830285	29.4941
10.34760717	29.7426
10.32699394	30.0019
10.30646267	30.3022
10.28601287	30.7079
10.26564407	31.2431
10.24535578	31.8324
10.22514752	32.4823
10.20502924	33.1977
10.1849796	34.0414
10.16500858	34.9848
10.14511574	36.0356
10.12530059	37.2016
10.10556271	38.4662
10.08590162	39.8944
10.0663169	41.3495
10.04680808	42.8749
10.02737473	44.5106
10.00801642	46.1893
9.98873271	47.847
9.969523168	49.4838
9.950387369	51.1351
9.931324888	52.7914
9.912335307	54.4212
9.893427994	55.9374
9.874582922	57.4193
9.855809507	58.9203
9.83710734	60.3622
9.818476015	61.6883
9.799915133	62.974
9.781424293	64.1854
9.7630031	65.3021
9.744651161	66.4227
9.726368087	67.4871
9.70815349	68.4407
9.690006986	69.3431
9.671928196	70.2088
9.653916739	71.0472
9.635972241	71.8074
9.618094328	72.5745
9.600282632	73.2757
9.582536785	73.9437
9.564856422	74.5599
9.547241181	75.115
9.529690704	75.6326
9.512204634	76.1336
9.494782617	76.6336
9.477424301	77.076
9.460138288	77.5228
9.4429063	77.9827
9.425736975	78.4246
9.408629972	78.8577
9.391584952	79.3055
9.374601579	79.6448
9.35767952	79.9656
9.340818443	80.3831
9.324018018	80.743
9.307277919	81.0535
9.290597822	81.3348
9.273977405	81.6785
9.257416348	82.0223
9.240914333	82.3601
9.224471046	82.6585
9.208086173	82.9973
9.191759404	83.3284
9.17549043	83.6067
9.159278945	83.9392
9.143124645	84.2371
9.127027227	84.5784
9.110986392	84.8958
9.095001842	85.2425
9.079073281	85.5779
9.06320863	85.9217
9.04739114	86.2097
9.031628764	86.5159
9.015921215	86.8157
9.000268208	87.0476
8.984669459	87.3035
8.969124685	87.4705
8.953633608	87.7268
8.93819595	87.9041
8.922811435	88.0969
8.907479789	88.2693
8.89220074	88.4851
8.876974017	88.7771
8.861799353	89.0213
8.846676481	89.2171
8.831605135	89.3328
8.816585054	89.5369
8.801615977	89.6824
8.786697643	89.8381
8.771829795	89.9221
8.757012178	90.0711
8.742244536	90.2273
8.727526619	90.3089
8.712858175	90.491
8.69824652	90.5891
8.683676252	90.742
8.669154714	90.8377
8.654681663	90.9934
8.640256858	91.0984
8.625880055	91.2317
8.611551018	91.3464
8.597269507	91.4775
8.583035287	91.616
8.568848124	91.7861
8.554707784	91.9988
8.540614036	92.0947
8.52656665	92.3171
8.512565398	92.4404
8.498610052	92.5798
8.484700388	92.7451
8.470836182	92.9397
8.45701721	93.073
8.443243252	93.1768
8.429514089	93.3679
8.415829502	93.4539
8.402189274	93.5691
8.388593191	93.655
8.375041038	93.8543
8.361539594	93.9246
8.348074642	94.0508
8.334652987	94.1689
8.32127442	94.2571
8.307938734	94.375
8.294645723	94.4314
8.281395183	94.5745
8.268186911	94.7
8.255020704	94.8682
8.241896361	94.9102
8.228813685	95.0215
8.215772476	95.1326
8.202772537	95.1834
8.189813674	95.2559
8.176895691	95.3044
8.164018395	95.448
8.151188239	95.5049
8.138391724	95.5798
8.125635323	95.5957
8.11291885	95.6628
8.100242116	95.6826
8.087604937	95.7334
8.075007126	95.7705
8.062448501	95.8262
8.049928879	95.8914
8.037448078	95.9238
8.025005918	96.0137
8.012602221	95.9707
8.000236807	96.0652
7.9879095	96.1123
7.975620124	96.1562
7.963368505	96.1746
7.951154468	96.1719
7.938977841	96.1902
7.926838452	96.2346
7.914736131	96.3577
7.902670708	96.3166
7.890642014	96.3389
7.878649883	96.3347
7.866694148	96.4138
7.854780812	96.3943
7.842897355	96.3967
7.831049799	96.458
7.819237984	96.4307
7.807461747	96.4355
7.795720929	96.4062
7.784015369	96.4707
7.772344909	96.4443
7.760709391	96.4836
7.749108659	96.501
7.737542556	96.5188
7.726010929	96.4998
7.714513623	96.4871
7.703050485	96.5645
7.691621363	96.5222
7.680226106	96.5566
7.668864563	96.5525
7.657536586	96.5876
7.646242025	96.584
7.634980733	96.6589
7.623752563	96.6416
7.61255737	96.6182
7.601395008	96.72
7.590265333	96.7119
7.579173946	96.7207
7.568109199	96.697
7.557076711	96.7576
7.546076342	96.7109
7.535107952	96.7353
7.524171401	96.8201
7.51326655	96.8152
7.502393263	96.7966
7.491551403	96.7986
7.480740833	96.8994
7.469961418	96.9172
7.459213023	96.917
7.448495516	96.8874
7.437808762	96.9199
7.42715263	96.9453
7.416526989	96.915
7.405931707	96.917
7.395366655	96.8874
7.384831703	96.925
7.374326724	96.9033
7.363851589	96.9209
7.353406171	96.908
7.342990345	96.9612
7.332603984	96.9661
7.322252325	96.929
7.311924506	96.8992
7.30162578	96.8586
7.291356025	96.8884
7.281115117	96.907
7.270902937	96.9336
7.260719363	96.8494
7.250564275	96.8445
7.240437554	96.7468
7.230339081	96.6536
7.220268738	96.614
7.210226408	96.7327
7.200211974	96.7764
7.19022532	96.7158
7.18026633	96.7561
7.17033489	96.7812
7.160436013	96.7659
7.150559317	96.7031
7.140709829	96.7002
7.130887439	96.6194
7.121092034	96.6084
7.111323503	96.6067
7.101581735	96.5437
7.091866622	96.542
7.082178053	96.5076
7.07251592	96.4902
7.062880115	96.425
7.053270531	96.4658
7.04368706	96.425
7.034129597	96.2483
7.024598035	96.0955
7.01509227	95.968
7.005612196	95.8269
6.99615771	95.6768
6.986728709	95.5154
6.977325089	95.2715
6.967946748	95.1787
6.958593585	95.0945
6.949265497	94.8777
6.939962385	94.6846
6.930688952	94.5789
6.921435478	94.574
6.912206681	94.6223
6.903002461	94.7322
6.893822721	94.7927
6.884667364	94.9675
6.875536292	95.126
6.866429409	95.4648
6.857346618	95.5603
6.848287825	95.4456
6.839252935	95.46
6.830241852	95.5642
6.821254483	95.5977
6.812290735	95.5361
6.803350514	95.6145
6.794433728	95.749
6.785540285	95.8389
6.776670093	95.7986
6.767823062	95.821
6.7589991	95.7979
6.750198118	95.8328
6.741420026	95.8672
6.732664735	95.8884
6.723932156	95.9753
6.715226709	96.0244
6.706539278	96.095
6.697874296	96.0349
6.689231675	96.1309
6.680611329	96.2214
6.672013173	96.1448
6.663437121	96.1113
6.654883087	96.1023
6.646350987	96.2588
6.637840737	96.4426
6.629352253	96.3672
6.620885451	96.1719
6.612440248	96.1367
6.604016563	96.0994
6.595614312	96.134
6.587233415	96.1072
6.578873789	96.1746
6.570535354	96.2559
6.56221803	96.0896
6.553921736	96.0439
6.545646392	95.9687
6.537391921	95.8845
6.529158241	95.8289
6.520945276	95.8845
6.512757189	95.7693
6.504585407	95.7493
6.496434107	95.9695
6.488303211	95.9373
6.480192643	95.7175
6.472102327	95.5554
6.464032186	95.4651
6.455982145	95.3545
6.44795213	95.3308
6.439942066	95.2971
6.431951879	95.2715
6.423981494	95.2156
6.416030838	95.3787
6.408099838	95.282
6.400188422	94.8845
6.392296516	94.7444
6.384424048	94.6599
6.376570948	94.6289
6.368737143	94.5635
6.360922563	94.3894
6.353127136	94.2783
6.345350793	94.3037
6.337593464	94.1201
6.329855078	93.8416
6.322139564	93.7102
6.314438848	93.54
6.30675687	93.4473
6.29909356	93.2664
6.291448851	93.0896
6.283822676	92.8826
6.276214965	92.6619
6.268625654	92.407
6.261054675	92.1406
6.253501961	91.9287
6.245967447	91.6668
6.238451067	91.4209
6.230952756	91.1524
6.223472449	90.9219
6.21601008	90.699
6.208565585	90.5095
6.201142747	90.3213
6.1937338	90.1809
6.186342535	90.1748
6.178968891	89.9334
6.171612803	89.657
6.164274209	89.5432
6.156953047	89.5344
6.149649255	89.5059
6.14236277	89.6131
6.135093533	89.7539
6.12784148	89.9207
6.120606552	90.2156
6.113388688	90.5652
6.106187828	90.7097
6.099003911	90.7627
6.091836878	90.9024
6.084686669	90.9707
6.077553226	91.1123
6.070436489	91.0801
6.063336399	90.8074
6.056252899	90.7207
6.049185931	90.7302
6.042135436	90.2464
6.035101357	89.638
6.02808727	89.2781
6.021085843	88.9314
6.01410066	88.6834
6.007131667	88.4153
6.000178805	88.2937
5.99324202	88.386
5.986321256	88.5059
5.979416457	88.6072
5.972527568	88.8574
5.965654534	89.1719
5.9587973	89.3377
5.951955813	89.6336
5.945130017	90.0068
5.938319859	90.5925
5.931525286	90.9053
5.924746243	90.9968
5.917982678	91.3074
5.911234538	91.5925
5.904501769	91.9529
5.89778432	92.4336
5.891082139	92.6328
5.884395172	92.8171
5.87772337	93.0488
5.871066679	92.9661
5.864428488	93.0671
5.85780186	93.1475
5.851190191	93.1814
5.84459343	93.2256
5.838011527	93.2957
5.831444431	93.4211
5.824892094	93.5549
5.818354465	93.573
5.811831494	93.4255
5.805323133	93.374
5.798829332	93.3545
5.792350043	93.332
5.785885217	93.3308
5.779434806	93.2859
5.772998761	93.3565
5.766577035	93.4744
5.760169579	93.3181
5.753776347	93.1455
5.747397291	93.1787
5.741032364	93.1336
5.734681519	93.0615
5.728344709	93.0273
5.722021888	93.0208
5.715713009	93.0437
5.709421287	93.0261
5.703140149	92.9541
5.696872816	92.905
5.690619242	92.9275
5.684379382	92.9024
5.678153192	92.959
5.671940626	92.9597
5.66574164	92.8965
5.659556189	92.9148
5.653384229	92.9041
5.647225716	92.9404
5.641080605	92.9863
5.634948854	92.9251
5.628830419	92.8894
5.622725256	92.9324
5.616633323	92.957
5.610557723	92.9216
5.604492113	92.9209
5.598439603	92.8848
5.592400152	92.8547
5.586373717	92.8328
5.580360257	92.8779
5.574359729	92.824
5.568372092	92.7471
5.562397304	92.7481
5.556435324	92.7551
5.550486112	92.749
5.544549625	92.7068
5.538625823	92.7044
5.532714665	92.676
5.526816112	92.6934
5.520930122	92.6836
5.515056656	92.6494
5.509195674	92.613
5.503347136	92.6199
5.497511002	92.6289
5.491687233	92.6065
5.48587579	92.5869
5.480076633	92.6033
5.474289725	92.6189
5.468518015	92.5994
5.462755479	92.5994
5.457005076	92.5515
5.451266765	92.5559
5.445540511	92.5398
5.439826274	92.5222
5.434124016	92.502
5.428433701	92.4802
5.422755291	92.552
5.417088748	92.5032
5.411434035	92.4756
5.405791116	92.4578
5.400159953	92.4287
5.394540509	92.4004
5.388932749	92.3865
5.383336635	92.3594
5.377752132	92.3084
5.372179203	92.3047
5.366617813	92.3193
5.361067925	92.3064
5.355529504	92.281
5.350002515	92.2976
5.344486921	92.2637
5.338982689	92.2344
5.333492627	92.2146
5.328011006	92.2002
5.32254064	92.2012
5.317081497	92.1963
5.31163354	92.2227
5.306196736	92.2136
5.30077105	92.2109
5.295356449	92.199
5.289952898	92.1785
5.284560364	92.1397
5.279178813	92.1123
5.273808212	92.0925
5.268448526	92.0759
5.263099724	92.0957
5.257761771	92.1025
5.252434635	92.1152
5.247118283	92.0772
5.241812682	92.0579
5.236517799	92.0566
5.231233603	92.0452
5.225960061	92.0274
5.220697141	92.0127
5.21544481	92.0186
5.210203036	91.9805
5.204974498	91.9304
5.19975374	91.9141
5.194543444	91.8982
5.189343579	91.8565
5.184154115	91.8252
5.178975019	91.8174
5.173806261	91.8171
5.168647809	91.8025
5.163499634	91.7625
5.158361704	91.7517
5.153233989	91.718
5.148116459	91.7488
5.143009082	91.719
5.137911829	91.6924
5.13282467	91.6719
5.127747575	91.6394
5.122680514	91.6375
5.117623458	91.5801
