Name:  Copper Metal
Type:  Manmade materials
Class:  Roofing Materials
Subclass:  Metal
Particle Size: Solid
Sample No.: 0681UUUCOP
Owner:  National Photographic Interpretation Center 
Wavelength Range:  All
Origin: Spectra obtained from the Noncoventional Exploitation Factors 
Data System of the National Photographic Interpretation Center. 
Description:  Slightly weathered bare copper metal from government 
building roof flashing.




Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  0.3
Last X Value: 12.5
Number of X Values: 536
Additional Information:  None

2.98	4.2624
3	4.3114
3.02	4.3409
3.04	4.413
3.06	4.4966
3.08	4.5625
3.1	4.6724
3.12	4.7884
3.14	4.8163
3.16	4.6885
3.18	5.0032
3.2	5.0305
3.22	4.9122
3.24	5.1052
3.26	5.1171
3.28	5.2786
3.3	5.2443
3.32	5.1653
3.34	5.0379
3.36	4.9373
3.38	4.7367
3.4	4.5655
3.42	4.5982
3.44	4.5959
3.46	4.7945
3.48	4.7048
3.5	4.8063
3.52	5.2096
3.54	5.4725
3.56	5.5205
3.58	5.7508
3.6	5.8248
3.62	5.8707
3.64	5.9478
3.66	6.0518
3.68	6.0759
3.7	6.1499
3.72	6.1366
3.74	6.1976
3.76	6.3601
3.78	6.2701
3.8	6.3485
3.82	6.445
3.84	6.4284
3.86	6.4931
3.88	6.5915
3.9	6.6083
3.92	6.8493
3.94	6.805
3.96	6.7443
3.98	6.6812
4	6.9426
4.02	7.0997
4.04	7.1547
4.06	7.2205
4.08	7.2333
4.1	7.2728
4.12	7.3033
4.14	7.3787
4.16	7.3817
4.18	7.5022
4.2	7.4331
4.22	7.4925
4.24	7.4535
4.26	7.2071
4.28	7.1919
4.3	7.3629
4.32	7.4392
4.34	7.4841
4.36	7.4755
4.38	7.4566
4.4	7.3929
4.42	7.3792
4.44	7.3778
4.46	7.4482
4.48	7.3848
4.5	7.3817
4.52	7.3634
4.54	7.3576
4.56	7.2511
4.58	7.1362
4.6	7.1436
4.62	7.179
4.64	7.1954
4.66	7.153
4.68	7.146
4.7	7.0929
4.72	7.118
4.74	7.1445
4.76	7.1097
4.78	7.077
4.8	7.0633
4.82	6.9999
4.84	6.9754
4.86	6.9886
4.88	6.9393
4.9	6.9817
4.92	6.887
4.94	6.8215
4.96	6.8674
4.98	6.8708
5	6.8769
5.1	6.8528
5.2	6.9266
5.3	6.8093
5.4	6.8294
5.5	6.7156
5.6	6.3518
5.7	5.5926
5.8	4.9691
5.9	4.3189
6	3.6013
6.1	3.3708
6.2	3.3822
6.3	3.3739
6.4	3.509
6.5	3.633
6.6	3.7482
6.7	3.7487
6.8	3.6175
6.9	3.4983
7	3.4787
7.1	3.5834
7.2	3.6826
7.3	3.8276
7.4	3.9865
7.5	4.1143
7.6	4.1978
7.7	4.26
7.8	4.3783
7.9	4.3626
8	4.2933
8.1	4.0427
8.2	3.9206
