Name:  Bholghati
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Howardite
Particle Size:  0-75 micrometers
Sample No.:  Bholghati
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in India in 1905.  Smithsonian sample No. USNM 
1250(?).
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

14.481	0.61470
14.441	0.64040
14.400	0.66750
14.361	0.69430
14.321	0.72170
14.281	0.75000
14.242	0.77830
14.203	0.80590
14.164	0.83130
14.126	0.85230
14.087	0.86670
14.049	0.87230
14.011	0.86890
13.973	0.85570
13.936	0.83250
13.899	0.80220
13.861	0.76880
13.824	0.73680
13.788	0.70970
13.751	0.69210
13.715	0.68600
13.679	0.69120
13.643	0.70580
13.607	0.72800
13.571	0.75540
13.536	0.78610
13.500	0.81930
13.465	0.85450
13.430	0.88890
13.396	0.92190
13.361	0.95290
13.327	0.98000
13.293	1.0034
13.259	1.0261
13.225	1.0498
13.191	1.0754
13.158	1.1045
13.124	1.1370
13.091	1.1719
13.058	1.2051
13.026	1.2344
12.993	1.2600
12.960	1.2805
12.928	1.2966
12.896	1.3118
12.864	1.3279
12.832	1.3467
12.800	1.3682
12.769	1.3909
12.737	1.4143
12.706	1.4377
12.675	1.4602
12.644	1.4807
12.614	1.4988
12.583	1.5156
12.552	1.5322
12.522	1.5461
12.492	1.5571
12.462	1.5669
12.432	1.5747
12.402	1.5781
12.373	1.5771
12.343	1.5718
12.314	1.5627
12.285	1.5488
12.256	1.5281
12.227	1.5024
12.198	1.4717
12.169	1.4355
12.141	1.3950
12.113	1.3525
12.084	1.3115
12.056	1.2727
12.028	1.2349
12.000	1.1995
11.973	1.1677
11.945	1.1396
11.918	1.1143
11.890	1.0930
11.863	1.0764
11.836	1.0615
11.809	1.0452
11.782	1.0269
11.755	1.0088
11.729	0.99100
11.702	0.97310
11.676	0.95820
11.650	0.94820
11.624	0.94140
11.598	0.93680
11.572	0.93410
11.546	0.93330
11.520	0.93480
11.495	0.93630
11.469	0.93870
11.444	0.94190
11.419	0.94360
11.394	0.94240
11.369	0.93680
11.344	0.92680
11.319	0.91480
11.294	0.90110
11.270	0.88650
11.245	0.87210
11.221	0.85720
11.197	0.83940
11.173	0.81740
11.149	0.79270
11.125	0.76730
11.101	0.74370
11.077	0.72460
11.054	0.71260
11.030	0.70730
11.007	0.70560
10.983	0.70730
10.960	0.71070
10.937	0.71560
10.914	0.72290
10.891	0.73360
10.868	0.74680
10.846	0.76000
10.823	0.77170
10.800	0.78200
10.778	0.79000
10.755	0.79640
10.733	0.80270
10.711	0.80910
10.689	0.81370
10.667	0.81540
10.645	0.81470
10.623	0.81250
10.602	0.80930
10.580	0.80620
10.558	0.80400
10.537	0.80320
10.516	0.80250
10.494	0.80150
10.473	0.80030
10.452	0.79830
10.431	0.79590
10.410	0.79250
10.389	0.78830
10.368	0.78340
10.348	0.77910
10.327	0.77470
10.306	0.77050
10.286	0.76680
10.266	0.76290
10.245	0.75780
10.225	0.75100
10.205	0.74370
10.185	0.73610
10.165	0.72780
10.145	0.71970
10.125	0.71220
10.106	0.70360
10.086	0.69360
10.066	0.68310
10.047	0.67330
10.027	0.66450
10.008	0.65870
9.9887	0.65670
9.9695	0.65720
9.9504	0.65870
9.9313	0.65990
9.9123	0.66040
9.8934	0.66040
9.8746	0.66060
9.8558	0.66260
9.8371	0.66720
9.8185	0.67380
9.7999	0.68160
9.7814	0.69090
9.7630	0.70140
9.7447	0.71140
9.7264	0.72090
9.7082	0.72950
9.6900	0.73780
9.6719	0.74490
9.6539	0.75200
9.6360	0.75980
9.6181	0.76860
9.6003	0.77690
9.5825	0.78490
9.5649	0.79300
9.5472	0.80050
9.5297	0.80690
9.5122	0.81250
9.4948	0.81690
9.4774	0.82010
9.4601	0.82230
9.4429	0.82400
9.4257	0.82540
9.4086	0.82690
9.3916	0.82860
9.3746	0.83110
9.3577	0.83320
9.3408	0.83450
9.3240	0.83570
9.3073	0.83690
9.2906	0.83760
9.2740	0.83790
9.2574	0.83890
9.2409	0.84030
9.2245	0.84080
9.2081	0.84030
9.1918	0.84110
9.1755	0.84330
9.1593	0.84570
9.1431	0.84840
9.1270	0.85250
9.1110	0.85570
9.0950	0.85570
9.0791	0.85300
9.0632	0.84770
9.0474	0.83860
9.0316	0.82590
9.0159	0.81080
9.0003	0.79470
8.9847	0.77780
8.9691	0.76070
8.9536	0.74490
8.9382	0.72900
8.9228	0.71190
8.9075	0.69410
8.8922	0.67550
8.8770	0.65600
8.8618	0.63670
8.8467	0.61840
8.8316	0.60130
8.8166	0.58500
8.8016	0.56860
8.7867	0.55270
8.7718	0.53710
8.7570	0.52150
8.7422	0.50610
8.7275	0.49100
8.7129	0.47630
8.6982	0.46140
8.6837	0.44700
8.6692	0.43380
8.6547	0.42290
8.6403	0.41410
8.6259	0.40840
8.6116	0.40650
8.5973	0.40720
8.5830	0.40840
8.5688	0.40970
8.5547	0.41040
8.5406	0.41090
8.5266	0.41140
8.5126	0.41280
8.4986	0.41630
8.4847	0.42160
8.4708	0.42850
8.4570	0.43650
8.4432	0.44650
8.4295	0.45830
8.4158	0.47050
8.4022	0.48320
8.3886	0.49660
8.3750	0.51070
8.3615	0.52590
8.3481	0.54170
8.3347	0.55980
8.3213	0.57910
8.3079	0.59960
8.2946	0.62040
8.2814	0.64140
8.2682	0.66280
8.2550	0.68550
8.2419	0.71040
8.2288	0.73850
8.2158	0.76980
8.2028	0.80350
8.1898	0.83810
8.1769	0.87230
8.1640	0.90550
8.1512	0.93900
8.1384	0.97340
8.1256	1.0093
8.1129	1.0474
8.1002	1.0869
8.0876	1.1270
8.0750	1.1672
8.0624	1.2073
8.0499	1.2485
8.0374	1.2908
8.0250	1.3342
8.0126	1.3784
8.0002	1.4228
7.9879	1.4665
7.9756	1.5093
7.9634	1.5518
7.9512	1.5947
7.9390	1.6384
7.9268	1.6824
7.9147	1.7263
7.9027	1.7695
7.8906	1.8118
7.8786	1.8530
7.8667	1.8933
7.8548	1.9329
7.8429	1.9717
7.8310	2.0095
7.8192	2.0476
7.8075	2.0857
7.7957	2.1243
7.7840	2.1623
7.7723	2.2002
7.7607	2.2375
7.7491	2.2732
7.7375	2.3074
7.7260	2.3403
7.7145	2.3723
7.7031	2.4026
7.6916	2.4314
7.6802	2.4587
7.6689	2.4851
7.6575	2.5095
7.6462	2.5330
7.6350	2.5559
7.6238	2.5781
7.6126	2.5998
7.6014	2.6223
7.5903	2.6455
7.5792	2.6702
7.5681	2.6960
7.5571	2.7234
7.5461	2.7515
7.5351	2.7798
7.5242	2.8076
7.5133	2.8342
7.5024	2.8599
7.4916	2.8843
7.4807	2.9070
7.4700	2.9280
7.4592	2.9477
7.4485	2.9663
7.4378	2.9849
7.4272	3.0041
7.4165	3.0247
7.4059	3.0456
7.3954	3.0659
7.3848	3.0857
7.3743	3.1040
7.3639	3.1208
7.3534	3.1370
7.3430	3.1531
7.3326	3.1697
7.3223	3.1858
7.3119	3.2019
7.3016	3.2175
7.2914	3.2322
7.2811	3.2454
7.2709	3.2576
7.2607	3.2693
7.2506	3.2798
7.2404	3.2893
