Name:  Winona
Type:  Stony Meteorites
Class:  Anomalous
Subclass:  
Particle Size:  0-75 micrometers
Sample No.:  Winona
Owner:  JHU
Wavelength range:  IR
Origin:  A prehistoric meteorite find.  Smithsonian sample No. 
USNM 854.
Description:  Weathered.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7264	0.63380
9.7082	0.63260
9.6900	0.64280
9.6719	0.66310
9.6539	0.69140
9.6360	0.72490
9.6181	0.76050
9.6003	0.79540
9.5825	0.82790
9.5649	0.85640
9.5472	0.88010
9.5297	0.89890
9.5122	0.91280
9.4948	0.92260
9.4774	0.92940
9.4601	0.93430
9.4429	0.93870
9.4257	0.94290
9.4086	0.94700
9.3916	0.95120
9.3746	0.95430
9.3577	0.95610
9.3408	0.95530
9.3240	0.95210
9.3073	0.94650
9.2906	0.93950
9.2740	0.93140
9.2574	0.92330
9.2409	0.91550
9.2245	0.90820
9.2081	0.90110
9.1918	0.89400
9.1755	0.88700
9.1593	0.88040
9.1431	0.87430
9.1270	0.86940
9.1110	0.86600
9.0950	0.86470
9.0791	0.86500
9.0632	0.86720
9.0474	0.87060
9.0316	0.87500
9.0159	0.87940
9.0003	0.88280
8.9847	0.88450
8.9691	0.88380
8.9536	0.87990
8.9382	0.87330
8.9228	0.86500
8.9075	0.85670
8.8922	0.85030
8.8770	0.84740
8.8618	0.84810
8.8467	0.85130
8.8316	0.85500
8.8166	0.85670
8.8016	0.85500
8.7867	0.84910
8.7718	0.84060
8.7570	0.83130
8.7422	0.82420
8.7275	0.82030
8.7129	0.81980
8.6982	0.82180
8.6837	0.82400
8.6692	0.82520
8.6547	0.82370
8.6403	0.82030
8.6259	0.81520
8.6116	0.81010
8.5973	0.80620
8.5830	0.80400
8.5688	0.80420
8.5547	0.80660
8.5406	0.81080
8.5266	0.81590
8.5126	0.82180
8.4986	0.82790
8.4847	0.83470
8.4708	0.84300
8.4570	0.85350
8.4432	0.86670
8.4295	0.88260
8.4158	0.90060
8.4022	0.92040
8.3886	0.94140
8.3750	0.96260
8.3615	0.98440
8.3481	1.0061
8.3347	1.0278
8.3213	1.0496
8.3079	1.0710
8.2946	1.0923
8.2814	1.1130
8.2682	1.1338
8.2550	1.1538
8.2419	1.1728
8.2288	1.1904
8.2158	1.2061
8.2028	1.2202
8.1898	1.2329
8.1769	1.2451
8.1640	1.2576
8.1512	1.2707
8.1384	1.2854
8.1256	1.3010
8.1129	1.3169
8.1002	1.3328
8.0876	1.3481
8.0750	1.3623
8.0624	1.3752
8.0499	1.3872
8.0374	1.3987
8.0250	1.4094
8.0126	1.4197
8.0002	1.4299
7.9879	1.4402
7.9756	1.4504
7.9634	1.4612
7.9512	1.4729
7.9390	1.4851
7.9268	1.4980
7.9147	1.5112
7.9027	1.5242
7.8906	1.5364
7.8786	1.5476
7.8667	1.5579
7.8548	1.5674
7.8429	1.5759
7.8310	1.5837
7.8192	1.5906
7.8075	1.5964
7.7957	1.6013
7.7840	1.6052
7.7723	1.6084
7.7607	1.6108
7.7491	1.6133
7.7375	1.6157
7.7260	1.6179
7.7145	1.6201
7.7031	1.6223
7.6916	1.6245
7.6802	1.6260
7.6689	1.6272
7.6575	1.6279
7.6462	1.6284
7.6350	1.6282
7.6238	1.6279
7.6126	1.6272
7.6014	1.6267
7.5903	1.6262
7.5792	1.6257
7.5681	1.6257
7.5571	1.6260
7.5461	1.6260
7.5351	1.6255
7.5242	1.6243
7.5133	1.6216
7.5024	1.6179
7.4916	1.6130
7.4807	1.6079
7.4700	1.6030
7.4592	1.5991
7.4485	1.5962
7.4378	1.5945
7.4272	1.5940
7.4165	1.5945
7.4059	1.5962
7.3954	1.5994
7.3848	1.6042
7.3743	1.6108
7.3639	1.6191
7.3534	1.6291
7.3430	1.6401
7.3326	1.6519
7.3223	1.6643
7.3119	1.6772
7.3016	1.6904
7.2914	1.7034
7.2811	1.7163
7.2709	1.7288
7.2607	1.7412
7.2506	1.7532
7.2404	1.7654
7.2303	1.7771
7.2203	1.7888
7.2102	1.8000
7.2002	1.8108
7.1902	1.8215
7.1803	1.8323
7.1703	1.8440
7.1604	1.8562
7.1506	1.8689
7.1407	1.8821
7.1309	1.8945
7.1211	1.9060
7.1113	1.9158
7.1016	1.9238
7.0919	1.9304
7.0822	1.9365
7.0725	1.9421
7.0629	1.9485
7.0533	1.9556
7.0437	1.9636
7.0341	1.9727
7.0246	1.9822
7.0151	1.9922
7.0056	2.0017
6.9962	2.0105
6.9867	2.0183
6.9773	2.0247
6.9679	2.0298
6.9586	2.0339
6.9493	2.0371
6.9400	2.0395
6.9307	2.0410
6.9214	2.0420
6.9122	2.0422
6.9030	2.0420
6.8938	2.0413
6.8847	2.0408
6.8755	2.0400
6.8664	2.0398
6.8573	2.0395
6.8483	2.0400
6.8393	2.0405
6.8302	2.0410
6.8213	2.0420
6.8123	2.0432
6.8034	2.0447
6.7944	2.0466
6.7855	2.0488
6.7767	2.0515
6.7678	2.0539
6.7590	2.0561
6.7502	2.0574
6.7414	2.0579
6.7327	2.0574
6.7239	2.0564
6.7152	2.0554
6.7065	2.0547
6.6979	2.0542
6.6892	2.0539
6.6806	2.0537
6.6720	2.0539
6.6634	2.0544
6.6549	2.0561
6.6464	2.0593
6.6378	2.0644
6.6294	2.0715
6.6209	2.0798
6.6124	2.0884
6.6040	2.0969
6.5956	2.1050
6.5872	2.1123
6.5789	2.1201
6.5705	2.1284
