Name:  Lance2
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Lance2
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1872.  Museum National d'Histoire 
Naturelle sample No. 1481 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7814	0.71360
9.7630	0.71460
9.7447	0.71660
9.7264	0.71970
9.7082	0.72440
9.6900	0.73070
9.6719	0.73900
9.6539	0.74930
9.6360	0.76120
9.6181	0.77420
9.6003	0.78780
9.5825	0.80130
9.5649	0.81350
9.5472	0.82420
9.5297	0.83350
9.5122	0.84160
9.4948	0.84860
9.4774	0.85600
9.4601	0.86300
9.4429	0.87040
9.4257	0.87700
9.4086	0.88210
9.3916	0.88480
9.3746	0.88500
9.3577	0.88230
9.3408	0.87740
9.3240	0.87080
9.3073	0.86350
9.2906	0.85620
9.2740	0.84990
9.2574	0.84520
9.2409	0.84230
9.2245	0.84080
9.2081	0.84030
9.1918	0.84060
9.1755	0.84180
9.1593	0.84370
9.1431	0.84740
9.1270	0.85250
9.1110	0.85940
9.0950	0.86790
9.0791	0.87840
9.0632	0.89010
9.0474	0.90360
9.0316	0.91770
9.0159	0.93160
9.0003	0.94480
8.9847	0.95610
8.9691	0.96510
8.9536	0.97240
8.9382	0.97880
8.9228	0.98490
8.9075	0.99220
8.8922	1.0010
8.8770	1.0122
8.8618	1.0251
8.8467	1.0393
8.8316	1.0532
8.8166	1.0647
8.8016	1.0718
8.7867	1.0730
8.7718	1.0686
8.7570	1.0605
8.7422	1.0527
8.7275	1.0496
8.7129	1.0542
8.6982	1.0679
8.6837	1.0891
8.6692	1.1145
8.6547	1.1406
8.6403	1.1643
8.6259	1.1843
8.6116	1.2009
8.5973	1.2148
8.5830	1.2273
8.5688	1.2393
8.5547	1.2512
8.5406	1.2634
8.5266	1.2764
8.5126	1.2900
8.4986	1.3047
8.4847	1.3201
8.4708	1.3359
8.4570	1.3518
8.4432	1.3677
8.4295	1.3838
8.4158	1.4001
8.4022	1.4172
8.3886	1.4346
8.3750	1.4521
8.3615	1.4697
8.3481	1.4868
8.3347	1.5034
8.3213	1.5195
8.3079	1.5354
8.2946	1.5513
8.2814	1.5671
8.2682	1.5828
8.2550	1.5981
8.2419	1.6130
8.2288	1.6274
8.2158	1.6418
8.2028	1.6560
8.1898	1.6702
8.1769	1.6846
8.1640	1.6990
8.1512	1.7134
8.1384	1.7278
8.1256	1.7422
8.1129	1.7561
8.1002	1.7700
8.0876	1.7837
8.0750	1.7969
8.0624	1.8096
8.0499	1.8218
8.0374	1.8335
8.0250	1.8450
8.0126	1.8560
8.0002	1.8672
7.9879	1.8782
7.9756	1.8889
7.9634	1.8994
7.9512	1.9094
7.9390	1.9189
7.9268	1.9282
7.9147	1.9370
7.9027	1.9456
7.8906	1.9539
7.8786	1.9619
7.8667	1.9697
7.8548	1.9775
7.8429	1.9851
7.8310	1.9927
7.8192	2.0000
7.8075	2.0068
7.7957	2.0132
7.7840	2.0195
7.7723	2.0256
7.7607	2.0317
7.7491	2.0381
7.7375	2.0439
7.7260	2.0488
7.7145	2.0530
7.7031	2.0564
7.6916	2.0591
7.6802	2.0615
7.6689	2.0642
7.6575	2.0671
7.6462	2.0698
7.6350	2.0720
7.6238	2.0740
7.6126	2.0754
7.6014	2.0771
7.5903	2.0791
7.5792	2.0818
7.5681	2.0852
7.5571	2.0896
7.5461	2.0947
7.5351	2.1003
7.5242	2.1060
7.5133	2.1106
7.5024	2.1143
7.4916	2.1167
7.4807	2.1177
7.4700	2.1182
7.4592	2.1186
7.4485	2.1196
7.4378	2.1221
7.4272	2.1257
7.4165	2.1301
7.4059	2.1355
7.3954	2.1411
7.3848	2.1465
7.3743	2.1518
7.3639	2.1570
7.3534	2.1623
7.3430	2.1682
7.3326	2.1746
7.3223	2.1811
7.3119	2.1875
7.3016	2.1934
7.2914	2.1985
7.2811	2.2031
7.2709	2.2078
7.2607	2.2122
7.2506	2.2165
7.2404	2.2209
7.2303	2.2246
7.2203	2.2278
7.2102	2.2305
7.2002	2.2331
7.1902	2.2358
7.1803	2.2388
7.1703	2.2419
7.1604	2.2454
7.1506	2.2490
7.1407	2.2534
7.1309	2.2585
7.1211	2.2642
7.1113	2.2703
7.1016	2.2761
7.0919	2.2815
7.0822	2.2864
7.0725	2.2910
7.0629	2.2961
7.0533	2.3020
7.0437	2.3091
7.0341	2.3166
7.0246	2.3252
7.0151	2.3340
7.0056	2.3430
6.9962	2.3518
6.9867	2.3601
6.9773	2.3682
6.9679	2.3757
6.9586	2.3828
6.9493	2.3894
6.9400	2.3960
6.9307	2.4023
6.9214	2.4082
6.9122	2.4138
6.9030	2.4189
6.8938	2.4236
6.8847	2.4277
6.8755	2.4319
6.8664	2.4360
6.8573	2.4404
6.8483	2.4453
6.8393	2.4504
6.8302	2.4560
6.8213	2.4619
6.8123	2.4685
6.8034	2.4758
6.7944	2.4841
6.7855	2.4927
6.7767	2.5012
6.7678	2.5090
6.7590	2.5151
6.7502	2.5195
6.7414	2.5222
6.7327	2.5234
6.7239	2.5237
6.7152	2.5232
6.7065	2.5227
6.6979	2.5220
6.6892	2.5212
6.6806	2.5205
6.6720	2.5198
6.6634	2.5190
6.6549	2.5185
6.6464	2.5185
6.6378	2.5188
6.6294	2.5190
6.6209	2.5190
6.6124	2.5188
6.6040	2.5181
6.5956	2.5166
6.5872	2.5142
6.5789	2.5115
6.5705	2.5083
6.5622	2.5049
6.5539	2.5012
6.5456	2.4976
6.5374	2.4934
6.5292	2.4880
6.5209	2.4814
6.5128	2.4736
6.5046	2.4651
6.4964	2.4568
6.4883	2.4490
6.4802	2.4424
6.4721	2.4365
6.4640	2.4309
6.4560	2.4248
6.4480	2.4175
6.4399	2.4092
6.4320	2.4001
6.4240	2.3914
6.4160	2.3835
6.4081	2.3765
6.4002	2.3699
6.3923	2.3638
6.3844	2.3577
6.3766	2.3511
6.3687	2.3442
6.3609	2.3376
6.3531	2.3318
6.3454	2.3264
6.3376	2.3220
6.3299	2.3181
6.3221	2.3152
6.3144	2.3130
6.3068	2.3120
6.2991	2.3122
6.2914	2.3135
6.2838	2.3159
6.2762	2.3191
6.2686	2.3227
6.2611	2.3269
6.2535	2.3315
6.2460	2.3364
6.2385	2.3418
6.2310	2.3474
6.2235	2.3533
6.2160	2.3596
6.2086	2.3657
6.2011	2.3716
6.1937	2.3772
6.1863	2.3826
6.1790	2.3877
6.1716	2.3926
6.1643	2.3970
6.1570	2.4016
6.1496	2.4060
6.1424	2.4102
6.1351	2.4138
6.1278	2.4170
6.1206	2.4197
6.1134	2.4214
6.1062	2.4224
6.0990	2.4226
6.0918	2.4221
6.0847	2.4211
6.0776	2.4194
6.0704	2.4175
6.0633	2.4150
6.0563	2.4126
6.0492	2.4109
6.0421	2.4099
6.0351	2.4102
6.0281	2.4119
6.0211	2.4153
6.0141	2.4199
6.0071	2.4260
6.0002	2.4338
5.9932	2.4429
5.9863	2.4531
5.9794	2.4646
5.9725	2.4768
5.9657	2.4895
5.9588	2.5027
5.9520	2.5159
5.9451	2.5293
5.9383	2.5422
5.9315	2.5549
5.9247	2.5664
5.9180	2.5769
5.9112	2.5864
5.9045	2.5950
5.8978	2.6030
5.8911	2.6111
5.8844	2.6194
5.8777	2.6282
5.8711	2.6367
5.8644	2.6453
5.8578	2.6531
5.8512	2.6604
5.8446	2.6670
5.8380	2.6736
5.8314	2.6802
5.8249	2.6870
5.8184	2.6938
5.8118	2.7004
5.8053	2.7063
5.7988	2.7104
5.7923	2.7129
5.7859	2.7139
5.7794	2.7134
5.7730	2.7119
5.7666	2.7100
5.7602	2.7080
5.7538	2.7056
5.7474	2.7026
5.7410	2.6992
5.7347	2.6951
5.7283	2.6907
5.7220	2.6860
5.7157	2.6814
5.7094	2.6772
5.7031	2.6738
5.6969	2.6711
5.6906	2.6692
5.6844	2.6685
5.6782	2.6682
5.6719	2.6689
5.6657	2.6706
5.6596	2.6728
5.6534	2.6758
5.6472	2.6797
5.6411	2.6843
5.6349	2.6897
5.6288	2.6958
5.6227	2.7021
5.6166	2.7087
5.6106	2.7156
5.6045	2.7224
5.5984	2.7292
5.5924	2.7363
5.5864	2.7432
5.5804	2.7502
5.5744	2.7568
5.5684	2.7629
5.5624	2.7685
5.5564	2.7732
5.5505	2.7766
5.5445	2.7790
5.5386	2.7808
5.5327	2.7815
5.5268	2.7822
5.5209	2.7825
5.5151	2.7830
5.5092	2.7834
5.5033	2.7834
5.4975	2.7837
5.4917	2.7842
5.4859	2.7849
5.4801	2.7864
5.4743	2.7883
5.4685	2.7910
5.4628	2.7939
5.4570	2.7971
5.4513	2.8003
5.4455	2.8032
5.4398	2.8064
5.4341	2.8093
5.4284	2.8125
5.4228	2.8162
5.4171	2.8198
5.4114	2.8235
5.4058	2.8276
5.4002	2.8318
5.3945	2.8359
5.3889	2.8398
5.3833	2.8435
5.3778	2.8467
5.3722	2.8496
5.3666	2.8518
5.3611	2.8540
5.3555	2.8559
5.3500	2.8577
5.3445	2.8596
5.3390	2.8616
5.3335	2.8633
5.3280	2.8645
5.3225	2.8650
5.3171	2.8650
5.3116	2.8647
5.3062	2.8647
5.3008	2.8652
5.2954	2.8664
5.2900	2.8684
5.2846	2.8706
5.2792	2.8723
5.2738	2.8735
5.2684	2.8743
5.2631	2.8745
5.2578	2.8752
5.2524	2.8760
5.2471	2.8774
5.2418	2.8789
5.2365	2.8801
5.2312	2.8811
5.2260	2.8816
5.2207	2.8813
5.2154	2.8809
5.2102	2.8799
5.2050	2.8791
5.1998	2.8787
5.1945	2.8784
5.1893	2.8782
5.1842	2.8779
5.1790	2.8779
5.1738	2.8774
5.1686	2.8769
5.1635	2.8767
5.1584	2.8762
5.1532	2.8760
5.1481	2.8757
5.1430	2.8757
5.1379	2.8760
5.1328	2.8767
5.1277	2.8779
5.1227	2.8794
5.1176	2.8809
5.1126	2.8821
5.1075	2.8830
5.1025	2.8843
5.0975	2.8855
5.0925	2.8872
5.0875	2.8892
5.0825	2.8914
5.0775	2.8935
5.0726	2.8957
5.0676	2.8982
5.0627	2.9001
5.0577	2.9023
5.0528	2.9043
5.0479	2.9065
5.0430	2.9087
5.0380	2.9109
5.0332	2.9133
5.0283	2.9163
5.0234	2.9192
5.0185	2.9221
5.0137	2.9250
5.0088	2.9277
5.0040	2.9302
4.9992	2.9324
4.9944	2.9346
4.9896	2.9368
4.9848	2.9390
4.9800	2.9414
4.9752	2.9436
4.9704	2.9455
4.9657	2.9473
4.9609	2.9487
4.9562	2.9502
4.9514	2.9517
4.9467	2.9534
4.9420	2.9551
4.9373	2.9570
4.9326	2.9592
4.9279	2.9619
4.9232	2.9646
4.9186	2.9675
4.9139	2.9702
4.9092	2.9724
4.9046	2.9744
4.9000	2.9758
4.8953	2.9773
4.8907	2.9785
4.8861	2.9802
4.8815	2.9824
4.8769	2.9849
4.8723	2.9875
4.8678	2.9902
4.8632	2.9927
4.8586	2.9944
4.8541	2.9958
4.8495	2.9968
4.8450	2.9976
4.8405	2.9988
4.8360	3.0002
4.8315	3.0019
4.8270	3.0041
4.8225	3.0063
4.8180	3.0083
4.8135	3.0102
4.8090	3.0122
4.8046	3.0144
4.8001	3.0163
4.7957	3.0183
