Name:  Allende1
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CV3
Particle Size:  0-75 micrometers
Sample No.:  Allende1
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Mexico in 1969.  Smithsonian sample No. USNM 
3529.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7447	0.48000
9.7264	0.48780
9.7082	0.49600
9.6900	0.50430
9.6719	0.51270
9.6539	0.52100
9.6360	0.52950
9.6181	0.53800
9.6003	0.54600
9.5825	0.55350
9.5649	0.55970
9.5472	0.56430
9.5297	0.56700
9.5122	0.56750
9.4948	0.56630
9.4774	0.56350
9.4601	0.55970
9.4429	0.55530
9.4257	0.55050
9.4086	0.54540
9.3916	0.54000
9.3746	0.53420
9.3577	0.52820
9.3408	0.52220
9.3240	0.51650
9.3073	0.51140
9.2906	0.50710
9.2740	0.50390
9.2574	0.50200
9.2409	0.50120
9.2245	0.50180
9.2081	0.50380
9.1918	0.50720
9.1755	0.51210
9.1593	0.51830
9.1431	0.52560
9.1270	0.53410
9.1110	0.54330
9.0950	0.55330
9.0791	0.56420
9.0632	0.57600
9.0474	0.58890
9.0316	0.60280
9.0159	0.61790
9.0003	0.63390
8.9847	0.65040
8.9691	0.66720
8.9536	0.68370
8.9382	0.69970
8.9228	0.71500
8.9075	0.72960
8.8922	0.74370
8.8770	0.75720
8.8618	0.77040
8.8467	0.78300
8.8316	0.79490
8.8166	0.80580
8.8016	0.81520
8.7867	0.82310
8.7718	0.82970
8.7570	0.83520
8.7422	0.84050
8.7275	0.84620
8.7129	0.85290
8.6982	0.86080
8.6837	0.86990
8.6692	0.87940
8.6547	0.88890
8.6403	0.89770
8.6259	0.90560
8.6116	0.91260
8.5973	0.91920
8.5830	0.92590
8.5688	0.93290
8.5547	0.94040
8.5406	0.94870
8.5266	0.95720
8.5126	0.96560
8.4986	0.97360
8.4847	0.98120
8.4708	0.98830
8.4570	0.99520
8.4432	1.0023
8.4295	1.0098
8.4158	1.0176
8.4022	1.0259
8.3886	1.0343
8.3750	1.0426
8.3615	1.0507
8.3481	1.0583
8.3347	1.0655
8.3213	1.0725
8.3079	1.0792
8.2946	1.0859
8.2814	1.0925
8.2682	1.0992
8.2550	1.1058
8.2419	1.1124
8.2288	1.1190
8.2158	1.1255
8.2028	1.1321
8.1898	1.1387
8.1769	1.1454
8.1640	1.1521
8.1512	1.1588
8.1384	1.1655
8.1256	1.1722
8.1129	1.1787
8.1002	1.1848
8.0876	1.1907
8.0750	1.1962
8.0624	1.2013
8.0499	1.2062
8.0374	1.2109
8.0250	1.2157
8.0126	1.2206
8.0002	1.2255
7.9879	1.2303
7.9756	1.2352
7.9634	1.2399
7.9512	1.2445
7.9390	1.2490
7.9268	1.2535
7.9147	1.2582
7.9027	1.2629
7.8906	1.2677
7.8786	1.2725
7.8667	1.2770
7.8548	1.2814
7.8429	1.2854
7.8310	1.2894
7.8192	1.2935
7.8075	1.2975
7.7957	1.3016
7.7840	1.3058
7.7723	1.3098
7.7607	1.3136
7.7491	1.3171
7.7375	1.3203
7.7260	1.3234
7.7145	1.3262
7.7031	1.3289
7.6916	1.3314
7.6802	1.3341
7.6689	1.3367
7.6575	1.3392
7.6462	1.3419
7.6350	1.3446
7.6238	1.3475
7.6126	1.3506
7.6014	1.3540
7.5903	1.3577
7.5792	1.3616
7.5681	1.3655
7.5571	1.3694
7.5461	1.3733
7.5351	1.3772
7.5242	1.3811
7.5133	1.3850
7.5024	1.3892
7.4916	1.3933
7.4807	1.3977
7.4700	1.4020
7.4592	1.4061
7.4485	1.4102
7.4378	1.4137
7.4272	1.4167
7.4165	1.4193
7.4059	1.4217
7.3954	1.4239
7.3848	1.4263
7.3743	1.4290
7.3639	1.4320
7.3534	1.4353
7.3430	1.4388
7.3326	1.4423
7.3223	1.4453
7.3119	1.4480
7.3016	1.4502
7.2914	1.4520
7.2811	1.4537
7.2709	1.4553
7.2607	1.4571
7.2506	1.4592
7.2404	1.4615
7.2303	1.4640
7.2203	1.4663
7.2102	1.4686
7.2002	1.4707
7.1902	1.4725
7.1803	1.4742
7.1703	1.4757
7.1604	1.4773
7.1506	1.4788
7.1407	1.4803
7.1309	1.4818
7.1211	1.4834
7.1113	1.4849
7.1016	1.4862
7.0919	1.4877
7.0822	1.4893
7.0725	1.4911
7.0629	1.4933
7.0533	1.4960
7.0437	1.4991
7.0341	1.5028
7.0246	1.5066
7.0151	1.5104
7.0056	1.5139
6.9962	1.5172
6.9867	1.5199
6.9773	1.5221
6.9679	1.5239
6.9586	1.5254
6.9493	1.5267
6.9400	1.5280
6.9307	1.5293
6.9214	1.5308
6.9122	1.5322
6.9030	1.5337
6.8938	1.5352
6.8847	1.5364
6.8755	1.5376
6.8664	1.5384
6.8573	1.5392
6.8483	1.5397
6.8393	1.5400
6.8302	1.5405
6.8213	1.5409
6.8123	1.5415
6.8034	1.5424
6.7944	1.5433
6.7855	1.5446
6.7767	1.5458
6.7678	1.5469
6.7590	1.5478
6.7502	1.5487
6.7414	1.5494
6.7327	1.5499
6.7239	1.5503
6.7152	1.5508
6.7065	1.5511
6.6979	1.5516
6.6892	1.5522
6.6806	1.5529
6.6720	1.5535
6.6634	1.5543
6.6549	1.5552
6.6464	1.5560
6.6378	1.5569
6.6294	1.5577
6.6209	1.5586
6.6124	1.5594
6.6040	1.5604
6.5956	1.5615
6.5872	1.5629
6.5789	1.5644
6.5705	1.5663
6.5622	1.5684
6.5539	1.5703
6.5456	1.5721
6.5374	1.5736
6.5292	1.5746
6.5209	1.5754
6.5128	1.5760
6.5046	1.5767
6.4964	1.5775
6.4883	1.5787
6.4802	1.5802
6.4721	1.5818
6.4640	1.5834
6.4560	1.5847
6.4480	1.5857
6.4399	1.5863
6.4320	1.5867
6.4240	1.5868
6.4160	1.5869
6.4081	1.5873
6.4002	1.5879
6.3923	1.5887
6.3844	1.5898
6.3766	1.5909
6.3687	1.5919
6.3609	1.5928
6.3531	1.5934
6.3454	1.5939
6.3376	1.5945
6.3299	1.5950
6.3221	1.5958
6.3144	1.5969
6.3068	1.5984
6.2991	1.6003
6.2914	1.6027
6.2838	1.6052
6.2762	1.6080
6.2686	1.6110
6.2611	1.6139
6.2535	1.6169
