Name:  Johnstown
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Diogenite
Particle Size:  0-75 micrometers
Sample No.:  Johnstown
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Colorado in 1924.  Smithsonian sample No. 
USNM 3419.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.79830
24.924	0.84810
24.805	0.93190
24.686	0.98170
24.569	0.99780
24.454	0.99760
24.339	0.96390
24.225	0.91310
24.112	0.88920
24.001	0.89040
23.890	0.91480
23.781	0.96390
23.672	1.0112
23.564	1.0581
23.458	1.1057
23.352	1.1450
23.247	1.1946
23.144	1.2483
23.041	1.2922
22.939	1.3218
22.838	1.3289
22.738	1.3557
22.638	1.4021
22.540	1.4436
22.442	1.4836
22.345	1.5144
22.250	1.5134
22.154	1.4839
22.060	1.4534
21.967	1.4363
21.874	1.4182
21.782	1.3826
21.691	1.3418
21.601	1.3059
21.511	1.2698
21.422	1.2307
21.334	1.2014
21.247	1.1858
21.160	1.1904
21.074	1.2100
20.988	1.2571
20.904	1.3325
20.820	1.4311
20.737	1.5249
20.654	1.5952
20.572	1.6499
20.491	1.7085
20.410	1.7761
20.330	1.8520
20.251	1.9272
20.172	2.0073
20.094	2.0732
20.016	2.1152
19.939	2.1435
19.863	2.1672
19.787	2.1931
19.712	2.2178
19.637	2.2317
19.563	2.2329
19.489	2.2151
19.416	2.1760
19.344	2.1128
19.272	2.0232
19.201	1.9150
19.130	1.8059
19.059	1.7070
18.990	1.6348
18.920	1.5945
18.851	1.5825
18.783	1.5935
18.715	1.6184
18.648	1.6479
18.581	1.6853
18.515	1.7239
18.449	1.7598
18.384	1.7834
18.319	1.7761
18.254	1.7368
18.190	1.6841
18.126	1.6287
18.063	1.5774
18.001	1.5383
17.938	1.5276
17.876	1.5510
17.815	1.5974
17.754	1.6616
17.693	1.7451
17.633	1.8274
17.573	1.8923
17.514	1.9431
17.455	1.9810
17.396	1.9976
17.338	1.9924
17.280	1.9746
17.223	1.9573
17.166	1.9397
17.109	1.9233
17.053	1.9241
16.997	1.9407
16.942	1.9504
16.886	1.9482
16.832	1.9434
16.777	1.9360
16.723	1.9199
16.669	1.8926
16.616	1.8603
16.563	1.8123
16.510	1.7349
16.458	1.6257
16.406	1.4944
16.354	1.3445
16.302	1.1882
16.251	1.0435
16.200	0.91920
16.150	0.81350
16.100	0.72920
16.050	0.66380
16.000	0.61520
15.951	0.58370
15.902	0.56490
15.854	0.55420
15.805	0.54830
15.757	0.54590
15.710	0.54640
15.662	0.55030
15.615	0.55440
15.568	0.55790
15.521	0.55980
15.475	0.54980
15.429	0.52120
15.383	0.48730
15.338	0.45510
15.292	0.42630
15.248	0.40360
15.203	0.39530
15.158	0.40890
15.114	0.43580
15.070	0.45950
15.027	0.48460
14.983	0.51050
14.940	0.52730
14.897	0.53830
14.854	0.55150
14.812	0.56370
14.770	0.57620
14.728	0.59420
14.686	0.62500
14.645	0.66630
14.603	0.70390
14.562	0.73930
14.521	0.76730
