Name:  Ornans
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Ornans
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1868..  Museum National d'Histoire 
Naturelle sample No. 581 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.0027
24.924	1.0127
24.805	1.0088
24.686	0.99240
24.569	0.96870
24.454	0.94430
24.339	0.92460
24.225	0.91210
24.112	0.90650
24.001	0.90430
23.890	0.90010
23.781	0.89040
23.672	0.87260
23.564	0.84740
23.458	0.81810
23.352	0.78810
23.247	0.76030
23.144	0.73580
23.041	0.71480
22.939	0.69510
22.838	0.67550
22.738	0.65480
22.638	0.63400
22.540	0.61500
22.442	0.60010
22.345	0.59080
22.250	0.58860
22.154	0.59300
22.060	0.60200
21.967	0.61350
21.874	0.62500
21.782	0.63430
21.691	0.63940
21.601	0.63940
21.511	0.63400
21.422	0.62380
21.334	0.60940
21.247	0.59280
21.160	0.57570
21.074	0.56050
20.988	0.54960
20.904	0.54440
20.820	0.54640
20.737	0.55590
20.654	0.57200
20.572	0.59400
20.491	0.61940
20.410	0.64620
20.330	0.67260
20.251	0.69650
20.172	0.71750
20.094	0.73510
20.016	0.75000
19.939	0.76340
19.863	0.77610
19.787	0.78880
19.712	0.80180
19.637	0.81450
19.563	0.82690
19.489	0.83860
19.416	0.84910
19.344	0.85840
19.272	0.86600
19.201	0.87210
19.130	0.87500
19.059	0.87380
18.990	0.86720
18.920	0.85470
18.851	0.83620
18.783	0.81350
18.715	0.78910
18.648	0.76560
18.581	0.74580
18.515	0.73140
18.449	0.72270
18.384	0.71800
18.319	0.71460
18.254	0.70970
18.190	0.70090
18.126	0.68680
18.063	0.66700
18.001	0.64310
17.938	0.61670
17.876	0.59110
17.815	0.56790
17.754	0.54930
17.693	0.53690
17.633	0.53050
17.573	0.52980
17.514	0.53320
17.455	0.53860
17.396	0.54350
17.338	0.54540
17.280	0.54270
17.223	0.53420
17.166	0.52080
17.109	0.50340
17.053	0.48490
16.997	0.46750
16.942	0.45390
16.886	0.44510
16.832	0.44210
16.777	0.44480
16.723	0.45170
16.669	0.46120
16.616	0.47170
16.563	0.48170
16.510	0.48950
16.458	0.49440
16.406	0.49560
16.354	0.49340
16.302	0.48850
16.251	0.48190
16.200	0.47490
16.150	0.46850
16.100	0.46390
16.050	0.46190
16.000	0.46260
15.951	0.46460
15.902	0.46730
15.854	0.46850
15.805	0.46700
15.757	0.46220
15.710	0.45410
15.662	0.44410
15.615	0.43360
15.568	0.42460
15.521	0.41920
15.475	0.41800
15.429	0.42110
15.383	0.42820
15.338	0.43770
15.292	0.44820
15.248	0.45780
15.203	0.46530
15.158	0.46970
15.114	0.47090
15.070	0.46920
15.027	0.46560
14.983	0.46140
14.940	0.45830
14.897	0.45780
14.854	0.46090
14.812	0.46850
14.770	0.48000
14.728	0.49440
14.686	0.51070
14.645	0.52710
14.603	0.54220
14.562	0.55540
14.521	0.56690
14.481	0.57710
14.441	0.58640
14.400	0.59590
14.361	0.60600
14.321	0.61650
14.281	0.62770
14.242	0.63940
14.203	0.65140
14.164	0.66310
14.126	0.67460
14.087	0.68530
14.049	0.69480
14.011	0.70290
13.973	0.70920
13.936	0.71360
13.899	0.71680
13.861	0.71920
13.824	0.72220
13.788	0.72660
13.751	0.73340
13.715	0.74320
13.679	0.75630
13.643	0.77270
13.607	0.79130
13.571	0.81130
13.536	0.83230
13.500	0.85280
13.465	0.87280
13.430	0.89140
13.396	0.90890
13.361	0.92550
13.327	0.94160
13.293	0.95800
13.259	0.97490
13.225	0.99170
13.191	1.0088
13.158	1.0251
13.124	1.0398
13.091	1.0518
13.058	1.0608
13.026	1.0666
12.993	1.0696
12.960	1.0698
12.928	1.0686
12.896	1.0666
12.864	1.0642
12.832	1.0620
12.800	1.0596
12.769	1.0566
12.737	1.0530
12.706	1.0478
12.675	1.0410
12.644	1.0330
12.614	1.0234
12.583	1.0129
12.552	1.0015
12.522	0.98930
12.492	0.97660
12.462	0.96340
12.432	0.94950
12.402	0.93530
12.373	0.92040
12.343	0.90550
12.314	0.88990
12.285	0.87330
12.256	0.85550
12.227	0.83570
12.198	0.81370
12.169	0.78950
12.141	0.76340
12.113	0.73610
12.084	0.70900
12.056	0.68330
12.028	0.66090
12.000	0.64280
11.973	0.63010
11.945	0.62330
11.918	0.62210
11.890	0.62550
11.863	0.63280
11.836	0.64260
11.809	0.65430
11.782	0.66670
11.755	0.67990
11.729	0.69410
11.702	0.70950
11.676	0.72610
11.650	0.74370
11.624	0.76240
11.598	0.78150
11.572	0.80050
11.546	0.81880
11.520	0.83640
11.495	0.85250
11.469	0.86740
11.444	0.88090
11.419	0.89280
