Name:  Happy Canyon
Type:  Stony Meteorites
Class:  Enstatite Chondrite
Subclass:  E6
Particle Size:  0-75 micrometers
Sample No.:  Happy Canyon
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1971.  Smithsonian sample No. USNM 5820.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7447	0.48950
9.7264	0.46260
9.7082	0.43850
9.6900	0.42140
9.6719	0.41500
9.6539	0.42240
9.6360	0.44430
9.6181	0.47880
9.6003	0.52030
9.5825	0.56270
9.5649	0.60130
9.5472	0.63280
9.5297	0.65720
9.5122	0.67650
9.4948	0.69310
9.4774	0.70830
9.4601	0.72310
9.4429	0.73780
9.4257	0.75100
9.4086	0.76100
9.3916	0.76780
9.3746	0.77200
9.3577	0.77320
9.3408	0.77250
9.3240	0.77070
9.3073	0.76880
9.2906	0.76660
9.2740	0.76390
9.2574	0.76170
9.2409	0.75980
9.2245	0.75830
9.2081	0.75760
9.1918	0.75730
9.1755	0.75780
9.1593	0.75900
9.1431	0.76120
9.1270	0.76460
9.1110	0.76930
9.0950	0.77510
9.0791	0.78270
9.0632	0.79300
9.0474	0.80590
9.0316	0.82010
9.0159	0.83450
9.0003	0.84690
8.9847	0.85620
8.9691	0.86080
8.9536	0.86250
8.9382	0.86230
8.9228	0.85910
8.9075	0.85330
8.8922	0.84640
8.8770	0.84030
8.8618	0.83720
8.8467	0.83960
8.8316	0.84940
8.8166	0.86330
8.8016	0.87400
8.7867	0.87480
8.7718	0.86110
8.7570	0.83400
8.7422	0.79910
8.7275	0.76590
8.7129	0.74390
8.6982	0.73830
8.6837	0.74680
8.6692	0.76320
8.6547	0.77950
8.6403	0.79100
8.6259	0.79570
8.6116	0.79370
8.5973	0.78880
8.5830	0.78520
8.5688	0.78370
8.5547	0.78390
8.5406	0.78640
8.5266	0.79100
8.5126	0.79740
8.4986	0.80570
8.4847	0.81590
8.4708	0.82860
