Name:  PCA 82507
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  PCA 82507
Owner:  JHU
Wavelength range:  IR
Origin:  Found in Antarctic in 1982.  Smithsonian sample No. PCA 82507.05.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7447	1.3367
9.7264	1.3518
9.7082	1.3674
9.6900	1.3821
9.6719	1.3957
9.6539	1.4084
9.6360	1.4216
9.6181	1.4336
9.6003	1.4424
9.5825	1.4495
9.5649	1.4551
9.5472	1.4573
9.5297	1.4597
9.5122	1.4639
9.4948	1.4646
9.4774	1.4602
9.4601	1.4492
9.4429	1.4311
9.4257	1.4094
9.4086	1.3857
9.3916	1.3586
9.3746	1.3298
9.3577	1.3005
9.3408	1.2727
9.3240	1.2476
9.3073	1.2251
9.2906	1.2063
9.2740	1.1870
9.2574	1.1665
9.2409	1.1501
9.2245	1.1387
9.2081	1.1306
9.1918	1.1284
9.1755	1.1328
9.1593	1.1372
9.1431	1.1396
9.1270	1.1433
9.1110	1.1462
9.0950	1.1492
9.0791	1.1523
9.0632	1.1543
9.0474	1.1570
9.0316	1.1560
9.0159	1.1516
9.0003	1.1455
8.9847	1.1377
8.9691	1.1304
8.9536	1.1235
8.9382	1.1206
8.9228	1.1230
8.9075	1.1245
8.8922	1.1243
8.8770	1.1252
8.8618	1.1252
8.8467	1.1204
8.8316	1.1152
8.8166	1.1157
8.8016	1.1177
8.7867	1.1177
8.7718	1.1201
8.7570	1.1267
8.7422	1.1294
8.7275	1.1257
8.7129	1.1206
8.6982	1.1184
8.6837	1.1157
8.6692	1.1152
8.6547	1.1223
8.6403	1.1338
8.6259	1.1455
8.6116	1.1567
8.5973	1.1675
8.5830	1.1819
8.5688	1.1985
8.5547	1.2175
8.5406	1.2397
8.5266	1.2612
8.5126	1.2839
8.4986	1.3108
8.4847	1.3413
8.4708	1.3760
8.4570	1.4136
8.4432	1.4543
8.4295	1.4966
8.4158	1.5378
8.4022	1.5786
8.3886	1.6233
8.3750	1.6721
8.3615	1.7222
8.3481	1.7727
8.3347	1.8245
8.3213	1.8791
8.3079	1.9360
8.2946	1.9939
8.2814	2.0542
8.2682	2.1150
8.2550	2.1748
8.2419	2.2314
8.2288	2.2837
8.2158	2.3340
8.2028	2.3835
8.1898	2.4333
8.1769	2.4824
8.1640	2.5283
8.1512	2.5737
8.1384	2.6189
8.1256	2.6623
8.1129	2.7053
8.1002	2.7500
8.0876	2.7944
8.0750	2.8364
8.0624	2.8760
8.0499	2.9158
8.0374	2.9546
8.0250	2.9922
8.0126	3.0300
8.0002	3.0688
7.9879	3.1050
7.9756	3.1377
7.9634	3.1684
7.9512	3.1975
7.9390	3.2263
7.9268	3.2554
7.9147	3.2849
7.9027	3.3149
7.8906	3.3452
7.8786	3.3735
7.8667	3.3982
7.8548	3.4209
7.8429	3.4443
7.8310	3.4685
7.8192	3.4932
7.8075	3.5200
7.7957	3.5486
7.7840	3.5740
7.7723	3.5957
7.7607	3.6160
7.7491	3.6355
7.7375	3.6531
7.7260	3.6711
7.7145	3.6897
7.7031	3.7056
7.6916	3.7170
7.6802	3.7268
7.6689	3.7375
7.6575	3.7485
7.6462	3.7590
7.6350	3.7715
7.6238	3.7869
7.6126	3.8022
7.6014	3.8169
7.5903	3.8323
7.5792	3.8508
7.5681	3.8699
7.5571	3.8899
7.5461	3.9145
7.5351	3.9412
7.5242	3.9668
7.5133	3.9922
7.5024	4.0168
7.4916	4.0417
7.4807	4.0647
7.4700	4.0889
7.4592	4.1145
7.4485	4.1379
7.4378	4.1619
7.4272	4.1877
7.4165	4.2117
7.4059	4.2361
7.3954	4.2612
7.3848	4.2854
7.3743	4.3076
7.3639	4.3313
7.3534	4.3572
7.3430	4.3811
7.3326	4.4031
7.3223	4.4241
7.3119	4.4421
7.3016	4.4570
7.2914	4.4707
7.2811	4.4849
7.2709	4.4997
7.2607	4.5178
7.2506	4.5388
7.2404	4.5596
7.2303	4.5784
7.2203	4.5954
7.2102	4.6103
7.2002	4.6235
7.1902	4.6357
7.1803	4.6474
7.1703	4.6589
7.1604	4.6714
7.1506	4.6824
7.1407	4.6919
7.1309	4.7031
7.1211	4.7168
7.1113	4.7317
7.1016	4.7463
7.0919	4.7637
7.0822	4.7834
7.0725	4.8015
7.0629	4.8201
7.0533	4.8401
7.0437	4.8596
7.0341	4.8799
7.0246	4.8992
7.0151	4.9175
7.0056	4.9348
6.9962	4.9524
6.9867	4.9685
6.9773	4.9827
6.9679	4.9978
6.9586	5.0129
6.9493	5.0281
6.9400	5.0415
6.9307	5.0547
6.9214	5.0674
6.9122	5.0762
6.9030	5.0854
6.8938	5.0952
6.8847	5.1028
6.8755	5.1123
6.8664	5.1228
6.8573	5.1340
6.8483	5.1465
6.8393	5.1587
6.8302	5.1738
6.8213	5.1885
6.8123	5.2021
6.8034	5.2165
6.7944	5.2314
6.7855	5.2475
6.7767	5.2627
6.7678	5.2746
6.7590	5.2864
6.7502	5.2971
6.7414	5.3061
6.7327	5.3122
6.7239	5.3183
6.7152	5.3235
6.7065	5.3237
6.6979	5.3215
6.6892	5.3191
6.6806	5.3174
6.6720	5.3154
6.6634	5.3125
6.6549	5.3091
6.6464	5.3049
6.6378	5.3005
6.6294	5.2973
6.6209	5.2964
6.6124	5.2991
6.6040	5.3022
6.5956	5.3027
6.5872	5.3032
6.5789	5.3066
6.5705	5.3103
6.5622	5.3130
6.5539	5.3157
6.5456	5.3205
6.5374	5.3252
6.5292	5.3286
6.5209	5.3323
6.5128	5.3364
6.5046	5.3411
6.4964	5.3459
6.4883	5.3515
6.4802	5.3577
6.4721	5.3642
6.4640	5.3706
6.4560	5.3740
6.4480	5.3750
6.4399	5.3735
6.4320	5.3728
6.4240	5.3730
6.4160	5.3738
6.4081	5.3750
6.4002	5.3767
6.3923	5.3747
6.3844	5.3696
6.3766	5.3628
6.3687	5.3564
6.3609	5.3491
6.3531	5.3415
6.3454	5.3364
6.3376	5.3323
6.3299	5.3262
6.3221	5.3230
6.3144	5.3225
6.3068	5.3215
