Name:  Bialystok
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Howardite
Particle Size:  0-75 micrometers
Sample No.:  Bialystok
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1827.  Smithsonian sample without a USNM 
catalog number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.0339
24.924	0.96040
24.805	0.91260
24.686	0.89550
24.569	0.89570
24.454	0.89380
24.339	0.88920
24.225	0.89550
24.112	0.90620
24.001	0.91240
23.890	0.92870
23.781	0.95950
23.672	0.98020
23.564	0.98100
23.458	0.97090
23.352	0.96340
23.247	0.95480
23.144	0.94360
23.041	0.94290
22.939	0.95630
22.838	0.97220
22.738	0.98320
22.638	0.98970
22.540	0.99930
22.442	1.0085
22.345	1.0151
22.250	1.0271
22.154	1.0444
22.060	1.0640
21.967	1.0784
21.874	1.0862
21.782	1.0908
21.691	1.0906
21.601	1.0852
21.511	1.0808
21.422	1.0837
21.334	1.0964
21.247	1.1179
21.160	1.1443
21.074	1.1724
20.988	1.1970
20.904	1.2139
20.820	1.2229
20.737	1.2261
20.654	1.2288
20.572	1.2351
20.491	1.2436
20.410	1.2561
20.330	1.2739
20.251	1.2952
20.172	1.3181
20.094	1.3386
20.016	1.3547
19.939	1.3657
19.863	1.3677
19.787	1.3618
19.712	1.3528
19.637	1.3413
19.563	1.3269
19.489	1.3083
19.416	1.2852
19.344	1.2615
19.272	1.2356
19.201	1.2078
19.130	1.1819
19.059	1.1577
18.990	1.1326
18.920	1.1050
18.851	1.0771
18.783	1.0518
18.715	1.0281
18.648	1.0078
18.581	0.99440
18.515	0.98830
18.449	0.98900
18.384	0.99410
18.319	0.99980
18.254	1.0027
18.190	1.0012
18.126	0.99730
18.063	0.99320
18.001	0.99120
17.938	0.99560
17.876	1.0032
17.815	1.0093
17.754	1.0103
17.693	1.0041
17.633	0.99270
17.573	0.97780
17.514	0.96220
17.455	0.94950
17.396	0.94020
17.338	0.93600
17.280	0.93850
17.223	0.94700
17.166	0.95900
17.109	0.97090
17.053	0.97920
16.997	0.98070
16.942	0.97510
16.886	0.96510
16.832	0.95580
16.777	0.94850
16.723	0.93850
16.669	0.92310
16.616	0.90310
16.563	0.87600
16.510	0.84080
16.458	0.80180
16.406	0.76460
16.354	0.73240
16.302	0.70310
16.251	0.67920
16.200	0.66430
16.150	0.65550
16.100	0.65010
16.050	0.64820
16.000	0.64990
15.951	0.65380
15.902	0.65670
15.854	0.65870
15.805	0.66060
15.757	0.66140
15.710	0.65990
15.662	0.65870
15.615	0.65870
15.568	0.65890
15.521	0.65620
15.475	0.64870
15.429	0.63650
15.383	0.61790
15.338	0.59330
15.292	0.56840
15.248	0.54760
15.203	0.53100
15.158	0.51860
15.114	0.51000
15.070	0.50540
15.027	0.49930
14.983	0.48950
14.940	0.48000
14.897	0.47270
14.854	0.46800
14.812	0.46850
14.770	0.47660
14.728	0.49370
14.686	0.51640
14.645	0.54250
14.603	0.57250
14.562	0.60350
14.521	0.63280
14.481	0.66020
