Name:  Millen2
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  H4
Particle Size:  0-75 micrometers
Sample No.:  Millen 5823
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in 1975.  Smithsonian sample No USNM 5823.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7264	0.77250
9.7082	0.78170
9.6900	0.79250
9.6719	0.80370
9.6539	0.81520
9.6360	0.82760
9.6181	0.84160
9.6003	0.85720
9.5825	0.87330
9.5649	0.88890
9.5472	0.90230
9.5297	0.91280
9.5122	0.92090
9.4948	0.92700
9.4774	0.93210
9.4601	0.93650
9.4429	0.93970
9.4257	0.94140
9.4086	0.94120
9.3916	0.93900
9.3746	0.93510
9.3577	0.92970
9.3408	0.92330
9.3240	0.91670
9.3073	0.91060
9.2906	0.90450
9.2740	0.89940
9.2574	0.89550
9.2409	0.89160
9.2245	0.88740
9.2081	0.88380
9.1918	0.88160
9.1755	0.88160
9.1593	0.88330
9.1431	0.88820
9.1270	0.89500
9.1110	0.90140
9.0950	0.90620
9.0791	0.90940
9.0632	0.91060
9.0474	0.91040
9.0316	0.90870
9.0159	0.90650
9.0003	0.90310
8.9847	0.89820
8.9691	0.89180
8.9536	0.88400
8.9382	0.87500
8.9228	0.86670
8.9075	0.86080
8.8922	0.85820
8.8770	0.85840
8.8618	0.86010
8.8467	0.86110
8.8316	0.85820
8.8166	0.85160
8.8016	0.84400
8.7867	0.83790
8.7718	0.83590
8.7570	0.83940
8.7422	0.84740
8.7275	0.85740
8.7129	0.86600
8.6982	0.87300
8.6837	0.87790
8.6692	0.88110
8.6547	0.88400
8.6403	0.88790
8.6259	0.89280
8.6116	0.89890
8.5973	0.90620
8.5830	0.91480
8.5688	0.92500
8.5547	0.93700
8.5406	0.95040
8.5266	0.96510
8.5126	0.98100
8.4986	0.99760
8.4847	1.0156
8.4708	1.0354
8.4570	1.0571
8.4432	1.0811
8.4295	1.1072
8.4158	1.1350
8.4022	1.1641
8.3886	1.1946
8.3750	1.2263
8.3615	1.2590
8.3481	1.2930
8.3347	1.3284
8.3213	1.3647
8.3079	1.4016
8.2946	1.4392
8.2814	1.4766
8.2682	1.5137
8.2550	1.5505
8.2419	1.5869
8.2288	1.6228
8.2158	1.6582
8.2028	1.6931
8.1898	1.7275
8.1769	1.7610
8.1640	1.7939
8.1512	1.8267
8.1384	1.8591
8.1256	1.8923
8.1129	1.9255
8.1002	1.9587
8.0876	1.9914
8.0750	2.0232
8.0624	2.0539
8.0499	2.0840
8.0374	2.1133
8.0250	2.1423
8.0126	2.1706
8.0002	2.1975
7.9879	2.2227
7.9756	2.2463
7.9634	2.2690
7.9512	2.2910
7.9390	2.3130
7.9268	2.3345
7.9147	2.3550
7.9027	2.3745
7.8906	2.3926
7.8786	2.4102
7.8667	2.4280
7.8548	2.4465
7.8429	2.4648
7.8310	2.4827
7.8192	2.4993
7.8075	2.5142
7.7957	2.5276
7.7840	2.5403
7.7723	2.5535
7.7607	2.5669
7.7491	2.5801
7.7375	2.5930
7.7260	2.6052
7.7145	2.6162
7.7031	2.6257
7.6916	2.6338
7.6802	2.6411
7.6689	2.6484
7.6575	2.6555
7.6462	2.6626
7.6350	2.6702
7.6238	2.6780
7.6126	2.6853
7.6014	2.6929
7.5903	2.7017
7.5792	2.7124
7.5681	2.7244
7.5571	2.7383
7.5461	2.7529
7.5351	2.7666
7.5242	2.7781
7.5133	2.7878
7.5024	2.7966
7.4916	2.8054
7.4807	2.8144
7.4700	2.8245
7.4592	2.8354
7.4485	2.8464
7.4378	2.8562
7.4272	2.8652
7.4165	2.8740
7.4059	2.8830
7.3954	2.8923
7.3848	2.9021
7.3743	2.9126
7.3639	2.9243
7.3534	2.9363
7.3430	2.9477
7.3326	2.9587
7.3223	2.9678
7.3119	2.9753
7.3016	2.9809
7.2914	2.9858
7.2811	2.9914
7.2709	2.9983
7.2607	3.0059
7.2506	3.0139
7.2404	3.0215
7.2303	3.0286
7.2203	3.0347
7.2102	3.0400
7.2002	3.0444
7.1902	3.0481
7.1803	3.0508
7.1703	3.0535
7.1604	3.0561
7.1506	3.0598
7.1407	3.0642
7.1309	3.0684
7.1211	3.0720
7.1113	3.0747
7.1016	3.0767
7.0919	3.0781
7.0822	3.0791
7.0725	3.0798
7.0629	3.0806
7.0533	3.0818
7.0437	3.0842
7.0341	3.0886
7.0246	3.0950
7.0151	3.1018
7.0056	3.1084
6.9962	3.1140
6.9867	3.1186
6.9773	3.1226
6.9679	3.1265
6.9586	3.1316
6.9493	3.1379
6.9400	3.1445
6.9307	3.1518
6.9214	3.1594
6.9122	3.1660
6.9030	3.1711
6.8938	3.1760
6.8847	3.1814
6.8755	3.1870
6.8664	3.1936
6.8573	3.2024
6.8483	3.2131
6.8393	3.2231
6.8302	3.2314
6.8213	3.2383
6.8123	3.2434
6.8034	3.2471
6.7944	3.2505
6.7855	3.2556
6.7767	3.2634
6.7678	3.2722
6.7590	3.2800
6.7502	3.2864
6.7414	3.2910
6.7327	3.2927
6.7239	3.2917
6.7152	3.2893
6.7065	3.2866
6.6979	3.2844
6.6892	3.2822
6.6806	3.2803
6.6720	3.2778
6.6634	3.2746
6.6549	3.2700
6.6464	3.2644
6.6378	3.2598
6.6294	3.2585
6.6209	3.2600
6.6124	3.2622
6.6040	3.2632
6.5956	3.2620
6.5872	3.2583
6.5789	3.2532
6.5705	3.2485
6.5622	3.2458
6.5539	3.2456
6.5456	3.2461
6.5374	3.2454
6.5292	3.2419
6.5209	3.2358
6.5128	3.2283
6.5046	3.2195
6.4964	3.2119
6.4883	3.2073
6.4802	3.2065
6.4721	3.2075
6.4640	3.2085
6.4560	3.2073
6.4480	3.2034
6.4399	3.1960
6.4320	3.1875
6.4240	3.1804
6.4160	3.1755
6.4081	3.1741
6.4002	3.1743
6.3923	3.1743
6.3844	3.1721
6.3766	3.1677
6.3687	3.1616
6.3609	3.1545
6.3531	3.1472
6.3454	3.1406
6.3376	3.1362
6.3299	3.1328
6.3221	3.1301
6.3144	3.1277
6.3068	3.1250
6.2991	3.1213
6.2914	3.1164
6.2838	3.1106
6.2762	3.1045
6.2686	3.0981
6.2611	3.0911
6.2535	3.0832
6.2460	3.0749
6.2385	3.0662
6.2310	3.0566
6.2235	3.0464
6.2160	3.0347
6.2086	3.0220
6.2011	3.0085
6.1937	2.9941
6.1863	2.9797
6.1790	2.9670
6.1716	2.9558
6.1643	2.9460
6.1570	2.9377
6.1496	2.9304
6.1424	2.9231
6.1351	2.9153
6.1278	2.9075
6.1206	2.9009
6.1134	2.8953
6.1062	2.8911
6.0990	2.8887
6.0918	2.8865
6.0847	2.8828
6.0776	2.8772
6.0704	2.8708
6.0633	2.8650
6.0563	2.8608
6.0492	2.8599
6.0421	2.8640
6.0351	2.8721
6.0281	2.8811
6.0211	2.8916
6.0141	2.9038
6.0071	2.9175
6.0002	2.9321
5.9932	2.9482
5.9863	2.9678
5.9794	2.9893
5.9725	3.0100
5.9657	3.0305
5.9588	3.0503
5.9520	3.0691
5.9451	3.0876
5.9383	3.1067
5.9315	3.1277
5.9247	3.1494
5.9180	3.1682
5.9112	3.1831
5.9045	3.1936
5.8978	3.2012
5.8911	3.2085
5.8844	3.2175
5.8777	3.2305
5.8711	3.2476
5.8644	3.2651
5.8578	3.2812
5.8512	3.2942
5.8446	3.3035
5.8380	3.3098
5.8314	3.3149
5.8249	3.3210
5.8184	3.3303
5.8118	3.3420
5.8053	3.3533
5.7988	3.3621
5.7923	3.3674
5.7859	3.3691
5.7794	3.3686
5.7730	3.3674
5.7666	3.3677
5.7602	3.3701
5.7538	3.3728
5.7474	3.3745
5.7410	3.3752
5.7347	3.3740
5.7283	3.3706
5.7220	3.3652
5.7157	3.3599
5.7094	3.3550
5.7031	3.3498
5.6969	3.3442
5.6906	3.3386
5.6844	3.3328
5.6782	3.3259
5.6719	3.3186
5.6657	3.3120
5.6596	3.3064
5.6534	3.3030
5.6472	3.3022
5.6411	3.3044
5.6349	3.3098
5.6288	3.3159
5.6227	3.3227
5.6166	3.3296
5.6106	3.3367
5.6045	3.3445
5.5984	3.3540
5.5924	3.3652
5.5864	3.3777
5.5804	3.3896
5.5744	3.4018
5.5684	3.4128
5.5624	3.4226
5.5564	3.4311
5.5505	3.4385
5.5445	3.4446
5.5386	3.4487
5.5327	3.4512
5.5268	3.4529
5.5209	3.4543
5.5151	3.4553
5.5092	3.4558
5.5033	3.4563
5.4975	3.4563
