Name:  Karoonda3
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  C4 (CV/CO)
Particle Size:  0-75 micrometers
Sample No.:  Karoonda3
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Australia in 1930.  Smithsonian sample No. 
USNM 5936 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7999	0.86080
9.7814	0.86840
9.7630	0.87400
9.7447	0.87940
9.7264	0.88400
9.7082	0.88790
9.6900	0.89230
9.6719	0.89530
9.6539	0.89600
9.6360	0.89770
9.6181	0.90090
9.6003	0.89890
9.5825	0.89260
9.5649	0.88990
9.5472	0.88790
9.5297	0.88180
9.5122	0.87260
9.4948	0.86890
9.4774	0.85990
9.4601	0.84400
9.4429	0.82860
9.4257	0.80980
9.4086	0.78860
9.3916	0.76050
9.3746	0.73290
9.3577	0.71390
9.3408	0.69780
9.3240	0.67720
9.3073	0.65550
9.2906	0.63820
9.2740	0.62570
9.2574	0.61350
9.2409	0.60110
9.2245	0.59160
9.2081	0.58620
9.1918	0.58280
9.1755	0.57620
9.1593	0.57250
9.1431	0.57450
9.1270	0.57760
9.1110	0.58060
9.0950	0.58250
9.0791	0.58470
9.0632	0.59420
9.0474	0.59960
9.0316	0.60280
9.0159	0.61430
9.0003	0.62770
8.9847	0.63620
8.9691	0.64260
8.9536	0.64890
8.9382	0.65720
8.9228	0.66380
8.9075	0.67110
8.8922	0.67920
8.8770	0.68820
8.8618	0.69340
8.8467	0.69730
8.8316	0.70560
8.8166	0.71530
8.8016	0.72070
8.7867	0.72700
8.7718	0.73410
8.7570	0.74240
8.7422	0.74660
8.7275	0.75270
8.7129	0.75950
8.6982	0.76510
8.6837	0.77250
8.6692	0.78170
8.6547	0.79150
8.6403	0.79660
8.6259	0.80710
8.6116	0.82080
8.5973	0.83060
8.5830	0.84110
8.5688	0.85450
8.5547	0.86600
8.5406	0.87840
8.5266	0.89400
8.5126	0.90840
8.4986	0.92330
8.4847	0.93850
8.4708	0.95610
8.4570	0.97360
8.4432	0.98780
8.4295	1.0049
8.4158	1.0271
8.4022	1.0476
8.3886	1.0637
8.3750	1.0815
8.3615	1.0984
8.3481	1.1157
8.3347	1.1340
8.3213	1.1533
8.3079	1.1697
8.2946	1.1841
8.2814	1.1995
8.2682	1.2139
8.2550	1.2278
8.2419	1.2405
8.2288	1.2502
8.2158	1.2629
8.2028	1.2771
8.1898	1.2861
8.1769	1.2944
8.1640	1.3035
8.1512	1.3098
8.1384	1.3213
8.1256	1.3332
8.1129	1.3415
8.1002	1.3516
8.0876	1.3616
8.0750	1.3696
8.0624	1.3752
8.0499	1.3826
8.0374	1.3911
8.0250	1.3977
8.0126	1.4038
8.0002	1.4123
7.9879	1.4197
7.9756	1.4243
7.9634	1.4307
7.9512	1.4377
7.9390	1.4434
7.9268	1.4475
7.9147	1.4519
7.9027	1.4587
7.8906	1.4651
7.8786	1.4724
7.8667	1.4797
7.8548	1.4822
7.8429	1.4880
7.8310	1.4939
7.8192	1.4985
7.8075	1.5051
7.7957	1.5127
7.7840	1.5164
7.7723	1.5200
7.7607	1.5273
7.7491	1.5339
7.7375	1.5352
7.7260	1.5376
7.7145	1.5417
7.7031	1.5442
7.6916	1.5459
7.6802	1.5503
7.6689	1.5518
7.6575	1.5552
7.6462	1.5605
7.6350	1.5627
7.6238	1.5649
7.6126	1.5684
7.6014	1.5740
7.5903	1.5786
7.5792	1.5837
7.5681	1.5891
7.5571	1.5933
7.5461	1.5962
7.5351	1.6028
7.5242	1.6116
7.5133	1.6152
7.5024	1.6213
7.4916	1.6287
7.4807	1.6367
7.4700	1.6438
7.4592	1.6484
7.4485	1.6528
7.4378	1.6577
7.4272	1.6643
7.4165	1.6689
7.4059	1.6721
7.3954	1.6804
7.3848	1.6855
7.3743	1.6882
7.3639	1.6941
7.3534	1.6960
7.3430	1.6977
7.3326	1.7009
7.3223	1.7075
7.3119	1.7119
7.3016	1.7141
7.2914	1.7175
7.2811	1.7217
7.2709	1.7241
7.2607	1.7268
7.2506	1.7283
7.2404	1.7307
7.2303	1.7378
7.2203	1.7415
7.2102	1.7407
7.2002	1.7441
7.1902	1.7500
7.1803	1.7524
7.1703	1.7510
7.1604	1.7532
7.1506	1.7568
7.1407	1.7576
7.1309	1.7583
7.1211	1.7617
7.1113	1.7664
7.1016	1.7678
7.0919	1.7720
7.0822	1.7761
7.0725	1.7771
7.0629	1.7817
7.0533	1.7866
7.0437	1.7891
7.0341	1.7910
7.0246	1.7956
7.0151	1.8018
7.0056	1.8052
6.9962	1.8076
6.9867	1.8101
6.9773	1.8105
6.9679	1.8115
6.9586	1.8144
6.9493	1.8181
6.9400	1.8220
6.9307	1.8247
6.9214	1.8254
6.9122	1.8249
6.9030	1.8264
6.8938	1.8279
6.8847	1.8284
6.8755	1.8296
6.8664	1.8286
6.8573	1.8286
6.8483	1.8313
6.8393	1.8364
6.8302	1.8389
6.8213	1.8411
6.8123	1.8437
6.8034	1.8462
6.7944	1.8484
6.7855	1.8503
6.7767	1.8520
6.7678	1.8530
6.7590	1.8567
6.7502	1.8606
6.7414	1.8635
6.7327	1.8645
6.7239	1.8643
6.7152	1.8635
6.7065	1.8635
6.6979	1.8650
6.6892	1.8650
6.6806	1.8635
6.6720	1.8655
6.6634	1.8689
6.6549	1.8679
6.6464	1.8638
6.6378	1.8630
6.6294	1.8674
6.6209	1.8691
6.6124	1.8684
6.6040	1.8682
6.5956	1.8650
6.5872	1.8623
6.5789	1.8616
6.5705	1.8638
6.5622	1.8667
6.5539	1.8655
6.5456	1.8665
6.5374	1.8679
6.5292	1.8667
6.5209	1.8660
6.5128	1.8652
6.5046	1.8635
6.4964	1.8623
6.4883	1.8630
6.4802	1.8635
6.4721	1.8645
6.4640	1.8630
6.4560	1.8623
6.4480	1.8643
6.4399	1.8635
6.4320	1.8606
6.4240	1.8557
6.4160	1.8547
6.4081	1.8601
6.4002	1.8613
6.3923	1.8599
6.3844	1.8591
6.3766	1.8586
6.3687	1.8586
6.3609	1.8606
6.3531	1.8594
6.3454	1.8557
6.3376	1.8579
6.3299	1.8586
6.3221	1.8591
6.3144	1.8621
6.3068	1.8638
6.2991	1.8621
6.2914	1.8606
6.2838	1.8633
6.2762	1.8650
6.2686	1.8650
6.2611	1.8660
6.2535	1.8640
6.2460	1.8635
6.2385	1.8660
6.2310	1.8689
6.2235	1.8682
6.2160	1.8679
6.2086	1.8699
6.2011	1.8682
6.1937	1.8635
6.1863	1.8623
6.1790	1.8630
6.1716	1.8643
6.1643	1.8650
6.1570	1.8625
6.1496	1.8574
6.1424	1.8564
6.1351	1.8557
6.1278	1.8491
6.1206	1.8430
6.1134	1.8394
6.1062	1.8359
6.0990	1.8289
6.0918	1.8225
6.0847	1.8137
6.0776	1.8008
6.0704	1.7947
6.0633	1.7883
6.0563	1.7744
6.0492	1.7642
6.0421	1.7620
6.0351	1.7568
6.0281	1.7537
6.0211	1.7561
6.0141	1.7581
6.0071	1.7602
6.0002	1.7632
5.9932	1.7639
5.9863	1.7661
5.9794	1.7729
5.9725	1.7781
5.9657	1.7803
5.9588	1.7837
5.9520	1.7878
5.9451	1.7869
5.9383	1.7854
5.9315	1.7920
5.9247	1.7954
5.9180	1.7954
5.9112	1.7971
