Name:  Olivenza
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  Olivenza
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1924.  Smithsonian sample No. USNM 5955.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7447	0.97880
9.7264	0.98750
9.7082	0.99630
9.6900	1.0049
9.6719	1.0127
9.6539	1.0200
9.6360	1.0264
9.6181	1.0317
9.6003	1.0359
9.5825	1.0388
9.5649	1.0408
9.5472	1.0417
9.5297	1.0415
9.5122	1.0403
9.4948	1.0378
9.4774	1.0337
9.4601	1.0276
9.4429	1.0193
9.4257	1.0093
9.4086	0.99760
9.3916	0.98460
9.3746	0.97070
9.3577	0.95610
9.3408	0.94140
9.3240	0.92720
9.3073	0.91360
9.2906	0.90090
9.2740	0.88990
9.2574	0.88060
9.2409	0.87350
9.2245	0.86840
9.2081	0.86500
9.1918	0.86330
9.1755	0.86230
9.1593	0.86160
9.1431	0.86080
9.1270	0.85990
9.1110	0.85860
9.0950	0.85690
9.0791	0.85550
9.0632	0.85420
9.0474	0.85300
9.0316	0.85160
9.0159	0.84940
9.0003	0.84640
8.9847	0.84300
8.9691	0.83960
8.9536	0.83640
8.9382	0.83450
8.9228	0.83350
8.9075	0.83370
8.8922	0.83450
8.8770	0.83500
8.8618	0.83500
8.8467	0.83450
8.8316	0.83320
8.8166	0.83250
8.8016	0.83280
8.7867	0.83450
8.7718	0.83760
8.7570	0.84180
8.7422	0.84640
8.7275	0.85080
8.7129	0.85450
8.6982	0.85770
8.6837	0.86010
8.6692	0.86300
8.6547	0.86690
8.6403	0.87230
8.6259	0.87910
8.6116	0.88790
8.5973	0.89840
8.5830	0.91040
8.5688	0.92380
8.5547	0.93870
8.5406	0.95480
8.5266	0.97240
8.5126	0.99170
8.4986	1.0124
8.4847	1.0347
8.4708	1.0583
8.4570	1.0835
8.4432	1.1099
8.4295	1.1377
8.4158	1.1675
8.4022	1.1997
8.3886	1.2349
8.3750	1.2732
8.3615	1.3152
8.3481	1.3603
8.3347	1.4087
8.3213	1.4595
8.3079	1.5117
8.2946	1.5644
8.2814	1.6172
8.2682	1.6694
8.2550	1.7202
8.2419	1.7695
8.2288	1.8174
8.2158	1.8635
8.2028	1.9080
8.1898	1.9504
8.1769	1.9914
8.1640	2.0308
8.1512	2.0684
8.1384	2.1042
8.1256	2.1392
8.1129	2.1731
8.1002	2.2063
8.0876	2.2395
8.0750	2.2725
8.0624	2.3054
8.0499	2.3381
8.0374	2.3706
8.0250	2.4026
8.0126	2.4333
8.0002	2.4631
7.9879	2.4910
7.9756	2.5171
7.9634	2.5415
7.9512	2.5647
7.9390	2.5872
7.9268	2.6094
7.9147	2.6321
7.9027	2.6555
7.8906	2.6797
7.8786	2.7041
7.8667	2.7283
7.8548	2.7519
7.8429	2.7751
7.8310	2.7978
7.8192	2.8198
7.8075	2.8415
7.7957	2.8628
7.7840	2.8840
7.7723	2.9048
7.7607	2.9250
7.7491	2.9446
7.7375	2.9639
7.7260	2.9822
7.7145	2.9993
7.7031	3.0154
7.6916	3.0303
7.6802	3.0437
7.6689	3.0561
7.6575	3.0681
7.6462	3.0801
7.6350	3.0925
7.6238	3.1055
7.6126	3.1194
7.6014	3.1345
7.5903	3.1506
7.5792	3.1677
7.5681	3.1860
7.5571	3.2053
7.5461	3.2256
7.5351	3.2468
7.5242	3.2688
7.5133	3.2910
7.5024	3.3135
7.4916	3.3357
7.4807	3.3577
7.4700	3.3787
7.4592	3.3989
7.4485	3.4187
7.4378	3.4382
7.4272	3.4578
7.4165	3.4775
7.4059	3.4971
7.3954	3.5161
7.3848	3.5339
7.3743	3.5498
7.3639	3.5632
7.3534	3.5745
7.3430	3.5840
7.3326	3.5928
7.3223	3.6018
7.3119	3.6113
7.3016	3.6221
7.2914	3.6338
7.2811	3.6465
7.2709	3.6597
7.2607	3.6731
7.2506	3.6875
7.2404	3.7029
7.2303	3.7197
7.2203	3.7375
7.2102	3.7563
7.2002	3.7754
7.1902	3.7934
7.1803	3.8096
7.1703	3.8225
7.1604	3.8323
7.1506	3.8391
7.1407	3.8452
7.1309	3.8520
7.1211	3.8621
7.1113	3.8769
7.1016	3.8970
7.0919	3.9209
7.0822	3.9470
7.0725	3.9731
7.0629	3.9973
7.0533	4.0188
7.0437	4.0378
7.0341	4.0549
7.0246	4.0710
7.0151	4.0867
7.0056	4.1023
6.9962	4.1174
6.9867	4.1318
6.9773	4.1453
6.9679	4.1572
6.9586	4.1682
6.9493	4.1782
6.9400	4.1875
6.9307	4.1958
6.9214	4.2038
6.9122	4.2114
6.9030	4.2190
6.8938	4.2270
6.8847	4.2361
6.8755	4.2463
6.8664	4.2580
6.8573	4.2712
6.8483	4.2859
6.8393	4.3017
6.8302	4.3186
6.8213	4.3367
6.8123	4.3555
6.8034	4.3750
6.7944	4.3953
6.7855	4.4153
6.7767	4.4346
6.7678	4.4519
6.7590	4.4663
6.7502	4.4778
6.7414	4.4858
6.7327	4.4914
6.7239	4.4946
6.7152	4.4968
6.7065	4.4983
6.6979	4.4993
6.6892	4.4995
6.6806	4.4988
6.6720	4.4966
6.6634	4.4927
6.6549	4.4873
6.6464	4.4807
6.6378	4.4741
6.6294	4.4678
6.6209	4.4624
6.6124	4.4578
6.6040	4.4541
6.5956	4.4514
6.5872	4.4492
6.5789	4.4473
6.5705	4.4458
6.5622	4.4441
6.5539	4.4421
6.5456	4.4392
6.5374	4.4350
6.5292	4.4292
6.5209	4.4219
6.5128	4.4131
6.5046	4.4033
6.4964	4.3931
6.4883	4.3823
6.4802	4.3716
6.4721	4.3606
6.4640	4.3489
6.4560	4.3362
6.4480	4.3223
6.4399	4.3071
6.4320	4.2910
6.4240	4.2739
6.4160	4.2563
6.4081	4.2385
6.4002	4.2200
6.3923	4.2012
6.3844	4.1816
6.3766	4.1614
6.3687	4.1401
6.3609	4.1184
6.3531	4.0959
6.3454	4.0735
6.3376	4.0505
6.3299	4.0281
6.3221	4.0056
6.3144	3.9839
6.3068	3.9631
6.2991	3.9443
6.2914	3.9282
6.2838	3.9148
6.2762	3.9045
6.2686	3.8977
6.2611	3.8938
6.2535	3.8931
6.2460	3.8945
6.2385	3.8984
6.2310	3.9043
6.2235	3.9111
6.2160	3.9192
6.2086	3.9282
6.2011	3.9377
6.1937	3.9485
6.1863	3.9600
6.1790	3.9729
6.1716	3.9868
6.1643	4.0019
6.1570	4.0173
6.1496	4.0325
6.1424	4.0464
6.1351	4.0583
6.1278	4.0671
6.1206	4.0725
6.1134	4.0737
6.1062	4.0703
6.0990	4.0625
6.0918	4.0503
6.0847	4.0337
6.0776	4.0141
6.0704	3.9922
6.0633	3.9702
6.0563	3.9497
6.0492	3.9324
6.0421	3.9202
6.0351	3.9136
6.0281	3.9131
6.0211	3.9180
6.0141	3.9275
6.0071	3.9409
6.0002	3.9573
5.9932	3.9758
5.9863	3.9956
5.9794	4.0161
5.9725	4.0366
5.9657	4.0569
5.9588	4.0764
5.9520	4.0959
5.9451	4.1152
5.9383	4.1348
5.9315	4.1548
5.9247	4.1750
5.9180	4.1953
5.9112	4.2151
5.9045	4.2339
5.8978	4.2517
5.8911	4.2685
5.8844	4.2847
5.8777	4.2998
5.8711	4.3142
5.8644	4.3276
5.8578	4.3398
5.8512	4.3506
5.8446	4.3608
5.8380	4.3701
5.8314	4.3794
5.8249	4.3889
5.8184	4.3982
5.8118	4.4075
5.8053	4.4155
5.7988	4.4219
5.7923	4.4255
5.7859	4.4260
5.7794	4.4228
5.7730	4.4160
5.7666	4.4058
5.7602	4.3923
5.7538	4.3757
5.7474	4.3564
5.7410	4.3345
5.7347	4.3100
5.7283	4.2837
5.7220	4.2558
5.7157	4.2273
5.7094	4.1990
5.7031	4.1714
5.6969	4.1455
5.6906	4.1216
5.6844	4.1006
5.6782	4.0832
5.6719	4.0698
5.6657	4.0615
5.6596	4.0583
5.6534	4.0610
5.6472	4.0698
5.6411	4.0842
5.6349	4.1040
5.6288	4.1282
5.6227	4.1558
5.6166	4.1858
5.6106	4.2173
5.6045	4.2493
5.5984	4.2810
5.5924	4.3115
5.5864	4.3406
5.5804	4.3674
5.5744	4.3918
5.5684	4.4138
5.5624	4.4331
5.5564	4.4495
5.5505	4.4631
5.5445	4.4739
5.5386	4.4822
5.5327	4.4880
5.5268	4.4922
5.5209	4.4953
5.5151	4.4975
5.5092	4.4997
5.5033	4.5022
5.4975	4.5051
5.4917	4.5090
5.4859	4.5139
5.4801	4.5205
5.4743	4.5283
5.4685	4.5383
5.4628	4.5498
5.4570	4.5630
5.4513	4.5774
5.4455	4.5932
5.4398	4.6099
5.4341	4.6272
5.4284	4.6448
5.4228	4.6626
5.4171	4.6804
5.4114	4.6982
5.4058	4.7156
5.4002	4.7324
5.3945	4.7488
5.3889	4.7644
5.3833	4.7788
5.3778	4.7925
5.3722	4.8047
5.3666	4.8157
5.3611	4.8252
5.3555	4.8337
5.3500	4.8413
5.3445	4.8479
5.3390	4.8533
5.3335	4.8577
5.3280	4.8608
5.3225	4.8628
5.3171	4.8638
5.3116	4.8638
5.3062	4.8633
5.3008	4.8625
5.2954	4.8616
5.2900	4.8611
5.2846	4.8608
5.2792	4.8611
5.2738	4.8625
5.2684	4.8652
5.2631	4.8694
5.2578	4.8747
5.2524	4.8816
5.2471	4.8891
5.2418	4.8970
5.2365	4.9048
5.2312	4.9126
5.2260	4.9197
5.2207	4.9265
5.2154	4.9328
5.2102	4.9394
5.2050	4.9458
5.1998	4.9521
5.1945	4.9590
5.1893	4.9661
5.1842	4.9736
5.1790	4.9819
5.1738	4.9910
5.1686	5.0010
5.1635	5.0120
5.1584	5.0239
5.1532	5.0366
5.1481	5.0498
5.1430	5.0635
5.1379	5.0774
5.1328	5.0915
5.1277	5.1055
5.1227	5.1189
5.1176	5.1316
5.1126	5.1435
5.1075	5.1543
5.1025	5.1640
5.0975	5.1731
5.0925	5.1816
5.0875	5.1897
5.0825	5.1977
5.0775	5.2063
5.0726	5.2153
5.0676	5.2246
5.0627	5.2344
5.0577	5.2444
5.0528	5.2539
5.0479	5.2632
5.0430	5.2717
