Name:  Warrenton
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  Warrenton
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Missouri in 1877.  Smithsonian sample No. 
AMNH 4151 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.54830
24.924	0.58520
24.805	0.63280
24.686	0.68040
24.569	0.71900
24.454	0.74240
24.339	0.74710
24.225	0.73440
24.112	0.71140
24.001	0.68730
23.890	0.66820
23.781	0.65700
23.672	0.65260
23.564	0.65110
23.458	0.64700
23.352	0.63650
23.247	0.61990
23.144	0.60110
23.041	0.58350
22.939	0.57130
22.838	0.56710
22.738	0.57060
22.638	0.58080
22.540	0.59550
22.442	0.61300
22.345	0.63090
22.250	0.64700
22.154	0.65870
22.060	0.66530
21.967	0.66650
21.874	0.66430
21.782	0.66090
21.691	0.65870
21.601	0.65940
21.511	0.66280
21.422	0.66720
21.334	0.67160
21.247	0.67500
21.160	0.67940
21.074	0.68530
20.988	0.69360
20.904	0.70340
20.820	0.71220
20.737	0.71630
20.654	0.71360
20.572	0.70480
20.491	0.69340
20.410	0.68290
20.330	0.67800
20.251	0.68040
20.172	0.68970
20.094	0.70210
20.016	0.71480
19.939	0.72560
19.863	0.73340
19.787	0.73900
19.712	0.74390
19.637	0.74980
19.563	0.75630
19.489	0.76290
19.416	0.76900
19.344	0.77370
19.272	0.77730
19.201	0.78030
19.130	0.78320
19.059	0.78660
18.990	0.78930
18.920	0.79050
18.851	0.78950
18.783	0.78610
18.715	0.78080
18.648	0.77510
18.581	0.76980
18.515	0.76490
18.449	0.75980
18.384	0.75240
18.319	0.74190
18.254	0.72730
18.190	0.70920
18.126	0.68850
18.063	0.66600
18.001	0.64380
17.938	0.62300
17.876	0.60550
17.815	0.59230
17.754	0.58400
17.693	0.58060
17.633	0.57980
17.573	0.58010
17.514	0.57960
17.455	0.57710
17.396	0.57300
17.338	0.56860
17.280	0.56490
17.223	0.56250
17.166	0.56080
17.109	0.55960
17.053	0.55690
16.997	0.55270
16.942	0.54690
16.886	0.54080
16.832	0.53520
16.777	0.53000
16.723	0.52640
16.669	0.52340
16.616	0.52080
16.563	0.51780
16.510	0.51490
16.458	0.51240
16.406	0.51050
16.354	0.50980
16.302	0.51030
16.251	0.51240
16.200	0.51560
16.150	0.51950
16.100	0.52290
16.050	0.52560
16.000	0.52660
15.951	0.52540
15.902	0.52270
15.854	0.51930
15.805	0.51610
15.757	0.51490
15.710	0.51590
15.662	0.51860
15.615	0.52250
15.568	0.52640
15.521	0.52930
15.475	0.53150
15.429	0.53340
15.383	0.53560
15.338	0.53950
15.292	0.54470
15.248	0.55150
15.203	0.55910
15.158	0.56760
15.114	0.57670
15.070	0.58570
15.027	0.59520
14.983	0.60450
14.940	0.61330
14.897	0.62160
14.854	0.62940
14.812	0.63740
14.770	0.64600
14.728	0.65550
14.686	0.66600
14.645	0.67700
14.603	0.68800
14.562	0.69870
14.521	0.70870
14.481	0.71850
14.441	0.72830
14.400	0.73880
14.361	0.75100
14.321	0.76490
14.281	0.77950
14.242	0.79420
14.203	0.80760
14.164	0.81860
14.126	0.82710
14.087	0.83420
14.049	0.84080
14.011	0.84810
13.973	0.85620
13.936	0.86500
13.899	0.87450
13.861	0.88400
13.824	0.89360
13.788	0.90230
13.751	0.91110
13.715	0.91970
13.679	0.92850
13.643	0.93900
13.607	0.95210
13.571	0.96970
13.536	0.99190
13.500	1.0178
13.465	1.0466
13.430	1.0759
13.396	1.1042
13.361	1.1304
13.327	1.1540
13.293	1.1753
13.259	1.1948
13.225	1.2126
13.191	1.2290
13.158	1.2446
13.124	1.2590
13.091	1.2725
13.058	1.2849
13.026	1.2961
12.993	1.3061
12.960	1.3147
12.928	1.3215
12.896	1.3262
12.864	1.3289
12.832	1.3289
12.800	1.3269
12.769	1.3237
12.737	1.3196
12.706	1.3149
12.675	1.3101
12.644	1.3052
12.614	1.2993
12.583	1.2927
12.552	1.2847
12.522	1.2751
12.492	1.2632
12.462	1.2485
12.432	1.2302
12.402	1.2075
12.373	1.1809
12.343	1.1504
12.314	1.1172
12.285	1.0823
12.256	1.0466
12.227	1.0103
12.198	0.97310
12.169	0.93510
12.141	0.89550
12.113	0.85570
12.084	0.81640
12.056	0.77950
12.028	0.74680
12.000	0.72070
11.973	0.70190
11.945	0.69140
11.918	0.68920
11.890	0.69380
11.863	0.70390
11.836	0.71630
11.809	0.72880
11.782	0.73950
11.755	0.74710
11.729	0.75200
11.702	0.75490
11.676	0.75760
11.650	0.76120
11.624	0.76680
11.598	0.77470
11.572	0.78420
11.546	0.79420
11.520	0.80350
11.495	0.81100
11.469	0.81590
11.444	0.81860
11.419	0.81960
