Name:  Haraiya
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Eucrite
Particle Size:  0-75 micrometers
Sample No.:  Haraiya
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in India in 1879.  Smithsonian sample No. USNM 
5702.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.72460
24.924	0.70460
24.805	0.87890
24.686	0.63620
24.569	0.48560
24.454	0.51680
24.339	0.61570
24.225	0.61740
24.112	0.62060
24.001	0.65870
23.890	0.66940
23.781	0.68800
23.672	0.67380
23.564	0.76370
23.458	0.80910
23.352	0.76420
23.247	0.81980
23.144	0.86870
23.041	0.88260
22.939	0.93460
22.838	0.92410
22.738	0.83500
22.638	0.80660
22.540	0.82280
22.442	0.86350
22.345	0.89500
22.250	0.90190
22.154	0.93040
22.060	0.94480
21.967	0.91800
21.874	0.95090
21.782	0.93430
21.691	0.87520
21.601	0.87870
21.511	0.90380
21.422	0.91260
21.334	0.91210
21.247	0.91920
21.160	0.96560
21.074	0.98290
20.988	0.95850
20.904	0.88620
20.820	0.89310
20.737	0.89180
20.654	0.87260
20.572	0.93290
20.491	0.92310
20.410	0.93920
20.330	0.99850
20.251	1.0557
20.172	1.0469
20.094	1.0356
20.016	1.0205
19.939	1.0400
19.863	1.0442
19.787	0.99320
19.712	0.98440
19.637	1.0359
19.563	1.0393
19.489	0.99760
19.416	0.95730
19.344	0.91630
19.272	0.86500
19.201	0.85790
19.130	0.88210
19.059	0.90330
18.990	0.89040
18.920	0.86940
18.851	0.84670
18.783	0.84420
18.715	0.81100
18.648	0.76490
18.581	0.74630
18.515	0.75950
18.449	0.76660
18.384	0.77100
18.319	0.79660
18.254	0.82910
18.190	0.81660
18.126	0.76390
18.063	0.76680
18.001	0.82030
17.938	0.84200
17.876	0.83420
17.815	0.80590
17.754	0.82030
17.693	0.83030
17.633	0.79320
17.573	0.74900
17.514	0.74490
17.455	0.76900
17.396	0.76900
17.338	0.77030
17.280	0.77640
17.223	0.77780
17.166	0.77000
17.109	0.78760
17.053	0.80000
16.997	0.81250
16.942	0.83230
16.886	0.80810
16.832	0.77170
16.777	0.75170
16.723	0.74340
16.669	0.72880
16.616	0.72050
16.563	0.69870
16.510	0.65820
16.458	0.62260
16.406	0.59740
16.354	0.60080
16.302	0.59590
16.251	0.56300
16.200	0.55930
16.150	0.54320
16.100	0.54390
16.050	0.56760
16.000	0.55300
15.951	0.55860
15.902	0.56420
15.854	0.56490
15.805	0.54710
15.757	0.51660
15.710	0.52030
15.662	0.53830
15.615	0.54490
15.568	0.56100
15.521	0.55370
15.475	0.53910
15.429	0.54150
15.383	0.53930
15.338	0.54930
15.292	0.57010
15.248	0.56470
15.203	0.53690
15.158	0.53420
15.114	0.53490
15.070	0.49050
15.027	0.47120
14.983	0.45510
14.940	0.44700
14.897	0.45480
14.854	0.43850
14.812	0.43850
14.770	0.49560
14.728	0.52860
14.686	0.52760
14.645	0.54100
14.603	0.56980
14.562	0.59470
14.521	0.63480
14.481	0.66850
