Name:  Bununu
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Howardite
Particle Size:  0-75 micrometers
Sample No.:  Bununu
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1924.  Smithsonian sample No. USNM 1571.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.75070
24.924	0.74540
24.805	0.73050
24.686	0.71970
24.569	0.72140
24.454	0.73800
24.339	0.76490
24.225	0.79420
24.112	0.81740
24.001	0.83130
23.890	0.83590
23.781	0.83540
23.672	0.83350
23.564	0.83540
23.458	0.84420
23.352	0.85910
23.247	0.87820
23.144	0.89990
23.041	0.92330
22.939	0.94510
22.838	0.96340
22.738	0.97750
22.638	0.98680
22.540	0.98970
22.442	0.98800
22.345	0.98580
22.250	0.98660
22.154	0.99120
22.060	0.99630
21.967	0.99880
21.874	0.99440
21.782	0.98270
21.691	0.96730
21.601	0.95360
21.511	0.94820
21.422	0.95430
21.334	0.97140
21.247	0.99560
21.160	1.0217
21.074	1.0454
20.988	1.0645
20.904	1.0786
20.820	1.0898
20.737	1.1011
20.654	1.1145
20.572	1.1301
20.491	1.1475
20.410	1.1655
20.330	1.1841
20.251	1.2009
20.172	1.2148
20.094	1.2244
20.016	1.2290
19.939	1.2283
19.863	1.2239
19.787	1.2178
19.712	1.2109
19.637	1.2029
19.563	1.1926
19.489	1.1782
19.416	1.1587
19.344	1.1348
19.272	1.1079
19.201	1.0789
19.130	1.0491
19.059	1.0205
18.990	0.99540
18.920	0.97460
18.851	0.95900
18.783	0.94920
18.715	0.94380
18.648	0.93970
18.581	0.93550
18.515	0.93140
18.449	0.92680
18.384	0.92090
18.319	0.91380
18.254	0.90600
18.190	0.89770
18.126	0.88960
18.063	0.88400
18.001	0.88260
17.938	0.88480
17.876	0.88870
17.815	0.89230
17.754	0.89430
17.693	0.89380
17.633	0.89160
17.573	0.88890
17.514	0.88620
17.455	0.88350
17.396	0.88010
17.338	0.87620
17.280	0.87230
17.223	0.86960
17.166	0.86870
17.109	0.86820
17.053	0.86690
16.997	0.86430
16.942	0.85990
16.886	0.85380
16.832	0.84640
16.777	0.83860
16.723	0.83010
16.669	0.82010
16.616	0.80880
16.563	0.79610
16.510	0.78170
16.458	0.76440
16.406	0.74370
16.354	0.71920
16.302	0.69140
16.251	0.66240
16.200	0.63430
16.150	0.60990
16.100	0.58940
16.050	0.57320
16.000	0.56030
15.951	0.54960
15.902	0.54000
15.854	0.53200
15.805	0.52470
15.757	0.51810
15.710	0.51200
15.662	0.50680
15.615	0.50290
15.568	0.50120
15.521	0.50270
15.475	0.50730
15.429	0.51440
15.383	0.52150
15.338	0.52690
15.292	0.52930
15.248	0.52880
15.203	0.52610
15.158	0.52270
15.114	0.51980
15.070	0.51830
15.027	0.51830
14.983	0.51980
14.940	0.52290
14.897	0.52810
14.854	0.53560
14.812	0.54590
14.770	0.55860
14.728	0.57370
14.686	0.59080
14.645	0.61060
14.603	0.63310
14.562	0.65840
14.521	0.68650
14.481	0.71630
