Name:  Orgueil.2
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CI
Particle Size:  0-75 micrometers
Sample No.:  Orgueil.2
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1864..  Arizona State University 
sample No. 222.s obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.73930
24.924	0.78660
24.805	0.74390
24.686	0.69680
24.569	0.63740
24.454	0.58080
24.339	0.69850
24.225	0.71170
24.112	0.72020
24.001	0.75540
23.890	0.71440
23.781	0.66190
23.672	0.68600
23.564	0.65450
23.458	0.67630
23.352	0.69850
23.247	0.74370
23.144	0.79570
23.041	0.74410
22.939	0.60130
22.838	0.66450
22.738	0.80400
22.638	0.80830
22.540	0.80830
22.442	0.81540
22.345	0.87650
22.250	0.84420
22.154	0.73560
22.060	0.69900
21.967	0.71070
21.874	0.73680
21.782	0.72460
21.691	0.74900
21.601	0.76780
21.511	0.71660
21.422	0.69900
21.334	0.71390
21.247	0.71730
21.160	0.68310
21.074	0.69310
20.988	0.67580
20.904	0.65090
20.820	0.64280
20.737	0.65210
20.654	0.65310
20.572	0.63960
20.491	0.61500
20.410	0.59890
20.330	0.58740
20.251	0.56350
20.172	0.55370
20.094	0.54810
20.016	0.50560
19.939	0.50270
19.863	0.50730
19.787	0.49900
19.712	0.49730
19.637	0.44410
19.563	0.40230
19.489	0.42530
19.416	0.44950
19.344	0.43190
19.272	0.40060
19.201	0.38230
19.130	0.37230
19.059	0.36670
18.990	0.37450
18.920	0.38310
18.851	0.39160
18.783	0.36250
18.715	0.33740
18.648	0.34250
18.581	0.35990
18.515	0.35160
18.449	0.33080
18.384	0.30620
18.319	0.29030
18.254	0.33840
18.190	0.37550
18.126	0.39090
18.063	0.39010
18.001	0.39360
17.938	0.39940
17.876	0.39940
17.815	0.39770
17.754	0.40720
17.693	0.39260
17.633	0.39330
17.573	0.38380
17.514	0.38350
17.455	0.39770
17.396	0.38350
17.338	0.38500
17.280	0.40260
17.223	0.38750
17.166	0.35960
17.109	0.37380
17.053	0.37520
16.997	0.37450
16.942	0.38700
16.886	0.38110
16.832	0.38260
16.777	0.37620
16.723	0.38090
16.669	0.38530
16.616	0.36230
16.563	0.34160
16.510	0.35420
16.458	0.35740
16.406	0.35030
16.354	0.33130
16.302	0.34620
16.251	0.35840
16.200	0.36400
16.150	0.37060
16.100	0.36500
16.050	0.35180
16.000	0.36110
15.951	0.36010
15.902	0.35180
15.854	0.34230
15.805	0.34080
15.757	0.34790
15.710	0.34740
15.662	0.34110
15.615	0.34060
15.568	0.33350
15.521	0.32690
15.475	0.33030
15.429	0.33230
15.383	0.33010
15.338	0.33890
15.292	0.35820
15.248	0.35470
15.203	0.34060
15.158	0.32810
15.114	0.33620
15.070	0.33350
15.027	0.31980
14.983	0.33640
14.940	0.32960
14.897	0.31790
14.854	0.33130
14.812	0.34110
14.770	0.34030
14.728	0.31910
14.686	0.30420
14.645	0.30960
14.603	0.30470
14.562	0.31710
14.521	0.32930
14.481	0.30690
14.441	0.29740
14.400	0.31230
14.361	0.33250
14.321	0.33350
14.281	0.33350
14.242	0.33740
14.203	0.34550
14.164	0.33890
14.126	0.34400
14.087	0.36300
14.049	0.35420
14.011	0.35820
13.973	0.37380
13.936	0.37770
13.899	0.37700
13.861	0.36820
13.824	0.36910
13.788	0.38110
13.751	0.39770
13.715	0.39820
13.679	0.39550
13.643	0.41720
13.607	0.42820
13.571	0.42070
13.536	0.42190
13.500	0.43510
13.465	0.43950
13.430	0.44510
13.396	0.45260
13.361	0.45920
13.327	0.47170
13.293	0.46800
13.259	0.46800
13.225	0.47970
13.191	0.48360
13.158	0.48410
13.124	0.49100
13.091	0.50760
13.058	0.51660
13.026	0.51170
12.993	0.51610
12.960	0.52290
12.928	0.51980
12.896	0.51710
12.864	0.52880
12.832	0.54100
12.800	0.54250
12.769	0.54320
12.737	0.55980
12.706	0.56300
12.675	0.56620
12.644	0.56790
12.614	0.57840
12.583	0.58280
12.552	0.58890
12.522	0.57570
12.492	0.57570
12.462	0.59840
12.432	0.59940
12.402	0.59180
12.373	0.60250
12.343	0.61940
12.314	0.62350
12.285	0.62600
12.256	0.62280
12.227	0.62060
12.198	0.63040
12.169	0.64380
12.141	0.64890
12.113	0.65580
12.084	0.66310
12.056	0.66720
12.028	0.66750
12.000	0.67110
11.973	0.67720
11.945	0.67460
11.918	0.67240
11.890	0.67750
11.863	0.69430
11.836	0.69730
11.809	0.69240
11.782	0.69870
11.755	0.70040
11.729	0.70290
11.702	0.71830
11.676	0.72310
11.650	0.70730
11.624	0.70260
11.598	0.71120
11.572	0.70870
11.546	0.70290
11.520	0.71120
11.495	0.71700
11.469	0.70900
11.444	0.72050
11.419	0.72390
