Name:  Ivuna
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CI
Particle Size:  0-75 micrometers
Sample No.:  Ivuna
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Tanzania in 1938.  Smithsonian sample No. 
USNM 3963 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.93600
24.924	0.95340
24.805	0.96680
24.686	0.97140
24.569	0.96480
24.454	0.94850
24.339	0.92680
24.225	0.90580
24.112	0.89010
24.001	0.88260
23.890	0.88210
23.781	0.88500
23.672	0.88670
23.564	0.88380
23.458	0.87480
23.352	0.86110
23.247	0.84670
23.144	0.83570
23.041	0.83110
22.939	0.83300
22.838	0.83910
22.738	0.84570
22.638	0.84910
22.540	0.84790
22.442	0.84250
22.345	0.83620
22.250	0.83180
22.154	0.83150
22.060	0.83500
21.967	0.83980
21.874	0.84280
21.782	0.84010
21.691	0.82980
21.601	0.81250
21.511	0.79100
21.422	0.76950
21.334	0.75240
21.247	0.74270
21.160	0.74100
21.074	0.74540
20.988	0.75240
20.904	0.75830
20.820	0.75950
20.737	0.75510
20.654	0.74580
20.572	0.73340
20.491	0.72070
20.410	0.70900
20.330	0.69950
20.251	0.69210
20.172	0.68650
20.094	0.68190
20.016	0.67820
19.939	0.67480
19.863	0.67140
19.787	0.66770
19.712	0.66330
19.637	0.65820
19.563	0.65230
19.489	0.64620
19.416	0.64040
19.344	0.63550
19.272	0.63130
19.201	0.62890
19.130	0.62790
19.059	0.62840
18.990	0.63040
18.920	0.63280
18.851	0.63380
18.783	0.63230
18.715	0.62740
18.648	0.61990
18.581	0.61080
18.515	0.60350
18.449	0.59990
18.384	0.60160
18.319	0.60790
18.254	0.61790
18.190	0.62870
18.126	0.63890
18.063	0.64720
18.001	0.65360
17.938	0.65800
17.876	0.66090
17.815	0.66260
17.754	0.66260
17.693	0.66090
17.633	0.65720
17.573	0.65140
17.514	0.64380
17.455	0.63550
17.396	0.62650
17.338	0.61740
17.280	0.60890
17.223	0.60060
17.166	0.59250
17.109	0.58450
17.053	0.57640
16.997	0.56910
16.942	0.56350
16.886	0.56010
16.832	0.56010
16.777	0.56320
16.723	0.56810
16.669	0.57320
16.616	0.57640
16.563	0.57620
16.510	0.57250
16.458	0.56710
16.406	0.56150
16.354	0.55830
16.302	0.55790
16.251	0.55980
16.200	0.56270
16.150	0.56490
16.100	0.56490
16.050	0.56320
16.000	0.56010
15.951	0.55660
15.902	0.55420
15.854	0.55300
15.805	0.55270
15.757	0.55300
15.710	0.55350
15.662	0.55420
15.615	0.55590
15.568	0.55910
15.521	0.56350
15.475	0.56860
15.429	0.57300
15.383	0.57520
15.338	0.57470
15.292	0.57150
15.248	0.56690
15.203	0.56230
15.158	0.56010
15.114	0.56100
15.070	0.56620
15.027	0.57450
14.983	0.58540
14.940	0.59720
14.897	0.60820
14.854	0.61740
14.812	0.62400
14.770	0.62770
14.728	0.62870
14.686	0.62870
14.645	0.62890
14.603	0.63060
14.562	0.63450
14.521	0.64090
14.481	0.64940
14.441	0.65970
14.400	0.67140
14.361	0.68430
14.321	0.69850
14.281	0.71390
14.242	0.72970
14.203	0.74540
14.164	0.75950
14.126	0.77220
14.087	0.78370
14.049	0.79470
14.011	0.80620
13.973	0.81840
13.936	0.83130
13.899	0.84400
13.861	0.85570
13.824	0.86520
13.788	0.87330
13.751	0.88060
13.715	0.88920
13.679	0.90090
13.643	0.91700
13.607	0.93750
13.571	0.96140
13.536	0.98660
13.500	1.0110
13.465	1.0332
13.430	1.0530
13.396	1.0703
13.361	1.0869
13.327	1.1040
13.293	1.1228
13.259	1.1438
13.225	1.1670
13.191	1.1914
13.158	1.2156
13.124	1.2385
13.091	1.2593
13.058	1.2776
13.026	1.2932
12.993	1.3061
12.960	1.3171
12.928	1.3257
12.896	1.3332
12.864	1.3398
12.832	1.3472
12.800	1.3557
12.769	1.3660
12.737	1.3772
12.706	1.3892
12.675	1.4001
12.644	1.4092
12.614	1.4163
12.583	1.4216
12.552	1.4263
12.522	1.4314
12.492	1.4380
12.462	1.4460
12.432	1.4551
12.402	1.4636
12.373	1.4702
12.343	1.4739
12.314	1.4744
12.285	1.4722
12.256	1.4685
12.227	1.4641
12.198	1.4600
12.169	1.4553
12.141	1.4492
12.113	1.4407
12.084	1.4287
12.056	1.4143
12.028	1.3994
12.000	1.3860
11.973	1.3769
11.945	1.3730
11.918	1.3748
11.890	1.3806
11.863	1.3884
11.836	1.3962
11.809	1.4023
11.782	1.4062
11.755	1.4084
11.729	1.4092
11.702	1.4097
11.676	1.4097
11.650	1.4089
11.624	1.4067
11.598	1.4023
11.572	1.3948
11.546	1.3845
11.520	1.3723
11.495	1.3594
11.469	1.3472
11.444	1.3362
11.419	1.3267
