Name:  EETA 79001
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  EETA 79001
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctic in 1979.  USNM powder with sample No. 
EETA 79001.38.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	1.3806
24.924	1.4141
24.805	1.4321
24.686	1.4368
24.569	1.4263
24.454	1.4104
24.339	1.4006
24.225	1.4004
24.112	1.3940
24.001	1.3718
23.890	1.3264
23.781	1.2715
23.672	1.2217
23.564	1.1765
23.458	1.1379
23.352	1.1074
23.247	1.0857
23.144	1.0718
23.041	1.0649
22.939	1.0732
22.838	1.0930
22.738	1.1086
22.638	1.1133
22.540	1.1050
22.442	1.0920
22.345	1.0825
22.250	1.0811
22.154	1.0950
22.060	1.1169
21.967	1.1396
21.874	1.1611
21.782	1.1811
21.691	1.2051
21.601	1.2327
21.511	1.2649
21.422	1.3054
21.334	1.3462
21.247	1.3801
21.160	1.4082
21.074	1.4358
20.988	1.4612
20.904	1.4783
20.820	1.4907
20.737	1.5059
20.654	1.5237
20.572	1.5439
20.491	1.5664
20.410	1.5930
20.330	1.6201
20.251	1.6416
20.172	1.6594
20.094	1.6782
20.016	1.6997
19.939	1.7253
19.863	1.7532
19.787	1.7803
19.712	1.8032
19.637	1.8152
19.563	1.8142
19.489	1.8018
19.416	1.7803
19.344	1.7551
19.272	1.7275
19.201	1.6970
19.130	1.6655
19.059	1.6333
18.990	1.5994
18.920	1.5647
18.851	1.5327
18.783	1.5019
18.715	1.4680
18.648	1.4311
18.581	1.3953
18.515	1.3640
18.449	1.3372
18.384	1.3186
18.319	1.3113
18.254	1.3127
18.190	1.3213
18.126	1.3374
18.063	1.3574
18.001	1.3743
17.938	1.3843
17.876	1.3867
17.815	1.3806
17.754	1.3665
17.693	1.3501
17.633	1.3354
17.573	1.3206
17.514	1.3027
17.455	1.2830
17.396	1.2610
17.338	1.2349
17.280	1.2053
17.223	1.1760
17.166	1.1497
17.109	1.1279
17.053	1.1108
16.997	1.0967
16.942	1.0840
16.886	1.0720
16.832	1.0598
16.777	1.0476
16.723	1.0376
16.669	1.0312
16.616	1.0247
16.563	1.0134
16.510	0.99660
16.458	0.97440
16.406	0.94480
16.354	0.90890
16.302	0.87130
16.251	0.83540
16.200	0.80100
16.150	0.76860
16.100	0.73970
16.050	0.71440
16.000	0.68920
15.951	0.66480
15.902	0.64260
15.854	0.62550
15.805	0.61380
15.757	0.60600
15.710	0.60080
15.662	0.59790
15.615	0.59370
15.568	0.58720
15.521	0.57910
15.475	0.57150
15.429	0.56350
15.383	0.55370
15.338	0.54570
15.292	0.54170
15.248	0.54030
15.203	0.54150
15.158	0.54610
15.114	0.55220
15.070	0.55740
15.027	0.56200
14.983	0.56840
14.940	0.57520
14.897	0.58130
14.854	0.58860
14.812	0.59790
14.770	0.60910
14.728	0.62450
14.686	0.64890
14.645	0.68290
14.603	0.72340
14.562	0.76830
14.521	0.81470
