Name:  Isna
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CO3
Particle Size:  0-75 micrometers
Sample No.:  Isna
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Egypt on unknown date.  Arizona State University 
sample No. 948.1 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.77780
24.924	0.71730
24.805	0.66020
24.686	0.61130
24.569	0.57350
24.454	0.54860
24.339	0.53560
24.225	0.53270
24.112	0.53560
24.001	0.54050
23.890	0.54250
23.781	0.53830
23.672	0.52610
23.564	0.50610
23.458	0.48020
23.352	0.45210
23.247	0.42550
23.144	0.40410
23.041	0.39060
22.939	0.38650
22.838	0.39140
22.738	0.40360
22.638	0.42090
22.540	0.44090
22.442	0.46120
22.345	0.48020
22.250	0.49630
22.154	0.50930
22.060	0.51880
21.967	0.52510
21.874	0.52860
21.782	0.52950
21.691	0.52910
21.601	0.52810
21.511	0.52760
21.422	0.52880
21.334	0.53220
21.247	0.53830
21.160	0.54710
21.074	0.55810
20.988	0.57060
20.904	0.58350
20.820	0.59550
20.737	0.60570
20.654	0.61330
20.572	0.61690
20.491	0.61720
20.410	0.61350
20.330	0.60720
20.251	0.59860
20.172	0.58960
20.094	0.58130
20.016	0.57540
19.939	0.57300
19.863	0.57400
19.787	0.57810
19.712	0.58500
19.637	0.59300
19.563	0.60110
19.489	0.60820
19.416	0.61350
19.344	0.61670
19.272	0.61790
19.201	0.61720
19.130	0.61520
19.059	0.61250
18.990	0.60940
18.920	0.60600
18.851	0.60280
18.783	0.59940
18.715	0.59570
18.648	0.59160
18.581	0.58620
18.515	0.57980
18.449	0.57180
18.384	0.56180
18.319	0.55000
18.254	0.53610
18.190	0.52100
18.126	0.50460
18.063	0.48830
18.001	0.47290
17.938	0.45920
17.876	0.44870
17.815	0.44210
17.754	0.43970
17.693	0.44090
17.633	0.44530
17.573	0.45140
17.514	0.45780
17.455	0.46310
17.396	0.46630
17.338	0.46750
17.280	0.46630
17.223	0.46310
17.166	0.45870
17.109	0.45340
17.053	0.44750
16.997	0.44120
16.942	0.43510
16.886	0.42900
16.832	0.42330
16.777	0.41800
16.723	0.41310
16.669	0.40890
16.616	0.40530
16.563	0.40230
16.510	0.39970
16.458	0.39750
16.406	0.39550
16.354	0.39430
16.302	0.39360
16.251	0.39380
16.200	0.39480
16.150	0.39620
16.100	0.39790
16.050	0.39940
16.000	0.39990
15.951	0.39970
15.902	0.39820
15.854	0.39620
15.805	0.39430
15.757	0.39310
15.710	0.39310
15.662	0.39500
15.615	0.39870
15.568	0.40380
15.521	0.40970
15.475	0.41650
15.429	0.42330
15.383	0.43020
15.338	0.43700
15.292	0.44410
15.248	0.45170
15.203	0.45950
15.158	0.46780
15.114	0.47660
15.070	0.48510
15.027	0.49370
14.983	0.50220
14.940	0.51070
14.897	0.51950
14.854	0.52910
14.812	0.53980
14.770	0.55150
14.728	0.56470
14.686	0.57890
14.645	0.59370
14.603	0.60940
14.562	0.62480
14.521	0.64010
14.481	0.65480
14.441	0.66890
14.400	0.68240
14.361	0.69560
14.321	0.70830
14.281	0.72070
14.242	0.73340
14.203	0.74560
14.164	0.75780
14.126	0.76950
14.087	0.78080
14.049	0.79150
14.011	0.80200
13.973	0.81200
13.936	0.82200
13.899	0.83230
13.861	0.84250
13.824	0.85300
13.788	0.86400
13.751	0.87520
13.715	0.88740
13.679	0.90060
13.643	0.91580
13.607	0.93310
13.571	0.95290
13.536	0.97560
13.500	1.0005
13.465	1.0269
13.430	1.0544
13.396	1.0818
13.361	1.1084
13.327	1.1335
13.293	1.1570
13.259	1.1785
13.225	1.1985
13.191	1.2165
13.158	1.2336
13.124	1.2495
13.091	1.2644
13.058	1.2786
13.026	1.2920
12.993	1.3049
12.960	1.3171
12.928	1.3284
12.896	1.3384
12.864	1.3469
12.832	1.3533
12.800	1.3577
12.769	1.3596
12.737	1.3594
12.706	1.3572
12.675	1.3530
12.644	1.3474
12.614	1.3401
12.583	1.3311
12.552	1.3206
12.522	1.3079
12.492	1.2932
12.462	1.2764
12.432	1.2573
12.402	1.2361
12.373	1.2126
12.343	1.1870
12.314	1.1592
12.285	1.1287
12.256	1.0950
12.227	1.0581
12.198	1.0173
12.169	0.97310
12.141	0.92580
12.113	0.87650
12.084	0.82710
12.056	0.77950
12.028	0.73660
12.000	0.70020
11.973	0.67210
11.945	0.65330
11.918	0.64380
11.890	0.64260
11.863	0.64790
11.836	0.65770
11.809	0.66970
11.782	0.68260
11.755	0.69530
11.729	0.70650
11.702	0.71680
11.676	0.72580
11.650	0.73390
11.624	0.74100
11.598	0.74730
11.572	0.75240
11.546	0.75680
11.520	0.76000
11.495	0.76270
11.469	0.76460
11.444	0.76610
11.419	0.76760
11.394	0.76900
