Name:  Yamato 791195
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Eucrite
Particle Size:  0-75 micrometers
Sample No.:  Yamato 791195
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1979.  Smithsonian sample No. 
Yamato 791195.45.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

25.044	0.82960
24.924	0.89940
24.805	0.97920
24.686	0.96830
24.569	0.91310
24.454	0.86690
24.339	0.84520
24.225	0.81370
24.112	0.79710
24.001	0.84690
23.890	0.90360
23.781	0.91720
23.672	0.92090
23.564	0.92240
23.458	0.94020
23.352	0.94090
23.247	0.94210
23.144	0.98630
23.041	1.0278
22.939	1.0349
22.838	1.0044
22.738	0.98930
22.638	1.0059
22.540	1.0134
22.442	1.0369
22.345	1.0869
22.250	1.1174
22.154	1.1138
22.060	1.0913
21.967	1.0789
21.874	1.0830
21.782	1.1030
21.691	1.1248
21.601	1.1277
21.511	1.1267
21.422	1.1291
21.334	1.1150
21.247	1.0979
21.160	1.0955
21.074	1.1089
20.988	1.1186
20.904	1.1172
20.820	1.1172
20.737	1.1186
20.654	1.1165
20.572	1.1184
20.491	1.1328
20.410	1.1643
20.330	1.2124
20.251	1.2732
20.172	1.3179
20.094	1.3401
20.016	1.3569
19.939	1.3594
19.863	1.3535
19.787	1.3415
19.712	1.3220
19.637	1.3018
19.563	1.2783
19.489	1.2617
19.416	1.2510
19.344	1.2297
19.272	1.2068
19.201	1.1787
19.130	1.1443
19.059	1.1206
18.990	1.1121
18.920	1.1006
18.851	1.0771
18.783	1.0420
18.715	1.0071
18.648	0.96780
18.581	0.92990
18.515	0.91410
18.449	0.91970
18.384	0.92900
18.319	0.94510
18.254	0.97410
18.190	1.0076
18.126	1.0259
18.063	1.0317
18.001	1.0395
17.938	1.0503
17.876	1.0530
17.815	1.0466
17.754	1.0391
17.693	1.0215
17.633	0.99360
17.573	0.96680
17.514	0.94600
17.455	0.93260
17.396	0.92460
17.338	0.92360
17.280	0.92820
17.223	0.93530
17.166	0.94990
17.109	0.96340
17.053	0.96900
16.997	0.97490
16.942	0.98290
16.886	0.98290
16.832	0.97240
16.777	0.96020
16.723	0.94560
16.669	0.91890
16.616	0.88530
16.563	0.85130
16.510	0.81570
16.458	0.77780
16.406	0.74240
16.354	0.71660
16.302	0.69850
16.251	0.68120
16.200	0.66670
16.150	0.65160
16.100	0.63480
16.050	0.62380
16.000	0.61720
15.951	0.61620
15.902	0.62260
15.854	0.62990
15.805	0.63550
15.757	0.64430
15.710	0.65620
15.662	0.66720
15.615	0.67630
15.568	0.68730
15.521	0.69460
15.475	0.69380
15.429	0.68750
15.383	0.67820
15.338	0.66800
15.292	0.65330
15.248	0.63940
15.203	0.62940
15.158	0.61380
15.114	0.59080
15.070	0.56740
15.027	0.54200
14.983	0.51830
14.940	0.50270
14.897	0.49510
14.854	0.49880
14.812	0.51170
14.770	0.52780
14.728	0.55300
14.686	0.58230
14.645	0.61840
14.603	0.65920
14.562	0.69900
14.521	0.74240
