Name:  ALH 83108
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CO
Particle Size:  0-75 micrometers
Sample No.:  ALH 83108
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1983..  Sample supplied by Tom Jones.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7447	0.42600
9.7264	0.43190
9.7082	0.43870
9.6900	0.44630
9.6719	0.45410
9.6539	0.46220
9.6360	0.47070
9.6181	0.47950
9.6003	0.48930
9.5825	0.49950
9.5649	0.51030
9.5472	0.52100
9.5297	0.53100
9.5122	0.53980
9.4948	0.54660
9.4774	0.55150
9.4601	0.55420
9.4429	0.55490
9.4257	0.55440
9.4086	0.55300
9.3916	0.55050
9.3746	0.54760
9.3577	0.54420
9.3408	0.54000
9.3240	0.53520
9.3073	0.52980
9.2906	0.52420
9.2740	0.51860
9.2574	0.51340
9.2409	0.50900
9.2245	0.50560
9.2081	0.50340
9.1918	0.50270
9.1755	0.50340
9.1593	0.50590
9.1431	0.50980
9.1270	0.51510
9.1110	0.52170
9.0950	0.52930
9.0791	0.53710
9.0632	0.54520
9.0474	0.55300
9.0316	0.56030
9.0159	0.56710
9.0003	0.57350
8.9847	0.57910
8.9691	0.58400
8.9536	0.58860
8.9382	0.59280
8.9228	0.59740
8.9075	0.60280
8.8922	0.60860
8.8770	0.61600
8.8618	0.62400
8.8467	0.63260
8.8316	0.64110
8.8166	0.64940
8.8016	0.65720
8.7867	0.66480
8.7718	0.67210
8.7570	0.67970
8.7422	0.68820
8.7275	0.69800
8.7129	0.70900
8.6982	0.72120
8.6837	0.73440
8.6692	0.74800
8.6547	0.76170
8.6403	0.77510
8.6259	0.78780
8.6116	0.80030
8.5973	0.81200
8.5830	0.82370
8.5688	0.83540
8.5547	0.84790
8.5406	0.86110
8.5266	0.87550
8.5126	0.89090
8.4986	0.90720
8.4847	0.92430
8.4708	0.94190
8.4570	0.95950
8.4432	0.97730
8.4295	0.99540
8.4158	1.0139
8.4022	1.0332
8.3886	1.0537
8.3750	1.0749
8.3615	1.0967
8.3481	1.1189
8.3347	1.1411
8.3213	1.1628
8.3079	1.1838
8.2946	1.2046
8.2814	1.2246
8.2682	1.2441
8.2550	1.2632
8.2419	1.2817
8.2288	1.3003
8.2158	1.3184
8.2028	1.3362
8.1898	1.3540
8.1769	1.3721
8.1640	1.3899
8.1512	1.4077
8.1384	1.4255
8.1256	1.4434
8.1129	1.4612
8.1002	1.4783
8.0876	1.4951
8.0750	1.5115
8.0624	1.5273
8.0499	1.5422
8.0374	1.5566
8.0250	1.5701
8.0126	1.5830
8.0002	1.5950
7.9879	1.6064
7.9756	1.6177
7.9634	1.6289
7.9512	1.6399
7.9390	1.6511
7.9268	1.6623
7.9147	1.6736
7.9027	1.6846
7.8906	1.6956
7.8786	1.7061
7.8667	1.7163
7.8548	1.7258
7.8429	1.7349
7.8310	1.7432
7.8192	1.7507
7.8075	1.7578
7.7957	1.7642
7.7840	1.7698
7.7723	1.7747
7.7607	1.7788
7.7491	1.7822
7.7375	1.7852
7.7260	1.7876
7.7145	1.7895
7.7031	1.7910
7.6916	1.7920
7.6802	1.7927
7.6689	1.7927
7.6575	1.7927
7.6462	1.7927
7.6350	1.7932
7.6238	1.7942
7.6126	1.7959
7.6014	1.7983
7.5903	1.8015
7.5792	1.8054
7.5681	1.8093
7.5571	1.8132
7.5461	1.8171
7.5351	1.8210
7.5242	1.8252
7.5133	1.8293
7.5024	1.8340
7.4916	1.8386
7.4807	1.8440
7.4700	1.8496
7.4592	1.8555
7.4485	1.8621
7.4378	1.8691
7.4272	1.8765
7.4165	1.8840
7.4059	1.8918
7.3954	1.8997
7.3848	1.9072
7.3743	1.9145
7.3639	1.9214
7.3534	1.9282
7.3430	1.9346
7.3326	1.9412
7.3223	1.9475
7.3119	1.9539
7.3016	1.9600
7.2914	1.9663
7.2811	1.9722
7.2709	1.9778
7.2607	1.9831
7.2506	1.9880
7.2404	1.9927
7.2303	1.9966
7.2203	2.0002
7.2102	2.0032
7.2002	2.0059
7.1902	2.0083
7.1803	2.0105
7.1703	2.0129
7.1604	2.0161
7.1506	2.0203
7.1407	2.0251
7.1309	2.0312
7.1211	2.0383
7.1113	2.0459
7.1016	2.0537
7.0919	2.0615
7.0822	2.0691
7.0725	2.0764
7.0629	2.0837
7.0533	2.0908
7.0437	2.0984
7.0341	2.1062
7.0246	2.1147
7.0151	2.1233
7.0056	2.1321
6.9962	2.1409
6.9867	2.1492
6.9773	2.1575
6.9679	2.1650
6.9586	2.1726
6.9493	2.1802
6.9400	2.1875
6.9307	2.1943
6.9214	2.2007
6.9122	2.2065
6.9030	2.2114
6.8938	2.2158
6.8847	2.2200
6.8755	2.2244
6.8664	2.2290
6.8573	2.2344
6.8483	2.2400
6.8393	2.2458
6.8302	2.2515
6.8213	2.2571
6.8123	2.2620
6.8034	2.2668
6.7944	2.2715
6.7855	2.2764
6.7767	2.2815
6.7678	2.2864
6.7590	2.2908
6.7502	2.2944
6.7414	2.2971
6.7327	2.2988
6.7239	2.2993
6.7152	2.2993
6.7065	2.2986
6.6979	2.2976
6.6892	2.2966
6.6806	2.2954
6.6720	2.2947
6.6634	2.2942
6.6549	2.2942
6.6464	2.2947
6.6378	2.2961
6.6294	2.2978
6.6209	2.2998
6.6124	2.3022
6.6040	2.3042
6.5956	2.3061
6.5872	2.3081
6.5789	2.3098
6.5705	2.3118
6.5622	2.3140
6.5539	2.3159
6.5456	2.3174
6.5374	2.3179
6.5292	2.3174
6.5209	2.3162
6.5128	2.3144
