Name:  New Concord
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in 1960.  Smithsonian sample without a catalog 
number.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7264	1.1677
9.7082	1.1853
9.6900	1.2061
9.6719	1.2288
9.6539	1.2519
9.6360	1.2754
9.6181	1.2969
9.6003	1.3154
9.5825	1.3313
9.5649	1.3445
9.5472	1.3540
9.5297	1.3616
9.5122	1.3679
9.4948	1.3735
9.4774	1.3769
9.4601	1.3782
9.4429	1.3772
9.4257	1.3721
9.4086	1.3618
9.3916	1.3469
9.3746	1.3281
9.3577	1.3059
9.3408	1.2822
9.3240	1.2595
9.3073	1.2393
9.2906	1.2212
9.2740	1.2051
9.2574	1.1907
9.2409	1.1782
9.2245	1.1689
9.2081	1.1633
9.1918	1.1614
9.1755	1.1616
9.1593	1.1633
9.1431	1.1658
9.1270	1.1685
9.1110	1.1711
9.0950	1.1741
9.0791	1.1768
9.0632	1.1780
9.0474	1.1775
9.0316	1.1753
9.0159	1.1719
9.0003	1.1660
8.9847	1.1582
8.9691	1.1494
8.9536	1.1401
8.9382	1.1318
8.9228	1.1270
8.9075	1.1262
8.8922	1.1287
8.8770	1.1323
8.8618	1.1345
8.8467	1.1340
8.8316	1.1304
8.8166	1.1250
8.8016	1.1206
8.7867	1.1196
8.7718	1.1230
8.7570	1.1291
8.7422	1.1355
8.7275	1.1394
8.7129	1.1409
8.6982	1.1399
8.6837	1.1377
8.6692	1.1362
8.6547	1.1360
8.6403	1.1372
8.6259	1.1392
8.6116	1.1421
8.5973	1.1470
8.5830	1.1543
8.5688	1.1643
8.5547	1.1763
8.5406	1.1904
8.5266	1.2061
8.5126	1.2234
8.4986	1.2424
8.4847	1.2632
8.4708	1.2854
8.4570	1.3098
8.4432	1.3362
8.4295	1.3650
8.4158	1.3957
8.4022	1.4285
8.3886	1.4622
8.3750	1.4963
8.3615	1.5312
