Name:  TIL 82402
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  LL6
Particle Size:  0-75 micrometers
Sample No.:  TIL 82402
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1982.  Smithsonian sample No. TIL 
82402.05.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

9.7630	0.84910
9.7447	0.85910
9.7264	0.86820
9.7082	0.87620
9.6900	0.88380
9.6719	0.89310
9.6539	0.90450
9.6360	0.91750
9.6181	0.93070
9.6003	0.94340
9.5825	0.95410
9.5649	0.96190
9.5472	0.96730
9.5297	0.97170
9.5122	0.97510
9.4948	0.97680
9.4774	0.97610
9.4601	0.97240
9.4429	0.96560
9.4257	0.95510
9.4086	0.94210
9.3916	0.92800
9.3746	0.91380
9.3577	0.89890
9.3408	0.88450
9.3240	0.87010
9.3073	0.85620
9.2906	0.84350
9.2740	0.83200
9.2574	0.82200
9.2409	0.81350
9.2245	0.80790
9.2081	0.80620
9.1918	0.80690
9.1755	0.80980
9.1593	0.81450
9.1431	0.81810
9.1270	0.81930
9.1110	0.81880
9.0950	0.81880
9.0791	0.81910
9.0632	0.81960
9.0474	0.82080
9.0316	0.82150
9.0159	0.82130
9.0003	0.81910
8.9847	0.81520
8.9691	0.81010
8.9536	0.80570
8.9382	0.80370
8.9228	0.80570
8.9075	0.81130
8.8922	0.82030
8.8770	0.82980
8.8618	0.83620
8.8467	0.83810
8.8316	0.83740
8.8166	0.83620
8.8016	0.83620
8.7867	0.83940
8.7718	0.84590
8.7570	0.85450
8.7422	0.86210
8.7275	0.86820
8.7129	0.87330
8.6982	0.87820
8.6837	0.88260
8.6692	0.88700
8.6547	0.89180
8.6403	0.89770
8.6259	0.90450
8.6116	0.91450
8.5973	0.92820
8.5830	0.94530
8.5688	0.96480
8.5547	0.98510
8.5406	1.0051
8.5266	1.0242
8.5126	1.0435
8.4986	1.0652
8.4847	1.0906
8.4708	1.1204
8.4570	1.1550
8.4432	1.1924
8.4295	1.2312
8.4158	1.2703
8.4022	1.3096
8.3886	1.3501
8.3750	1.3928
8.3615	1.4387
8.3481	1.4878
8.3347	1.5391
8.3213	1.5923
8.3079	1.6470
8.2946	1.7021
8.2814	1.7578
8.2682	1.8137
8.2550	1.8696
8.2419	1.9246
8.2288	1.9780
8.2158	2.0298
8.2028	2.0798
8.1898	2.1279
8.1769	2.1738
8.1640	2.2190
8.1512	2.2637
8.1384	2.3081
8.1256	2.3516
8.1129	2.3943
8.1002	2.4360
8.0876	2.4770
8.0750	2.5173
8.0624	2.5574
8.0499	2.5964
8.0374	2.6338
8.0250	2.6687
8.0126	2.7014
8.0002	2.7329
7.9879	2.7642
7.9756	2.7952
7.9634	2.8259
7.9512	2.8562
7.9390	2.8850
7.9268	2.9123
7.9147	2.9377
7.9027	2.9624
7.8906	2.9861
7.8786	3.0090
7.8667	3.0320
7.8548	3.0557
7.8429	3.0791
7.8310	3.1025
7.8192	3.1262
7.8075	3.1499
7.7957	3.1738
7.7840	3.1973
7.7723	3.2200
7.7607	3.2412
