Name:  Murray
Type:  Stony Meteorites
Class:  Carbonaceous Chondrite
Subclass:  CM2
Particle Size:  0-75 micrometers
Sample No.:  Murray
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in Kentucky in 1950.  Arizona State University 
sample No. 635.2 obtained via Tom Jones.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None

11.394	0.64400
11.369	0.64090
11.344	0.63620
11.319	0.63090
11.294	0.62480
11.270	0.61840
11.245	0.61250
11.221	0.60720
11.197	0.60200
11.173	0.59690
11.149	0.59160
11.125	0.58520
11.101	0.57810
11.077	0.57030
11.054	0.56250
11.030	0.55490
11.007	0.54860
10.983	0.54350
10.960	0.53950
10.937	0.53640
10.914	0.53370
10.891	0.53080
10.868	0.52760
10.846	0.52390
10.823	0.51980
10.800	0.51560
10.778	0.51120
10.755	0.50680
10.733	0.50220
10.711	0.49730
10.689	0.49220
10.667	0.48630
10.645	0.48020
10.623	0.47390
10.602	0.46730
10.580	0.46070
10.558	0.45410
10.537	0.44730
10.516	0.44040
10.494	0.43360
10.473	0.42650
10.452	0.41920
10.431	0.41210
10.410	0.40530
10.389	0.39840
10.368	0.39210
10.348	0.38600
10.327	0.38060
10.306	0.37570
10.286	0.37130
10.266	0.36720
10.245	0.36300
10.225	0.35840
10.205	0.35350
10.185	0.34790
10.165	0.34230
10.145	0.33640
10.125	0.33110
10.106	0.32670
10.086	0.32320
10.066	0.32060
10.047	0.31910
10.027	0.31790
10.008	0.31710
9.9887	0.31640
9.9695	0.31520
9.9504	0.31370
9.9313	0.31180
9.9123	0.30960
9.8934	0.30660
9.8746	0.30300
9.8558	0.29910
9.8371	0.29470
9.8185	0.28980
9.7999	0.28490
9.7814	0.28000
9.7630	0.27540
9.7447	0.27150
9.7264	0.26860
9.7082	0.26610
9.6900	0.26490
9.6719	0.26420
9.6539	0.26440
9.6360	0.26540
9.6181	0.26680
9.6003	0.26880
9.5825	0.27100
9.5649	0.27370
9.5472	0.27610
9.5297	0.27860
9.5122	0.28080
9.4948	0.28300
9.4774	0.28490
9.4601	0.28710
9.4429	0.28910
9.4257	0.29130
9.4086	0.29350
9.3916	0.29590
9.3746	0.29830
9.3577	0.30050
9.3408	0.30270
9.3240	0.30420
9.3073	0.30520
9.2906	0.30540
9.2740	0.30520
9.2574	0.30420
9.2409	0.30270
9.2245	0.30130
9.2081	0.30030
9.1918	0.29960
9.1755	0.29960
9.1593	0.30080
9.1431	0.30320
9.1270	0.30640
9.1110	0.31030
9.0950	0.31470
9.0791	0.31910
9.0632	0.32320
9.0474	0.32670
9.0316	0.32930
9.0159	0.33130
9.0003	0.33300
8.9847	0.33400
8.9691	0.33470
8.9536	0.33500
8.9382	0.33520
8.9228	0.33540
8.9075	0.33590
8.8922	0.33640
8.8770	0.33720
8.8618	0.33840
8.8467	0.34010
8.8316	0.34130
8.8166	0.34250
8.8016	0.34280
8.7867	0.34200
8.7718	0.34060
8.7570	0.33910
8.7422	0.33790
8.7275	0.33810
8.7129	0.33980
8.6982	0.34350
8.6837	0.34860
8.6692	0.35470
8.6547	0.36110
8.6403	0.36720
8.6259	0.37280
8.6116	0.37770
8.5973	0.38210
8.5830	0.38570
8.5688	0.38960
8.5547	0.39360
8.5406	0.39770
8.5266	0.40280
8.5126	0.40840
8.4986	0.41500
8.4847	0.42210
8.4708	0.42970
8.4570	0.43770
8.4432	0.44580
8.4295	0.45410
8.4158	0.46260
8.4022	0.47170
8.3886	0.48120
8.3750	0.49150
8.3615	0.50200
8.3481	0.51320
8.3347	0.52470
8.3213	0.53690
8.3079	0.54910
8.2946	0.56230
8.2814	0.57570
8.2682	0.58980
8.2550	0.60420
8.2419	0.61910
8.2288	0.63400
8.2158	0.64940
8.2028	0.66450
8.1898	0.68040
8.1769	0.69630
8.1640	0.71260
8.1512	0.72900
8.1384	0.74540
8.1256	0.76170
8.1129	0.77780
8.1002	0.79350
8.0876	0.80910
8.0750	0.82450
8.0624	0.83980
8.0499	0.85500
8.0374	0.87010
8.0250	0.88450
8.0126	0.89840
8.0002	0.91160
7.9879	0.92380
7.9756	0.93550
7.9634	0.94630
7.9512	0.95700
7.9390	0.96750
7.9268	0.97780
7.9147	0.98780
7.9027	0.99780
7.8906	1.0073
7.8786	1.0164
7.8667	1.0251
7.8548	1.0334
7.8429	1.0415
7.8310	1.0491
7.8192	1.0566
7.8075	1.0642
7.7957	1.0718
7.7840	1.0791
7.7723	1.0864
7.7607	1.0933
7.7491	1.0996
7.7375	1.1052
7.7260	1.1103
7.7145	1.1145
7.7031	1.1182
7.6916	1.1213
7.6802	1.1243
7.6689	1.1270
7.6575	1.1296
7.6462	1.1321
7.6350	1.1345
7.6238	1.1370
7.6126	1.1394
7.6014	1.1416
7.5903	1.1436
7.5792	1.1457
7.5681	1.1482
7.5571	1.1506
7.5461	1.1531
7.5351	1.1560
7.5242	1.1587
7.5133	1.1614
7.5024	1.1638
7.4916	1.1660
7.4807	1.1680
7.4700	1.1694
7.4592	1.1709
7.4485	1.1724
7.4378	1.1738
7.4272	1.1753
7.4165	1.1772
7.4059	1.1790
7.3954	1.1807
7.3848	1.1824
7.3743	1.1838
7.3639	1.1851
7.3534	1.1858
7.3430	1.1863
7.3326	1.1865
7.3223	1.1860
7.3119	1.1855
7.3016	1.1848
7.2914	1.1838
7.2811	1.1824
7.2709	1.1809
7.2607	1.1792
7.2506	1.1772
7.2404	1.1750
7.2303	1.1728
7.2203	1.1704
7.2102	1.1682
7.2002	1.1660
7.1902	1.1643
7.1803	1.1628
7.1703	1.1619
7.1604	1.1609
7.1506	1.1602
7.1407	1.1597
7.1309	1.1589
7.1211	1.1584
7.1113	1.1580
7.1016	1.1577
7.0919	1.1577
7.0822	1.1577
7.0725	1.1580
7.0629	1.1580
7.0533	1.1577
7.0437	1.1572
7.0341	1.1570
7.0246	1.1565
7.0151	1.1567
7.0056	1.1572
6.9962	1.1584
6.9867	1.1602
6.9773	1.1619
6.9679	1.1636
6.9586	1.1653
6.9493	1.1665
6.9400	1.1675
6.9307	1.1687
6.9214	1.1707
